original,tokenized,token_count,word_count
"এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি","এ টা   বা হ্যি ক   ৰ ূ প   হৈ ছে   স শ স্ত্র   বা হি নী ৰ   জো ৱ া ন গ ৰ া কী ৰ   সৈ তে   জ ড ় ি ত   কে ই বা টা ও   বৈ শি ষ্ট ,   যে নে   তে ও ঁ ৰ   জো তা ,   কা পো ৰ ,   টা ই ,   অ লং কা ৰ ,   কে শ - বি ন্যা স ,   মে ক - আ প ,   ঘ ড ় ী ,   প্র সা ধ নী ,   সু গ ন্ধি ,   ই ত্যা দি",93,23
মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে,ম হা ৰ া ষ্ট্র ৰ   ঔ ৰ ঙ্গা বা দ   জি লা ত   অ ৱ স্থি ত   অ জ ন্তা ত   খ্রী ষ্ট পূ র্ব   প্র থ ম   শ তি কা ৰ   প ৰ া   খ্রী ষ্টা ব্দ   প ঞ্চ ম   শ তি কা ৰ   ভা স্ক র্য্য   আ ৰ ু   চি ত্র ৰ ে   শো ভি ত   ঊ ন ত্রি শ টা   চৈ ত্য   আ ৰ ু   বি হা ৰ   গু হা   আ ছে,76,22
"দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে","দে হ ৰ   ৰ ং   বা হি ৰ ত   থ কা   ৰ ে খা ডা ল ৰ   ল গ ত   মি লি   যা য ় ,   যি য ় ে   ভ লি উ ম ৰ   ই ফে ক্ট টো   সৃ ষ্টি   ক ৰ ে",44,13
অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা,অ শো কে   ভা স্ক র্য্য   আ ৰ ু   বি শা ল   স্মা ৰ ক স মূ হ ৰ   বা বে   শি ল ৰ   ব্যা প ক   প্র য ় ো গ   আ ৰ ম্ভ   ক ৰ া ৰ   বি প ৰ ী তে   পূ র্ব ৰ   প ৰ ম্প ৰ া   আ ছি ল   কা ঠ   আ ৰ ু   মা টি ৰ ে   কা ম   ক ৰ া,69,20
"মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে","ম চ লা ৰ   সৈ তে   মি হ লো ৱ া ,   বে চ ন ৰ   ঘো ল ৰ   ত ৰ প   দি য ় া   আ ৰ ু   অ ত্যু ত্ত ম   অ ৱ স্থা লৈ   তে ল ত   ডু বা ই   ভ জা   আ লু ৱ ে   ম হা ৰ া ষ্ট্ ৰ ৰ   এ ই বি ধ   সু স্বা দু   ত থা   বি খ্যা ত   খা দ্য   তৈ য ় া ৰ   ক ৰ ে",78,22
"চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন","চে ট্টি না ড   ব্য ঞ্জ ন   তা মি ল না ডু   ৰ া জ্য ৰ   চে ট্টি না ড   অ ঞ্চ ল ৰ   না ট্টু কো টা ই   চে ট্টি ৰ া ছ   না ম ৰ   এ টা   স ম্প্ ৰ দা য়   বা   না গা ৰ া ঠা ৰ া ছ ,   যে নে কৈ   তে ও ঁ লো কে   নি জ কে   ক য ় ,   সে ই   স ম্প্র দা য ় ৰ   ব্য ঞ্জ ন",80,20
ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়,ডা ল চে নি   ভা ৰ ত ৰ   থ লু ৱ া   আ ৰ ু   সে ই বা বে ই   এ বি ধ   সো ৱ া দ ব র্ধ ক   ব স্তু ৰ   প ৰ া   আ দি   ক ৰ ি   এ বি ধ   ঔ ষ ধি   দ্র ব্য লৈ কে   ই য ় া ক   ব্য ৱ হা ৰ   ক ৰ া   হ য ়,66,18
এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক,এ ই খি নি   এ টা   শু কা নে   গু ড় ি   ক ৰ া   স জুঁ লি   বা   এ টা   শি ল ৰ   খু ন্দ না ত   গু ড ় ি   ক ৰ ি   ল ও ক,38,13
"পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত","প ঞ্জা ৱ ৰ   প্র ত্যে ক খ ন   চ হ ৰ ৰ ে   বে লে গ   বে লে গ   প চ ন্দ   আ ছে ,   যে নে   অ মৃ ত স ৰ ত   থ কা   লো ক স ক ল   অ মৃ ত স ৰ ী   কু ল্ছে ,   গা ভা ৰ   দি য ় া   প ৰ ঠা   আ ৰ ু   গা খী ৰ ৰ   ব স্তু বো ৰ ৰ   প্র তি   বি শে ষ ভা ৱ ে   আ স ক্ত",83,22
"ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা","ৰ া ম ক   ঋ ষি গ ৰ া কী ৰ   সৈ তে   প ঠি য ় া ই   দি য ় া ,   আ ৰ ু   ল ক্ষ্ম ণ কো   প ঠি য ় া বা",37,8
