original,tokenized,token_count,word_count
"नुजानाया खामानिनि सुबुंजों सोमोन्दो गोनां महरफोरनि मोनसे जथाइ, जेरै बिसोरनि जुता, गस्ला, टाइ, गहेना, खानायनि स्टाइल, मेक-आप, घोरि, देलाइग्रा, सेन, बायदि बायदि","नु जा ना या   खा मा नि नि   सु बुं जों   सो मो न्दो   गो नां   म ह र फो र नि   मो न से   ज था इ ,   जे रै   बि सो र नि   जु ता ,   ग स्ला ,   टा इ ,   ग हे ना ,   खा ना य नि   स्टा इ ल ,   मे क - आ प ,   घो रि ,   दे ला इ ग्रा ,   से न ,   बा य दि   बा य दि",79,22
"महारास्ट्रनि औरंगबादनि जिल्लायाव थानाय अजन्ताहा मोन नैजिगु सैत्य आरो बिहार दन्दरफोर दं, जाय खृ","म हा रा स्ट्र नि   औ रं ग बा द नि   जि ल्ला या व   था ना य   अ ज न्ता हा   मो न   नै जि गु   सै त्य   आ रो   बि हा र   द न्द र फो र   दं ,   जा य   खृ",44,14
गि,गि,1,1
सेथि जौथायनिफ्राय सरासनस्रा मुगा 15थि जौथायसिम मुसुखाफोरजों आरो आखिनायजों साजायजानाय,से थि   जौ था य नि फ्रा य   स रा स न स्रा   मु गा   1 5 थि   जौ था य सि म   मु सु खा फो र जों   आ रो   आ खि ना य जों   सा जा य जा ना य,42,10
गोबां बिबांनि नुथाइ सोरजिनायजों देहानि गाबआ बायजोआरि सिनजों गोरोबलाङो,गो बां   बि बां नि   नु था इ   सो र जि ना य जों   दे हा नि   गा ब आ   बा य जो आ रि   सि न जों   गो रो ब ला ङो,33,9
"अश'कआ मुसुखा आरो गोसोखांथि खाम्फानि थाखाय गोबां अन्थाइफोर बाहायनो जागायदोंमोन, बबेखानि सिगांनि दोरोङा दंफां आरो हाब्रुजों बानायनायमोन","अ श ' क आ   मु सु खा   आ रो   गो सो खां थि   खा म्फा नि   था खा य   गो बां   अ न्था इ फो र   बा हा य नो   जा गा य दों मो न ,   ब बे खा नि   सि गां नि   दो रो ङा   दं फां   आ रो   हा ब्रु जों   बा ना य ना य मो न",62,17
"मस्लाजों लगायनाय आलु, बेसननि अनजों खोबनाय आरो एवहाबनानै साबना महराव लाबोनाय, बेयो महारास्ट्रनि गोथाव आरो मुंदांखा जामुं","म स्ला जों   ल गा य ना य   आ लु ,   बे स न नि   अ न जों   खो ब ना य   आ रो   ए व हा ब ना नै   सा ब ना   म ह रा व   ला बो ना य ,   बे यो   म हा रा स्ट्र नि   गो था व   आ रो   मुं दां खा   जा मुं",59,17
"तामिलनादु हादोरसानि चेत्तिनाद ओनसोलनि चेत्तिनाद संनाय आदबा नात्तुकताय चेत्तियार्स एबा नागरथरर्स मुंनि हारिनि संनाय आदब, जेरै बिसोर गावसोरखौ बुंना लायो","ता मि ल ना दु   हा दो र सा नि   चे त्ति ना द   ओ न सो ल नि   चे त्ति ना द   सं ना य   आ द बा   ना त्तु क ता य   चे त्ति या र्स   ए बा   ना ग र थ र र्स   मुं नि   हा रि नि   सं ना य   आ द ब ,   जे रै   बि सो र   गा व सो र खौ   बुं ना   ला यो",72,20
"दालसिनिया भारतनि हादोरारि, बेनिखायनो बेनि बाहायनाया मोनसे गोथावसिन जाहोग्रा एजेन्टनिफ्राय मोनसे मुलियारि एजेन्टसिम जायो","दा ल सि नि या   भा र त नि   हा दो रा रि ,   बे नि खा य नो   बे नि   बा हा य ना या   मो न से   गो था व सि न   जा हो ग्रा   ए जे न्ट नि फ्रा य   मो न से   मु लि या रि   ए जे न्ट सि म   जा यो",57,14
गंसे गोरान देग्लिग्राजों एबा अन्थाइनि थबसियाव बेखौ गुनदै खालाम,गं से   गो रा न   दे ग्लि ग्रा जों   ए बा   अ न्था इ नि   थ ब सि या व   बे खौ   गु न दै   खा ला म,28,9
