sentence_id,original,tokenized,char_count,token_count
1,"इक दखौट सेवा करने आह्‌‌‌ले व्यक्ति कन्नै सरबंधत खासियतें दा इक समूह् ऐ, जिʼयां उंʼदे जुत्ते, टल्ले, टाई, गैह्‌‌‌ना-बंद्धा, बाल, शंगार, घड़ी, सौंदर्य प्रसाधन, अतर आदि","इक    द ख ौ ट    सेवा    करने    आह्‌‌‌ले    व्य क् ति    कन्नै    सरबंधत    खा सिय तें    दा    इक    समूह्    ऐ,    जिʼयां    उंʼदे    जु त् ते ,    ट ल् ले,    टा ई,    गै ह्‌‌‌ ना - बंद ् धा ,    बा ल,    श ंग ार,    घ ड़ ी,    सौ ंद र्य    प् र साध न,    अ तर    आदि",140,57
2,महाराष्ट्र दे औरंगाबाद जि'ले च स्थित अजंता च नत्ती चैत्य ते विहार न जिʼनें गी पैह्‌ली सदी ईसा पूर्व दियें मूर्तियें ते चित्रें कन्नै सजाया गेदा ऐ,महारा ष् ट् र    दे    औ र ंगा बाद    जि'ले    च    स्थित    अ जं ता    च    न त् ती    चै त्य    ते    वि हार    न    जिʼनें    गी    पैह्‌ली    सदी    ईसा    पूर्व    दियें    मूर् तियें    ते    चि त् रें    कन्नै    सजा या    गेदा    ऐ ,119,43
3,शरीरै दा रंग बाह्‌री रेखा च रलियै फलाऽ दा प्रभाव पैदा करदा ऐ,शरीरै    दा    रंग    बाह्‌ री    रेखा    च    र ल ियै    फ ला ऽ    दा    प् र भा व    पैदा    करदा    ऐ ,48,21
4,"अशोक ने मूर्तियें ते महान स्मारकें आस्तै पत्थरै दा खु'ल्लियै इस्तेमाल करना शुरू कीता, जद् के पिछली परंपरा च लकड़ी ते मिट्टी कन्नै कम्म करना शामल हा","अ शोक    ने    मूर् तियें    ते    महा न    स्मार कें    आस्तै    पत्थ रै    दा    खु' ल्ल ियै    इस्तेमाल    करना    शुरू    कीता,    जद्    के    पिछ ली    परंपरा    च    लकड़ी    ते    मि ट् टी    कन्नै    कम्म    करना    शामल    हा ",120,37
5,"महाराष्ट्र दा एह्‌‌ सुआदला ते मश्हूर व्यंजन बनाने आस्तै आलुएं गी मसालें च मलाया जंदा ऐ, बेसन दे घोल च लपेटियै पूरी चाल्ली शैल तलेआ जंदा ऐ","महारा ष् ट् र    दा    एह्‌‌    सुआ द ला    ते    मश्हूर    व्यंजन    बनाने    आस्तै    आ लु एं    गी    मसा लें    च    म लाया    जंदा    ऐ,    बे सन    दे    घो ल    च    ल पे ट ियै    पूरी    चाल्ली    शैल    त लेआ    जंदा    ऐ ",111,42
6,"चेट्टीनाड व्यंजन तमिलनाडु रियासता दे चेट्टीनाड प्रदेश दी नट्टुकोट्टई चेट्टियार, जां नगरथार नामी इक बिरादरी ,जिʼयां के ओह्‌‌ अपने आपै गी आखदे न, दा व्यंजन ऐ","चे ट् टी ना ड    व्यंजन    तमिलनाडु    रियास ता    दे    चे ट् टी ना ड    प् र देश    दी    न ट् टु को ट् ट ई    चे ट् ट िय ार,    जां    नगर था र    ना मी    इक    बि रा दरी    , जिʼयां    के    ओह्‌‌    अपने    आपै    गी    आखदे    न,    दा    व्यंजन    ऐ ",130,53
7,"दालचीनी भारत दा देसी बूह्‌टा ऐ ते, एह्‌‌‌दा इस्तेमाल इक खुशबो कारक शा लेइयै औशधी कारक दे तौर पर होंदा ऐ","दा ल चीनी    भारत    दा    देसी    बू ह्‌ टा    ऐ    ते ,    एह्‌‌‌दा    इस्तेमाल    इक    खु श बो    कारक    शा    लेइयै    औ श धी    कारक    दे    तौर    पर    होंदा    ऐ ",83,30
8,सुक्के ग्राइंडर जां पत्थरे दे डंडे कन्नै इसदा पाउडर बनाई लैओ,सु क् के    ग् राइ ंडर    जां    पत्थ रे    दे    ड ंडे    कन्नै    इसदा    पा उ डर    बनाई    लै ओ ,50,20
9,"पंजाब दे हर इक शैह्‌रै दियां बक्खो-बक्ख तरजीहां न, जिʼयां अमृतसरै दे लोक खास तौरा पर अमृतसरी कुल्चे, भरवां परौंठे ते दुद्ध उत्पादन पसंद करदे न","पंजाब    दे    हर    इक    शैह्‌रै    दियां    बक्ख ो -बक्ख    तर जी ह ां    न,    जिʼयां    अम ृ त स रै    दे    लोक    खास    तौरा    पर    अम ृ त सरी    कु ल् चे ,    भर व ां    पर ौ ं ठ े    ते    दु द् ध    उत्पादन    पसंद    करदे    न ",117,49
10,"रामचंद्र गी रिशी दे कन्नै भेजो, ते लक्ष्मण गी बी भेजो","रा मच ंद ् र    गी    रि शी    दे    कन्नै    भे जो ,    ते    लक् ष् मण    गी    बी    भेज ो ",43,21
