sentence_id,original,tokenized,char_count,token_count
1,"ᱢᱩᱴᱷᱟᱹᱱ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱪᱟᱹᱠᱨᱤᱭᱟᱱ ᱦᱚᱲ ᱥᱟᱶᱛᱮ ᱥᱟᱹᱜᱟᱹᱭᱟᱱᱟᱜ ᱜᱩᱱ ᱠᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱛᱷᱚᱯᱮ ᱡᱮᱞᱮᱠᱟ ᱯᱚᱴᱚᱢ ᱯᱟᱱᱟᱦᱤ, ᱠᱤᱪᱨᱤᱪ ᱠᱷᱟᱹᱸᱰᱣᱟᱹᱜ, ᱴᱟᱭ, ᱜᱚᱭᱱᱟ, ᱩᱯ ᱨᱮᱭᱟᱜ ᱥᱴᱟᱭᱤᱞ, ᱢᱮᱠᱼᱟᱯ, ᱜᱷᱟᱹᱲᱤ, ᱥᱟᱡᱟᱣᱼᱟᱜ, ᱥᱮᱱᱴ ᱮᱢᱟᱱ ᱠᱚ ᱾","ᱢᱩᱴᱷᱟᱹᱱ    ᱫᱚ    ᱦᱩᱭᱩᱜ    ᱠᱟᱱᱟ    ᱪᱟᱹ ᱠ ᱨᱤᱭᱟᱱ    ᱦᱚᱲ    ᱥᱟᱶᱛᱮ    ᱥᱟᱹᱜᱟᱹ ᱭ ᱟᱱᱟᱜ    ᱜᱩᱱ    ᱠᱚ    ᱨᱮᱭᱟᱜ    ᱢᱤᱫ    ᱛᱷᱚ ᱯᱮ    ᱡᱮᱞᱮᱠᱟ    ᱯᱚ ᱴᱚᱢ    ᱯᱟ ᱱᱟ ᱦᱤ ,    ᱠᱤᱪ ᱨᱤ ᱪ    ᱠᱷᱟᱹ ᱸᱰ ᱣᱟᱹ ᱜ,    ᱴᱟ ᱭ,    ᱜᱚ ᱭ ᱱᱟ,    ᱩ ᱯ    ᱨᱮᱭᱟᱜ    ᱥᱴᱟ ᱭᱤ ᱞ,    ᱢᱮᱠ ᱼ ᱟᱯ ,    ᱜᱷᱟᱹ ᱲᱤ,    ᱥᱟ ᱡᱟᱣ ᱼ ᱟᱜ,    ᱥᱮᱱᱴ    ᱮᱢᱟᱱ    ᱠᱚ    ᱾ ",157,57
2,ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱳᱣᱨᱚᱝᱜᱟᱵᱟᱫ ᱦᱚᱱᱚᱛ ᱨᱮ ᱢᱮᱱᱟᱜ ᱚᱡᱚᱱᱛᱟ ᱨᱮ ᱒᱙ ᱜᱚᱴᱟᱝ ᱪᱳᱭᱛᱚ ᱟᱨ ᱵᱤᱦᱟᱨ ᱜᱷᱚᱸᱜᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱠᱷᱨᱤᱥᱴᱚᱯᱩᱨᱵᱚ ᱯᱳᱭᱞᱳ ᱥᱚᱛᱟᱵᱫᱤ ᱨᱮᱭᱟᱜ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱪᱤᱛᱟᱹᱨᱛᱮ ᱥᱟᱡᱟᱣ ᱟᱠᱟᱱᱟ ᱢᱚᱬᱮ ᱥᱚᱛᱟᱵᱫᱤ ᱦᱟᱹᱵᱤᱡ ᱾,ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ    ᱨᱮᱭᱟᱜ    ᱳᱣ ᱨᱚ ᱝᱜᱟ ᱵᱟᱫ    ᱦᱚᱱᱚᱛ    ᱨᱮ    ᱢᱮᱱᱟᱜ    ᱚ ᱡᱚᱱ ᱛᱟ    ᱨᱮ    ᱒᱙    ᱜᱚᱴᱟᱝ    ᱪ ᱳᱭ ᱛᱚ    ᱟᱨ    ᱵᱤᱦᱟᱨ    ᱜᱷᱚᱸᱜᱚᱨ    ᱢᱮᱱᱟᱜᱼᱟ    ᱡᱟᱸᱦᱟ    ᱫᱚ    ᱠᱷᱨᱤᱥᱴᱚ ᱯᱩᱨᱵᱚ    ᱯᱳᱭᱞᱳ    ᱥᱚᱛᱟᱵᱫᱤ    ᱨᱮᱭᱟᱜ    ᱠᱷᱚᱫᱟ    ᱪᱤᱛᱟᱹᱨ    ᱟᱨ    ᱪᱤᱛᱟᱹᱨ ᱛᱮ    ᱥᱟᱡᱟᱣ    ᱟᱠᱟᱱᱟ    ᱢᱚᱬᱮ    ᱥᱚᱛᱟᱵᱫᱤ    ᱦᱟᱹᱵᱤᱡ    ᱾ ,163,40
3,"ᱦᱚᱲᱢᱚ ᱨᱮᱭᱟᱜ ᱨᱚᱝ ᱫᱚ ᱵᱟᱨᱦᱮ ᱞᱟᱭᱤᱱ ᱛᱮ ᱢᱤᱫ ᱟᱠᱟᱱᱟ, ᱥᱤᱢᱟᱹ ᱨᱮᱭᱟᱜ ᱚᱨᱥᱚᱝᱮ ᱥᱤᱨᱡᱟᱹᱣᱮᱫᱼᱟ ᱾","ᱦᱚᱲᱢᱚ    ᱨᱮᱭᱟᱜ    ᱨᱚᱝ    ᱫᱚ    ᱵᱟᱨᱦᱮ    ᱞᱟᱭᱤᱱ    ᱛᱮ    ᱢᱤᱫ    ᱟᱠᱟᱱᱟ,    ᱥᱤᱢᱟᱹ    ᱨᱮᱭᱟᱜ    ᱚᱨ ᱥᱚᱝ ᱮ    ᱥᱤᱨᱡᱟᱹ ᱣ ᱮ ᱫᱼᱟ    ᱾ ",64,19
4,"ᱚᱥᱚᱠ ᱫᱚ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱥᱚᱨᱮᱥ ᱫᱤᱱᱤᱥᱟᱹ ᱠᱷᱩᱱᱴᱤ ᱠᱩ ᱞᱟᱹᱜᱤᱫ ᱰᱷᱮᱨ ᱠᱟᱭᱛᱮ ᱫᱷᱤᱨᱤᱭ ᱵᱮᱵᱚᱦᱟᱨ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱞᱟᱦᱟᱱ ᱥᱮᱨᱣᱟ ᱨᱮ ᱫᱚ ᱠᱟᱴᱷ ᱟᱨ ᱦᱟᱥᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱵᱚᱦᱟᱨᱟᱠᱟᱱᱟ ᱾ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾","ᱚ ᱥᱚᱠ    ᱫᱚ    ᱠᱷᱚᱫᱟ    ᱪᱤᱛᱟᱹᱨ    ᱟᱨ    ᱥᱚᱨᱮᱥ    ᱫᱤ ᱱᱤᱥ ᱟᱹ    ᱠᱷ ᱩᱱ ᱴᱤ    ᱠᱩ    ᱞᱟᱹᱜᱤᱫ    ᱰᱷᱮᱨ    ᱠᱟᱭᱛᱮ    ᱫᱷᱤᱨᱤ ᱭ    ᱵᱮᱵᱚ ᱦᱟᱨ    ᱞᱮᱫᱟ,    ᱡᱟᱦᱟᱸ    ᱨᱮ    ᱞᱟᱦᱟ ᱱ    ᱥᱮᱨᱣᱟ    ᱨᱮ    ᱫᱚ    ᱠᱟᱴᱷ   ᱟᱨ    ᱦᱟᱥᱟ    ᱨᱮᱭᱟᱜ    ᱵᱮᱵᱚ ᱦᱟᱨ ᱟᱠᱟᱱᱟ    ᱾    ᱛᱟᱦᱮᱸᱠᱟᱱᱟ    ᱾ ",131,39
5,"ᱢᱚᱥᱞᱟ ᱢᱮᱥᱟᱞ ᱟᱹᱞᱩ, ᱵᱮᱥᱚᱱ ᱨᱮ ᱪᱟᱰᱳ ᱠᱟᱛᱮᱜ ᱟᱨ ᱟᱹᱰᱤ ᱟᱸᱴ ᱵᱷᱟᱡᱟ ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱱᱚᱣᱟ ᱥᱤᱵᱤᱞ ᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱯᱮᱨᱮᱡ ᱯᱩᱨᱩᱱᱟ ᱾","ᱢᱚᱥ ᱞᱟ    ᱢᱮ ᱥᱟᱞ    ᱟᱹ ᱞᱩ ,    ᱵᱮ ᱥᱚᱱ    ᱨᱮ    ᱪᱟ ᱰᱳ    ᱠᱟᱛᱮᱜ    ᱟᱨ    ᱟᱹᱰᱤ    ᱟᱸ ᱴ    ᱵᱷ ᱟᱡ ᱟ    ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ    ᱨᱮᱭᱟᱜ    ᱱᱚᱣᱟ    ᱥᱤ ᱵᱤᱞ    ᱟᱨ    ᱧᱩᱛᱩᱢᱟᱱ    ᱡᱚᱢᱟᱜ    ᱠᱷᱚᱱ    ᱯᱮᱨᱮᱡ    ᱯᱩᱨᱩ ᱱᱟ    ᱾ ",99,33
6,ᱪᱮᱴᱴᱤᱱᱟᱰ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱫᱚ ᱛᱟᱢᱤᱞᱱᱟᱲᱩ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱮᱴᱴᱤᱱᱟᱫ ᱴᱚᱴᱷᱟ ᱱᱟᱴᱴᱩᱠᱳᱴᱟᱭ ᱪᱮᱴᱴᱤᱭᱟᱨ ᱥᱮ ᱱᱟᱜᱟᱨ ᱛᱷᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱾,ᱪᱮ ᱴ ᱴᱤ ᱱᱟ ᱰ    ᱤᱥᱤᱱ    ᱵᱟ ᱥᱟ ᱝ    ᱫᱚ    ᱛᱟᱢᱤᱞᱱᱟᱲᱩ    ᱯᱚᱱᱚᱛ    ᱨᱮᱭᱟᱜ    ᱪᱮ ᱴ ᱴᱤ ᱱᱟ ᱫ    ᱴᱚᱴᱷᱟ    ᱱᱟ ᱴ ᱴᱩ ᱠᱳ ᱴᱟᱭ    ᱪᱮ ᱴ ᱴ ᱤᱭᱟᱨ    ᱥᱮ    ᱱᱟᱜᱟᱨ    ᱛᱷᱟᱨ    ᱧᱩᱛᱩᱢᱟᱱ    ᱦᱚᱲ    ᱠᱚᱣᱟᱜ    ᱤᱥᱤᱱ    ᱵᱟ ᱥᱟ ᱝ    ᱾ ,105,39
7,"ᱫᱟᱨᱩᱪᱤᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱛᱷᱟᱹᱱᱤᱛ ᱟᱨ ᱡᱮᱞᱮᱠᱟ, ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱤᱢᱟᱹ ᱢᱤᱫᱴᱮᱱ ᱥᱤᱵᱤᱞ ᱠᱷᱚᱱ ᱨᱟᱱ ᱦᱟᱹᱵᱤᱡ ᱾","ᱫᱟᱨ ᱩ ᱪᱤ ᱱᱤ    ᱫᱚ    ᱵᱷᱟᱨᱚᱛ    ᱨᱮᱭᱟᱜ    ᱛᱷᱟᱹᱱᱤᱛ    ᱟᱨ    ᱡᱮ ᱞᱮᱠᱟ,    ᱱᱚᱣᱟ    ᱨᱮᱭᱟᱜ    ᱵᱮᱣᱦᱟᱨ    ᱨᱮᱭᱟᱜ    ᱥᱤᱢᱟᱹ    ᱢᱤᱫᱴᱮᱱ    ᱥᱤ ᱵᱤᱞ    ᱠᱷᱚᱱ    ᱨᱟᱱ    ᱦᱟᱹᱵᱤᱡ    ᱾ ",87,23
8,ᱱᱚᱣᱟ ᱢᱤᱫᱴᱮᱱ ᱨᱚᱦᱚᱲ ᱜᱩᱸᱰᱟᱹ ᱟᱜ ᱛᱮ ᱥᱮ ᱫᱷᱤᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱩᱴᱷᱟᱹᱱ ᱛᱮ ᱜᱩᱸᱰᱟᱹᱭ ᱢᱮ ᱾,ᱱᱚᱣᱟ    ᱢᱤᱫᱴᱮᱱ    ᱨᱚᱦᱚᱲ    ᱜᱩ ᱸᱰ ᱟᱹ    ᱟᱜ    ᱛᱮ    ᱥᱮ    ᱫᱷᱤᱨᱤ    ᱨᱮᱭᱟᱜ    ᱢᱩᱴᱷᱟᱹᱱ    ᱛᱮ    ᱜᱩ ᱸᱰ ᱟᱹᱭ    ᱢᱮ    ᱾ ,56,18
9,"ᱯᱟᱧᱡᱟᱵ ᱨᱮᱭᱟᱜ ᱢᱤᱢᱤᱫ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱮᱜᱟᱨ ᱵᱮᱜᱟᱨ ᱠᱩᱥᱤᱭᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱮᱞᱮᱠᱟ ᱚᱢᱨᱤᱛᱥᱚᱨ ᱨᱮᱱ ᱦᱚᱲ ᱠᱩ ᱫᱚ ᱵᱤᱥᱟᱹᱥ ᱠᱟᱭᱛᱮ ᱚᱢᱨᱤᱛᱥᱚᱨᱤ ᱠᱩᱞᱪᱷ, ᱢᱚᱥᱞᱟᱣᱟᱱ ᱯᱟᱨᱟᱴᱷᱟ ᱟᱨ ᱛᱚᱣᱟ ᱫᱩᱨᱤᱵ ᱠᱩ ᱠᱩ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾","ᱯᱟᱧᱡᱟᱵ    ᱨᱮᱭᱟᱜ    ᱢᱤᱢᱤᱫ    ᱥᱟᱦᱟᱨ    ᱨᱮᱭᱟᱜ    ᱵᱮ ᱜᱟᱨ    ᱵᱮ ᱜᱟᱨ    ᱠᱩᱥᱤᱭᱟᱜ    ᱢᱮᱱᱟᱜᱼᱟ,    ᱡᱮᱞᱮᱠᱟ    ᱚᱢ ᱨᱤᱛ ᱥᱚᱨ    ᱨᱮᱱ    ᱦᱚᱲ    ᱠᱩ    ᱫᱚ    ᱵᱤ ᱥᱟᱹ ᱥ    ᱠᱟᱭᱛᱮ    ᱚᱢ ᱨᱤᱛ ᱥᱚᱨᱤ    ᱠᱩᱞ ᱪᱷ ,    ᱢᱚᱥ ᱞᱟ ᱣᱟᱱ    ᱯᱟᱨᱟ ᱴᱷᱟ    ᱟᱨ    ᱛᱚ ᱣᱟ    ᱫᱩᱨᱤᱵ    ᱠᱩ    ᱠᱩ    ᱠᱩᱥᱤᱭ ᱟᱜᱼᱟ    ᱾ ",141,43
10,"ᱥᱚᱨᱮᱥ ᱟᱹᱠᱤᱞ ᱥᱟᱞᱟᱜ ᱨᱟᱢ ᱠᱩᱞᱤᱢᱮ, ᱟᱨ ᱥᱟᱸᱣᱛᱮ ᱞᱚᱠᱠᱷᱚᱱ ᱦᱸ ᱾","ᱥᱚᱨᱮᱥ    ᱟᱹᱠᱤᱞ    ᱥᱟᱞᱟᱜ    ᱨᱟᱢ    ᱠᱩ ᱞᱤ ᱢᱮ,    ᱟᱨ    ᱥᱟᱸ ᱣ ᱛᱮ    ᱞᱚᱠ ᱠᱷᱚᱱ    ᱦ ᱸ    ᱾ ",43,16
