sentence_id,original,tokenized,char_count,token_count
1,"रूप म्हणजे, सेवेतील व्यक्तीशी संबंधित बूट, कपडे, टाय, दागिने, केशरचना, मेक-अप, घड्याळ, सौंदर्यप्रसाधने, अत्तर अशा अनेक विशेषतांचा समुच्चय असतो","रूप    म्हण ज े,    सेव ेतील    व्यक्ती शी    संबंधित    बू ट,    कपड े,    टाय ,    दा गि ने,    के श रच ना,    मे क - अप ,    घड ्या ळ,    सौ ंद र्य प्र साध ने,    अ त् तर    अशा    अनेक    विशेष त ांचा    समु च्च य    असतो ",124,48
2,"महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ","महाराष्ट ्रा च्या    औ रंगा बाद    जिल्ह्यातील    अ जिं ठ ्या त,    इ",45,13
3,स,स ,1,1
4,पू,प ू ,2,2
5,पहिल्या शतकापासून ते इ,पहिल्या    शतका पासून    ते    इ,19,5
6,स,स ,1,1
7,पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत,पाच व्या    शतका पर्यंत च्या    शिल् प कृती    आणि    चित्र े    यांनी    स ज वि लेली    ए कोण ती स    च ै त्य    आणि    वि हार    ले णी    आहेत ,80,29
8,शारीर रंग बाह्यरेषेत विलीन होत असल्याने भरीवपणाचा परिणाम तयार होतो,शार ीर    रंग    बाह ्य रेष ेत    वि लीन    होत    असल्याने    भ री व पणा चा    परिणाम    तयार    होतो ,57,19
9,"अशोकाने शिल्पकृती आणि मोठ्या वास्तूंसाठी दगडांचा मुबलक वापर करायला सुरुवात केली, मात्र, पूर्वीच्या परंपरेत लाकूड आणि चिकणमातीच्या कामाचाच समावेश असे","अशो काने    शिल् प कृती    आणि    मोठ्या    वास्त ूं साठी    द गड ांचा    मु बल क    वापर    करायला    सुरुवात    केली,    मात्र,    पूर्वीच्या    परंपर ेत    ला कू ड    आणि    चिक ण मात ीच्या    कामा चा च    समावेश    असे ",129,37
10,"मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो","म साल ्यां त    मि सळ लेले    ब टा टे    बे स नाच्या    पात ळ    पि ठ ात    घो ळ व ून,    खूप    तेल ात    पूर्ण    त ळून    महाराष्ट ्रा चा    हा    च व दार    आणि    प्रसिद्ध    खाद्य पदार्थ    तयार    होतो ",114,41
11,"चेट्टिनाड पाककला ही तामीळनाडू राज्याच्या चेट्टीनाड प्रदेशातील, नट्टुकोटई चेट्टियार किंवा, ते स्वतःला संबोधतात त्याप्रमाणे, नगरथार नामक समुदायाची पाककला आहे","चे ट् टि ना ड    पाक कला    ही    तामी ळ नाड ू    राज्याच्या    चे ट् टी ना ड    प्रदेश ात ील,    न ट् टु को ट ई    चे ट् टि य ार    किं वा,    ते    स्वतःला    संबोध तात    त्या प्रमाणे,    नगर थ ार    नाम क    समुदा याची    पाक कला    आहे ",137,50
12,"दालचिनी ही मुळात भारतातील आहे, आणि त्यामुळे तिचा वापर चव आणण्यासाठीचा घटक ते औषधी घटक, असा व्यापकरित्या होतो","द ाल चिनी    ही    मुळ ात    भारतातील    आहे,    आणि    त्यामुळे    तिचा    वापर    च व    आण ण्या साठीचा    घटक    ते    औष धी    घट क,    असा    व्याप करित्या    होतो ",91,27
