sentence_index,original_sentence,tokenized_sentence,token_count
1,"देखिने रूप भनेको उनीहरूका जुत्ता, लुगा, टाई, गहना, केशसज्जा, सिँगार-पटार, घडी, सौन्दर्य प्रसाधन, अत्तर आदि जस्ता सेवा गर्ने व्यक्तिसँग सम्बन्धित विशेषताहरूको समूह हो","देखि ने   रूप   भनेको   उनी हरूका   जु त्ता ,   लु गा ,   टा ई,   ग ह ना ,   केश स ज्जा ,   सिँ गा र- प टा र,   घ डी ,   सौ न्द र्य   प्रसा ध न,   अ त्त र   आदि   जस्ता   सेवा   गर्ने   व्यक्ति सँग   सम्बन्धित   विशेषता हरूको   समूह   हो",51
2,महाराष्ट्रको औरङ्गावादमा अवस्थित अजन्तासँग पाँचौँ शताब्दी इसापूर्वदेखि पाँचौँ शताब्दी इस्वीका मूर्तिकला अनि चित्रकलाहरू सहितका उनन्तिसवटा चैत्य अनि विहार गुफाहरू छन्,महाराष्ट्र को   औ र ङ्गा वाद मा   अवस्थित   अ ज न्ता सँग   पाँ चौँ   शताब्दी   इ सापूर्व देखि   पाँ चौँ   शताब्दी   इस्वी का   मूर्ति कला   अनि   चित्र कला हरू   सहित का   उन न्ति स वटा   चै त्य   अनि   वि हार   गुफा हरू   छन्,43
3,आयतनको प्रभाव बनाउँदै कायाको रङ बाहिरी रेखासँग विलय हुन्छ,आ यत नको   प्रभाव   बना उँदै   का या को   र ङ   बाहिरी   रेखा सँग   वि लय   हुन्छ,17
4,अशोकले मूर्ति र ठुला स्मारकहरूका लागि ढुङ्गाको व्यापक प्रयोग गर्न थाले जबकि अघिल्लो परम्परा काठ र माटाको प्रयोग गर्नु थियो,अशो कले   मूर्ति   र   ठुला   स्मारक हरूका   लागि   ढुङ्गा को   व्यापक   प्रयोग   गर्न   थाले   जबकि   अघि ल्लो   परम्परा   का ठ   र   मा टा को   प्रयोग   गर्नु   थियो,27
5,मसला मिसेर बेसनको घोलको लेपन गरेर उत्कृष्ट पाराले तारिएका आलुबाट महाराष्ट्रको यो स्वादिष्ट र प्रसिद्ध परिकार बन्छ,म सला   मि सेर   बे सनको   घो लको   ले पन   गरेर   उत्कृष्ट   पा रा ले   ता रि एका   आ लु बाट   महाराष्ट्र को   यो   स्वा दि ष्ट   र   प्रसिद्ध   परि कार   ब न्छ,33
6,छेट्टिनाड भोजन नाट्टुकोटाई छेट्टियार भनिने अथवा आफूहरूलाई नागरथरहरू भन्ने तमिल नाडुको छेट्टिनाड क्षेत्रको एउटा समुदायको भोजन हो,छे ट्टि ना ड   भो जन   ना ट्टु को टा ई   छे ट्टि यार   भनिने   अथवा   आफू हरूलाई   ना गर थ रहरू   भन्ने   तमिल   ना डु को   छे ट्टि ना ड   क्षेत्रको   एउटा   समुदाय को   भो जन   हो,38
7,दालचिनीको मूल भारत हो र त्यसैले यसको प्रयोग स्वाद दिने पदार्थदेखि औषधीय पदार्थसम्म हुन्छ,दाल चि नीको   मूल   भारत   हो   र   त्यसैले   यसको   प्रयोग   स्वा द   दिने   पदार्थ देखि   औष धी य   पदार्थ सम्म   हुन्छ,21
8,यसलाई सुक्खा सिलौटो अथवा ढुङ्गाको लोहोरोले धुलो बनाउनुहोस्,यसलाई   सु क्खा   सि लौ टो   अथवा   ढुङ्गा को   लो हो रो ले   धु लो   बना उनु होस्,18
9,"पञ्जाबको हरेक सहरसँग फरक रुचिहरू छन्, जस्तै अमृतसरमा मानिसहरू खासगरी अमृतसरी कुल्चे, भरुवा पराठा अनि दुधका उत्पादनहरूप्रति स्नेही छन्","पञ्जाब को   हरेक   सहर सँग   फरक   रु चि हरू   छन्,   जस्तै   अ मृत स रमा   मानिसहरू   खा स गरी   अ मृत स री   कु ल्चे ,   भ रु वा   परा ठा   अनि   दु ध का   उत्पादन हरू प्रति   स्ने ही   छन्",41
10,"रामलाई ऋषिसँग पठाउनुहोस्, लक्ष्मणलाई पनि पठाउनुहोस्","राम लाई   ऋ षि सँग   पठा उनु होस्,   ल क्ष्म ण लाई   पनि   पठा उनु होस्",16
