original,tokenized,token_count,word_count
"सेवापुरुषस्य दर्शनीयता नाम तस्य पादुकाः, वस्त्राणि, टै, आभूषणानि, केशविन्यासः, प्रसाधनं, घटी, सौन्दर्यवर्धकं, सुगन्धद्रव्यम् इत्यादयः लक्षणविशेषाः भवन्ति","से वा पु रु ष स्य   द र्श नी य ता   ना म   त स्य   पा दु काः ,   व स्त्रा णि ,   टै ,   आ भू ष णा नि ,   के श वि न्या सः ,   प्र सा ध नं ,   घ टी ,   सौ न्द र्य व र्ध कं ,   सु ग न्ध द्र व्य म्   इ त्या द यः   ल क्ष ण वि शे षाः   भ व न्ति",71,16
"महाराष्ट्रस्य औरङ्गाबाद्-मण्डले वर्तमाने अजन्ता-प्रदेशे एकोनत्रिंशत् चैत्याः विहारगुहाश्च सन्ति, याश्च सा","म हा रा ष्ट्र स्य   औ र ङ्गा बा द् - म ण्ड ले   व र्त मा ने   अ ज न्ता - प्र दे शे   ए को न त्रिं श त्   चै त्याः   वि हा र गु हा श्च   स न्ति ,   या श्च   सा",45,10
श,श,1,1
पू,पू,1,1
प्रथमशताब्दात् सा,प्र थ म श ता ब्दा त्   सा,8,2
श,श,1,1
"पञ्चमशताब्दपर्यन्तस्य कालस्य शिल्पैः, भित्तिचित्रैः च अलङ्कृताः","प ञ्च म श ता ब्द प र्य न्त स्य   का ल स्य   शि ल्पैः ,   भि त्ति चि त्रैः   च   अ ल ङ्कृ ताः",25,6
शरीरवर्णः बाह्यरेखया मिलित्वा घनाकारवत् परिणमते,श री र व र्णः   बा ह्य रे ख या   मि लि त्वा   घ ना का र व त्   प रि ण म ते,24,5
"अशोकः शिल्पानां महास्मारकानां च अधिकतया पाषाणम् उपयोक्तुं प्रारभत, यद्यपि पूर्वपरम्परायां काष्ठ-कर्दमाभ्यां तत्कार्यम् अकुर्वन्","अ शो कः   शि ल्पा नां   म हा स्मा र का नां   च   अ धि क त या   पा षा ण म्   उ प यो क्तुं   प्रा र भ त ,   य द्य पि   पू र्व प र म्प रा यां   का ष्ठ - क र्द मा भ्यां   त त्का र्य म्   अ कु र्व न्",56,13
"आलुकम् उपस्करैः मिश्रीकृत्य, बेसन्-पेषणे निमज्य, परिपक्वतया तीव्रभर्जनं च कृत्वा महाराष्ट्रस्य स्वादु प्रसिद्धं च भक्ष्यं सिद्ध्यते","आ लु क म्   उ प स्क रैः   मि श्री कृ त्य ,   बे स न् - पे ष णे   नि म ज्य ,   प रि प क्व त या   ती व्र भ र्ज नं   च   कृ त्वा   म हा रा ष्ट्र स्य   स्वा दु   प्र सि द्धं   च   भ क्ष्यं   सि द्ध्य ते",54,15
