original,tokenized,token_count,word_count
"ꯁꯛꯐꯝ ꯍꯥꯏꯕꯁꯤ ꯊꯕꯛ ꯇꯧꯕ ꯃꯤ ꯑꯗꯨꯒ ꯃꯔꯤ ꯂꯩꯅꯕ ꯃꯈꯣꯏꯒꯤ ꯈꯣꯡꯉꯨꯞ, ꯐꯤꯔꯣꯟ, ꯇꯥꯏ, ꯁꯅꯥ-ꯂꯨꯄ, ꯁꯝꯒꯤ ꯃꯑꯣꯡ, ꯀꯦꯕ, ꯘꯔꯤ, ꯀꯦꯅꯕ ꯄꯣꯠꯆꯩ, ꯄꯔꯐ꯭ꯌꯨꯝꯒꯨꯝꯕ ꯃꯒꯨꯟ ꯀꯌꯥꯑꯃꯅꯤ꯫","ꯁꯛ ꯐꯝ   ꯍꯥ ꯏ ꯕ ꯁꯤ   ꯊ ꯕꯛ   ꯇꯧ ꯕ   ꯃꯤ   ꯑ ꯗꯨ ꯒ   ꯃ ꯔꯤ   ꯂꯩ ꯅ ꯕ   ꯃ ꯈ ꯣ ꯏ ꯒꯤ   ꯈ ꯣ ꯡ ꯉꯨꯞ ,   ꯐꯤ ꯔ ꯣ ꯟ ,   ꯇꯥ ꯏ ,   ꯁ ꯅꯥ - ꯂꯨ ꯄ ,   ꯁꯝ ꯒꯤ   ꯃ ꯑ ꯣ ꯡ ,   ꯀꯦ ꯕ ,   ꯘ ꯔꯤ ,   ꯀꯦ ꯅ ꯕ   ꯄ ꯣ ꯠ ꯆꯩ ,   ꯄ ꯔ ꯐ꯭ꯌꯨꯝ ꯒꯨꯝ ꯕ   ꯃ ꯒꯨꯟ   ꯀ ꯌꯥ ꯑ ꯃ ꯅꯤ ꯫",77,22
ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯑꯣꯔꯪꯒꯥꯕꯥꯗ ꯖꯤꯂꯥꯗ ꯂꯩꯕ ꯑꯖꯟꯇꯥꯗ ꯆꯥꯏꯇ꯭ꯌꯥ ꯀꯨꯟꯃꯥꯄꯟ ꯑꯃꯁꯨꯡ ꯍꯛꯇꯨꯟ ꯃꯤꯇꯝ ꯇꯝꯕꯁꯤꯡꯒ ꯈ꯭ꯔꯤꯁꯇ ꯑꯍꯥꯟꯕ ꯆꯍꯤ ꯆꯥꯗꯒꯤ ꯃꯉꯥꯁꯨꯕ ꯆꯍꯤ ꯆꯥ ꯐꯥꯎꯕꯗꯒꯤ ꯑꯣꯏꯕ ꯑꯌꯦꯛꯄ ꯂꯥꯏꯁꯤꯡꯅ ꯀꯦꯔꯕ ꯚꯤꯍꯥꯔꯥ ꯁꯨꯔꯥꯡꯁꯤꯡ ꯂꯩ꯫,ꯃ ꯍꯥ ꯔꯥ ꯁ ꯇ꯭ꯔ ꯒꯤ   ꯑ ꯣ ꯔꯪ ꯒꯥ ꯕꯥ ꯗ   ꯖꯤ ꯂꯥ ꯗ   ꯂꯩ ꯕ   ꯑ ꯖꯟ ꯇꯥ ꯗ   ꯆꯥ ꯏ ꯇ꯭ꯌꯥ   ꯀꯨꯟ ꯃꯥ ꯄꯟ   ꯑ ꯃ ꯁꯨ ꯡ   ꯍꯛ ꯇꯨꯟ   ꯃꯤ ꯇꯝ   ꯇꯝ ꯕ ꯁꯤ ꯡ ꯒ   ꯈ꯭ꯔꯤ ꯁ ꯇ   ꯑ ꯍꯥꯟ ꯕ   ꯆ ꯍꯤ   ꯆꯥ ꯗ ꯒꯤ   ꯃ ꯉꯥ ꯁꯨ ꯕ   ꯆ ꯍꯤ   ꯆꯥ   ꯐꯥ ꯎ ꯕ ꯗ ꯒꯤ   ꯑ ꯣ ꯏ ꯕ   ꯑ ꯌꯦꯛ ꯄ   ꯂꯥ ꯏ ꯁꯤ ꯡ ꯅ   ꯀꯦ ꯔ ꯕ   ꯚ ꯤ ꯍꯥ ꯔꯥ   ꯁꯨ ꯔꯥ ꯡ ꯁꯤ ꯡ   ꯂꯩ ꯫,89,26
ꯍꯛꯆꯥꯡꯒꯤ ꯃꯆꯨ ꯑꯁꯤ ꯃꯄꯥꯟ ꯊꯪꯕ ꯂꯥꯏꯒ ꯄꯨꯟꯁꯟꯗꯨꯅ ꯆꯥꯡꯗ ꯏꯊꯤꯜ ꯄꯤꯕ ꯊꯣꯛꯍꯜꯂꯤ꯫,ꯍꯛ ꯆꯥ ꯡ ꯒꯤ   ꯃ ꯆꯨ   ꯑ ꯁꯤ   ꯃ ꯄꯥꯟ   ꯊꯪ ꯕ   ꯂꯥ ꯏ ꯒ   ꯄꯨꯟ ꯁꯟ ꯗꯨ ꯅ   ꯆꯥ ꯡ ꯗ   ꯏ ꯊꯤꯜ   ꯄꯤ ꯕ   ꯊ ꯣ ꯛ ꯍꯜ ꯂꯤ ꯫,32,11
"ꯍꯛꯇꯨꯅ ꯃꯤꯇꯝ ꯁꯦꯝꯕ ꯑꯃꯁꯨꯡ ꯑꯐꯥꯎꯕ ꯅꯤꯡꯁꯤꯡ ꯈꯨꯗꯝꯁꯤꯡ ꯑꯁꯤꯗ ꯄꯥꯛ ꯁꯟꯅ ꯅꯨꯡ ꯁꯤꯖꯤꯟꯅꯕꯁꯤ ꯑꯁꯣꯀꯥꯅ ꯍꯧꯗꯣꯛꯈꯤꯕꯅꯤ, ꯃꯃꯥꯡꯒꯤ ꯆꯠꯅꯕꯤꯗꯗꯤ ꯎ ꯑꯃꯁꯨꯡ ꯂꯩꯈꯣꯝ ꯁꯤꯖꯟꯅꯔꯝꯃꯤ꯫","ꯍꯛ ꯇꯨ ꯅ   ꯃꯤ ꯇꯝ   ꯁꯦꯝ ꯕ   ꯑ ꯃ ꯁꯨ ꯡ   ꯑ ꯐꯥ ꯎ ꯕ   ꯅꯤ ꯡ ꯁꯤ ꯡ   ꯈꯨ ꯗꯝ ꯁꯤ ꯡ   ꯑ ꯁꯤ ꯗ   ꯄꯥꯛ   ꯁꯟ ꯅ   ꯅꯨ ꯡ   ꯁꯤ ꯖꯤꯟ ꯅ ꯕ ꯁꯤ   ꯑ ꯁ ꯣ ꯀꯥ ꯅ   ꯍꯧ ꯗ ꯣ ꯛ ꯈꯤ ꯕ ꯅꯤ ,   ꯃ ꯃꯥ ꯡ ꯒꯤ   ꯆꯠ ꯅ ꯕꯤ ꯗ ꯗꯤ   ꯎ   ꯑ ꯃ ꯁꯨ ꯡ   ꯂꯩ ꯈ ꯣ ꯝ   ꯁꯤ ꯖꯟ ꯅ ꯔꯝ ꯃꯤ ꯫",73,20
"ꯃꯁꯥꯂꯁꯤꯡꯒ, ꯕꯦꯁꯣꯟ ꯑꯊꯤꯠꯄꯒ ꯇꯣꯠꯁꯟꯅꯔꯕ ꯑꯂꯨ, ꯑꯗꯨꯒ ꯊꯥꯎꯗ ꯃꯨꯟꯅ ꯐꯖꯅ ꯇꯥꯎꯔꯕ ꯑꯁꯤꯅ ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯍꯥꯎꯔꯕ ꯑꯃꯁꯨꯡ ꯃꯃꯤꯡ ꯂꯩꯔꯕ ꯃꯊꯦꯜ ꯑꯁꯤ ꯁꯦꯝꯃꯤ꯫","ꯃ ꯁꯥ ꯂ ꯁꯤ ꯡ ꯒ ,   ꯕꯦ ꯁ ꯣ ꯟ   ꯑ ꯊꯤꯠ ꯄ ꯒ   ꯇ ꯣ ꯠ ꯁꯟ ꯅ ꯔ ꯕ   ꯑ ꯂꯨ ,   ꯑ ꯗꯨ ꯒ   ꯊꯥ ꯎ ꯗ   ꯃꯨꯟ ꯅ   ꯐ ꯖ ꯅ   ꯇꯥ ꯎ ꯔ ꯕ   ꯑ ꯁꯤ ꯅ   ꯃ ꯍꯥ ꯔꯥ ꯁ ꯇ꯭ꯔ ꯒꯤ   ꯍꯥ ꯎ ꯔ ꯕ   ꯑ ꯃ ꯁꯨ ꯡ   ꯃ ꯃꯤ ꯡ   ꯂꯩ ꯔ ꯕ   ꯃ ꯊꯦꯜ   ꯑ ꯁꯤ   ꯁꯦꯝ ꯃꯤ ꯫",70,19
"ꯆꯦꯠꯇꯤꯅꯥꯗ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤ ꯇꯥꯃꯤꯜ ꯅꯥꯗꯨ ꯔꯥꯖ꯭ꯌꯒꯤ ꯆꯦꯠꯇꯤꯌꯥꯅꯥꯗ ꯃꯐꯝꯗꯒꯤꯅꯥꯇꯨꯀꯣꯇꯥꯏ ꯆꯦꯠꯇꯤꯌꯥꯔꯁꯤꯡ, ꯅꯠꯇ꯭ꯔꯒ ꯅꯒꯥꯔꯥꯊꯥꯔꯁꯤꯡ ꯍꯥꯏꯅ ꯀꯧꯖꯕ ꯀꯥꯡꯂꯨꯞꯀꯤ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡꯅꯤ꯫","ꯆꯦꯠ ꯇꯤ ꯅꯥ ꯗ   ꯊ ꯣ ꯡ - ꯊꯥꯛ ꯄ ꯒꯤ   ꯃ ꯑ ꯣ ꯡ   ꯑ ꯁꯤ   ꯇꯥ ꯃꯤꯜ   ꯅꯥ ꯗꯨ   ꯔꯥ ꯖ꯭ꯌ ꯒꯤ   ꯆꯦꯠ ꯇꯤ ꯌꯥ ꯅꯥ ꯗ   ꯃ ꯐꯝ ꯗ ꯒꯤ ꯅꯥ ꯇꯨ ꯀ ꯣ ꯇꯥ ꯏ   ꯆꯦꯠ ꯇꯤ ꯌꯥ ꯔ ꯁꯤ ꯡ ,   ꯅꯠ ꯇ꯭ꯔ ꯒ   ꯅ ꯒꯥ ꯔꯥ ꯊꯥ ꯔ ꯁꯤ ꯡ   ꯍꯥ ꯏ ꯅ   ꯀꯧ ꯖ ꯕ   ꯀꯥ ꯡ ꯂꯨꯞ ꯀꯤ   ꯊ ꯣ ꯡ - ꯊꯥꯛ ꯄ ꯒꯤ   ꯃ ꯑ ꯣ ꯡ ꯅꯤ ꯫",79,17
ꯎꯁꯤꯡꯁꯥ ꯑꯁꯤ ꯚꯥꯔꯠꯀꯤ ꯑꯣꯏꯕ ꯄꯥꯝꯕꯤꯅꯤ ꯑꯗꯨꯒ ꯃꯁꯤꯒꯤ ꯁꯤꯖꯤꯟꯅꯕ ꯃꯑꯣꯡ ꯑꯁꯤ ꯊꯣꯛꯕꯗ ꯍꯥꯞꯄ ꯃꯍꯥꯎꯒꯤ ꯄꯣꯠ ꯇꯒꯤ ꯍꯤꯗꯥꯛ ꯑꯣꯏꯅ ꯁꯤꯖꯤꯟꯅꯕ ꯐꯥꯎ ꯑꯣꯏ꯫,ꯎ ꯁꯤ ꯡ ꯁꯥ   ꯑ ꯁꯤ   ꯚ ꯥ ꯔꯠ ꯀꯤ   ꯑ ꯣ ꯏ ꯕ   ꯄꯥꯝ ꯕꯤ ꯅꯤ   ꯑ ꯗꯨ ꯒ   ꯃ ꯁꯤ ꯒꯤ   ꯁꯤ ꯖꯤꯟ ꯅ ꯕ   ꯃ ꯑ ꯣ ꯡ   ꯑ ꯁꯤ   ꯊ ꯣ ꯛ ꯕ ꯗ   ꯍꯥꯞ ꯄ   ꯃ ꯍꯥ ꯎ ꯒꯤ   ꯄ ꯣ ꯠ   ꯇ ꯒꯤ   ꯍꯤ ꯗꯥꯛ   ꯑ ꯣ ꯏ ꯅ   ꯁꯤ ꯖꯤꯟ ꯅ ꯕ   ꯐꯥ ꯎ   ꯑ ꯣ ꯏ ꯫,65,20
ꯃꯁꯤ ꯗ꯭ꯔꯥꯏ ꯒ꯭ꯔꯥꯏꯟꯗꯔ ꯑꯃꯗ ꯅꯠꯇ꯭ꯔꯒ ꯅꯨꯡꯒꯤ ꯈꯣꯟꯗ ꯃꯀꯨꯞ ꯇꯥꯍꯜꯂꯨ꯫,ꯃ ꯁꯤ   ꯗ꯭ꯔꯥ ꯏ   ꯒ꯭ꯔꯥ ꯏꯟ ꯗ ꯔ   ꯑ ꯃ ꯗ   ꯅꯠ ꯇ꯭ꯔ ꯒ   ꯅꯨ ꯡ ꯒꯤ   ꯈ ꯣ ꯟ ꯗ   ꯃ ꯀꯨꯞ   ꯇꯥ ꯍꯜ ꯂꯨ ꯫,27,9
"ꯄꯟꯖꯥꯕꯀꯤ ꯁꯍꯔ ꯑꯃꯃꯝꯒꯤ ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟꯕ ꯑꯄꯥꯝꯕꯁꯤꯡ ꯂꯩ, ꯈꯨꯗꯝ ꯑꯦꯏꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯗ ꯂꯩꯕ ꯃꯤꯑꯣꯏꯁꯤꯡꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯤ ꯀꯨꯜꯆꯦ, ꯁ꯭ꯇꯐ ꯄꯔꯥꯟꯊꯥꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯪꯒꯣꯝꯒꯤ ꯄꯣꯠꯊꯣꯛꯁꯤꯡ ꯑꯁꯤ ꯃꯔꯨꯑꯣꯏꯅ ꯄꯥꯝꯅꯩ꯫","ꯄꯟ ꯖꯥ ꯕ ꯀꯤ   ꯁ ꯍ ꯔ   ꯑ ꯃ ꯃꯝ ꯒꯤ   ꯇ ꯣ ꯉꯥꯟ - ꯇ ꯣ ꯉꯥꯟ ꯕ   ꯑ ꯄꯥꯝ ꯕ ꯁꯤ ꯡ   ꯂꯩ ,   ꯈꯨ ꯗꯝ   ꯑꯦ ꯏ ꯅ   ꯑ ꯃ꯭ꯔꯤꯠ ꯁ ꯔ ꯗ   ꯂꯩ ꯕ   ꯃꯤ ꯑ ꯣ ꯏ ꯁꯤ ꯡ ꯅ   ꯑ ꯃ꯭ꯔꯤꯠ ꯁ ꯔꯤ   ꯀꯨꯜ ꯆꯦ ,   ꯁ꯭ꯇ ꯐ   ꯄ ꯔꯥꯟ ꯊꯥ ꯁꯤ ꯡ   ꯑ ꯃ ꯁꯨ ꯡ   ꯁꯪ ꯒ ꯣ ꯝ ꯒꯤ   ꯄ ꯣ ꯠ ꯊ ꯣ ꯛ ꯁꯤ ꯡ   ꯑ ꯁꯤ   ꯃ ꯔꯨ ꯑ ꯣ ꯏ ꯅ   ꯄꯥꯝ ꯅꯩ ꯫",87,21
ꯔꯥꯝꯕꯨ ꯃꯨꯅꯤ ꯔꯤꯁꯤ ꯑꯗꯨꯒ ꯊꯥꯈꯣ ꯑꯃꯁꯨꯡ ꯂꯛꯁꯃꯟꯁꯨ ꯊꯥꯈꯣ꯫,ꯔꯥꯝ ꯕꯨ   ꯃꯨ ꯅꯤ   ꯔꯤ ꯁꯤ   ꯑ ꯗꯨ ꯒ   ꯊꯥ ꯈ ꯣ   ꯑ ꯃ ꯁꯨ ꯡ   ꯂꯛ ꯁ ꯃꯟ ꯁꯨ   ꯊꯥ ꯈ ꯣ ꯫,24,8
