original,tokenized,token_count,word_count
ظٲہری شکِل چھِ خدمت کَرَن وٲلِس مُتعلق خٲصِیَتن ہُنٛد اکھ گوٚند، یتھہٕ کٔنہِ زَن ، تِِہُنٛد بوٗٹھ، پَلَو، ٹَایہ ، زیور ، مستُک پٲراو ، سِنگار، گٔر، كریم پاوڈر، عتر، وغیرٕ۔,ظ ٲ ہ ر ی   ش کِ ل   چ ھِ   خ د م ت   کَ رَ ن   و ٲ لِ س   مُ ت ع ل ق   خ ٲ صِ یَ ت ن   ہُ نٛ د   ا ک ھ   گ وٚ ن د ،   ی ت ھ ہٕ   کٔ ن ہِ   زَ ن   ،   تِِ ہُ نٛ د   ب وٗ ٹ ھ ،   پَ لَ و ،   ٹَ ا ی ہ   ،   ز ی و ر   ،   م س تُ ک   پ ٲ ر ا و   ،   سِ ن گ ا ر ،   گٔ ر ،   ك ر ی م   پ ا و ڈ ر ،   ع ت ر ،   و غ ی رٕ ۔,114,31
مہاراشٹر کِس ضلعہٕ اورنگابادس مَنٛز واقعہٕ اَجنتاہَس مَنٛز چھِ کُنترٕٛہ چیتیہ تہٕ وِہار گۄپھہٕ یمہٕ گۄڈٕنٕچ صدی قبل مسیح پٮ۪ٹھ پوٚنٛژمہِ صدی عیسوِی تام چہِ سنگترٲشی تہٕ مُصَوِری سٕتہِ سجٲوِتھ چھِ ۔,م ہ ا ر ا ش ٹ ر   کِ س   ض ل ع ہٕ   ا و ر ن گ ا ب ا د س   مَ نٛ ز   و ا ق ع ہٕ   اَ ج ن ت ا ہَ س   مَ نٛ ز   چ ھِ   کُ ن ت رٕٛ ہ   چ ی ت ی ہ   ت ہٕ   وِ ہ ا ر   گ ۄ پ ھ ہٕ   ی م ہٕ   گ ۄ ڈٕ نٕ چ   ص د ی   ق ب ل   م س ی ح   پ ٮ ۪ ٹ ھ   پ وٚ نٛ ژ م ہِ   ص د ی   ع ی س وِ ی   ت ا م   چ ہِ   س ن گ ت ر ٲ ش ی   ت ہٕ   مُ صَ وِ ر ی   سٕ ت ہِ   س ج ٲ وِ ت ھ   چ ھِ   ۔,134,32
ڈانٛچُک رنٛگ چھُ نیٔبرِمس حٲشیس سۭتہِ رَلان، یٗس باڈو ہاوان چھٗ ۔,ڈ ا نٛ چُ ک   ر نٛ گ   چ ھُ   ن یٔ ب رِ م س   ح ٲ ش ی س   س ۭ ت ہِ   رَ ل ا ن ،   یٗ س   ب ا ڈ و   ہ ا و ا ن   چ ھٗ   ۔,44,12
اشوکن لوگ مُجَسمن تہٕ بڑٮ۪ن یاگارن خٲطرٕ کنٮ۪ن ہُنٛد غلبہٕ اِستعمال کرُن، ییٚلہِ زن برونہِم رٮ۪وایت زیٛادٕ تر لٔکرِ تہٕ میٚژِ سۭتہِ کٲم کرٕنہِ ٲس ۔,ا ش و ک ن   ل و گ   مُ جَ س م ن   ت ہٕ   ب ڑ ٮ ۪ ن   ی ا گ ا ر ن   خ ٲ ط رٕ   ک ن ٮ ۪ ن   ہُ نٛ د   غ ل ب ہٕ   اِ س ت ع م ا ل   ک رُ ن ،   ی یٚ ل ہِ   ز ن   ب ر و ن ہِ م   ر ٮ ۪ و ا ی ت   ز یٛ ا دٕ   ت ر   لٔ ک رِ   ت ہٕ   م یٚ ژِ   س ۭ ت ہِ   ک ٲ م   ک رٕ ن ہِ   ٲ س   ۔,100,26
مسالہٕ ترٛٲوِتھ بیسن مٔتھِتھ تہٕ وارٕ تٔلِتھ ٲلوٕ چھِ مہراشٹرٛا ہُک اکھ مزٕ دار تہٕ مہشوٗر سیُن۔,م س ا ل ہٕ   ت رٛ ٲ وِ ت ھ   ب ی س ن   مٔ ت ھِ ت ھ   ت ہٕ   و ا رٕ   تٔ لِ ت ھ   ٲ ل وٕ   چ ھِ   م ہ ر ا ش ٹ رٛ ا   ہُ ک   ا ک ھ   م زٕ   د ا ر   ت ہٕ   م ہ ش وٗ ر   س یُ ن ۔,63,17
چیٹیناڈ ضِیافت چھےّ اکہِ برادری ہنز ضیافت ،یِم پانس ناٹوکوٹاٮٔی چیٹیار یا نگرتھار ونان چھِ تہٕ یِم تامِل ناڈو ریاست کہِ چیٹیناڈ علاقٕكہِ چھِ ۔,چ ی ٹ ی ن ا ڈ   ضِ ی ا ف ت   چ ھ ےّ   ا ک ہِ   ب ر ا د ر ی   ہ ن ز   ض ی ا ف ت   ، یِ م   پ ا ن س   ن ا ٹ و ک و ٹ ا ٮ ٔ ی   چ ی ٹ ی ا ر   ی ا   ن گ ر ت ھ ا ر   و ن ا ن   چ ھِ   ت ہٕ   یِ م   ت ا مِ ل   ن ا ڈ و   ر ی ا س ت   ک ہِ   چ ی ٹ ی ن ا ڈ   ع ل ا قٕ ك ہِ   چ ھِ   ۔,106,25
دالچیٖنہِ ہُنٛد مالیٚون چھُ ہُنٛدوستان تہٕ، یتھہٕ کٔنہِ چھُ امیُوک استعمال مزٕ کھالنہٕ پیٹھہٕ دوا بناونَس تام سپدان۔,د ا ل چ یٖ ن ہِ   ہُ نٛ د   م ا ل یٚ و ن   چ ھُ   ہُ نٛ د و س ت ا ن   ت ہٕ ،   ی ت ھ ہٕ   کٔ ن ہِ   چ ھُ   ا م یُ و ک   ا س ت ع م ا ل   م زٕ   ک ھ ا ل ن ہٕ   پ ی ٹ ھ ہٕ   د و ا   ب ن ا و نَ س   ت ا م   س پ د ا ن ۔,81,18
اتھ بنٲوِو خۄشِک گرٛٹس پٮ۪ٹھ یا کنہِ نیٛامہِ منٛزپھٮ۪کھ ۔,ا ت ھ   ب ن ٲ وِ و   خ ۄ شِ ک   گ رٛ ٹ س   پ ٮ ۪ ٹ ھ   ی ا   ک ن ہِ   ن یٛ ا م ہِ   م نٛ ز پ ھ ٮ ۪ ک ھ   ۔,41,10
پنجاب کِس پرٛٮ۪تھ شہرس چھِ الگ الگ ترجیٖحات، یتھ کٔنہِ زِ امرِتسر کٮ۪ن لوٗکن زیٛادٕ امرِتسٔری کُلچہٕ، بٔرِتھ پراٹھٕہ تہٕ دۄدٕکہِ چیز زیٛادٕ خۄش کران چھِ ۔,پ ن ج ا ب   کِ س   پ رٛ ٮ ۪ ت ھ   ش ہ ر س   چ ھِ   ا ل گ   ا ل گ   ت ر ج یٖ ح ا ت ،   ی ت ھ   کٔ ن ہِ   زِ   ا م رِ ت س ر   ک ٮ ۪ ن   ل وٗ ک ن   ز یٛ ا دٕ   ا م رِ ت سٔ ر ی   کُ ل چ ہٕ ،   بٔ رِ ت ھ   پ ر ا ٹ ھٕ ہ   ت ہٕ   د ۄ دٕ ک ہِ   چ ی ز   ز یٛ ا دٕ   خ ۄ ش   ک ر ا ن   چ ھِ   ۔,104,27
رام سوزُن ریشِس سٕتہِ ، تہٕ لکشمن تہِ سوزُن,ر ا م   س و زُ ن   ر ی شِ س   سٕ ت ہِ   ،   ت ہٕ   ل ک ش م ن   ت ہِ   س و زُ ن,28,9
