sentence_id,original,tokenized,char_count,token_count
1,ظاہری صورت ملازم سے متعلق خصوصیات کا مجموعہ ہوتی ہے، جیسے ان کے جوتے، کپڑے، ٹائی، زیورات، بالوں کا انداز، میک اپ، گھڑی، کاسمیٹکس، عطر، وغیرہ۔,ظاہ ری    صورت    ملا زم    سے    متعلق    خصوصیات    کا    مجموعہ    ہوتی    ہے،    جیسے    ان    کے    جو تے،    کپڑ ے،    ٹ ائی،    زی ور ات،    با لوں    کا    اندا ز،    میک    اپ ،    گھ ڑ ی،    کاس میٹ کس،    ع طر ،    وغی رہ ۔ ,116,44
2,اجنتا، جو مہاراشٹر کے اورنگ آباد ضلع میں واقع ہے، کے انتیس چیتیا اور وہارا غار ہیں جو پہلی صدی قبل مسیح سے پانچویں صدی عیسوی تک کے مجسموں اور پینٹگز سے مزین ہیں۔,ا جن تا،    جو    مہاراشٹر    کے    اورنگ    آباد    ضلع    میں    واقع    ہے،    کے    ان تیس    چی ت یا    اور    و ہار ا    غار    ہیں    جو    پہلی    صدی    قبل    مسیح    سے    پانچویں    صدی    عیسوی    تک    کے    مجسم وں    اور    پینٹ گز    سے    مزی ن    ہیں۔ ,128,44
3,جسمانی رنگ بیرونی خط کے ساتھ ضم ہوجاتا ہے، جس سے حجم کا اثر پیدا ہوتا ہے۔‏,جسمانی    رنگ    بیرونی    خط    کے    ساتھ    ضم    ہو جاتا    ہے،    جس    سے    ح جم    کا    اثر    پیدا    ہوتا    ہے۔‏ ,58,19
4,اشوک نے مجسموں اور عظیم یادگاروں کے لیے پتھر کا وسیع پیمانے پر استعمال کرنا شروع کیا، جبکہ گذشتہ روایت لکڑی اور مٹی کے ساتھ کام کرنے پر مشتمل تھی۔‏,اشوک    نے    مجسم وں    اور    عظیم    یادگ اروں    کے    لیے    پتھر    کا    وسیع    پیمانے    پر    استع ما ل    کرنا    شروع    کیا،    جبکہ    گ ذ شتہ    روایت    لکڑی    اور    مٹی    کے    ساتھ    کام    کرنے    پر    مشتمل    تھی۔‏ ,118,36
5,مصالحے ملے ہوئے آلووؑں کو، بیسن کے آٹے میں لپیٹ کر اچھی طرح گہرے برتن میں تل کر مہاراشٹر کی یہ مزیدار اور مشہور ڈش بنائی جاتی ہے۔‏,مص ا ل ح ے    ملے    ہوئے    آلو و ؑ ں    کو،    بی سن    کے    آ ٹے    میں    ل پیٹ    کر    اچھی    طرح    گ ہرے    بر تن    میں    تل    کر    مہاراشٹر    کی    یہ    مزی دار    اور    مشہور    ڈ ش    بنائی    جاتی    ہے۔‏ ,103,42
6,چیٹیناڈ پکوان ریاست تامل ناڈو کے چیٹیناڈ علاقے سے تعلق رکھنے والی ایک برادری کا پکوان ہے جسے ناٹوکوٹئی چیٹیار کہا جاتا ہے، یا ناگراتھر، جیسا کہ وہ خود کو کہتے ہیں۔,چی ٹی نا ڈ    پکوان    ریاست    تامل    ناڈو    کے    چی ٹی نا ڈ    علاقے    سے    تعلق    رکھنے    وا لی    ایک    برادری    کا    پکوان    ہے    جسے    نا ٹو کو ٹ ئی    چی ٹ یار    کہا    جاتا    ہے،    یا    ناگ را تھ ر،    جیسا    کہ    وہ    خود    کو    کہتے    ہیں۔ ,132,48
7,دار چینی ہندوستان کی مقامی ہے اور اس بنا پر اس کا استعمال ذائقہ بڑھانے سے لے کر دواؤں کے عامل کے طور پر ہوتا ہے۔‏,دار    چینی    ہندوستان    کی    مقامی    ہے    اور    اس    بنا    پر    اس    کا    استع ما ل    ذائ قہ    بڑھانے    سے    لے    کر    د وا ؤں    کے    ع امل    کے    طور    پر    ہوتا    ہے۔‏ ,88,32
8,اسے ایک خشک پسنہارے سے یا پتھر کے موسل سے پیس کر سفوف بنالیں۔,اسے    ایک    خشک    پسن ہ ارے    سے    یا    پتھر    کے    موس ل    سے    پی س    کر    س فو ف    بن ا لیں۔ ,48,22
9,پنجاب کے ہر شہر کی مختلف ترجیحات ہیں، جیسے امرتسر میں لوگ امرتسری کلچے، بھرواں پراٹھے اور دودھ کی مصنوعات کے خاص طور پر شوقین ہیں۔,پنجاب    کے    ہر    شہر    کی    مختلف    ترجی حات    ہیں،    جیسے    امر ت سر    میں    لوگ    امر ت سری    کل چ ے،    بھ رو اں    پرا ٹھے    اور    دودھ    کی    مصنوعات    کے    خاص    طور    پر    ش وق ین    ہیں۔ ,105,38
10,رام کو سادھو کے ساتھ بھیج دو، اور لکشمن کو بھی۔,رام    کو    سا دھ و    کے    ساتھ    بھیج    دو ،    اور    لکش من    کو    بھی ۔ ,37,16
11,لیکن منگل پانڈے کا دلیرانہ کارنامہ ایک اعلیٰ اور عظیم اصول کے تئیں لگن کے تحت انجام دیا گیا تھا۔,لیکن    منگ ل    پانڈ ے    کا    د لی ر انہ    کار نامہ    ایک    اعلیٰ    اور    عظیم    اصول    کے    ت ئیں    لگ ن    کے    تحت    انجام    دیا    گیا    تھا۔ ,77,28
12,ایک بار جب پیاز نیم شفاف ہو جائے، تو ہلدی کے پاؤڈر کے ساتھ مرینیٹ کیا ہوا مٹن شامل کرلیں اور کچھ دیر تک بھون لیں جب تک کہ پورے مصالحے مٹن میں جذب نہ ہوجائیں تقریباً 5-6 منٹ تک۔,ایک    بار    جب    پ یا ز    نیم    ش فا ف    ہو    جائے،    تو    ہل دی    کے    پاؤ ڈر    کے    ساتھ    مری نیٹ    کیا    ہوا    م ٹن    شامل    کر لیں    اور    کچھ    دیر    تک    بھ ون    لیں    جب    تک    کہ    پورے    مص ا ل ح ے    م ٹن    میں    جذ ب    نہ    ہو جائیں    تقریباً    5 - 6    منٹ    تک ۔ ,137,60
13,ہتوپدیشا، پرندوں، جانوروں اور انسانوں کے کرداروں کے ذریعے پیش کی گئی دنیوی حکمت کی ایک کتاب ہے۔,ہ تو پ دی ش ا،    پر ند وں،    جانوروں    اور    انسانوں    کے    کرداروں    کے    ذریعے    پیش    کی    گئی    د نی وی    حکمت    کی    ایک    کتاب    ہے۔ ,78,27
14,اس کتاب کا مقصد سنسکرت میں اظہار میں لیاقت اور دانشمندانہ رویے کے علم کو فروغ دینا معلوم ہوتا ہے۔,اس    کتاب    کا    مقصد    سنسکرت    میں    اظہار    میں    لی اق ت    اور    دان ش مند انہ    روی ے    کے    علم    کو    فروغ    دینا    معلوم    ہوتا    ہے۔ ,78,26
15,پروفیسر اسیت کمار بندیوپادھیائے نے 1994 اور 1995 میں اپنے آبائی شہر ہاوڑہ کی مکمل تاریخ مرتب کرنے میں رہنمایانہ کردار ادا کیا جس کا عنوان ہاوڑہ سہریر ایتیبریتو (پہلی اور دوسری جلد) ہے۔,پروفیسر    اس یت    کمار    بن دیو پ ادھ ی ائے    نے    1994    اور    1995    میں    اپنے    آب ائی    شہر    ہ او ڑ ہ    کی    مکمل    تاریخ    مر تب    کرنے    میں    رہ نمای انہ    کردار    ادا    کیا    جس    کا    عنوان    ہ او ڑ ہ    س ہری ر    ای تی بری تو    ( پہلی    اور    دوسری    جل د )    ہے۔ ,151,58
16,چیتیا ہال کے سامنے ایک نیم دائروی چیتیا محراب کی امتیازی خصوصیت نمایاں ہے جس کے ساتھ ایک کھلا فرنٹ ہے جس میں لکڑی کا اگواڑہ ہے اور بعض صورتوں میں کوئی غالب چیتیا محرابی کھڑکی نہیں ہے۔‏,چی ت یا    ہا ل    کے    سامنے    ایک    نیم    دائ رو ی    چی ت یا    مح را ب    کی    امت یا زی    خصوصیت    نمایاں    ہے    جس    کے    ساتھ    ایک    کھ لا    فر نٹ    ہے    جس    میں    لکڑی    کا    اگ وا ڑ ہ    ہے    اور    بعض    صورتوں    میں    کوئی    غ ا لب    چی ت یا    مح را بی    کھ ڑ کی    نہیں    ہے۔‏ ,147,62
17,'مہاراج' اور 'خانساماؤں' (جیسا کہ ہندوستان میں ماہر باورچیوں کو روایتی طور پر کہا جاتا رہا ہے) کی نسلوں نے صدیاں گزرنے کے ساتھ ساتھ ترکیبوں کو کامل ترین بنا دیا اور یہ ترکیبیں ہزاروں سالوں کے دوران شفوی روایت کے ذریعے منتقل ہوئی ہیں۔,' مہ ارا ج '    اور    ' خ انس ام اؤ ں '    ( جیسا    کہ    ہندوستان    میں    ماہر    با ور چی وں    کو    روایتی    طور    پر    کہا    جاتا    رہا    ہے )    کی    ن سلوں    نے    ص دیاں    گزرنے    کے    ساتھ    ساتھ    تر کی بوں    کو    ک امل    ترین    بنا    دیا    اور    یہ    تر کی بیں    ہزاروں    سا لوں    کے    دوران    ش ف وی    روایت    کے    ذریعے    منتقل    ہوئی    ہیں۔ ,189,70
18,تیاری روایتی طور پر واستا وازہ، یا صدر باورچی کے ذریعے، وازاؤں کی ایک جماعت یا باورچیوں کی مدد کے ساتھ کی جاتی ہے۔,تیاری    روایتی    طور    پر    واس تا    وا ز ہ،    یا    صدر    با ور چی    کے    ذریع ے،    وا ز اؤں    کی    ایک    جماعت    یا    با ور چی وں    کی    مدد    کے    ساتھ    کی    جاتی    ہے۔ ,91,35
19,پاو بھاجی: یہ مہاراشٹر کا ایک فاسٹ فوڈ پکوان ہے، جس میں گاڑھا سبزیوں کا سالن (بھاجی) ہوتا ہے جو عام طور پر مکھن میں بنایا جاتا ہے اور نرم روٹی کے رول (پاؤ) کے ساتھ پیش کیا جاتا ہے۔,پا و    بھا جی :    یہ    مہاراشٹر    کا    ایک    ف اس ٹ    فو ڈ    پکوان    ہے،    جس    میں    گا ڑھ ا    سب زی وں    کا    سا لن    ( بھا جی )    ہوتا    ہے    جو    عام    طور    پر    مکھ ن    میں    بنایا    جاتا    ہے    اور    نر م    رو ٹی    کے    رول    ( پاؤ )    کے    ساتھ    پیش    کیا    جاتا    ہے۔ ,141,59
20,لال دید اور حبہ خاتون کی کشمیری تصانیف اپنی صوفیانہ چاشنی اور کرب کے شدت اظہار لیے مشہور ہیں، راجستھانی میں میرابائی کی نظمیں انوکھے بھکتی معیار کے لیے جانی جاتی ہیں، تمل میں اندل کی باطنیت اور کنڑا میں اکا مہادیوی کی واچنائیں اس وقت کے ادب میں خواتین کی عظیم حصہ داری کی گواہ ہیں۔‏,لا ل    دید    اور    ح بہ    خاتون    کی    کش میری    تص انی ف    اپنی    ص و فی انہ    چ اش نی    اور    کر ب    کے    ش دت    اظہار    لیے    مشہور    ہیں،    راجستھ انی    میں    می راب ائی    کی    نظ میں    انو کھ ے    بھ ک تی    معیار    کے    لیے    جانی    جاتی    ہیں،    تمل    میں    اند ل    کی    با ط نی ت    اور    کن ڑا    میں    ا کا    مہا دیوی    کی    وا چن ائیں    اس    وقت    کے    ادب    میں    خواتین    کی    عظیم    حصہ    داری    کی    گوا ہ    ہیں۔‏ ,226,87
21,باگھ کے غار، جو بدھ مت کی دیواروں کی مصوری پر مشتمل ہیں، مدھیہ پردیش کے دھار ضلع سے 97 کلومیٹر کی دوری پر واقع ہیں۔‏,با گھ   کے    غ ار،    جو    بدھ    مت    کی    دیو اروں    کی    مص وری    پر    مشتمل    ہیں،    مدھیہ    پردیش    کے    دھ ار    ضلع    سے    9 7    کلومیٹر    کی    د وری    پر    واقع    ہیں۔‏ ,91,33
22,سنسکرت ادب میں لفظ مول کا عمومی معنیٰ کسی پودے یا درخت کی جڑ ہوتا ہے، لیکن تمثیلی طور پر، کسی بھی چیز کا پایہ، نچلا حصہ یا پیندا ہوتا ہے۔,سنسکرت    ادب    میں    لفظ    مول    کا    عمو می    مع نی ٰ    کسی    پودے    یا    درخت    کی    ج ڑ    ہوتا    ہے،    لیکن    تم ث ی لی    طور    پر،    کسی    بھی    چیز    کا    پ ای ہ،    نچ لا    حصہ    یا    پی ندا    ہوتا    ہے۔ ,107,42
23,وادی سندھ کی تہذیب مختلف شعبوں میں اپنی ٹکنالوجی کے علم کے لیے مشہور ہے۔‏,وادی    سندھ    کی    تہ ذی ب    مختلف    شع بوں    میں    اپنی    ٹک نا لو جی    کے    علم    کے    لیے    مشہور    ہے۔‏ ,59,21
24,سارے کورو مر جاتے ہیں؛ صرف پانچ پانڈو بھائی اور کرشن زندہ بچ جاتے ہیں۔,سارے    کور و    مر    جاتے    ہیں ؛    صرف    پانچ    پانڈ و    بھائی    اور    کرشن    زندہ    بچ    جاتے    ہیں۔ ,56,18
25,یہ جنگ اٹھارہ دن تک جاری رہتی ہے اور کورووں کی شکست کے ساتھ ختم ہوتی ہے۔‏,یہ    جنگ    اٹھ ارہ    دن    تک    جاری    رہتی    ہے    اور    کور و وں    کی    شکست    کے    ساتھ    ختم    ہوتی    ہے۔‏ ,57,20
26,مہابھارت کی مرکزی کہانی جدید دہلی کے شمال میں واقع ایک سلطنت ہستنا پورہ، جو بھرت کے نام سے معروف ایک قبیلے کی آبائی مملکت تھی، کے تخت کی جانشینی سے متعلق ایک تنازع ہے۔,مہا بھارت    کی    مرکزی    کہانی    جدید    دہلی    کے    ش ما ل    میں    واقع    ایک    سلطنت    ہ ست نا    پور ہ،    جو    بھر ت    کے    نام    سے    معروف    ایک    قبیلے    کی    آب ائی    م مل کت    تھی،    کے    تخت    کی    جان شی نی    سے    متعلق    ایک    تناز ع    ہے۔ ,133,48
27,کرناٹک میں سبزی خوروں کی تعداد گوشت خوروں کی تعداد سے زیادہ ہے؛ اس لیے، ان کے کھانے بنیادی طور پر نباتی پکوانوں پر مشتمل ہوتے ہیں۔,کرناٹک    میں    سب زی    خ وروں    کی    تعداد    گوشت    خ وروں    کی    تعداد    سے    زیادہ    ہے؛    اس    لیے،    ان    کے    کھانے    بنیادی    طور    پر    ن باتی    پکو انوں    پر    مشتمل    ہوتے    ہیں۔ ,104,32
28,اس کو سنجے جواب دیتا ہے، جو بتاتا ہے کہ میدان جنگ میں کیا ہو رہا ہے۔‏,اس    کو    سن جے    جواب    دیتا    ہے،    جو    بتاتا    ہے    کہ    میدان    جنگ    میں    کیا    ہو    رہا    ہے۔‏ ,53,18
29,تامل زبان میں پائے جانے والے دو رزمیے سیلاپتھکارم اور منی میکلئی ہیں۔,تامل    زبان    میں    پائے    جانے    وا لے    دو    ر زمی ے    سی لا پتھ کار م    اور    منی    می کل ئی    ہیں۔ ,57,22
30,اس خطے میں مرچ کے سفوف کا استعمال احتیاط کے ساتھ کیا جاتا ہے۔,اس    خطے    میں    مر چ    کے    س فو ف    کا    استع ما ل    احت یا ط    کے    ساتھ    کیا    جاتا    ہے۔ ,48,21
31,لفظ یوگا سنسکرت کی جڑ یوج سے ماخوذ ہے، جس کا مطلب ہے ملانا یا جوڑنا یا متحد کرنا۔,لفظ    یوگا    سنسکرت    کی    ج ڑ    یو ج    سے    ماخوذ    ہے،    جس    کا    مطلب    ہے    مل انا    یا    جوڑ نا    یا    متح د    کرن ا۔ ,63,25
32,آج کی اوڈیسی اڑیسہ کے مندر کی دیواروں پر تراشے گئے مختلف نقوش میں لامتناہی مجسموں سے ارتقا پذیر ہوئی ہے۔‏,آج    کی    اوڈی سی    اڑ ی سہ    کے    مندر    کی    دیو اروں    پر    ترا شے    گئے    مختلف    ن قو ش    میں    ل ام تن اہ ی    مجسم وں    سے    ار تق ا    پذیر    ہوئی    ہے۔‏ ,85,35
33,"وششٹ اب راجا کی طرف مڑا اور آہستہ سے کہا: ""مہاراج، ایک بار وعدہ کرکے انکار کرنا آپ پر نہیں جچتا ہے""۔","و ش ش ٹ    اب    راجا    کی    طرف    م ڑا    اور    آہستہ    سے    ک ہا :    "" مہ ارا ج،    ایک    بار    وع دہ    کرکے    انکار    کرنا    آپ    پر    نہیں    ج چ تا    ہے ""۔ ",79,35
34,جیسے ہی انھیں ارجن کی مایوسی کی حد کا احساس ہوتا ہے تب کرشن اپنا رویہ تبدیل کرتے ہیں اور اس دنیا میں دھارمک عمل کے اسرار سکھانا شروع کرتے ہیں۔‏,جیسے    ہی    انھ یں    ار جن    کی    مایوسی    کی    حد    کا    احساس    ہوتا    ہے    تب    کرشن    اپنا    رو یہ    تبدیل    کرتے    ہیں    اور    اس    دنیا    میں    دھ ار م ک    عمل    کے    اس رار    س کھانا    شروع    کرتے    ہیں۔‏ ,113,39
35,جیسے جیسے آپ برتن میں چاول کا آٹا ڈالتے ہیں، بیچ بیچ میں، آپ گھسے ہوئے ناریل کی تھوڑی سی مقدار بھی شامل کرسکتے ہیں۔,جیسے    جیسے    آپ    بر تن    میں    چاول    کا    آ ٹا    ڈا ل تے    ہیں،    بیچ    بیچ    میں،    آپ    گھ سے    ہوئے    نا ریل    کی    تھوڑی    سی    مقدار    بھی    شامل    کرسکتے    ہیں۔ ,91,31
36,آپ ایک اسطوانی برتن میں چمچ بھر گھسے ہوئے ناریل کو ڈال کر شروع کرسکتے ہیں اور پھر اچھی طرح سے ملایا ہوا چاول کا آٹا شامل کرسکتے ہیں۔,آپ    ایک    اس ط و انی    بر تن    میں    چم چ    بھر    گھ سے    ہوئے    نا ریل    کو    ڈا ل    کر    شروع    کرسکتے    ہیں    اور    پھر    اچھی    طرح    سے    مل ایا    ہوا    چاول    کا    آ ٹا    شامل    کرسکتے    ہیں۔ ,104,39
37,مہاراجا رنجیت سنگھ کے عطیے سے 1835 کے آس پاس ناندیڑ میں نفیس نقاشی والے ایک خوبصورت اور دلکش گرودوارے کی تعمیر عمل میں آئی جس میں ایک عظیم الشان سنہری گنبد تھا۔‏,مہ ارا جا    رن جیت    سنگھ    کے    ع طی ے    سے    18 35    کے    آس    پاس    ن ان دی ڑ    میں    ن فیس    نق اشی    وا لے    ایک    خوبصورت    اور    دل کش    گرو دو ارے    کی    تعمیر    عمل    میں    آئی    جس    میں    ایک    عظیم    ا ل ش ان    سن ہری    گن ب د    تھا۔‏ ,129,54
38,سام وید ان منتخبہ رُچاؤں کی تدوین ہے جنہیں ان کے مجوزہ چھندوں یا سُر کی بحروں کو برقرار رکھتے ہوئے سوراؤں میں ترتیب دیا گیا ہے۔,سام    وید    ان    منتخ بہ    ر ُ چ اؤں    کی    تد وین    ہے    جنہیں    ان    کے    م جو زہ    چھ ندوں    یا    س ُ ر    کی    بح روں    کو    برقرار    رکھتے    ہوئے    سور اؤں    میں    ترتیب    دیا    گیا    ہے۔ ,102,39
39,والمیکی کے کوشل راجدھانی کے بارے میں بیان سے یہ بات واضح ہے کہ قدیم ایودھیا ہمارے جدید شہروں سے کسی طرح بھی کم نہیں تھا۔‏‏,وا ل می کی    کے    کوش ل    راج دھ انی    کے    بارے    میں    بیان    سے    یہ    بات    واضح    ہے    کہ    قدیم    ایو دھ یا    ہمارے    جدید    شہروں    سے    کسی    طرح    بھی    کم    نہیں    تھا ۔ ‏ ‏ ,97,37
40,ایک بار یہ کہنے کے بعد کہ 'میں یہ کروں گا' آپ کے پاس اسے کرنے کے علاوہ کوئی اور متبادل نہیں رہ جاتا ہے۔‏,ایک    بار    یہ    کہ نے    کے    بعد    کہ    ' میں    یہ    کروں    گا '    آپ    کے    پاس    اسے    کرنے    کے    علاوہ    کوئی    اور    متبادل    نہیں    رہ    جاتا    ہے۔‏ ,80,28
41,حالیہ دنوں میں روپے کی شرح مبادلہ اور ہمارے زر مبادلہ کے ذخائر کی مقدار پر مختلف نظریات سامنے آئے ہیں۔,حا لیہ    دنوں    میں    روپے    کی    شرح    م باد لہ    اور    ہمارے    زر    م باد لہ    کے    ذخائر    کی    مقدار    پر    مختلف    نظ ریات    سامنے    آئے    ہیں۔ ,82,27
42,بینک، کریڈٹ انفارمیشن کمپنیوں (سی آئی سیز) کو خارج المیعاد ہونے کے طور پر رپورٹ کریں گے یا تعزیری الزامات عائد کریں گے، یعنی تاخیری ادائیگی کے الزام، وغیرہ، اگر کچھ ہیں تو صرف اس صورت میں کہ کریڈٹ کارڈ کھاتا تین دن سے زیادہ عرصے تک خارج المیعاد رہتا ہے۔,بی نک ،    کریڈٹ    ان فار می شن    کمپنیوں    ( سی    آ ئی    سی ز )    کو    خارج    ا ل می ع اد    ہونے    کے    طور    پر    رپورٹ    کریں    گے    یا    تع زی ری    ا لز امات    عائد    کریں    گے،    یعنی    تا خی ری    ادائیگی    کے    ا لز ام،    وغی رہ ،    اگر    کچھ    ہیں    تو    صرف    اس    صورت    میں    کہ    کریڈٹ    کارڈ    کھ اتا    تین    دن    سے    زیادہ    عرصے    تک    خارج    ا ل می ع اد    رہتا    ہے۔ ,204,79
43,ممالک اپنی مالیات کو بہتر بنانے کے لیے اندرونی براہ راست سرمایہ کاری کی حوصلہ افزائی کرسکتے ہیں۔‏,م ما لک    اپنی    ما لیات    کو    بہتر    بنانے    کے    لیے    اندرونی    براہ    راست    سرمایہ    کاری    کی    حوصلہ    اف ز ائی    کرسکتے    ہیں۔‏ ,80,23
