sentence_id,original,tokenized,char_count,token_count
1,"रूप म्हणजे, सेवेतील व्यक्तीशी संबंधित बूट, कपडे, टाय, दागिने, केशरचना, मेक-अप, घड्याळ, सौंदर्यप्रसाधने, अत्तर अशा अनेक विशेषतांचा समुच्चय असतो","रूप    म ्हण ज े,    सेव ेतील    व ्यक् ती शी    संबंधित    बू ट,    कपड े,    टा य,    दा गि ने,    के श रच ना,    मे क- अप ,    घड ्या ळ,    सौंदर ्यप ्र साध ने,    अ त् तर    अशा    अनेक    विशेष त ांचा    समु च् च य    असतो ",124,50
2,"महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ","महाराष ्ट ्राच ्या    औरंग ा बाद    जिल ्ह ्यातील    अ जिं ठ ्यात,    इ",45,15
3,स,स ,1,1
4,पू,पू ,2,1
5,पहिल्या शतकापासून ते इ,पहिल ्या    शतका पासून    ते    इ,19,6
6,स,स ,1,1
7,पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत,पाच व ्या    शतका पर ्यंतच ्या    शिल् प कृती    आणि    चित ्रे    यांनी    स ज वि लेली    ए कोण ती स    च ै त ्य    आणि    वि हार    लेणी    आहेत ,80,31
8,शारीर रंग बाह्यरेषेत विलीन होत असल्याने भरीवपणाचा परिणाम तयार होतो,श ार ीर    रंग    बाह ्य रे ष ेत    वि लीन    होत    असल ्याने    भ री व पण ाचा    परिणाम    तयार    होतो ,57,22
9,"अशोकाने शिल्पकृती आणि मोठ्या वास्तूंसाठी दगडांचा मुबलक वापर करायला सुरुवात केली, मात्र, पूर्वीच्या परंपरेत लाकूड आणि चिकणमातीच्या कामाचाच समावेश असे","अशो काने    शिल् प कृती    आणि    मोठ ्या    वास् तूं साठी    दगड ांचा    मु बल क    वापर    करायला    सुरुवात    केली,    मात ्र,    पूर् वीच ्या    परंपर ेत    ला कू ड    आणि    चि कण मात ीच ्या    काम ाच ाच    समावेश    असे ",129,41
10,"मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो","मसाल ्यांत    मि सळ लेले    ब टा टे    बे स नाच ्या    पात ळ    पि ठ ात    घो ळ व ून,    खूप    तेल ात    पूर् ण    त ळून    महाराष ्ट ्राचा    हा    च व दार    आणि    प ्रसिद् ध    खाद ्यपदार् थ    तयार    होतो ",114,44
11,"चेट्टिनाड पाककला ही तामीळनाडू राज्याच्या चेट्टीनाड प्रदेशातील, नट्टुकोटई चेट्टियार किंवा, ते स्वतःला संबोधतात त्याप्रमाणे, नगरथार नामक समुदायाची पाककला आहे","चे ट ्टि ना ड    पाक कला    ही    तामीळनाड ू    राज ्याच ्या    चे ट ्टी ना ड    प ्रदेश ात ील,    न ट ्ट ु कोट ई    चे ट ्टि यार    किं वा,    ते    स् वतःला    संबोध तात    त ्याप ्रमाणे,    नगर थ ार    नामक    समुदा याची    पाक कला    आहे ",137,51
12,"दालचिनी ही मुळात भारतातील आहे, आणि त्यामुळे तिचा वापर चव आणण्यासाठीचा घटक ते औषधी घटक, असा व्यापकरित्या होतो","द ाल चिनी    ही    मुळ ात    भारतातील    आहे,    आणि    त ्यामुळे    तिचा    वापर    च व    आणण ्या साठी चा    घटक    ते    औष धी    घट क,    असा    व ्याप करित ्या    होतो ",91,31
13,कोरड्या जात्यामध्ये किंवा दगडी खलबत्त्यामध्ये त्याची पूड तयार करा,कोर ड ्या    जात ्यामध ्ये    किंवा    द गडी    खल ब त् त ्यामध ्ये    त ्याची    पू ड    तयार    करा ,57,21
14,"पंजाबमधील प्रत्येक शहराची प्राधान्ये वेगवेगळी आहेत, जसे, अमृतसरचे लोक हे अमृतसरी कुलचे, भरलेले पराठे आणि दुग्धजन्य पदार्थ यांचे विशेष चाहते आहेत","पंजाब मधील    प ्रत ्येक    शहरा ची    प ्राधान ्ये    वेग वेगळी    आहेत,    ज स े,    अ मृत सर चे    लोक    हे    अ मृत सरी    कुल च े,    भर लेले    परा ठ े    आणि    दु ग् ध जन ्य    पदार् थ    यांचे    विशेष    चा ह ते    आहेत ",124,47
15,मुनींसोबत रामाला पाठवावे आणि लक्ष्मणाला देखील पाठवावे,मु नी ं सोबत    राम ाला    पाठ वा वे    आणि    लक् ष् मण ाला    देखील    पाठ वा वे ,47,18
16,पण मंगल पांडेची शौर्यशाली कृती ही एका उच्च आणि उदात्त तत्त्वाप्रतिच्या समर्पणातून केली गेली होती,पण    मंग ल    पांड े ची    श ौर ्य शाली    कृती    ही    एका    उच् च    आणि    उद ात् त    तत् त् वाप ्रति च ्या    समर् पण ातून    केली    गेली    होती ,82,31
