sentence_id,original,tokenized,char_count,token_count
1,"ರೂಪ-ವೇಷವೆಂಬುದು ಸೇವಾ ಸಿಬ್ಬಂದಿಗೆ ಸಂಬಂಧಿಸಿದ ಲಕ್ಷಣಗಳ ಸಮೂಹವಾಗಿದೆ, ಉದಾಹರಣೆಗೆ, ಅವರ ಪಾದರಕ್ಷೆಗಳು, ದಿರಿಸು, ಕಂಠಬಂಧ, ಆಭರಣಗಳು, ಕೇಶವಿನ್ಯಾಸ, ಅಲಂಕಾರ, ಕೈಗಡಿಯಾರ, ಸೌಂದರ್ಯವರ್ಧಕಗಳು, ಸುಗಂಧ ದ್ರವ್ಯ, ಮುಂತಾದವು","ರೂಪ - ವೇಷ ವೆಂಬ ುದು    ಸೇ ವಾ    ಸಿಬ್ಬಂದ ಿಗೆ    ಸಂಬಂಧಿಸಿದ    ಲಕ್ಷಣ ಗಳ    ಸಮೂಹ ವಾಗಿದೆ,    ಉದಾಹರಣೆಗೆ,    ಅವರ    ಪಾದ ರಕ್ಷ ೆಗಳು,    ದ ಿರ ಿಸ ು,    ಕಂ ಠ ಬಂಧ ,    ಆ ಭ ರಣ ಗಳು,    ಕೇಶ ವಿನ್ಯಾಸ ,    ಅಲಂ ಕಾರ ,    ಕೈ ಗಡಿಯ ಾರ ,    ಸೌ ಂದ ರ್ಯ ವರ್ಧ ಕ ಗಳು,    ಸ ುಗ ಂಧ   ದ್ರವ್ಯ ,    ಮುಂತ ಾದ ವು ",165,55
2,"ಮಹಾರಾಷ್ಟ್ರದ ಔರಂಗಾಬಾದ್‌ ಜಿಲ್ಲೆಯಲ್ಲಿರುವ ಅಜಂತಾ, ಸಾ","ಮಹಾರಾಷ್ಟ್ರ ದ    ಔರಂಗ ಾ ಬಾ ದ್‌    ಜಿಲ್ಲ ೆಯಲ್ಲಿರುವ    ಅ ಜ ಂತ ಾ,    ಸಾ ",43,13
3,ಶ,ಶ,1,1
4,ಪೂ,ಪ ೂ ,2,2
5,ಒಂದನೇ ಶತಮಾನದಿಂದ ಸಾ,ಒಂದನೇ    ಶತಮಾನ ದಿಂದ    ಸಾ ,16,4
6,ಶ,ಶ,1,1
7,ಐದನೇ ಶತಮಾನದವರೆಗಿನ ಅವಧಿಗೆ ಸೇರಿದ ಶಿಲ್ಪಗಳು ಮತ್ತು ವರ್ಣಚಿತ್ರಗಳಿಂದ ಅಲಂಕೃತವಾದ ಇಪ್ಪತ್ತೊಂಬತ್ತು ಚೈತ್ಯ ಹಾಗೂ ವಿಹಾರ ಗುಹೆಗಳನ್ನು ಹೊಂದಿದೆ,ಐದನೇ    ಶತಮಾನ ದ ವರೆಗಿನ    ಅವಧ ಿಗೆ    ಸೇರ ಿದ    ಶಿಲ್ಪ ಗಳು    ಮತ್ತು    ವರ್ಣ ಚಿತ್ರ ಗಳಿಂದ    ಅಲಂ ಕೃತ ವಾದ    ಇಪ್ಪ ತ್ತ ೊ ಂಬ ತ್ತು    ಚ ೈ ತ್ಯ    ಹಾಗೂ    ವಿ ಹಾರ   ಗುಹೆ ಗಳನ್ನು    ಹೊಂದಿದೆ ,108,31
8,ದೇಹದ ಬಣ್ಣವು ಹೊರ ರೇಖೆಯೊಂದಿಗೆ ಸಮ್ಮಿಳಿತವಾಗಿ ಶರೀರಗಾತ್ರದ ವಿಶೇಷ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ,ದೇಹದ    ಬಣ್ಣ ವು    ಹೊ ರ    ರೇಖ ೆಯೊಂದಿಗೆ    ಸ ಮ್ ಮಿ ಳ ಿತವಾಗಿ    ಶ ರೀ ರ ಗಾತ್ರ ದ    ವಿಶೇಷ    ಪರಿಣಾಮ ವನ್ನು    ಉಂಟು ಮಾಡ ುತ್ತದೆ ,75,23
9,"ಹಿಂದಿನ ಪದ್ಧತಿಯು ಮರ ಮತ್ತು ಜೇಡಿಮಣ್ಣಿನ ಬಳಕೆಯನ್ನು ಒಳಗೊಂಡಿತ್ತಾದರೆ, ಅಶೋಕನು ಶಿಲ್ಪಾಕೃತಿಗಳು ಹಾಗೂ ಬೃಹತ್ ಸ್ಮಾರಕಗಳ ನಿರ್ಮಾಣದಲ್ಲಿ ವ್ಯಾಪಕವಾಗಿ ಕಲ್ಲನ್ನು ಬಳಸಲು ಆರಂಭಿಸಿದನು","ಹಿಂದಿನ    ಪದ್ಧ ತಿಯು    ಮ ರ    ಮತ್ತು    ಜೇ ಡಿಮ ಣ್ಣ ಿನ    ಬಳಕ ೆಯನ್ನು    ಒಳಗೊಂಡ ಿತ್ತ ಾದ ರೆ,    ಅಶೋ ಕನು    ಶಿ ಲ್ ಪಾ ಕೃ ತಿಗಳು    ಹಾಗೂ    ಬೃಹತ್    ಸ್ಮಾರ ಕಗಳ    ನಿರ್ಮಾಣ ದಲ್ಲಿ    ವ್ಯಾಪಕವಾಗಿ    ಕಲ್ಲ ನ್ನು    ಬಳಸ ಲು    ಆರಂಭ ಿಸಿದನು ",136,36
10,"ಆಲೂಗೆಡ್ಡೆಗಳನ್ನು ಮಸಾಲೆಯೊಂದಿಗೆ ಬೆರೆಸಿ, ಕಡಲೆ ಹಿಟ್ಟಿನಲ್ಲಿ ಅದ್ದಿ, ಎಣ್ಣೆಯಲ್ಲಿ ಚೆನ್ನಾಗಿ ಕರಿಯುವ ಮೂಲಕ ಮಹಾರಾಷ್ಟ್ರದ ಈ ಸ್ವಾದಿಷ್ಟ ಹಾಗೂ ಜನಪ್ರಿಯ ತಿನಿಸನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ","ಆ ಲೂ ಗೆ ಡ್ ಡೆ ಗಳನ್ನು    ಮ ಸಾಲ ೆಯೊಂದಿಗೆ    ಬೆ ರೆಸ ಿ,    ಕಡ ಲೆ    ಹಿ ಟ್ಟ ಿನಲ್ಲಿ    ಅದ ್ದ ಿ,    ಎ ಣ್ಣ ೆಯಲ್ಲಿ    ಚೆನ್ನ ಾಗಿ    ಕರ ಿಯ ುವ    ಮೂಲಕ    ಮಹಾರಾಷ್ಟ್ರ ದ    ಈ    ಸ್ವಾ ದಿ ಷ್ಟ    ಹಾಗೂ    ಜನಪ್ರಿಯ    ತಿ ನಿಸ ನ್ನು    ತಯಾರ ಿಸಲಾಗುತ್ತದೆ ",139,42
11,"ಚೆಟ್ಟಿನಾಡ್‌ ಆಹಾರಪದ್ಧತಿಯು ತಮಿಳುನಾಡು ರಾಜ್ಯದ ಚೆಟ್ಟಿನಾಡು ಪ್ರದೇಶಕ್ಕೆ ಸೇರಿದವರಾದ, ತಮ್ಮನ್ನು ತಾವು ನಗರತ್ತಾರರೆಂದು ಕರೆದುಕೊಳ್ಳುವ ನಾಟ್ಟುಕೋಟ್ಟೈ ಚೆಟ್ಟಿಯಾರ್‌ ಎಂಬ ಸಮುದಾಯದವರ ಆಹಾರ ಪದ್ಧತಿಯಾಗಿದೆ","ಚೆ ಟ್ಟಿ ನಾಡ ್‌    ಆಹಾರ ಪದ್ಧ ತಿಯು    ತಮಿಳುನಾ ಡು    ರಾಜ್ಯದ    ಚೆ ಟ್ಟಿ ನಾಡ ು    ಪ್ರದೇಶ ಕ್ಕೆ    ಸೇರಿದ ವ ರಾದ ,    ತಮ್ಮನ್ನು    ತಾವು    ನಗರ ತ್ತ ಾರ ರೆಂದು    ಕರೆದ ುಕೊಳ್ಳ ುವ    ನಾ ಟ್ಟ ು ಕೋ ಟ್ಟ ೈ    ಚೆ ಟ್ಟ ಿಯಾ ರ್‌    ಎಂಬ    ಸಮುದಾಯ ದ ವರ    ಆಹಾರ    ಪದ್ಧ ತಿಯ ಾಗಿದೆ ",156,47
