sentence_index,original_sentence,tokenized_sentence,token_count
1,"सेवापुरुषस्य दर्शनीयता नाम तस्य पादुकाः, वस्त्राणि, टै, आभूषणानि, केशविन्यासः, प्रसाधनं, घटी, सौन्दर्यवर्धकं, सुगन्धद्रव्यम् इत्यादयः लक्षणविशेषाः भवन्ति","सेवा पुरुष स्य   दर्श नीय ता   नाम   तस्य   पा दु काः,   व स्त्राणि ,   टै ,   आ भूष णानि ,   के श विन्या सः,   प्रसा धनं ,   घ टी ,   सौ न्द र्य वर्ध कं,   सु ग न्ध द्र व्य म्   इत्यादयः   लक्ष ण विशे षाः   भवन्ति",47
2,"महाराष्ट्रस्य औरङ्गाबाद्-मण्डले वर्तमाने अजन्ता-प्रदेशे एकोनत्रिंशत् चैत्याः विहारगुहाश्च सन्ति, याश्च सा","महाराष्ट्र स्य   औ र ङ्गा बाद् -मण्डले   वर्तमा ने   अ ज न्ता -प्रदेशे   ए को न त्रिं श त्   चै त्याः   वि हार गुहा श्च   सन्ति,   या श्च   सा",29
3,श,श,1
4,पू,पू,1
5,प्रथमशताब्दात् सा,प्रथम शता ब्दा त्   सा,5
6,श,श,1
7,"पञ्चमशताब्दपर्यन्तस्य कालस्य शिल्पैः, भित्तिचित्रैः च अलङ्कृताः","पञ्च म शताब्द पर्यन्त स्य   कालस्य   शि ल्पैः ,   भि त्ति चि त्रैः   च   अ ल ङ्कृ ताः",18
8,शरीरवर्णः बाह्यरेखया मिलित्वा घनाकारवत् परिणमते,शरी र व र्णः   बा ह्य रे ख या   मिलित्वा   घ ना कार वत्   परि ण म ते,18
9,"अशोकः शिल्पानां महास्मारकानां च अधिकतया पाषाणम् उपयोक्तुं प्रारभत, यद्यपि पूर्वपरम्परायां काष्ठ-कर्दमाभ्यां तत्कार्यम् अकुर्वन्","अशो कः   शि ल्पा नां   महा स्मार कानां   च   अधिकतया   पा षा णम्   उपयोक्तुं   प्रार भ त ,   यद्यपि   पूर्व परम्परा यां   का ष्ठ -क र्द मा भ्यां   त त्का र्य म्   अ कुर्वन्",34
10,"आलुकम् उपस्करैः मिश्रीकृत्य, बेसन्-पेषणे निमज्य, परिपक्वतया तीव्रभर्जनं च कृत्वा महाराष्ट्रस्य स्वादु प्रसिद्धं च भक्ष्यं सिद्ध्यते","आ लु कम्   उप स्क रैः   मि श्री कृत्य ,   बे स न्- पे ष णे   निम ज्य ,   परि प क्व तया   तीव्र भ र्ज नं   च   कृत्वा   महाराष्ट्र स्य   स्वा दु   प्रसिद्धं   च   भ क्ष्यं   सि द्ध्य ते",40
