original,tokenized,token_count,word_count
ظاہری صورت ملازم سے متعلق خصوصیات کا مجموعہ ہوتی ہے، جیسے ان کے جوتے، کپڑے، ٹائی، زیورات، بالوں کا انداز، میک اپ، گھڑی، کاسمیٹکس، عطر، وغیرہ۔,ظ ا ہ ر ی   ص و ر ت   م ل ا ز م   س ے   م ت ع ل ق   خ ص و ص ی ا ت   ک ا   م ج م و ع ہ   ہ و ت ی   ہ ے ،   ج ی س ے   ا ن   ک ے   ج و ت ے ،   ک پ ڑ ے ،   ٹ ا ئ ی ،   ز ی و ر ا ت ،   ب ا ل و ں   ک ا   ا ن د ا ز ،   م ی ک   ا پ ،   گ ھ ڑ ی ،   ک ا س م ی ٹ ک س ،   ع ط ر ،   و غ ی ر ہ ۔,116,26
اجنتا، جو مہاراشٹر کے اورنگ آباد ضلع میں واقع ہے، کے انتیس چیتیا اور وہارا غار ہیں جو پہلی صدی قبل مسیح سے پانچویں صدی عیسوی تک کے مجسموں اور پینٹگز سے مزین ہیں۔,ا ج ن ت ا ،   ج و   م ہ ا ر ا ش ٹ ر   ک ے   ا و ر ن گ   آ ب ا د   ض ل ع   م ی ں   و ا ق ع   ہ ے ،   ک ے   ا ن ت ی س   چ ی ت ی ا   ا و ر   و ہ ا ر ا   غ ا ر   ہ ی ں   ج و   پ ہ ل ی   ص د ی   ق ب ل   م س ی ح   س ے   پ ا ن چ و ی ں   ص د ی   ع ی س و ی   ت ک   ک ے   م ج س م و ں   ا و ر   پ ی ن ٹ گ ز   س ے   م ز ی ن   ہ ی ں ۔,128,34
جسمانی رنگ بیرونی خط کے ساتھ ضم ہوجاتا ہے، جس سے حجم کا اثر پیدا ہوتا ہے۔‏,ج س م ا ن ی   ر ن گ   ب ی ر و ن ی   خ ط   ک ے   س ا ت ھ   ض م   ہ و ج ا ت ا   ہ ے ،   ج س   س ے   ح ج م   ک ا   ا ث ر   پ ی د ا   ہ و ت ا   ہ ے ۔ ‏,58,17
اشوک نے مجسموں اور عظیم یادگاروں کے لیے پتھر کا وسیع پیمانے پر استعمال کرنا شروع کیا، جبکہ گذشتہ روایت لکڑی اور مٹی کے ساتھ کام کرنے پر مشتمل تھی۔‏,ا ش و ک   ن ے   م ج س م و ں   ا و ر   ع ظ ی م   ی ا د گ ا ر و ں   ک ے   ل ی ے   پ ت ھ ر   ک ا   و س ی ع   پ ی م ا ن ے   پ ر   ا س ت ع م ا ل   ک ر ن ا   ش ر و ع   ک ی ا ،   ج ب ک ہ   گ ذ ش ت ہ   ر و ا ی ت   ل ک ڑ ی   ا و ر   م ٹ ی   ک ے   س ا ت ھ   ک ا م   ک ر ن ے   پ ر   م ش ت م ل   ت ھ ی ۔ ‏,118,30
مصالحے ملے ہوئے آلووؑں کو، بیسن کے آٹے میں لپیٹ کر اچھی طرح گہرے برتن میں تل کر مہاراشٹر کی یہ مزیدار اور مشہور ڈش بنائی جاتی ہے۔‏,م ص ا ل ح ے   م ل ے   ہ و ئ ے   آ ل و و ؑ ں   ک و ،   ب ی س ن   ک ے   آ ٹ ے   م ی ں   ل پ ی ٹ   ک ر   ا چ ھ ی   ط ر ح   گ ہ ر ے   ب ر ت ن   م ی ں   ت ل   ک ر   م ہ ا ر ا ش ٹ ر   ک ی   ی ہ   م ز ی د ا ر   ا و ر   م ش ہ و ر   ڈ ش   ب ن ا ئ ی   ج ا ت ی   ہ ے ۔ ‏,103,28
چیٹیناڈ پکوان ریاست تامل ناڈو کے چیٹیناڈ علاقے سے تعلق رکھنے والی ایک برادری کا پکوان ہے جسے ناٹوکوٹئی چیٹیار کہا جاتا ہے، یا ناگراتھر، جیسا کہ وہ خود کو کہتے ہیں۔,چ ی ٹ ی ن ا ڈ   پ ک و ا ن   ر ی ا س ت   ت ا م ل   ن ا ڈ و   ک ے   چ ی ٹ ی ن ا ڈ   ع ل ا ق ے   س ے   ت ع ل ق   ر ک ھ ن ے   و ا ل ی   ا ی ک   ب ر ا د ر ی   ک ا   پ ک و ا ن   ہ ے   ج س ے   ن ا ٹ و ک و ٹ ئ ی   چ ی ٹ ی ا ر   ک ہ ا   ج ا ت ا   ہ ے ،   ی ا   ن ا گ ر ا ت ھ ر ،   ج ی س ا   ک ہ   و ہ   خ و د   ک و   ک ہ ت ے   ہ ی ں ۔,132,32
دار چینی ہندوستان کی مقامی ہے اور اس بنا پر اس کا استعمال ذائقہ بڑھانے سے لے کر دواؤں کے عامل کے طور پر ہوتا ہے۔‏,د ا ر   چ ی ن ی   ہ ن د و س ت ا ن   ک ی   م ق ا م ی   ہ ے   ا و ر   ا س   ب ن ا   پ ر   ا س   ک ا   ا س ت ع م ا ل   ذ ا ئ ق ہ   ب ڑ ھ ا ن ے   س ے   ل ے   ک ر   د و ا ؤ ں   ک ے   ع ا م ل   ک ے   ط و ر   پ ر   ہ و ت ا   ہ ے ۔ ‏,88,26
اسے ایک خشک پسنہارے سے یا پتھر کے موسل سے پیس کر سفوف بنالیں۔,ا س ے   ا ی ک   خ ش ک   پ س ن ہ ا ر ے   س ے   ی ا   پ ت ھ ر   ک ے   م و س ل   س ے   پ ی س   ک ر   س ف و ف   ب ن ا ل ی ں ۔,48,14
پنجاب کے ہر شہر کی مختلف ترجیحات ہیں، جیسے امرتسر میں لوگ امرتسری کلچے، بھرواں پراٹھے اور دودھ کی مصنوعات کے خاص طور پر شوقین ہیں۔,پ ن ج ا ب   ک ے   ہ ر   ش ہ ر   ک ی   م خ ت ل ف   ت ر ج ی ح ا ت   ہ ی ں ،   ج ی س ے   ا م ر ت س ر   م ی ں   ل و گ   ا م ر ت س ر ی   ک ل چ ے ،   ب ھ ر و ا ں   پ ر ا ٹ ھ ے   ا و ر   د و د ھ   ک ی   م ص ن و ع ا ت   ک ے   خ ا ص   ط و ر   پ ر   ش و ق ی ن   ہ ی ں ۔,105,26
رام کو سادھو کے ساتھ بھیج دو، اور لکشمن کو بھی۔,ر ا م   ک و   س ا د ھ و   ک ے   س ا ت ھ   ب ھ ی ج   د و ،   ا و ر   ل ک ش م ن   ک و   ب ھ ی ۔,37,11
