sentence_id,original,tokenized,char_count,token_count
1,"ರೂಪ-ವೇಷವೆಂಬುದು ಸೇವಾ ಸಿಬ್ಬಂದಿಗೆ ಸಂಬಂಧಿಸಿದ ಲಕ್ಷಣಗಳ ಸಮೂಹವಾಗಿದೆ, ಉದಾಹರಣೆಗೆ, ಅವರ ಪಾದರಕ್ಷೆಗಳು, ದಿರಿಸು, ಕಂಠಬಂಧ, ಆಭರಣಗಳು, ಕೇಶವಿನ್ಯಾಸ, ಅಲಂಕಾರ, ಕೈಗಡಿಯಾರ, ಸೌಂದರ್ಯವರ್ಧಕಗಳು, ಸುಗಂಧ ದ್ರವ್ಯ, ಮುಂತಾದವು","ರ ೂ ಪ - ವ ೇ ಷ ವ ೆ ಂ ಬ ು ದ ು   ಸ ೇ ವ ಾ   ಸ ಿ ಬ ್ ಬ ಂ ದ ಿ ಗ ೆ   ಸ ಂ ಬ ಂ ಧ ಿ ಸ ಿ ದ   ಲ ಕ ್ ಷ ಣ ಗ ಳ   ಸ ಮ ೂ ಹ ವ ಾ ಗ ಿ ದ ೆ ,   ಉ ದ ಾ ಹ ರ ಣ ೆ ಗ ೆ ,   ಅ ವ ರ   ಪ ಾ ದ ರ ಕ ್ ಷ ೆ ಗ ಳ ು ,   ದ ಿ ರ ಿ ಸ ು ,   ಕ ಂ ಠ ಬ ಂ ಧ ,   ಆ ಭ ರ ಣ ಗ ಳ ು ,   ಕ ೇ ಶ ವ ಿ ನ ್ ಯ ಾ ಸ ,   ಅ ಲ ಂ ಕ ಾ ರ ,   ಕ ೈ ಗ ಡ ಿ ಯ ಾ ರ ,   ಸ ೌ ಂ ದ ರ ್ ಯ ವ ರ ್ ಧ ಕ ಗ ಳ ು ,   ಸ ು ಗ ಂ ಧ   ದ ್ ರ ವ ್ ಯ ,   ಮ ು ಂ ತ ಾ ದ ವ ು",165,183
2,"ಮಹಾರಾಷ್ಟ್ರದ ಔರಂಗಾಬಾದ್‌ ಜಿಲ್ಲೆಯಲ್ಲಿರುವ ಅಜಂತಾ, ಸಾ","ಮ ಹ ಾ ರ ಾ ಷ ್ ಟ ್ ರ ದ   ಔ ರ ಂ ಗ ಾ ಬ ಾ ದ ್ ‌   ಜ ಿ ಲ ್ ಲ ೆ ಯ ಲ ್ ಲ ಿ ರ ು ವ   ಅ ಜ ಂ ತ ಾ ,   ಸ ಾ",43,47
3,ಶ,ಶ,1,1
4,ಪೂ,ಪ ೂ,2,2
5,ಒಂದನೇ ಶತಮಾನದಿಂದ ಸಾ,ಒ ಂ ದ ನ ೇ   ಶ ತ ಮ ಾ ನ ದ ಿ ಂ ದ   ಸ ಾ,16,18
6,ಶ,ಶ,1,1
7,ಐದನೇ ಶತಮಾನದವರೆಗಿನ ಅವಧಿಗೆ ಸೇರಿದ ಶಿಲ್ಪಗಳು ಮತ್ತು ವರ್ಣಚಿತ್ರಗಳಿಂದ ಅಲಂಕೃತವಾದ ಇಪ್ಪತ್ತೊಂಬತ್ತು ಚೈತ್ಯ ಹಾಗೂ ವಿಹಾರ ಗುಹೆಗಳನ್ನು ಹೊಂದಿದೆ,ಐ ದ ನ ೇ   ಶ ತ ಮ ಾ ನ ದ ವ ರ ೆ ಗ ಿ ನ   ಅ ವ ಧ ಿ ಗ ೆ   ಸ ೇ ರ ಿ ದ   ಶ ಿ ಲ ್ ಪ ಗ ಳ ು   ಮ ತ ್ ತ ು   ವ ರ ್ ಣ ಚ ಿ ತ ್ ರ ಗ ಳ ಿ ಂ ದ   ಅ ಲ ಂ ಕ ೃ ತ ವ ಾ ದ   ಇ ಪ ್ ಪ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು   ಚ ೈ ತ ್ ಯ   ಹ ಾ ಗ ೂ   ವ ಿ ಹ ಾ ರ   ಗ ು ಹ ೆ ಗ ಳ ನ ್ ನ ು   ಹ ೊ ಂ ದ ಿ ದ ೆ,108,121
8,ದೇಹದ ಬಣ್ಣವು ಹೊರ ರೇಖೆಯೊಂದಿಗೆ ಸಮ್ಮಿಳಿತವಾಗಿ ಶರೀರಗಾತ್ರದ ವಿಶೇಷ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ,ದ ೇ ಹ ದ   ಬ ಣ ್ ಣ ವ ು   ಹ ೊ ರ   ರ ೇ ಖ ೆ ಯ ೊ ಂ ದ ಿ ಗ ೆ   ಸ ಮ ್ ಮ ಿ ಳ ಿ ತ ವ ಾ ಗ ಿ   ಶ ರ ೀ ರ ಗ ಾ ತ ್ ರ ದ   ವ ಿ ಶ ೇ ಷ   ಪ ರ ಿ ಣ ಾ ಮ ವ ನ ್ ನ ು   ಉ ಂ ಟ ು ಮ ಾ ಡ ು ತ ್ ತ ದ ೆ,75,83
9,"ಹಿಂದಿನ ಪದ್ಧತಿಯು ಮರ ಮತ್ತು ಜೇಡಿಮಣ್ಣಿನ ಬಳಕೆಯನ್ನು ಒಳಗೊಂಡಿತ್ತಾದರೆ, ಅಶೋಕನು ಶಿಲ್ಪಾಕೃತಿಗಳು ಹಾಗೂ ಬೃಹತ್ ಸ್ಮಾರಕಗಳ ನಿರ್ಮಾಣದಲ್ಲಿ ವ್ಯಾಪಕವಾಗಿ ಕಲ್ಲನ್ನು ಬಳಸಲು ಆರಂಭಿಸಿದನು","ಹ ಿ ಂ ದ ಿ ನ   ಪ ದ ್ ಧ ತ ಿ ಯ ು   ಮ ರ   ಮ ತ ್ ತ ು   ಜ ೇ ಡ ಿ ಮ ಣ ್ ಣ ಿ ನ   ಬ ಳ ಕ ೆ ಯ ನ ್ ನ ು   ಒ ಳ ಗ ೊ ಂ ಡ ಿ ತ ್ ತ ಾ ದ ರ ೆ ,   ಅ ಶ ೋ ಕ ನ ು   ಶ ಿ ಲ ್ ಪ ಾ ಕ ೃ ತ ಿ ಗ ಳ ು   ಹ ಾ ಗ ೂ   ಬ ೃ ಹ ತ ್   ಸ ್ ಮ ಾ ರ ಕ ಗ ಳ   ನ ಿ ರ ್ ಮ ಾ ಣ ದ ಲ ್ ಲ ಿ   ವ ್ ಯ ಾ ಪ ಕ ವ ಾ ಗ ಿ   ಕ ಲ ್ ಲ ನ ್ ನ ು   ಬ ಳ ಸ ಲ ು   ಆ ರ ಂ ಭ ಿ ಸ ಿ ದ ನ ು",136,152
10,"ಆಲೂಗೆಡ್ಡೆಗಳನ್ನು ಮಸಾಲೆಯೊಂದಿಗೆ ಬೆರೆಸಿ, ಕಡಲೆ ಹಿಟ್ಟಿನಲ್ಲಿ ಅದ್ದಿ, ಎಣ್ಣೆಯಲ್ಲಿ ಚೆನ್ನಾಗಿ ಕರಿಯುವ ಮೂಲಕ ಮಹಾರಾಷ್ಟ್ರದ ಈ ಸ್ವಾದಿಷ್ಟ ಹಾಗೂ ಜನಪ್ರಿಯ ತಿನಿಸನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ","ಆ ಲ ೂ ಗ ೆ ಡ ್ ಡ ೆ ಗ ಳ ನ ್ ನ ು   ಮ ಸ ಾ ಲ ೆ ಯ ೊ ಂ ದ ಿ ಗ ೆ   ಬ ೆ ರ ೆ ಸ ಿ ,   ಕ ಡ ಲ ೆ   ಹ ಿ ಟ ್ ಟ ಿ ನ ಲ ್ ಲ ಿ   ಅ ದ ್ ದ ಿ ,   ಎ ಣ ್ ಣ ೆ ಯ ಲ ್ ಲ ಿ   ಚ ೆ ನ ್ ನ ಾ ಗ ಿ   ಕ ರ ಿ ಯ ು ವ   ಮ ೂ ಲ ಕ   ಮ ಹ ಾ ರ ಾ ಷ ್ ಟ ್ ರ ದ   ಈ   ಸ ್ ವ ಾ ದ ಿ ಷ ್ ಟ   ಹ ಾ ಗ ೂ   ಜ ನ ಪ ್ ರ ಿ ಯ   ತ ಿ ನ ಿ ಸ ನ ್ ನ ು   ತ ಯ ಾ ರ ಿ ಸ ಲ ಾ ಗ ು ತ ್ ತ ದ ೆ",139,155
11,"ಚೆಟ್ಟಿನಾಡ್‌ ಆಹಾರಪದ್ಧತಿಯು ತಮಿಳುನಾಡು ರಾಜ್ಯದ ಚೆಟ್ಟಿನಾಡು ಪ್ರದೇಶಕ್ಕೆ ಸೇರಿದವರಾದ, ತಮ್ಮನ್ನು ತಾವು ನಗರತ್ತಾರರೆಂದು ಕರೆದುಕೊಳ್ಳುವ ನಾಟ್ಟುಕೋಟ್ಟೈ ಚೆಟ್ಟಿಯಾರ್‌ ಎಂಬ ಸಮುದಾಯದವರ ಆಹಾರ ಪದ್ಧತಿಯಾಗಿದೆ","ಚ ೆ ಟ ್ ಟ ಿ ನ ಾ ಡ ್ ‌   ಆ ಹ ಾ ರ ಪ ದ ್ ಧ ತ ಿ ಯ ು   ತ ಮ ಿ ಳ ು ನ ಾ ಡ ು   ರ ಾ ಜ ್ ಯ ದ   ಚ ೆ ಟ ್ ಟ ಿ ನ ಾ ಡ ು   ಪ ್ ರ ದ ೇ ಶ ಕ ್ ಕ ೆ   ಸ ೇ ರ ಿ ದ ವ ರ ಾ ದ ,   ತ ಮ ್ ಮ ನ ್ ನ ು   ತ ಾ ವ ು   ನ ಗ ರ ತ ್ ತ ಾ ರ ರ ೆ ಂ ದ ು   ಕ ರ ೆ ದ ು ಕ ೊ ಳ ್ ಳ ು ವ   ನ ಾ ಟ ್ ಟ ು ಕ ೋ ಟ ್ ಟ ೈ   ಚ ೆ ಟ ್ ಟ ಿ ಯ ಾ ರ ್ ‌   ಎ ಂ ಬ   ಸ ಮ ು ದ ಾ ಯ ದ ವ ರ   ಆ ಹ ಾ ರ   ಪ ದ ್ ಧ ತ ಿ ಯ ಾ ಗ ಿ ದ ೆ",156,172
