sentence_index,original_sentence,tokenized_sentence,token_count
1,"ꯁꯛꯐꯝ ꯍꯥꯏꯕꯁꯤ ꯊꯕꯛ ꯇꯧꯕ ꯃꯤ ꯑꯗꯨꯒ ꯃꯔꯤ ꯂꯩꯅꯕ ꯃꯈꯣꯏꯒꯤ ꯈꯣꯡꯉꯨꯞ, ꯐꯤꯔꯣꯟ, ꯇꯥꯏ, ꯁꯅꯥ-ꯂꯨꯄ, ꯁꯝꯒꯤ ꯃꯑꯣꯡ, ꯀꯦꯕ, ꯘꯔꯤ, ꯀꯦꯅꯕ ꯄꯣꯠꯆꯩ, ꯄꯔꯐ꯭ꯌꯨꯝꯒꯨꯝꯕ ꯃꯒꯨꯟ ꯀꯌꯥꯑꯃꯅꯤ꯫","ꯁꯛ ꯐꯝ   ꯍꯥꯏꯕꯁꯤ   ꯊꯕꯛ   ꯇꯧꯕ   ꯃꯤ   ꯑꯗꯨꯒ   ꯃꯔꯤ   ꯂꯩꯅꯕ   ꯃꯈꯣꯏꯒꯤ   ꯈꯣꯡ ꯉꯨꯞ ,   ꯐꯤ ꯔꯣꯟ ,   ꯇꯥꯏ ,   ꯁꯅꯥ - ꯂꯨ ꯄ ,   ꯁꯝ ꯒꯤ   ꯃꯑꯣꯡ ,   ꯀꯦ ꯕ,   ꯘ ꯔꯤ,   ꯀꯦ ꯅꯕ   ꯄꯣꯠ ꯆꯩ ,   ꯄꯔ ꯐ꯭ꯌꯨꯝ ꯒꯨꯝꯕ   ꯃ ꯒꯨꯟ   ꯀꯌꯥ ꯑꯃꯅꯤ꯫</w>",43
2,ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯑꯣꯔꯪꯒꯥꯕꯥꯗ ꯖꯤꯂꯥꯗ ꯂꯩꯕ ꯑꯖꯟꯇꯥꯗ ꯆꯥꯏꯇ꯭ꯌꯥ ꯀꯨꯟꯃꯥꯄꯟ ꯑꯃꯁꯨꯡ ꯍꯛꯇꯨꯟ ꯃꯤꯇꯝ ꯇꯝꯕꯁꯤꯡꯒ ꯈ꯭ꯔꯤꯁꯇ ꯑꯍꯥꯟꯕ ꯆꯍꯤ ꯆꯥꯗꯒꯤ ꯃꯉꯥꯁꯨꯕ ꯆꯍꯤ ꯆꯥ ꯐꯥꯎꯕꯗꯒꯤ ꯑꯣꯏꯕ ꯑꯌꯦꯛꯄ ꯂꯥꯏꯁꯤꯡꯅ ꯀꯦꯔꯕ ꯚꯤꯍꯥꯔꯥ ꯁꯨꯔꯥꯡꯁꯤꯡ ꯂꯩ꯫,ꯃꯍꯥ ꯔꯥꯁꯇ꯭ꯔ ꯒꯤ   ꯑꯣ ꯔꯪ ꯒꯥ ꯕꯥꯗ   ꯖꯤꯂꯥ ꯗ   ꯂꯩꯕ   ꯑ ꯖꯟ ꯇꯥ ꯗ   ꯆꯥꯏ ꯇ꯭ꯌꯥ   ꯀꯨꯟ ꯃꯥꯄꯟ   ꯑꯃꯁꯨꯡ   ꯍꯛ ꯇꯨꯟ   ꯃꯤ ꯇꯝ   ꯇꯝꯕ ꯁꯤꯡꯒ   ꯈ꯭ꯔꯤꯁꯇ   ꯑꯍꯥꯟꯕ   ꯆꯍꯤ   ꯆꯥ ꯗꯒꯤ   ꯃꯉꯥ ꯁꯨꯕ   ꯆꯍꯤ   ꯆꯥ   ꯐꯥꯎꯕ ꯗꯒꯤ   ꯑꯣꯏꯕ   ꯑ ꯌꯦꯛꯄ   ꯂꯥꯏ ꯁꯤꯡꯅ   ꯀꯦ ꯔꯕ   ꯚꯤ ꯍꯥ ꯔꯥ   ꯁꯨ ꯔꯥꯡ ꯁꯤꯡ   ꯂꯩ꯫</w>,50
3,ꯍꯛꯆꯥꯡꯒꯤ ꯃꯆꯨ ꯑꯁꯤ ꯃꯄꯥꯟ ꯊꯪꯕ ꯂꯥꯏꯒ ꯄꯨꯟꯁꯟꯗꯨꯅ ꯆꯥꯡꯗ ꯏꯊꯤꯜ ꯄꯤꯕ ꯊꯣꯛꯍꯜꯂꯤ꯫,ꯍꯛꯆꯥꯡ ꯒꯤ   ꯃꯆꯨ   ꯑꯁꯤ   ꯃꯄꯥꯟ   ꯊꯪꯕ   ꯂꯥꯏ ꯒ   ꯄꯨꯟ ꯁꯟ ꯗꯨꯅ   ꯆꯥꯡ ꯗ   ꯏꯊꯤꯜ   ꯄꯤꯕ   ꯊꯣꯛꯍꯜꯂꯤ꯫</w>,16
4,"ꯍꯛꯇꯨꯅ ꯃꯤꯇꯝ ꯁꯦꯝꯕ ꯑꯃꯁꯨꯡ ꯑꯐꯥꯎꯕ ꯅꯤꯡꯁꯤꯡ ꯈꯨꯗꯝꯁꯤꯡ ꯑꯁꯤꯗ ꯄꯥꯛ ꯁꯟꯅ ꯅꯨꯡ ꯁꯤꯖꯤꯟꯅꯕꯁꯤ ꯑꯁꯣꯀꯥꯅ ꯍꯧꯗꯣꯛꯈꯤꯕꯅꯤ, ꯃꯃꯥꯡꯒꯤ ꯆꯠꯅꯕꯤꯗꯗꯤ ꯎ ꯑꯃꯁꯨꯡ ꯂꯩꯈꯣꯝ ꯁꯤꯖꯟꯅꯔꯝꯃꯤ꯫","ꯍꯛꯇꯨꯅ   ꯃꯤ ꯇꯝ   ꯁꯦꯝꯕ   ꯑꯃꯁꯨꯡ   ꯑ ꯐꯥꯎꯕ   ꯅꯤꯡꯁꯤꯡ   ꯈꯨꯗꯝ ꯁꯤꯡ   ꯑꯁꯤꯗ   ꯄꯥꯛ   ꯁꯟꯅ   ꯅꯨꯡ   ꯁꯤꯖꯤꯟꯅꯕ ꯁꯤ   ꯑꯁꯣꯀꯥ ꯅ   ꯍꯧꯗꯣꯛ ꯈꯤꯕ ꯅꯤ,   ꯃꯃꯥꯡ ꯒꯤ   ꯆꯠꯅꯕꯤ ꯗꯗꯤ   ꯎ   ꯑꯃꯁꯨꯡ   ꯂꯩ ꯈꯣꯝ   ꯁꯤꯖꯟ ꯅ ꯔꯝꯃꯤ꯫</w>",32
5,"ꯃꯁꯥꯂꯁꯤꯡꯒ, ꯕꯦꯁꯣꯟ ꯑꯊꯤꯠꯄꯒ ꯇꯣꯠꯁꯟꯅꯔꯕ ꯑꯂꯨ, ꯑꯗꯨꯒ ꯊꯥꯎꯗ ꯃꯨꯟꯅ ꯐꯖꯅ ꯇꯥꯎꯔꯕ ꯑꯁꯤꯅ ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯍꯥꯎꯔꯕ ꯑꯃꯁꯨꯡ ꯃꯃꯤꯡ ꯂꯩꯔꯕ ꯃꯊꯦꯜ ꯑꯁꯤ ꯁꯦꯝꯃꯤ꯫","ꯃꯁꯥ ꯂ ꯁꯤꯡꯒ ,   ꯕꯦ ꯁꯣꯟ   ꯑ ꯊꯤꯠ ꯄ ꯒ   ꯇꯣꯠ ꯁꯟꯅ ꯔꯕ   ꯑ ꯂꯨ ,   ꯑꯗꯨꯒ   ꯊꯥ ꯎꯗ   ꯃꯨꯟ ꯅ   ꯐꯖꯅ   ꯇꯥ ꯎ ꯔꯕ   ꯑꯁꯤꯅ   ꯃꯍꯥ ꯔꯥꯁꯇ꯭ꯔ ꯒꯤ   ꯍꯥꯎ ꯔꯕ   ꯑꯃꯁꯨꯡ   ꯃꯃꯤꯡ   ꯂꯩꯔꯕ   ꯃ ꯊꯦꯜ   ꯑꯁꯤ   ꯁꯦꯝꯃꯤ꯫</w>",38
6,"ꯆꯦꯠꯇꯤꯅꯥꯗ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤ ꯇꯥꯃꯤꯜ ꯅꯥꯗꯨ ꯔꯥꯖ꯭ꯌꯒꯤ ꯆꯦꯠꯇꯤꯌꯥꯅꯥꯗ ꯃꯐꯝꯗꯒꯤꯅꯥꯇꯨꯀꯣꯇꯥꯏ ꯆꯦꯠꯇꯤꯌꯥꯔꯁꯤꯡ, ꯅꯠꯇ꯭ꯔꯒ ꯅꯒꯥꯔꯥꯊꯥꯔꯁꯤꯡ ꯍꯥꯏꯅ ꯀꯧꯖꯕ ꯀꯥꯡꯂꯨꯞꯀꯤ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡꯅꯤ꯫","ꯆꯦꯠ ꯇꯤ ꯅꯥꯗ   ꯊꯣꯡ - ꯊꯥꯛ ꯄꯒꯤ   ꯃꯑꯣꯡ   ꯑꯁꯤ   ꯇꯥꯃꯤꯜ   ꯅꯥꯗꯨ   ꯔꯥꯖ꯭ꯌꯒꯤ   ꯆꯦꯠ ꯇꯤꯌꯥ ꯅꯥꯗ   ꯃꯐꯝ ꯗꯒꯤ ꯅꯥ ꯇꯨ ꯀꯣ ꯇꯥꯏ   ꯆꯦꯠ ꯇꯤꯌꯥ ꯔ ꯁꯤꯡ,   ꯅꯠꯇ꯭ꯔꯒ   ꯅ ꯒꯥ ꯔꯥꯊꯥ ꯔ ꯁꯤꯡ   ꯍꯥꯏꯅ   ꯀꯧ ꯖꯕ   ꯀꯥꯡꯂꯨꯞꯀꯤ   ꯊꯣꯡ - ꯊꯥꯛ ꯄꯒꯤ   ꯃꯑꯣꯡ ꯅꯤ꯫</w>",41
7,ꯎꯁꯤꯡꯁꯥ ꯑꯁꯤ ꯚꯥꯔꯠꯀꯤ ꯑꯣꯏꯕ ꯄꯥꯝꯕꯤꯅꯤ ꯑꯗꯨꯒ ꯃꯁꯤꯒꯤ ꯁꯤꯖꯤꯟꯅꯕ ꯃꯑꯣꯡ ꯑꯁꯤ ꯊꯣꯛꯕꯗ ꯍꯥꯞꯄ ꯃꯍꯥꯎꯒꯤ ꯄꯣꯠ ꯇꯒꯤ ꯍꯤꯗꯥꯛ ꯑꯣꯏꯅ ꯁꯤꯖꯤꯟꯅꯕ ꯐꯥꯎ ꯑꯣꯏ꯫,ꯎ ꯁꯤꯡ ꯁꯥ   ꯑꯁꯤ   ꯚꯥꯔꯠꯀꯤ   ꯑꯣꯏꯕ   ꯄꯥꯝꯕꯤ ꯅꯤ   ꯑꯗꯨꯒ   ꯃꯁꯤꯒꯤ   ꯁꯤꯖꯤꯟꯅꯕ   ꯃꯑꯣꯡ   ꯑꯁꯤ   ꯊꯣꯛ ꯕꯗ   ꯍꯥꯞ ꯄ   ꯃꯍꯥ ꯎ ꯒꯤ   ꯄꯣꯠ   ꯇꯒꯤ   ꯍꯤꯗꯥꯛ   ꯑꯣꯏꯅ   ꯁꯤꯖꯤꯟꯅꯕ   ꯐꯥꯎ   ꯑꯣꯏ꯫</w>,27
8,ꯃꯁꯤ ꯗ꯭ꯔꯥꯏ ꯒ꯭ꯔꯥꯏꯟꯗꯔ ꯑꯃꯗ ꯅꯠꯇ꯭ꯔꯒ ꯅꯨꯡꯒꯤ ꯈꯣꯟꯗ ꯃꯀꯨꯞ ꯇꯥꯍꯜꯂꯨ꯫,ꯃꯁꯤ   ꯗ꯭ꯔꯥ ꯏ   ꯒ꯭ꯔꯥ ꯏꯟ ꯗꯔ   ꯑꯃꯗ   ꯅꯠꯇ꯭ꯔꯒ   ꯅꯨꯡꯒꯤ   ꯈꯣꯟ ꯗ   ꯃ ꯀꯨꯞ   ꯇꯥ ꯍꯜ ꯂꯨ꯫</w>,16
9,"ꯄꯟꯖꯥꯕꯀꯤ ꯁꯍꯔ ꯑꯃꯃꯝꯒꯤ ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟꯕ ꯑꯄꯥꯝꯕꯁꯤꯡ ꯂꯩ, ꯈꯨꯗꯝ ꯑꯦꯏꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯗ ꯂꯩꯕ ꯃꯤꯑꯣꯏꯁꯤꯡꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯤ ꯀꯨꯜꯆꯦ, ꯁ꯭ꯇꯐ ꯄꯔꯥꯟꯊꯥꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯪꯒꯣꯝꯒꯤ ꯄꯣꯠꯊꯣꯛꯁꯤꯡ ꯑꯁꯤ ꯃꯔꯨꯑꯣꯏꯅ ꯄꯥꯝꯅꯩ꯫","ꯄꯟꯖꯥꯕ ꯀꯤ   ꯁꯍꯔ   ꯑꯃꯃꯝ ꯒꯤ   ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟꯕ   ꯑ ꯄꯥꯝ ꯕꯁꯤꯡ   ꯂꯩ ,   ꯈꯨꯗꯝ   ꯑꯦ ꯏꯅ   ꯑ ꯃ꯭ꯔꯤꯠ ꯁ ꯔꯗ   ꯂꯩꯕ   ꯃꯤꯑꯣꯏꯁꯤꯡꯅ   ꯑ ꯃ꯭ꯔꯤꯠ ꯁꯔꯤ   ꯀꯨꯜ ꯆꯦ ,   ꯁ꯭ꯇ ꯐ   ꯄ ꯔꯥꯟ ꯊꯥ ꯁꯤꯡ   ꯑꯃꯁꯨꯡ   ꯁꯪ ꯒꯣꯝ ꯒꯤ   ꯄꯣꯠꯊꯣꯛ ꯁꯤꯡ   ꯑꯁꯤ   ꯃꯔꯨꯑꯣꯏꯅ   ꯄꯥꯝ ꯅꯩ꯫</w>",42
10,ꯔꯥꯝꯕꯨ ꯃꯨꯅꯤ ꯔꯤꯁꯤ ꯑꯗꯨꯒ ꯊꯥꯈꯣ ꯑꯃꯁꯨꯡ ꯂꯛꯁꯃꯟꯁꯨ ꯊꯥꯈꯣ꯫,ꯔꯥꯝ ꯕꯨ   ꯃꯨ ꯅꯤ   ꯔꯤꯁꯤ   ꯑꯗꯨꯒ   ꯊꯥ ꯈꯣ   ꯑꯃꯁꯨꯡ   ꯂꯛꯁ ꯃꯟ ꯁꯨ   ꯊꯥ ꯈꯣ ꯫</w>,15
