sentence_id,original,tokenized,char_count,token_count
1,"रूप सर्विसवला व्यक्तिसँ सम्बन्धित बहुत रास लक्षणक समूह होयत छै जेना हुनक जूता, कपड़ा, टाई, गहना, केश, श्रृंगार, घड़ी, प्रसाधन सामग्री, सेंट इत्यादि","र ू प   स र ् व ि स व ल ा   व ् य क ् त ि स ँ   स म ् ब न ् ध ि त   ब ह ु त   र ा स   ल क ् ष ण क   स म ू ह   ह ो य त   छ ै   ज े न ा   ह ु न क   ज ू त ा ,   क प ड ़ ा ,   ट ा ई ,   ग ह न ा ,   क े श ,   श ् र ृ ं ग ा र ,   घ ड ़ ी ,   प ् र स ा ध न   स ा म ग ् र ी ,   स े ं ट   इ त ् य ा द ि",125,147
2,महाराष्ट्रके औरंगाबादमे स्थित अजन्तामे पहिल शताब्दी ईसा पूर्व सँ पाँचम शताब्दी धरिक मूर्तिकला आ चित्रकला सँ सजाओल उन्नतीस टा चैत्य आ विहार अछि,म ह ा र ा ष ् ट ् र क े   औ र ं ग ा ब ा द म े   स ् थ ि त   अ ज न ् त ा म े   प ह ि ल   श त ा ब ् द ी   ई स ा   प ू र ् व   स ँ   प ा ँ च म   श त ा ब ् द ी   ध र ि क   म ू र ् त ि क ल ा   आ   च ि त ् र क ल ा   स ँ   स ज ा ओ ल   उ न ् न त ी स   ट ा   च ै त ् य   आ   व ि ह ा र   अ छ ि,120,142
3,शरीरक रङ्ग बाहरी रेखा सङ्ग मिल जायत छै जाहिसँ विस्तारक प्रभाव उतपन्न करैत छै,श र ी र क   र ङ ् ग   ब ा ह र ी   र े ख ा   स ङ ् ग   म ि ल   ज ा य त   छ ै   ज ा ह ि स ँ   व ि स ् त ा र क   प ् र भ ा व   उ त प न ् न   क र ै त   छ ै,63,76
4,अशोक मूर्तिकला आ विख्यात स्मारक सभ बनयबा लेल पाथरक विस्तृत उपयोग कयलनि जखनकि पिछुलका रिवाज लकड़ी आ माटि सँ काज कयनाय छल,अ श ो क   म ू र ् त ि क ल ा   आ   व ि ख ् य ा त   स ् म ा र क   स भ   ब न य ब ा   ल े ल   प ा थ र क   व ि स ् त ृ त   उ प य ो ग   क य ल न ि   ज ख न क ि   प ि छ ु ल क ा   र ि व ा ज   ल क ड ़ ी   आ   म ा ट ि   स ँ   क ा ज   क य न ा य   छ ल,98,119
5,मसालामे मिलाओल आलूकेँ बेसनक घोरमे लपेट कऽ बढ़ियासँ तरला पर महाराष्ट्रक ई स्वादिष्ट आ नामी व्यंजन बनैत छै,म स ा ल ा म े   म ि ल ा ओ ल   आ ल ू क े ँ   ब े स न क   घ ो र म े   ल प े ट   क ऽ   ब ढ ़ ि य ा स ँ   त र ल ा   प र   म ह ा र ा ष ् ट ् र क   ई   स ् व ा द ि ष ् ट   आ   न ा म ी   व ् य ं ज न   ब न ै त   छ ै,87,104
6,"चेट्टीनाड व्यंजन तमिलनाडु राज्यक चेट्टीनाड क्षेत्रक एकटा समुदाय जकरा नट्टीकोटाई चेट्टीयार आकि नागारथार जेनाकि ओ अपनाक कहैत छथि, हुनक व्यंजन छियैक","च े ट ् ट ी न ा ड   व ् य ं ज न   त म ि ल न ा ड ु   र ा ज ् य क   च े ट ् ट ी न ा ड   क ् ष े त ् र क   ए क ट ा   स म ु द ा य   ज क र ा   न ट ् ट ी क ो ट ा ई   च े ट ् ट ी य ा र   आ क ि   न ा ग ा र थ ा र   ज े न ा क ि   ओ   अ प न ा क   क ह ै त   छ थ ि ,   ह ु न क   व ् य ं ज न   छ ि य ै क",125,145
7,दालचीनी मूलतः भारतसँ छै आ एकर प्रयोग स्वादजनित पदार्थ सँ लऽ कऽ औषधीय पदार्थ धरि होयत छै,द ा ल च ी न ी   म ू ल त ः   भ ा र त स ँ   छ ै   आ   ए क र   प ् र य ो ग   स ् व ा द ज न ि त   प द ा र ् थ   स ँ   ल ऽ   क ऽ   औ ष ध ी य   प द ा र ् थ   ध र ि   ह ो य त   छ ै,71,87
8,ड्राई ग्राइंडर आकि पाथरक लोरही मे एकर पावडर बनाउ,ड ् र ा ई   ग ् र ा इ ं ड र   आ क ि   प ा थ र क   ल ो र ह ी   म े   ए क र   प ा व ड र   ब न ा उ,40,48
9,"पंजाबक हर शहरके भिन्न भिन्न पसिन्न छै जेना अमृतसरक लोक विशेष रूपसँ अमृतसरी कुल्चा, भरल पराँठा आ दुधक व्यंजन के शौकीन छथि","प ं ज ा ब क   ह र   श ह र क े   भ ि न ् न   भ ि न ् न   प स ि न ् न   छ ै   ज े न ा   अ म ृ त स र क   ल ो क   व ि श े ष   र ू प स ँ   अ म ृ त स र ी   क ु ल ् च ा ,   भ र ल   प र ा ँ ठ ा   आ   द ु ध क   व ् य ं ज न   क े   श ौ क ी न   छ थ ि",99,120
10,रामकेँ ऋषि सङ्ग पठा दिऔन आ लक्ष्मणकेँ सेहो,र ा म क े ँ   ऋ ष ि   स ङ ् ग   प ठ ा   द ि औ न   आ   ल क ् ष ् म ण क े ँ   स े ह ो,35,42
11,परञ्च मंगल पाण्डेयक साहसी काज ऊँच आ श्रेष्ठ सिद्धांतक प्रति निष्ठा द्वारा कयल गेल छल,प र ञ ् च   म ं ग ल   प ा ण ् ड े य क   स ा ह स ी   क ा ज   ऊ ँ च   आ   श ् र े ष ् ठ   स ि द ् ध ा ं त क   प ् र त ि   न ि ष ् ठ ा   द ् व ा र ा   क य ल   ग े ल   छ ल,70,84
12,एकबेर प्यॉज पारदर्शी भऽ जाय तऽ मसालावला मासु आ हरदि दऽ कऽ ओकरा तामे भुजु जामे सभटा मसाला लगभग ५-६ मिनटमे मासुमे मिल नहि जाय,ए क ब े र   प ् य ॉ ज   प ा र द र ् श ी   भ ऽ   ज ा य   त ऽ   म स ा ल ा व ल ा   म ा स ु   आ   ह र द ि   द ऽ   क ऽ   ओ क र ा   त ा म े   भ ु ज ु   ज ा म े   स भ ट ा   म स ा ल ा   ल ग भ ग   ५ - ६   म ि न ट म े   म ा स ु म े   म ि ल   न ह ि   ज ा य,99,123
13,"हितोपदेश पक्षी, जानवर आ मनुष्य सभक माध्यमसँ प्रस्तुत सांसारिक ज्ञानक पोथी छियैक","ह ि त ो प द े श   प क ् ष ी ,   ज ा न व र   आ   म न ु ष ् य   स भ क   म ा ध ् य म स ँ   प ् र स ् त ु त   स ा ं स ा र ि क   ज ् ञ ा न क   प ो थ ी   छ ि य ै क",68,79
