sentence_index,original_sentence,tokenized_sentence,token_count
1,"દેખાવ એ સેવા કર્મીના લક્ષણોનો સમૂહ છે, જેમ કે તેમના બૂટ, કપડાં, ટાઈ, આભૂષણો, કેશકલાપ","દેખા વ   એ   સેવા   ક ર્મી ના   લક્ષ ણો નો   સમૂહ   છે,   જેમ   કે   તેમના   બૂ ટ,   કપડાં ,   ટાઈ ,   આ ભૂ ષ ણો ,   કે શ કલા પ",30
2,"શણગાર, ઘડિયાળ, શૃંગાર દ્રવ્યો, અત્તર, વગેરે","શ ણ ગા ર,   ઘ ડિયા ળ ,   શૃં ગાર   દ્ર વ્યો ,   અ ત્ત ર,   વગેરે",17
3,"મહારાષ્ટ્રના ઔરંગાબાદ જીલ્લામાં સ્થિત અજંતામાં ઓગણત્રીસ કૈત્ય અને વિહાર ગુફાઓ છે, જે ઈ","મહારાષ્ટ્ર ના   ઔ રં ગા બાદ   જી લ્લા માં   સ્થિત   અ જં તા માં   ઓ ગણ ત્રી સ   કૈ ત્ય   અને   વિ હાર   ગુફા ઓ   છે,   જે   ઈ",28
4,સ,સ,1
5,પૂ,પૂ,1
6,પ્રથમ સદીથી ઈ,પ્રથમ   સદી થી   ઈ,4
7,સ,સ,1
8,પાંચમી સદી સુધીના શિલ્પો અને ચિત્રોથી સુશોભિત છે,પાંચ મી   સદી   સુધી ના   શિ લ્પો   અને   ચિ ત્રો થી   સુ શો ભિ ત   છે,16
9,શરીરનો રંગ બાહ્ય રેખા સાથે ભળીને ઘનતાની અસર સર્જે છે,શરી ર નો   રંગ   બા હ્ય   રેખા   સાથે   ભ ળી ને   ઘન તા ની   અસર   સ ર્જે   છે,18
10,"અશોકે શિલ્પો અને વિરાટ સ્મારકો બનાવવા માટે પથ્થરોનો વિસ્તૃત ઉપયોગ શરુ કર્યો, જયારે અગાઉની પરંપરા લાકડા અને માટીના કામ સાથે બનેલી હતી","અશો કે   શિ લ્પો   અને   વિ રા ટ   સ્મા ર કો   બનાવ વા   માટે   પથ્થ રો નો   વિ સ્તૃ ત   ઉપયોગ   શ રુ   કર્યો ,   જ યા રે   અગાઉ ની   પરંપરા   લાક ડા   અને   મા ટી ના   કામ   સાથે   બને લી   હતી",42
11,બેસનમાં રગદોળાયેલા અને શ્રેષ્ઠ રીતે તળાયેલા મસાલા મિશ્રિત બટેટા મહારાષ્ટ્રની સ્વાદિષ્ટ અને પ્રખ્યાત વાનગી બને છે,બે સન માં   ર ગ દો ળા યેલા   અને   શ્રેષ્ઠ   રીતે   ત ળા યેલા   મ સા લા   મિ શ્રિ ત   બ ટે ટા   મહારાષ્ટ્ર ની   સ્વા દિ ષ્ટ   અને   પ્રખ્યાત   વાનગી   બને   છે,33
12,"ચેત્તીનાદ વાનગી એ તમિલનાડુ રાજ્યના ચેત્તીનાદ પ્રદેશના નત્તુકોતાઈ ચેત્તીઆર તરીકે જાણીતા સમાજની વાનગી છે અથવા નાગરથર, જે તેઓ પોતાને કહે છે","ચે ત્તી ના દ   વાનગી   એ   તમિલનાડુ   રાજ્યના   ચે ત્તી ના દ   પ્રદેશના   ન ત્તુ કો તા ઈ   ચે ત્તી આર   તરીકે   જાણીતા   સમા જની   વાનગી   છે   અથવા   ના ગર થ ર,   જે   તેઓ   પોતાને   કહે   છે",37
13,તજ મૂળ ભારતનું છે અને એ રીતે તેના ઉપયોગ સુગંધ દૂતથી લઈને ઔષધ દૂત તરીકે વિસ્તરે છે,તજ   મૂળ   ભારતનું   છે   અને   એ   રીતે   તેના   ઉપયોગ   સુ ગં ધ   દૂ ત થી   લઈને   ઔ ષ ધ   દૂ ત   તરીકે   વિ સ્તરે   છે,25
14,સૂકી ચક્કી અથવા પથ્થરની ખરલથી આનો ભૂકો બનાવો,સૂ કી   ચ ક્કી   અથવા   પથ્થ રની   ખર લ થી   આ નો   ભૂ કો   બના વો,16
