sentence_id,original,tokenized,char_count,token_count
1,"ꯁꯛꯐꯝ ꯍꯥꯏꯕꯁꯤ ꯊꯕꯛ ꯇꯧꯕ ꯃꯤ ꯑꯗꯨꯒ ꯃꯔꯤ ꯂꯩꯅꯕ ꯃꯈꯣꯏꯒꯤ ꯈꯣꯡꯉꯨꯞ, ꯐꯤꯔꯣꯟ, ꯇꯥꯏ, ꯁꯅꯥ-ꯂꯨꯄ, ꯁꯝꯒꯤ ꯃꯑꯣꯡ, ꯀꯦꯕ, ꯘꯔꯤ, ꯀꯦꯅꯕ ꯄꯣꯠꯆꯩ, ꯄꯔꯐ꯭ꯌꯨꯝꯒꯨꯝꯕ ꯃꯒꯨꯟ ꯀꯌꯥꯑꯃꯅꯤ꯫","ꯁꯛ ꯐꯝ    ꯍꯥꯏꯕꯁꯤ    ꯊꯕꯛ    ꯇꯧꯕ    ꯃꯤ    ꯑꯗꯨꯒ    ꯃꯔꯤ    ꯂꯩꯅꯕ    ꯃꯈꯣꯏꯒꯤ    ꯈꯣꯡ ꯉ ꯨ ꯞ,    ꯐꯤꯔꯣ ꯟ,    ꯇꯥꯏ ,    ꯁ ꯅꯥ - ꯂꯨ ꯄ,    ꯁ ꯝꯒꯤ    ꯃꯑꯣꯡ ,    ꯀꯦ ꯕ,    ꯘ ꯔꯤ,    ꯀꯦ ꯅꯕ    ꯄꯣꯠ ꯆꯩ ,    ꯄꯔ ꯐ ꯭ꯌ ꯨꯝ ꯒꯨꯝꯕ    ꯃꯒꯨꯟ    ꯀꯌꯥ ꯑꯃꯅꯤ꯫ ",110,44
2,ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯑꯣꯔꯪꯒꯥꯕꯥꯗ ꯖꯤꯂꯥꯗ ꯂꯩꯕ ꯑꯖꯟꯇꯥꯗ ꯆꯥꯏꯇ꯭ꯌꯥ ꯀꯨꯟꯃꯥꯄꯟ ꯑꯃꯁꯨꯡ ꯍꯛꯇꯨꯟ ꯃꯤꯇꯝ ꯇꯝꯕꯁꯤꯡꯒ ꯈ꯭ꯔꯤꯁꯇ ꯑꯍꯥꯟꯕ ꯆꯍꯤ ꯆꯥꯗꯒꯤ ꯃꯉꯥꯁꯨꯕ ꯆꯍꯤ ꯆꯥ ꯐꯥꯎꯕꯗꯒꯤ ꯑꯣꯏꯕ ꯑꯌꯦꯛꯄ ꯂꯥꯏꯁꯤꯡꯅ ꯀꯦꯔꯕ ꯚꯤꯍꯥꯔꯥ ꯁꯨꯔꯥꯡꯁꯤꯡ ꯂꯩ꯫,ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ    ꯑꯣꯔ ꯪ ꯒꯥ ꯕꯥꯗ    ꯖꯤꯂꯥꯗ    ꯂꯩꯕ    ꯑ ꯖꯟ ꯇꯥꯗ    ꯆꯥꯏ ꯇ꯭ꯌ ꯥ    ꯀꯨꯟ ꯃꯥ ꯄꯟ    ꯑꯃꯁꯨꯡ    ꯍ ꯛꯇ ꯨ ꯟ    ꯃꯤꯇꯝ    ꯇ ꯝꯕ ꯁꯤꯡꯒ    ꯈ꯭ꯔꯤꯁꯇ    ꯑꯍꯥꯟꯕ    ꯆꯍꯤ    ꯆꯥ ꯗꯒꯤ    ꯃꯉꯥ ꯁꯨꯕ    ꯆꯍꯤ    ꯆꯥ    ꯐꯥꯎ ꯕꯗꯒꯤ    ꯑꯣꯏꯕ    ꯑ ꯌꯦꯛꯄ    ꯂꯥꯏ ꯁꯤꯡꯅ    ꯀꯦ ꯔꯕ    ꯚꯤ ꯍꯥꯔ ꯥ    ꯁꯨꯔ ꯥꯡ ꯁꯤꯡ    ꯂꯩ꯫ ,143,50
3,ꯍꯛꯆꯥꯡꯒꯤ ꯃꯆꯨ ꯑꯁꯤ ꯃꯄꯥꯟ ꯊꯪꯕ ꯂꯥꯏꯒ ꯄꯨꯟꯁꯟꯗꯨꯅ ꯆꯥꯡꯗ ꯏꯊꯤꯜ ꯄꯤꯕ ꯊꯣꯛꯍꯜꯂꯤ꯫,ꯍꯛꯆꯥꯡꯒꯤ    ꯃꯆꯨ    ꯑꯁꯤ    ꯃꯄꯥꯟ    ꯊꯪꯕ    ꯂꯥꯏ ꯒ    ꯄꯨꯟ ꯁꯟ ꯗꯨꯅ    ꯆꯥꯡꯗ    ꯏꯊꯤꯜ    ꯄꯤꯕ    ꯊꯣꯛꯍꯜꯂꯤ꯫ ,51,14
4,"ꯍꯛꯇꯨꯅ ꯃꯤꯇꯝ ꯁꯦꯝꯕ ꯑꯃꯁꯨꯡ ꯑꯐꯥꯎꯕ ꯅꯤꯡꯁꯤꯡ ꯈꯨꯗꯝꯁꯤꯡ ꯑꯁꯤꯗ ꯄꯥꯛ ꯁꯟꯅ ꯅꯨꯡ ꯁꯤꯖꯤꯟꯅꯕꯁꯤ ꯑꯁꯣꯀꯥꯅ ꯍꯧꯗꯣꯛꯈꯤꯕꯅꯤ, ꯃꯃꯥꯡꯒꯤ ꯆꯠꯅꯕꯤꯗꯗꯤ ꯎ ꯑꯃꯁꯨꯡ ꯂꯩꯈꯣꯝ ꯁꯤꯖꯟꯅꯔꯝꯃꯤ꯫","ꯍꯛꯇꯨꯅ    ꯃꯤꯇꯝ    ꯁꯦꯝꯕ    ꯑꯃꯁꯨꯡ    ꯑ ꯐꯥꯎꯕ    ꯅꯤꯡꯁꯤꯡ    ꯈꯨꯗ ꯝꯁꯤꯡ    ꯑꯁꯤꯗ    ꯄꯥꯛ    ꯁꯟꯅ    ꯅꯨꯡ    ꯁꯤꯖꯤꯟꯅꯕ ꯁꯤ    ꯑꯁꯣ ꯀꯥꯅ    ꯍꯧꯗꯣꯛ ꯈꯤꯕꯅꯤ,    ꯃꯃꯥꯡꯒꯤ    ꯆꯠꯅꯕꯤ ꯗꯗꯤ    ꯎ    ꯑꯃꯁꯨꯡ    ꯂꯩ ꯈꯣ ꯝ    ꯁꯤꯖꯟ ꯅꯔꯝꯃꯤ꯫ ",110,29
5,"ꯃꯁꯥꯂꯁꯤꯡꯒ, ꯕꯦꯁꯣꯟ ꯑꯊꯤꯠꯄꯒ ꯇꯣꯠꯁꯟꯅꯔꯕ ꯑꯂꯨ, ꯑꯗꯨꯒ ꯊꯥꯎꯗ ꯃꯨꯟꯅ ꯐꯖꯅ ꯇꯥꯎꯔꯕ ꯑꯁꯤꯅ ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯍꯥꯎꯔꯕ ꯑꯃꯁꯨꯡ ꯃꯃꯤꯡ ꯂꯩꯔꯕ ꯃꯊꯦꯜ ꯑꯁꯤ ꯁꯦꯝꯃꯤ꯫","ꯃꯁꯥ ꯂ ꯁꯤꯡ ꯒ,    ꯕ ꯦꯁ ꯣ ꯟ    ꯑ ꯊꯤ ꯠ ꯄꯒ    ꯇꯣ ꯠ ꯁꯟ ꯅꯔꯕ    ꯑ ꯂꯨ ,    ꯑꯗꯨꯒ    ꯊ ꯥꯎ ꯗ    ꯃꯨ ꯟꯅ    ꯐꯖꯅ    ꯇꯥꯎ ꯔꯕ    ꯑꯁꯤꯅ    ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ    ꯍꯥꯎ ꯔꯕ    ꯑꯃꯁꯨꯡ    ꯃꯃꯤꯡ    ꯂꯩꯔꯕ    ꯃ ꯊꯦ ꯜ    ꯑꯁꯤ    ꯁꯦꯝꯃꯤ꯫ ",98,40
6,"ꯆꯦꯠꯇꯤꯅꯥꯗ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤ ꯇꯥꯃꯤꯜ ꯅꯥꯗꯨ ꯔꯥꯖ꯭ꯌꯒꯤ ꯆꯦꯠꯇꯤꯌꯥꯅꯥꯗ ꯃꯐꯝꯗꯒꯤꯅꯥꯇꯨꯀꯣꯇꯥꯏ ꯆꯦꯠꯇꯤꯌꯥꯔꯁꯤꯡ, ꯅꯠꯇ꯭ꯔꯒ ꯅꯒꯥꯔꯥꯊꯥꯔꯁꯤꯡ ꯍꯥꯏꯅ ꯀꯧꯖꯕ ꯀꯥꯡꯂꯨꯞꯀꯤ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡꯅꯤ꯫","ꯆꯦ ꯠ ꯇꯤ ꯅꯥꯗ    ꯊꯣꯡ - ꯊꯥꯛ ꯄꯒꯤ    ꯃꯑꯣꯡ    ꯑꯁꯤ    ꯇꯥꯃꯤꯜ    ꯅꯥꯗꯨ    ꯔꯥꯖ꯭ꯌꯒꯤ    ꯆꯦ ꯠ ꯇꯤꯌꯥ ꯅꯥꯗ    ꯃꯐꯝ ꯗꯒꯤ ꯅꯥ ꯇꯨ ꯀꯣ ꯇꯥꯏ    ꯆꯦ ꯠ ꯇꯤ ꯌꯥꯔ ꯁꯤꯡ,    ꯅꯠꯇ꯭ꯔꯒ    ꯅ ꯒ ꯥꯔꯥ ꯊꯥꯔ ꯁꯤꯡ    ꯍꯥꯏꯅ    ꯀꯧ ꯖꯕ    ꯀꯥꯡꯂꯨꯞꯀꯤ    ꯊꯣꯡ - ꯊꯥꯛ ꯄꯒꯤ    ꯃꯑꯣꯡ ꯅꯤ꯫ ",128,44
7,ꯎꯁꯤꯡꯁꯥ ꯑꯁꯤ ꯚꯥꯔꯠꯀꯤ ꯑꯣꯏꯕ ꯄꯥꯝꯕꯤꯅꯤ ꯑꯗꯨꯒ ꯃꯁꯤꯒꯤ ꯁꯤꯖꯤꯟꯅꯕ ꯃꯑꯣꯡ ꯑꯁꯤ ꯊꯣꯛꯕꯗ ꯍꯥꯞꯄ ꯃꯍꯥꯎꯒꯤ ꯄꯣꯠ ꯇꯒꯤ ꯍꯤꯗꯥꯛ ꯑꯣꯏꯅ ꯁꯤꯖꯤꯟꯅꯕ ꯐꯥꯎ ꯑꯣꯏ꯫,ꯎ ꯁꯤꯡ ꯁꯥ    ꯑꯁꯤ    ꯚꯥꯔꯠꯀꯤ    ꯑꯣꯏꯕ    ꯄꯥꯝꯕꯤ ꯅꯤ    ꯑꯗꯨꯒ    ꯃꯁꯤꯒꯤ    ꯁꯤꯖꯤꯟꯅꯕ    ꯃꯑꯣꯡ    ꯑꯁꯤ    ꯊꯣꯛ ꯕꯗ    ꯍꯥ ꯞꯄ    ꯃꯍ ꯥꯎ ꯒꯤ    ꯄꯣꯠ    ꯇꯒꯤ    ꯍꯤꯗ ꯥꯛ    ꯑꯣꯏꯅ    ꯁꯤꯖꯤꯟꯅꯕ    ꯐꯥꯎ   ꯑꯣꯏ꯫ ,93,28
8,ꯃꯁꯤ ꯗ꯭ꯔꯥꯏ ꯒ꯭ꯔꯥꯏꯟꯗꯔ ꯑꯃꯗ ꯅꯠꯇ꯭ꯔꯒ ꯅꯨꯡꯒꯤ ꯈꯣꯟꯗ ꯃꯀꯨꯞ ꯇꯥꯍꯜꯂꯨ꯫,ꯃꯁꯤ    ꯗ꯭ꯔ ꯥꯏ    ꯒ꯭ꯔ ꯥꯏ ꯟꯗ ꯔ    ꯑꯃꯗ    ꯅꯠꯇ꯭ꯔꯒ    ꯅꯨꯡꯒꯤ    ꯈꯣ ꯟꯗ    ꯃ ꯀꯨ ꯞ    ꯇꯥ ꯍꯜꯂ ꯨ꯫ ,45,18
9,"ꯄꯟꯖꯥꯕꯀꯤ ꯁꯍꯔ ꯑꯃꯃꯝꯒꯤ ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟꯕ ꯑꯄꯥꯝꯕꯁꯤꯡ ꯂꯩ, ꯈꯨꯗꯝ ꯑꯦꯏꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯗ ꯂꯩꯕ ꯃꯤꯑꯣꯏꯁꯤꯡꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯤ ꯀꯨꯜꯆꯦ, ꯁ꯭ꯇꯐ ꯄꯔꯥꯟꯊꯥꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯪꯒꯣꯝꯒꯤ ꯄꯣꯠꯊꯣꯛꯁꯤꯡ ꯑꯁꯤ ꯃꯔꯨꯑꯣꯏꯅ ꯄꯥꯝꯅꯩ꯫","ꯄꯟꯖꯥꯕꯀꯤ    ꯁꯍꯔ    ꯑꯃꯃꯝꯒꯤ    ꯇꯣꯉꯥꯟ- ꯇꯣꯉꯥꯟꯕ    ꯑ ꯄꯥꯝꯕ ꯁꯤꯡ    ꯂꯩ,    ꯈꯨꯗꯝ    ꯑꯦ ꯏ ꯅ    ꯑꯃ ꯭ꯔꯤ ꯠ ꯁꯔ ꯗ    ꯂꯩꯕ    ꯃꯤꯑꯣꯏꯁꯤꯡꯅ    ꯑꯃ ꯭ꯔꯤ ꯠ ꯁꯔ ꯤ    ꯀꯨ ꯜ ꯆꯦ ,    ꯁ꯭ꯇ ꯐ    ꯄꯔ ꯥꯟ ꯊꯥ ꯁꯤꯡ    ꯑꯃꯁꯨꯡ    ꯁꯪ ꯒꯣ ꯝꯒꯤ    ꯄꯣꯠꯊꯣꯛ ꯁꯤꯡ    ꯑꯁꯤ    ꯃꯔꯨꯑꯣꯏꯅ    ꯄꯥꯝ ꯅꯩ꯫ ",133,45
10,ꯔꯥꯝꯕꯨ ꯃꯨꯅꯤ ꯔꯤꯁꯤ ꯑꯗꯨꯒ ꯊꯥꯈꯣ ꯑꯃꯁꯨꯡ ꯂꯛꯁꯃꯟꯁꯨ ꯊꯥꯈꯣ꯫,ꯔꯥ ꯝꯕꯨ    ꯃꯨ ꯅꯤ    ꯔꯤ ꯁꯤ    ꯑꯗꯨꯒ    ꯊꯥ ꯈꯣ    ꯑꯃꯁꯨꯡ    ꯂꯛꯁ ꯃꯟ ꯁꯨ    ꯊꯥ ꯈꯣ ꯫ ,38,16
