sentence_index,original_sentence,tokenized_sentence,token_count
1,"এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি","এটা   বা হ্যি ক   ৰূপ   হৈছে   স শ স্ত্র   বাহিনী ৰ   জো ৱান গৰাকী ৰ   সৈতে   জড়িত   কেইবাটাও   বৈশি ষ্ট ,   যেনে   তেওঁৰ   জো তা,   কাপো ৰ,   টাই ,   অ লং কাৰ ,   কে শ - বি ন্যাস ,   মে ক- আপ ,   ঘ ড়ী ,   প্র সা ধ নী ,   সু গ ন্ধি ,   ই ত্যা দি",58
2,মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে,মহা ৰা ষ্ট্র ৰ   ঔৰ ঙ্গা বাদ   জিলা ত   অৱস্থিত   অ জ ন্তা ত   খ্রী ষ্ট পূ র্ব   প্রথম   শতিকাৰ   পৰা   খ্রী ষ্টা ব্দ   পঞ্চ ম   শতিকাৰ   ভাস্ক র্য্য   আৰু   চি ত্র ৰে   শো ভিত   ঊ ন ত্রি শ টা   চৈ ত্য   আৰু   বি হাৰ   গুহা   আছে,47
3,"দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে","দে হৰ   ৰং   বাহি ৰত   থকা   ৰেখা ডা লৰ   লগত   মিলি   যায় ,   যিয়ে   ভ লি উ মৰ   ই ফে ক্ট টো   সৃষ্টি   কৰে",24
4,অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা,অশো কে   ভাস্ক র্য্য   আৰু   বিশাল   স্মা ৰক সমূহৰ   বাবে   শিলৰ   ব্যাপক   প্র য়োগ   আৰম্ভ   কৰাৰ   বি পৰীতে   পূ র্ব ৰ   পৰম্পৰা   আছিল   কাঠ   আৰু   মাটি ৰে   কাম   কৰা,29
5,"মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে","ম চ লাৰ   সৈতে   মি হ লোৱা ,   বে চনৰ   ঘো লৰ   তৰ প   দিয়া   আৰু   অ ত্যু ত্তম   অৱস্থা লৈ   তে লত   ডু বাই   ভ জা   আ লু ৱে   মহা ৰাষ্ট্ৰৰ   এই বিধ   সু স্বা দু   তথা   বিখ্যাত   খাদ্য   তৈয়াৰ   কৰে",42
6,"চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন","চে ট্টি না ড   ব্য ঞ্জ ন   তামিলনাডু   ৰাজ্যৰ   চে ট্টি না ড   অঞ্চলৰ   না ট্টু কো টাই   চে ট্টি ৰা ছ   নামৰ   এটা   সম্প্ৰ দা য়   বা   নাগা ৰা ঠা ৰা ছ ,   যেনে কৈ   তেওঁলোকে   নিজকে   কয় ,   সেই   স ম্প্র দায় ৰ   ব্য ঞ্জ ন",48
7,ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়,ডাল চে নি   ভাৰতৰ   থ লু ৱা   আৰু   সেই বাবে ই   এ বিধ   সো ৱা দ ব র্ধ ক   বস্তু ৰ   পৰা   আদি   কৰি   এ বিধ   ঔ ষ ধি   দ্র ব্য লৈকে   ইয়াক   ব্যৱহাৰ   কৰা   হয়,36
8,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক,এই খিনি   এটা   শু কা নে   গু ড় ি   কৰা   স জুঁ লি   বা   এটা   শিলৰ   খু ন্দ না ত   গু ড়ি   কৰি   ল ওক,25
9,"পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত","পঞ্জাৱ ৰ   প্র ত্যে ক খন   চহৰ ৰে   বেলেগ   বেলেগ   প চ ন্দ   আছে,   যেনে   অ মৃ তস ৰত   থকা   লোক সকল   অ মৃ তস ৰী   কু ল্ছে ,   গা ভাৰ   দিয়া   পৰ ঠা   আৰু   গা খী ৰৰ   বস্তু বোৰৰ   প্রতি   বিশেষভাৱে   আ স ক্ত",45
10,"ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা","ৰাম ক   ঋ ষি গৰাকী ৰ   সৈতে   পঠিয়াই   দিয়া ,   আৰু   ল ক্ষ্ম ণ কো   পঠি য়া বা",18
