sentence_id,original,tokenized,char_count,token_count
1,"தோற்றம் என்பது சேவை ஊழியரின் காலணிகள், உடை, டை, நகை, சிகையலங்காரம், மேக்-அப், கைக்கடிகாரம், அழகு சாதனங்கள், நறுமணம் போன்ற அவர் சார்ந்த பண்புகளின் ஒரு தொகுப்பைக் குறிக்கிறது","தோற்ற ம்    என்பது    சேவை    ஊழிய ரின்    கால ண ிகள்,    உடை ,    டை ,    நக ை,    சி கைய ல ங்க ார ம்,    மே க் - அ ப்,    கை க ்க டி கார ம்,    அழ கு    சாதன ங்கள்,    ந ற ும ணம்    போன்ற    அவர்    சார்ந்த    பண்ப ு களின்    ஒரு    தொகு ப ்ப ைக்    குறி க ்கிற து ",152,55
2,"மகாராஷ்டிரத்தின் அவுரங்காபாத் மாவட்டத்தில் உள்ள அஜந்தாவில் இருபத்தி ஒன்பது சைத்யா மற்றும் விஹாரா குகைகள் உள்ளன, அவற்றை கிமு முதலாம் நூற்றாண்டு முதல் கிபி ஐந்தாம் நூற்றாண்டு வரையிலான சிற்பங்களும் ஓவியங்களும் அலங்கரித்துள்ளன","மகாராஷ்டிர த ்த ின்    அவு ரங்க ா பாத்    மா வட ்ட த ்த ில்    உள்ள    அ ஜ ந்த ாவில்    இரு பத ்த ி    ஒன்பது    சை த ்யா    மற்றும்    வி ஹ ாரா    குக ைகள்    உள்ளன,    அவற்றை    கிமு    முதலாம்    நூற்றாண்டு    முதல்    கிபி    ஐந்த ாம்    நூற்றாண்டு    வரையிலான    சிற்ப ங்களும்    ஓவிய ங்களும்    அலங்க ரி த ்த ுள்ள ன ",199,54
3,உடல் நிறம் ஓரங்களுடன் கலந்து பருமனான தோற்றத்தைத் தருகிறது,உடல்    நிற ம்    ஓர ங்களுடன்    கலந்து    பரு மன ான    தோற்ற த ்த ைத்    தரு கிறது ,51,15
4,"சிற்பங்களுக்கும் மாபெரும் நினைவுச் சின்னங்களுக்கும் அசோகர் பெரியளவில் கற்களைப் பயன்படுத்தத் தொடங்கினார், ஆனால் அதற்கு முன்பு மரம் மற்றும் களிமண்ணைப் பயன்படுத்துவதே மரபாக இருந்தது","சிற்ப ங்கள ுக ்க ும்    மாபெரும்    நினைவு ச்    ச ின் ன ங்கள ுக ்க ும்    அசோ கர்    பெரிய ளவில்    க ற ்களைப்    பயன்ப டு த ்த த்    தொடங்க ினார்,    ஆனால்    அதற்கு    முன்பு    மர ம்    மற்றும்    கள ி ம ண்ண ைப்    பயன்ப டு த ்த ுவ தே    மர ப ாக    இருந்தது ",161,50
5,"மகாராஷ்டிராவின் இந்தப் புகழ்பெற்ற அறுசுவை உணவில், மசாலாக்களுடன் பிசைந்து கடலைமாவில் துவைத்து எண்ணெயில் பூரணமாகப் பொரித்த உருளைக்கிழங்குகள் உள்ளன","மகாராஷ்டிர ாவின்    இந்தப்    புகழ்பெற்ற    அ று ச ுவை    உண வில்,    ம சால ாக ்கள ுடன்    பி சை ந்து    கட லை மாவில்    து வை த ்த ு    எண்ண ெ யில்    பூ ரண மாகப்    பொ ரி த ்த   உரு ள ை க ்க ிழ ங்கு கள்    உள்ள ன ",131,46
6,"செட்டிநாடு சமையல் என்பது, தமிழ்நாட்டின் செட்டிநாடுப் பகுதியைச் சேர்ந்த நாட்டுக்கோட்டை செட்டியார்கள் அல்லது, அவர்களே தங்களை அழைத்துக்கொள்வது போல, நகரத்தார்கள் என்ற சமூகத்தினரின் சமையல் பக்குவம் ஆகும்","செ ட ்டி நாடு    ச மைய ல்    என்பது,    தமிழ் நாட ்ட ின்    செ ட ்டி நாடு ப்    பகுதிய ைச்    சேர்ந்த    நாட ்ட ுக ்க ோ ட ்ட ை    செ ட ்ட ியா ர்கள்    அ ல் ல து,    அவர்கள ே    த ங்களை    அழை த ்த ுக ்க ொ ள்வது    போல ,    நகர த ்த ார்கள்    என்ற    சமூ கத ்த ின ரின்    ச மைய ல்    பக ்க ுவ ம்    ஆக ும் ",179,69
7,"லவங்கப்பட்டை பூர்வீகமாக இந்தியாவில் விளையக்கூடியது, ஆக அது மணப்பொருள் முதல் மருந்துப்பொருள் வரை பலதரப்பட்ட பயன்பாடுகள் கொண்டுள்ளது","ல வங்க ப ்ப ட ்ட ை    பூர்வீ கமாக    இந்தியாவில்    விள ைய க ்க ூ டிய து,    ஆக    அது    மண ப ்ப ொருள்    முதல்    மருந்து ப ்ப ொருள்    வரை    பல தர ப ்ப ட ்ட   பயன்பா டுகள்    கொண்ட ுள்ளது ",118,39
8,இதை ஒரு மாவு இடிக்கும் கல்லில் அல்லது உரலில் போட்டு மாவுப் பொடியாக ஆக்கவும்,இதை    ஒரு    மா வு    இ டி க ்க ும்    கல் லில்    அ ல் ல து    உர லில்    போட ்டு    மா வுப்    பொ டியாக    ஆக ்க வும் ,65,26
9,"பஞ்சாபின் ஒவ்வொரு நகரமும் வெவ்வேறு விருப்பங்கள் கொண்டுள்ளது, எடுத்துக்காட்டாக அம்ரித்சர் மக்களுக்கு அம்ரித்சரி குல்ச்சே, ஸ்டஃப்டு பராத்தா மற்றும் பால் ஆகாரங்கள் மீது தனிப் பிரியம்","பஞ்சா பின்    ஒ வ் வொரு    நகர மும்    வெ வ் வேறு    விரு ப ்ப ங்கள்    கொண்ட ுள்ளது,    எடு த ்த ுக ்க ா ட ்ட ாக    அம ் ரி த ்ச ர்    மக ்கள ுக ்க ு    அம ் ரி த ்ச ரி    கு ல்ச ்ச ே,    ஸ்ட ஃப ்டு    பரா த ்த ா    மற்றும்    பால்    ஆ கார ங்கள்    மீது    தன ிப்    பிர ியம் ",161,63
10,"ராமனை முனிவருடன் அனுப்பு, லக்ஷ்மணனையும் அவருடன் அனுப்பு","ரா மன ை    மு னி வரு டன்    அனுப ்ப ு,    ல க் ஷ் மண ன ையும்    அவரு டன்    அனுப ்ப ு ",50,21
11,எனினும் மங்கள் பாண்டேயின் வீரச் செயல் ஓர் உயரிய உன்னதமான இலட்சியத்தை நோக்கி அமைந்திருந்தது,எனினும்    ம ங்கள்    பாண்ட ேய ின்    வீர ச்    செய ல்    ஓர்    உய ரிய    உ ன் ன தமான    இல ட்ச ிய த ்த ை    நோ க ்க ி    அமைந்த ிருந்த து ,80,30
12,"வெங்காயத்தின் நிறம் மாறியதும் ஊறவைக்கப்பட்ட இறைச்சியுடன் மஞ்சள் பொடி சேர்த்து சிறிது நேரம் வதக்கவும், மசாலா பொருட்கள் அனைத்தும் இறைச்சியில் நன்கு பிடிக்கும் வரை, அதாவது சுமார் 5-6 நிமிடங்கள் இவ்வாறு வதக்கவும்","வெ ங்க ாய த ்த ின்    நிற ம்    மாற ிய தும்    ஊ ற வை க ்க ப ்ப ட ்ட   இற ை ச ்ச ியுடன்    மஞ்சள்    பொ டி    சே ர்த ்த ு    சிறிது    நேரம்    வ தக ்க வும்,    ம சால ா    பொருட்கள்    அனை த ்த ும்    இற ை ச ்ச ியில்    நன்கு    பிடி க ்க ும்    வரை,    அதாவது    சுமார்    5 - 6    நிமிடங்கள்    இ வ் வா று    வ தக ்க வும் ",185,71
13,"ஹிதோபதேசம் என்பது பறவைகள், விலங்குகள் மற்றும் மனிதர்களைக் கதாபாத்திரங்களாகக் கொண்டு உலகியல் ஞானத்தைப் போதிக்கும் புத்தகம்","ஹி தோ ப தேச ம்    என்பது    பற வ ைகள்,    விலங்கு கள்    மற்றும்    மனித ர்களைக்    கதா பாத ்த ிர ங்கள ாகக்    கொண்டு    உலக ியல்    ஞான த ்த ைப்    போ திக ்க ும்    பு த ்த கம் ",110,35
14,"சம்ஸ்கிருத மொழிப் புலமை, விவேகமான நடைமுறை அறிவு ஆகியவற்றை ஊக்குவிப்பதே இந்தப் புத்தகத்தின் நோக்கமாகத் தெரிகிறது","ச ம் ஸ்க ிரு த    மொழ ிப்    புல மை,    வி வேக மான    நடை முறை    அறி வு    ஆகியவற்றை    ஊ க ்க ு விப ்ப தே    இந்தப்    பு த ்த கத ்த ின்    நோ க ்க மாகத்    தெரி கிறது ",100,37
