sentence_index,original_sentence,tokenized_sentence,token_count
1,"ਇਕ ਵਿਅਕਤੀ ਦਾ ਪਹਿਰਾਵਾ ਜੀਵੇਂ ਕਿ ਉਸ ਦੇ ਜੁੱਤੇ, ਕੱਪੜੇ, ਨੈਕਟਾਈ,ਆਭੂਸ਼ਣ, ਬਾਲ ਬਣਾਉਣ ਦਾ ਤਰੀਕਾ, ਮੈਕ-ਅੱਪ, ਘੜੀ, ਅਤਰ ਆਦੀ ਉਸ ਦਿਆਂ ਵਿਸ਼ੇਸ਼ਤਵਾਂ ਦਰਸਾਉਂਦਾ ਹੈ I","ਇਕ   ਵਿਅਕਤੀ   ਦਾ   ਪਹਿ ਰਾ ਵਾ   ਜੀ ਵੇਂ   ਕਿ   ਉਸ   ਦੇ   ਜੁ ੱ ਤੇ ,   ਕੱਪੜੇ ,   ਨੈ ਕ ਟਾਈ , ਆ ਭੂ ਸ਼ਣ ,   ਬਾਲ   ਬਣਾਉਣ   ਦਾ   ਤਰੀ ਕਾ ,   ਮੈ ਕ - ਅੱਪ ,   ਘ ੜੀ ,   ਅ ਤਰ   ਆ ਦੀ   ਉਸ   ਦਿਆਂ   ਵਿਸ਼ੇਸ਼ ਤ ਵਾਂ   ਦਰਸਾਉਂ ਦਾ   ਹੈ   I</w>",52
2,ਮਹਾਰਾਸ਼ਟਰਾ ਦੇ ਔਰੰਗਾਬਾਦ ਜਿਲ੍ਹੇ ਵਿੱਚ ਸਥਿਤ ਅਜੰਤਾ ਵਿੱਚ ਉਨੱਤੀ ਕੇਟਿਆ ਅਤੇ ਵਿਹਾਰਾ ਗੁਫ਼ਾਵਾ ਹਨ ਜੋਂ ਪਿਹਲੀ ਸਦੀ ਤੋਂ ਲੈ ਕੇ ਪੰਜਵੀ ਸਦੀ ਤੱਕ ਦੀਆਂ ਮੂਰਤੀਆਂ ਅਤੇ ਚਿਤੱਰਕਾਰੀ ਨਾਲ ਸਜਿਆ ਹੋਈਆਂ ਹਨ I,ਮਹਾ ਰਾ ਸ਼ ਟ ਰਾ   ਦੇ   ਔ ਰੰ ਗਾ ਬਾਦ   ਜਿ ਲ੍ਹੇ   ਵਿੱਚ   ਸਥਿਤ   ਅ ਜੰ ਤਾ   ਵਿੱਚ   ਉ ਨ ੱ ਤੀ   ਕੇ ਟਿ ਆ   ਅਤੇ   ਵਿ ਹਾ ਰਾ   ਗੁ ਫ਼ ਾ ਵਾ   ਹਨ   ਜੋਂ   ਪਿ ਹ ਲੀ   ਸਦੀ   ਤੋਂ   ਲੈ   ਕੇ   ਪੰਜ ਵੀ   ਸਦੀ   ਤੱਕ   ਦੀਆਂ   ਮੂਰਤੀ ਆਂ   ਅਤੇ   ਚਿਤ ੱ ਰ ਕਾਰੀ   ਨਾਲ   ਸ ਜਿਆ   ਹੋਈ ਆਂ   ਹਨ   I</w>,61
3,ਸ਼ਰੀਰ ਦਾ ਰੰਗ ਬਾਹਰਲੀ ਸ਼੍ਰੇਣੀ ਨਾਲ ਜੁੜ ਕੇ ਇੱਕ ਵੱਡੇ ਅਕਾਰ ਦੀ ਭਾਂਤ ਦਿੰਦਾ ਹੈ I,ਸ਼ ਰੀ ਰ   ਦਾ   ਰੰਗ   ਬਾਹਰ ਲੀ   ਸ਼੍ਰੇਣੀ   ਨਾਲ   ਜੁ ੜ   ਕੇ   ਇੱਕ   ਵੱਡੇ   ਅ ਕਾਰ   ਦੀ   ਭਾਂ ਤ   ਦਿੰ ਦਾ   ਹੈ   I</w>,23
4,"ਅਸ਼ੋਕਾ ਨੇ ਵੱਧ-ਚੜ ਕੇ ਪਧੱਰ ਦਾ ਪ੍ਰਯੋਗ ਕਰਵੇ ਮੂਰਤੀਆਂ ਅਤੇ ਹੋਰ ਸਮਾਰਕ ਬਣਵਾਣ ਦੇ ਲਈ, ਇਸ ਤੋਂ ਪਹਿਲਾਂ ਸਾਰੀਆਂ ਇਮਾਰਤਾਂ ਲੱਕੜ ਅਤੇ ਮਿੱਟੀ ਦਿਆਂ ਬਣਦੀਆਂ ਸਨ I","ਅ ਸ਼ੋ ਕਾ   ਨੇ   ਵੱਧ - ਚ ੜ   ਕੇ   ਪ ਧ ੱ ਰ   ਦਾ   ਪ੍ਰ ਯੋਗ   ਕਰ ਵੇ   ਮੂਰਤੀ ਆਂ   ਅਤੇ   ਹੋਰ   ਸਮਾਰ ਕ   ਬਣ ਵਾ ਣ   ਦੇ   ਲਈ,   ਇਸ   ਤੋਂ   ਪਹਿਲਾਂ   ਸਾਰੀਆਂ   ਇ ਮਾਰ ਤਾਂ   ਲੱਕੜ   ਅਤੇ   ਮਿੱਟੀ   ਦਿਆਂ   ਬਣ ਦੀਆਂ   ਸਨ   I</w>",44
5,ਮਹਾਰਾਸ਼ਟਰ ਦੀ ਇਹ ਜ਼ਾਇਕੇਦਾਰ ਅਤੇ ਮਸ਼ਹੂਰ ਪਕਵਾਨ ਬਣਾਉਨਣ ਲਈ ਆਲੂਆਂ ਨੂੰ ਮਸਲਿਆ ਨਾਲ ਰਲਾ ਕੇ ਫ਼ੇਰ ਬੇਸਨ ਦੀ ਇਕ ਪਰਤ ਚੜਾ ਕੇ ਤਲਿਆ ਜਾਂਦਾ ਹੈ I,ਮਹਾਰਾਸ਼ਟਰ   ਦੀ   ਇਹ   ਜ਼ਾ ਇ ਕੇ ਦਾਰ   ਅਤੇ   ਮਸ਼ਹੂਰ   ਪਕ ਵਾਨ   ਬਣਾ ਉ ਨ ਣ   ਲਈ   ਆ ਲੂ ਆਂ   ਨੂੰ   ਮਸ ਲਿਆ   ਨਾਲ   ਰ ਲਾ   ਕੇ   ਫ਼ ੇ ਰ   ਬੇ ਸਨ   ਦੀ   ਇਕ   ਪ ਰਤ   ਚ ੜਾ   ਕੇ   ਤ ਲਿਆ   ਜਾਂਦਾ   ਹੈ   I</w>,43
6,"ਨਾਟੂਕੋਟਾਈ ਚਿਟੈਆਰ ਜਾਂ ਨਾਗਾਰਾਥਰ ਸਮੁਦਾਈ ਜੋ ਕਿ ਤਾਮਿਲਨਾਡੂ ਰਾਜ ਦੇ ਚੈਟਿਨਾਦ ਇਲਾਕੇ ਤੋਂ ਹਨ, ਓਨ੍ਹਾਂ ਦੇ ਖਾਣ-ਪਿਣ ਨੂੰ ""ਚੈਟਿਨਾਦ ਕੁਰਜ਼ੀਨ"" ਨਾਲ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ I","ਨਾ ਟੂ ਕੋ ਟਾਈ   ਚਿ ਟੈ ਆਰ   ਜਾਂ   ਨਾਗਾ ਰਾ ਥ ਰ   ਸਮੁ ਦਾਈ   ਜੋ   ਕਿ   ਤਾਮਿਲਨਾਡੂ   ਰਾਜ   ਦੇ   ਚੈ ਟਿ ਨਾ ਦ   ਇਲਾ ਕੇ   ਤੋਂ   ਹਨ,   ਓ ਨ੍ਹਾਂ   ਦੇ   ਖਾ ਣ - ਪਿ ਣ   ਨੂੰ   "" ਚੈ ਟਿ ਨਾ ਦ   ਕੁ ਰ ਜ਼ ੀ ਨ ""   ਨਾਲ   ਜਾਣਿਆ   ਜਾਂਦਾ   ਹੈ   I</w>",52
7,ਦਾਲ - ਚੀਨੀ ਇੱਕ ਦੇਸੀ ਮਸਾਲਾ ਹੈ ਅਤੇ ਇਸ ਦੀ ਵਰਤੋਂ ਖਾਣ - ਪੀਣ ਤੋ ਲੈ ਕੇ ਦਵਾਈਆ ਤੱਕ ਕਿਤੀ ਜਾਂਦੀ ਹੈ I,ਦਾ ਲ   -   ਚੀਨੀ   ਇੱਕ   ਦੇ ਸੀ   ਮ ਸਾਲਾ   ਹੈ   ਅਤੇ   ਇਸ   ਦੀ   ਵਰਤੋਂ   ਖਾ ਣ   -   ਪੀ ਣ   ਤੋ   ਲੈ   ਕੇ   ਦ ਵਾਈ ਆ   ਤੱਕ   ਕਿ ਤੀ   ਜਾਂਦੀ   ਹੈ   I</w>,31
8,ਇਸ ਨੂੰ ਮਿਕਸਰ ਜਾ ਘੋਟਣੇ ਦੀ ਵਰਤੋ ਨਾਲ ਚੂਰੇ ਵਿੱਚ ਘੋਟ ਲੋ I,ਇਸ   ਨੂੰ   ਮਿਕ ਸਰ   ਜਾ   ਘੋ ਟ ਣੇ   ਦੀ   ਵਰ ਤੋ   ਨਾਲ   ਚੂ ਰੇ   ਵਿੱਚ   ਘੋ ਟ   ਲੋ   I</w>,19
9,"ਪੰਜਾਬ ਦੇ ਹਰ ਇੱਕ ਸ਼ਹਿਰ ਦੇ ਖਾਣੇ ਦੀ ਪਸੰਦ ਅਲਗ ਹੈ, ਜੀਵੇਂ ਕਿ ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਲੋਕਾਂ ਨੂੰ ਕੁੱਲਚੇ-ਛੋਲੇ, ਪ੍ਰੌਂਠੇ ਅਤੇ ਦੁੱਧ ਤੋ ਬਣੀ ਚੀਜ਼ਾ ਪਸੰਦ ਹਨ I","ਪੰਜਾਬ   ਦੇ   ਹਰ   ਇੱਕ   ਸ਼ਹਿਰ   ਦੇ   ਖਾ ਣੇ   ਦੀ   ਪਸੰਦ   ਅ ਲਗ   ਹੈ,   ਜੀ ਵੇਂ   ਕਿ   ਅੰ ਮ੍ਰਿ ਤ ਸਰ   ਦੇ   ਲੋਕਾਂ   ਨੂੰ   ਕੁੱਲ ਚੇ - ਛੋ ਲੇ ,   ਪ੍ਰੌਂ ਠੇ   ਅਤੇ   ਦੁ ੱਧ   ਤੋ   ਬਣੀ   ਚੀ ਜ਼ਾ   ਪਸੰਦ   ਹਨ   I</w>",41
10,ਰਾਮ ਅਤੇ ਲਕਸ਼ਮਣ ਨੂੰ ਸਾਧੂ ਮੁਨੀ ਨਾਲ ਭੇਜੋਂ I,ਰਾਮ   ਅਤੇ   ਲਕਸ਼ ਮ ਣ   ਨੂੰ   ਸਾ ਧੂ   ਮੁ ਨੀ   ਨਾਲ   ਭੇ ਜੋਂ   I</w>,14
