sentence_index,original_sentence,tokenized_sentence,token_count
1,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం","బా హ్య   రూపం   అనేది   సేవ   చేసే   వ్యక్తి   తాలూకు   బూ ట్లు,   బ ట్ట లు,   టై ,   ఆ భ ర ణా లు,   కే శా లం కరణ ,   అలం కరణ ,   గ డియా రం ,   సౌం ద ర్య   సాధ నాలు ,అ త్త రు   మొదలైన టువంటి   వాటి కి   సంబంధించిన   లక్ష ణాల   సమా హా రం",50
2,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి","మహారాష్ట్ర   లోని   ఔ రంగా బాద్   జిల్లాలో   నెలకొని   ఉన్న అ జం తా ,   ఇ ర వై   తొ మ్మి ది   చై త్యా   మరియు   వి హా రా   గుహ లు   కలిగి   ఉంది,   ఇవి   క్రీ   పూ   ఒక ట వ   శతా బ్దం -   క్రీ   శ   ఐ దవ   శ త బ్దం   మధ్య   కాల పు   శి ల్పా లు   మరియు   చిత్రా లతో   అలం కరిం చబడి   ఉంటా యి",58
3,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది","శరీ రపు   రంగు   ఆ వరణ రే ఖ తో   కలిసి పో యి,   ఘన పరిమా ణ   భా వం   కలిగి స్తుంది",18
4,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు","అశో కుడు   శి ల్పా లు,   గొప్ప   కట్ట డాల   కోసం   రా తిని   విస్తృతంగా   ఉపయోగిం చడం   మొదలు పెట్టా డు,   కా గా   అంత కు   మును పటి   సంప్రదాయం లో   చెక్క   మరియు   బం క మట్టి ని   ఉపయోగించే వారు",33
5,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు","మహారాష్ట్ర కు   చెందిన   ఈ   రు చి కరమైన ,   ప్రసిద్ధ   వంట కాన్ని   తయారు   చేయడానికి   బంగా ళా దుం ప లను   మ సా లా లతో   కలి పి ,   శ నగ పిం డి లో   ముం చి   నూ నె లో   బాగా   వే యి స్తారు",39
6,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి","చె ట్టి నా డ్   వంట   శైలి   తమిళనాడు   రాష్ట్రంలోని   చె ట్టి నా డ్   ప్రాంతా నికి   చెందిన   నా ట్టు కో ట్టై   చె ట్టి యా ర్లు ,   లేదా   నగ ర త్తా ర్లు   అని   వారిని   వారు   పి లు చు కొ నే   సముదా యానికి   చెందిన   వంట   శైలి",42
7,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి","దా ల్చి న చెక్క   భారతదేశానికి   స్థానిక మైన ది,   అలాగే   దాని   ఉపయో గా ల   పరిధి   సు వా స నా   సాధ కా నికి   సంబంధిం చడం   నుండి   ఔ ష ధ   సాధ కా నికి   సంబంధిం చే   వరకు   ఉంటా యి",35
8,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి,దీనిని   తిర గలి లో   గా ని   లేదా   రో ట్లో   గా ని   పొ డిగా   చే యం డి,16
9,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం","పంజా బు లో   ప్రతీ   నగరం   వి భిన్న మైన   అభి రు చు లు   కలిగి   ఉంటుంది,   ఎలా గం టే   అ మృ త్‌ స ర్‌లోని   ప్రజ లకు   అ మృ త్‌ సరి   కు ల్చా లు,   స్ట ఫ్డ్   ప రా ఠా లు,   పాల   ఉత్పత్తు లం టే   ఇ ష్టం",43
10,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి","రా ము డిని   ముని తో   పం పిం చం డి,   అలాగే   ల క్ష్మ ణు డిని   కూడా   పం పిం చం డి",19
11,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది","అయితే   మంగ ళ్   పాం డే   యొక్క   సా హ స   కృ త్యం ,   ఉన్న తమైన ,   ఉదా త్త మైన   సి ద్ధాం తం   పట్ల   భ క్తి తో   చేయబడిన ది",27
12,"ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి","ఉ ల్లి పా య లు   మ గ్గా క,   నా న బె ట్టిన   మ టన్   తో   బాటు   ప సు పు   వే సి   కా సే పు   మ సా లా ల న్నీ   మ టన్   పీ ల్చు కునే దా కా   ఒక   5 - 6   నిమిషా ల బాటు   వే యిం చుకోవా లి",47
13,"హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం","హి తో ప దేశ   అనేది   పక్షు లు,   జంతు వు లు,   మానవ   పాత్ర ల   ద్వారా   ప్రా పం చి క   జ్ఞా నాన్ని   అందించే   గ్రం థం",23
14,సంస్కృత వ్యక్తీకరణలో ప్రావీణ్యాన్ని మరియు వివేకవంతమైన ప్రవర్తనకు సంబంధించిన జ్ఞానాన్ని ప్రోత్సహించడం ఈ పుస్తకం యొక్క ఉద్దేశ్యంగా కనిపిస్తోంది,సంస్కృ త   వ్య క్తీ కరణ లో   ప్రా వీ ణ్యా న్ని   మరియు   వి వే క వంతమైన   ప్ర వర్త న కు   సంబంధించిన   జ్ఞా నాన్ని   ప్రోత్సహిం చడం   ఈ   పుస్త కం   యొక్క   ఉద్దే శ్యం గా   కనిపి స్తోం ది,34
15,ప్రొఫెసర్ అసిత్ కుమార్ బందోపాధ్యాయ్ ఆయన సొంతఊరు హౌరా సంపూర్ణ చరిత్రను 1994 మరియు 1995 లో హౌరా సహరర్ ఇతిబ్రిత్తో పేరున (మొదటి మరియు రెండవ భాగం) సంకలనం చేయడంలో మార్గదర్శకులుగా వ్యవహరించారు,ప్రొఫె సర్   అ సి త్   కుమార్   బం దో పా ధ్యా య్   ఆయన   సొంత ఊ రు   హౌ రా   సం పూ ర్ణ   చరిత్ర ను   199 4   మరియు   199 5   లో   హౌ రా   సహ ర ర్   ఇ తి బ్రి త్తో   పేరు న   ( మొదటి   మరియు   రెండవ   భాగం )   సం కల నం   చేయడం లో   మార్గ దర్శ కు లుగా   వ్యవ హరిం చారు,57
16,"చైత్యా చావడి ముందు భాగాన శాశించే వరుస అర్ధ వృత్తాకార చైత్యా ఆర్చీలతో తెరచి ఉన్నచెక్క ముఖద్వారం కలిగి ఉంటుంది, అలాగే, మరి కొన్నిటిలో శాశించే చైత్యా ఆర్చీల గవాక్షం ఉండదు","చై త్యా   చా వ డి   ముందు   భాగా న   శా శిం చే   వరుస   అ ర్ధ   వృ త్తా కార   చై త్యా   ఆ ర్చీ లతో   తెర చి   ఉన్న చెక్క   ముఖ ద్వా రం   కలిగి   ఉంటుంది,   అలాగే ,   మరి   కొన్ని టి లో   శా శిం చే   చై త్యా   ఆ ర్చీ ల   గవా క్షం   ఉండ దు",49
