original,tokenized,token_count,word_count
"ଚେହେରା ହେଉଛି ସେବାରେ ନିୟୋଜିତ ବ୍ୟକ୍ତିଜଣକଙ୍କର ବୈଶିଷ୍ଟ୍ୟଗୁଡ଼ିକର ଏକ ସମାହାର, ଯଥା ତାଙ୍କ ଜୋତା, ପୋଷାକ, ଟାଇ, ଅଳଙ୍କାର, କେଶବିନ୍ୟାସ, ବେଶ-ସଜ୍ଜା, ହାତଘଣ୍ଟା, ପ୍ରସାଧନ ସାମଗ୍ରୀ, ଅତର, ଇତ୍ୟାଦି","ଚେ ହେ ରା   ହେ ଉ ଛି   ସେ ବା ରେ   ନି ୟ ୋ ଜି ତ   ବ୍ ୟ କ୍ତି ଜ ଣ କ ଙ୍କ ର   ବୈ ଶି ଷ୍ଟ୍ ୟ ଗୁ ଡ଼ ି କ ର   ଏ କ   ସ ମା ହା ର ,   ଯ ଥା   ତା ଙ୍କ   ଜୋ ତା ,   ପୋ ଷା କ ,   ଟା ଇ ,   ଅ ଳ ଙ୍କା ର ,   କେ ଶ ବି ନ୍ ୟ ା ସ ,   ବେ ଶ - ସ ଜ୍ଜା ,   ହା ତ ଘ ଣ୍ଟା ,   ପ୍ର ସା ଧ ନ   ସା ମ ଗ୍ରୀ ,   ଅ ତ ର ,   ଇ ତ୍ ୟ ା ଦି",93,21
ମହାରାଷ୍ଟ୍ରର ଔରଙ୍ଗାବାଦ୍ ଜିଲ୍ଲାରେ ଅବସ୍ଥିତ ଅଜନ୍ତାରେ ଖ୍ରୀଷ୍ଟପୂର୍ବ ପ୍ରଥମ ଶତାବ୍ଦୀରୁ ଖ୍ରୀଷ୍ଟାବ୍ଦ ପଞ୍ଚମ ଶତାବ୍ଦୀ ସମୟର ସ୍ଥାପତ୍ୟ ଓ ଚିତ୍ରକଳାରେ ସୁସଜ୍ଜିତ ଅଣତିରିଶଟି ଚୈତ୍ୟ ଓ ବିହାର ଗୁମ୍ଫା ରହିଛି,ମ ହା ରା ଷ୍ଟ୍ର ର   ଔ ର ଙ୍ଗା ବା ଦ୍   ଜି ଲ୍ଲା ରେ   ଅ ବ ସ୍ଥି ତ   ଅ ଜ ନ୍ତା ରେ   ଖ୍ରୀ ଷ୍ଟ ପୂ ର୍ବ   ପ୍ର ଥ ମ   ଶ ତା ବ୍ଦୀ ରୁ   ଖ୍ରୀ ଷ୍ଟା ବ୍ଦ   ପ ଞ୍ଚ ମ   ଶ ତା ବ୍ଦୀ   ସ ମ ୟ ର   ସ୍ଥା ପ ତ୍ ୟ   ଓ   ଚି ତ୍ର କ ଳା ରେ   ସୁ ସ ଜ୍ଜି ତ   ଅ ଣ ତି ରି ଶ ଟି   ଚୈ ତ୍ ୟ   ଓ   ବି ହା ର   ଗୁ ମ୍ଫା   ର ହି ଛି,77,22
"ଶରୀରର ରଙ୍ଗ ବାହ୍ୟ ରେଖା ସହ ମିଶିଯାଇଥାଏ, ଯାହା ଘନତ୍ୱର ପ୍ରଭାବ ସୃଷ୍ଟି କରିଥାଏ","ଶ ରୀ ର ର   ର ଙ୍ଗ   ବା ହ୍ ୟ   ରେ ଖା   ସ ହ   ମି ଶି ଯା ଇ ଥା ଏ ,   ଯା ହା   ଘ ନ ତ୍ ୱ ର   ପ୍ର ଭା ବ   ସୃ ଷ୍ଟି   କ ରି ଥା ଏ",36,11
"ମୂର୍ତ୍ତିକଳା ଓ ପ୍ରସିଦ୍ଧ ସ୍ମାରକୀଗୁଡ଼ିକରେ ପଥରର ବ୍ୟାପକ ବ୍ୟବହାର ଅଶୋକ ଆରମ୍ଭ କରିଥିଲେ, ଯେବେକି ପୂର୍ବବର୍ତ୍ତୀ ପରମ୍ପରାରେ କାଠ ଓ ମାଟିର ବ୍ୟବହାର କରାଯାଉଥିଲା","ମୂ ର୍ତ୍ତି କ ଳା   ଓ   ପ୍ର ସି ଦ୍ଧ   ସ୍ମା ର କୀ ଗୁ ଡ ଼ ି କ ରେ   ପ ଥ ର ର   ବ୍ ୟ ା ପ କ   ବ୍ ୟ ବ ହା ର   ଅ ଶୋ କ   ଆ ର ମ୍ଭ   କ ରି ଥି ଲେ ,   ଯେ ବେ କି   ପୂ ର୍ବ ବ ର୍ତ୍ତୀ   ପ ର ମ୍ପ ରା ରେ   କା ଠ   ଓ   ମା ଟି ର   ବ୍ ୟ ବ ହା ର   କ ରା ଯା ଉ ଥି ଲା",71,18
"ମହାରାଷ୍ଟ୍ରର ଏହି ଲୋକପ୍ରିୟ ଓ ସ୍ୱାଦିଷ୍ଟ ଖାଦ୍ୟଟି ଆଳୁକୁ ମସଲା ସହ ମିଶାଇ, ଗୋଳା ହୋଇଥିବା ବେସନରେ ବୁଡ଼ାଇ, ତା'ପରେ ଭଲ ଭାବେ ଛଣାଯାଇ ତିଆରି କରାଯାଇଥାଏ","ମ ହା ରା ଷ୍ଟ୍ର ର   ଏ ହି   ଲୋ କ ପ୍ରି ୟ   ଓ   ସ୍ ୱ ା ଦି ଷ୍ଟ   ଖା ଦ୍ ୟ ଟି   ଆ ଳୁ କୁ   ମ ସ ଲା   ସ ହ   ମି ଶା ଇ ,   ଗୋ ଳା   ହୋ ଇ ଥି ବା   ବେ ସ ନ ରେ   ବୁ ଡ ଼ ା ଇ ,   ତା ' ପ ରେ   ଭ ଲ   ଭା ବେ   ଛ ଣା ଯା ଇ   ତି ଆ ରି   କ ରା ଯା ଇ ଥା ଏ",70,20
ଚେଟିନାଡ୍‌ ପାକବିଧି ହେଉଛି ତାମିଲନାଡୁ ରାଜ୍ୟର ଚେଟିନାଡ୍ ଅଞ୍ଚଳର 'ନାଟୁକୋଟାଇ ଚେଟିୟାର୍' କୁହାଯାଉଥିବା ବା ନିଜକୁ 'ନାଗରଥାର୍' କହୁଥିବା ଏକ ସମ୍ପ୍ରଦାୟର ପାକବିଧି,ଚେ ଟି ନା ଡ୍   ପା କ ବି ଧି   ହେ ଉ ଛି   ତା ମି ଲ ନା ଡୁ   ରା ଜ୍ ୟ ର   ଚେ ଟି ନା ଡ୍   ଅ ଞ୍ଚ ଳ ର   ' ନା ଟୁ କୋ ଟା ଇ   ଚେ ଟି ୟ ା ର୍ '   କୁ ହା ଯା ଉ ଥି ବା   ବା   ନି ଜ କୁ   ' ନା ଗ ର ଥା ର୍ '   କ ହୁ ଥି ବା   ଏ କ   ସ ମ୍ପ୍ର ଦା ୟ ର   ପା କ ବି ଧି,72,17
"ଡାଳଚିନି ଭାରତର ସ୍ଵଦେଶୀ, ଏବଂ ଏମିତିରେ, ଏହାର ବ୍ୟବହାର ଏକ ସ୍ଵାଦକାରୀ ଦ୍ରବ୍ୟରୁ ନେଇ ଔଷଧୀୟ ଦ୍ରବ୍ୟ ପର୍ଯ୍ୟନ୍ତ ହୋଇଥାଏ","ଡା ଳ ଚି ନି   ଭା ର ତ ର   ସ୍ଵ ଦେ ଶୀ ,   ଏ ବଂ   ଏ ମି ତି ରେ ,   ଏ ହା ର   ବ୍ ୟ ବ ହା ର   ଏ କ   ସ୍ଵା ଦ କା ରୀ   ଦ୍ର ବ୍ ୟ ରୁ   ନେ ଇ   ଔ ଷ ଧୀ ୟ   ଦ୍ର ବ୍ ୟ   ପ ର୍ଯ୍ ୟ ନ୍ତ   ହୋ ଇ ଥା ଏ",54,15
ଏହାକୁ ଏକ ଶୁଖିଲା ଗ୍ରାଇଣ୍ଡର କିମ୍ବା ପଥରର ହେମଦସ୍ତା ସାହାଯ୍ୟରେ ଗୁଣ୍ଡରେ ପରିଣତ କରନ୍ତୁ,ଏ ହା କୁ   ଏ କ   ଶୁ ଖି ଲା   ଗ୍ରା ଇ ଣ୍ଡ ର   କି ମ୍ବା   ପ ଥ ର ର   ହେ ମ ଦ ସ୍ତା   ସା ହା ଯ୍ ୟ ରେ   ଗୁ ଣ୍ଡ ରେ   ପ ରି ଣ ତ   କ ର ନ୍ତୁ,37,11
"ପଞ୍ଜାବର ପ୍ରତ୍ୟେକ ସହରର ଭିନ୍ନ ଭିନ୍ନ ପସନ୍ଦ ରହିଛି, ଯେପରିକି ଅମୃତସରର ଲୋକେ ବିଶେଷତଃ ଅମୃତସରୀ କୁଲ୍‌ଚା, ପୁରଦିଆ ପରଟା ଏବଂ ଦୁଗ୍ଧଜାତ ଦ୍ରବ୍ୟକୁ ଭଲପାଆନ୍ତି","ପ ଞ୍ଜା ବ ର   ପ୍ର ତ୍ ୟ େ କ   ସ ହ ର ର   ଭି ନ୍ନ   ଭି ନ୍ନ   ପ ସ ନ୍ଦ   ର ହି ଛି ,   ଯେ ପ ରି କି   ଅ ମୃ ତ ସ ର ର   ଲୋ କେ   ବି ଶେ ଷ ତଃ   ଅ ମୃ ତ ସ ରୀ   କୁ ଲ୍ ଚା ,   ପୁ ର ଦି ଆ   ପ ର ଟା   ଏ ବଂ   ଦୁ ଗ୍ଧ ଜା ତ   ଦ୍ର ବ୍ ୟ କୁ   ଭ ଲ ପା ଆ ନ୍ତି",71,19
"ଋଷିଙ୍କ ସାଙ୍ଗରେ ରାମଙ୍କୁ ପଠେଇ ଦିଅନ୍ତୁ, ଏବଂ ଲକ୍ଷ୍ମଣଙ୍କୁ ମଧ୍ୟ ପଠାନ୍ତୁ","ଋ ଷି ଙ୍କ   ସା ଙ୍ଗ ରେ   ରା ମ ଙ୍କୁ   ପ ଠେ ଇ   ଦି ଅ ନ୍ତୁ ,   ଏ ବଂ   ଲ କ୍ଷ୍ମ ଣ ଙ୍କୁ   ମ ଧ୍ ୟ   ପ ଠା ନ୍ତୁ",28,9
