original,tokenized,token_count,word_count
"ᱢᱩᱴᱷᱟᱹᱱ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱪᱟᱹᱠᱨᱤᱭᱟᱱ ᱦᱚᱲ ᱥᱟᱶᱛᱮ ᱥᱟᱹᱜᱟᱹᱭᱟᱱᱟᱜ ᱜᱩᱱ ᱠᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱛᱷᱚᱯᱮ ᱡᱮᱞᱮᱠᱟ ᱯᱚᱴᱚᱢ ᱯᱟᱱᱟᱦᱤ, ᱠᱤᱪᱨᱤᱪ ᱠᱷᱟᱹᱸᱰᱣᱟᱹᱜ, ᱴᱟᱭ, ᱜᱚᱭᱱᱟ, ᱩᱯ ᱨᱮᱭᱟᱜ ᱥᱴᱟᱭᱤᱞ, ᱢᱮᱠᱼᱟᱯ, ᱜᱷᱟᱹᱲᱤ, ᱥᱟᱡᱟᱣᱼᱟᱜ, ᱥᱮᱱᱴ ᱮᱢᱟᱱ ᱠᱚ ᱾","ᱢ ᱩ ᱴ ᱷ ᱟ ᱹ ᱱ   ᱫ ᱚ   ᱦ ᱩ ᱭ ᱩ ᱜ   ᱠ ᱟ ᱱ ᱟ   ᱪ ᱟ ᱹ ᱠ ᱨ ᱤ ᱭ ᱟ ᱱ   ᱦ ᱚ ᱲ   ᱥ ᱟ ᱶ ᱛ ᱮ   ᱥ ᱟ ᱹ ᱜ ᱟ ᱹ ᱭ ᱟ ᱱ ᱟ ᱜ   ᱜ ᱩ ᱱ   ᱠ ᱚ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱢ ᱤ ᱫ   ᱛ ᱷ ᱚ ᱯ ᱮ   ᱡ ᱮ ᱞ ᱮ ᱠ ᱟ   ᱯ ᱚ ᱴ ᱚ ᱢ   ᱯ ᱟ ᱱ ᱟ ᱦ ᱤ ,   ᱠ ᱤ ᱪ ᱨ ᱤ ᱪ   ᱠ ᱷ ᱟ ᱹ ᱸ ᱰ ᱣ ᱟ ᱹ ᱜ ,   ᱴ ᱟ ᱭ ,   ᱜ ᱚ ᱭ ᱱ ᱟ ,   ᱩ ᱯ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱥ ᱴ ᱟ ᱭ ᱤ ᱞ ,   ᱢ ᱮ ᱠ ᱼ ᱟ ᱯ ,   ᱜ ᱷ ᱟ ᱹ ᱲ ᱤ ,   ᱥ ᱟ ᱡ ᱟ ᱣ ᱼ ᱟ ᱜ ,   ᱥ ᱮ ᱱ ᱴ   ᱮ ᱢ ᱟ ᱱ   ᱠ ᱚ   ᱾",157,30
ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱳᱣᱨᱚᱝᱜᱟᱵᱟᱫ ᱦᱚᱱᱚᱛ ᱨᱮ ᱢᱮᱱᱟᱜ ᱚᱡᱚᱱᱛᱟ ᱨᱮ ᱒᱙ ᱜᱚᱴᱟᱝ ᱪᱳᱭᱛᱚ ᱟᱨ ᱵᱤᱦᱟᱨ ᱜᱷᱚᱸᱜᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱠᱷᱨᱤᱥᱴᱚᱯᱩᱨᱵᱚ ᱯᱳᱭᱞᱳ ᱥᱚᱛᱟᱵᱫᱤ ᱨᱮᱭᱟᱜ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱪᱤᱛᱟᱹᱨᱛᱮ ᱥᱟᱡᱟᱣ ᱟᱠᱟᱱᱟ ᱢᱚᱬᱮ ᱥᱚᱛᱟᱵᱫᱤ ᱦᱟᱹᱵᱤᱡ ᱾,ᱢ ᱚ ᱦ ᱟ ᱨ ᱟ ᱥ ᱴ ᱨ ᱚ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱳ ᱣ ᱨ ᱚ ᱝ ᱜ ᱟ ᱵ ᱟ ᱫ   ᱦ ᱚ ᱱ ᱚ ᱛ   ᱨ ᱮ   ᱢ ᱮ ᱱ ᱟ ᱜ   ᱚ ᱡ ᱚ ᱱ ᱛ ᱟ   ᱨ ᱮ   ᱒ ᱙   ᱜ ᱚ ᱴ ᱟ ᱝ   ᱪ ᱳ ᱭ ᱛ ᱚ   ᱟ ᱨ   ᱵ ᱤ ᱦ ᱟ ᱨ   ᱜ ᱷ ᱚ ᱸ ᱜ ᱚ ᱨ   ᱢ ᱮ ᱱ ᱟ ᱜ ᱼ ᱟ   ᱡ ᱟ ᱸ ᱦ ᱟ   ᱫ ᱚ   ᱠ ᱷ ᱨ ᱤ ᱥ ᱴ ᱚ ᱯ ᱩ ᱨ ᱵ ᱚ   ᱯ ᱳ ᱭ ᱞ ᱳ   ᱥ ᱚ ᱛ ᱟ ᱵ ᱫ ᱤ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱠ ᱷ ᱚ ᱫ ᱟ   ᱪ ᱤ ᱛ ᱟ ᱹ ᱨ   ᱟ ᱨ   ᱪ ᱤ ᱛ ᱟ ᱹ ᱨ ᱛ ᱮ   ᱥ ᱟ ᱡ ᱟ ᱣ   ᱟ ᱠ ᱟ ᱱ ᱟ   ᱢ ᱚ ᱬ ᱮ   ᱥ ᱚ ᱛ ᱟ ᱵ ᱫ ᱤ   ᱦ ᱟ ᱹ ᱵ ᱤ ᱡ   ᱾,163,31
"ᱦᱚᱲᱢᱚ ᱨᱮᱭᱟᱜ ᱨᱚᱝ ᱫᱚ ᱵᱟᱨᱦᱮ ᱞᱟᱭᱤᱱ ᱛᱮ ᱢᱤᱫ ᱟᱠᱟᱱᱟ, ᱥᱤᱢᱟᱹ ᱨᱮᱭᱟᱜ ᱚᱨᱥᱚᱝᱮ ᱥᱤᱨᱡᱟᱹᱣᱮᱫᱼᱟ ᱾","ᱦ ᱚ ᱲ ᱢ ᱚ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱨ ᱚ ᱝ   ᱫ ᱚ   ᱵ ᱟ ᱨ ᱦ ᱮ   ᱞ ᱟ ᱭ ᱤ ᱱ   ᱛ ᱮ   ᱢ ᱤ ᱫ   ᱟ ᱠ ᱟ ᱱ ᱟ ,   ᱥ ᱤ ᱢ ᱟ ᱹ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱚ ᱨ ᱥ ᱚ ᱝ ᱮ   ᱥ ᱤ ᱨ ᱡ ᱟ ᱹ ᱣ ᱮ ᱫ ᱼ ᱟ   ᱾",64,14
"ᱚᱥᱚᱠ ᱫᱚ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱥᱚᱨᱮᱥ ᱫᱤᱱᱤᱥᱟᱹ ᱠᱷᱩᱱᱴᱤ ᱠᱩ ᱞᱟᱹᱜᱤᱫ ᱰᱷᱮᱨ ᱠᱟᱭᱛᱮ ᱫᱷᱤᱨᱤᱭ ᱵᱮᱵᱚᱦᱟᱨ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱞᱟᱦᱟᱱ ᱥᱮᱨᱣᱟ ᱨᱮ ᱫᱚ ᱠᱟᱴᱷ ᱟᱨ ᱦᱟᱥᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱵᱚᱦᱟᱨᱟᱠᱟᱱᱟ ᱾ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾","ᱚ ᱥ ᱚ ᱠ   ᱫ ᱚ   ᱠ ᱷ ᱚ ᱫ ᱟ   ᱪ ᱤ ᱛ ᱟ ᱹ ᱨ   ᱟ ᱨ   ᱥ ᱚ ᱨ ᱮ ᱥ   ᱫ ᱤ ᱱ ᱤ ᱥ ᱟ ᱹ   ᱠ ᱷ ᱩ ᱱ ᱴ ᱤ   ᱠ ᱩ   ᱞ ᱟ ᱹ ᱜ ᱤ ᱫ   ᱰ ᱷ ᱮ ᱨ   ᱠ ᱟ ᱭ ᱛ ᱮ   ᱫ ᱷ ᱤ ᱨ ᱤ ᱭ   ᱵ ᱮ ᱵ ᱚ ᱦ ᱟ ᱨ   ᱞ ᱮ ᱫ ᱟ ,   ᱡ ᱟ ᱦ ᱟ ᱸ   ᱨ ᱮ   ᱞ ᱟ ᱦ ᱟ ᱱ   ᱥ ᱮ ᱨ ᱣ ᱟ   ᱨ ᱮ   ᱫ ᱚ   ᱠ ᱟ ᱴ ᱷ   ᱟ ᱨ   ᱦ ᱟ ᱥ ᱟ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱵ ᱮ ᱵ ᱚ ᱦ ᱟ ᱨ ᱟ ᱠ ᱟ ᱱ ᱟ   ᱾   ᱛ ᱟ ᱦ ᱮ ᱸ ᱠ ᱟ ᱱ ᱟ   ᱾",131,29
"ᱢᱚᱥᱞᱟ ᱢᱮᱥᱟᱞ ᱟᱹᱞᱩ, ᱵᱮᱥᱚᱱ ᱨᱮ ᱪᱟᱰᱳ ᱠᱟᱛᱮᱜ ᱟᱨ ᱟᱹᱰᱤ ᱟᱸᱴ ᱵᱷᱟᱡᱟ ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱱᱚᱣᱟ ᱥᱤᱵᱤᱞ ᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱯᱮᱨᱮᱡ ᱯᱩᱨᱩᱱᱟ ᱾","ᱢ ᱚ ᱥ ᱞ ᱟ   ᱢ ᱮ ᱥ ᱟ ᱞ   ᱟ ᱹ ᱞ ᱩ ,   ᱵ ᱮ ᱥ ᱚ ᱱ   ᱨ ᱮ   ᱪ ᱟ ᱰ ᱳ   ᱠ ᱟ ᱛ ᱮ ᱜ   ᱟ ᱨ   ᱟ ᱹ ᱰ ᱤ   ᱟ ᱸ ᱴ   ᱵ ᱷ ᱟ ᱡ ᱟ   ᱢ ᱚ ᱦ ᱟ ᱨ ᱟ ᱥ ᱴ ᱨ ᱚ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱱ ᱚ ᱣ ᱟ   ᱥ ᱤ ᱵ ᱤ ᱞ   ᱟ ᱨ   ᱧ ᱩ ᱛ ᱩ ᱢ ᱟ ᱱ   ᱡ ᱚ ᱢ ᱟ ᱜ   ᱠ ᱷ ᱚ ᱱ   ᱯ ᱮ ᱨ ᱮ ᱡ   ᱯ ᱩ ᱨ ᱩ ᱱ ᱟ   ᱾",99,22
ᱪᱮᱴᱴᱤᱱᱟᱰ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱫᱚ ᱛᱟᱢᱤᱞᱱᱟᱲᱩ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱮᱴᱴᱤᱱᱟᱫ ᱴᱚᱴᱷᱟ ᱱᱟᱴᱴᱩᱠᱳᱴᱟᱭ ᱪᱮᱴᱴᱤᱭᱟᱨ ᱥᱮ ᱱᱟᱜᱟᱨ ᱛᱷᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱾,ᱪ ᱮ ᱴ ᱴ ᱤ ᱱ ᱟ ᱰ   ᱤ ᱥ ᱤ ᱱ   ᱵ ᱟ ᱥ ᱟ ᱝ   ᱫ ᱚ   ᱛ ᱟ ᱢ ᱤ ᱞ ᱱ ᱟ ᱲ ᱩ   ᱯ ᱚ ᱱ ᱚ ᱛ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱪ ᱮ ᱴ ᱴ ᱤ ᱱ ᱟ ᱫ   ᱴ ᱚ ᱴ ᱷ ᱟ   ᱱ ᱟ ᱴ ᱴ ᱩ ᱠ ᱳ ᱴ ᱟ ᱭ   ᱪ ᱮ ᱴ ᱴ ᱤ ᱭ ᱟ ᱨ   ᱥ ᱮ   ᱱ ᱟ ᱜ ᱟ ᱨ   ᱛ ᱷ ᱟ ᱨ   ᱧ ᱩ ᱛ ᱩ ᱢ ᱟ ᱱ   ᱦ ᱚ ᱲ   ᱠ ᱚ ᱣ ᱟ ᱜ   ᱤ ᱥ ᱤ ᱱ   ᱵ ᱟ ᱥ ᱟ ᱝ   ᱾,105,20
"ᱫᱟᱨᱩᱪᱤᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱛᱷᱟᱹᱱᱤᱛ ᱟᱨ ᱡᱮᱞᱮᱠᱟ, ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱤᱢᱟᱹ ᱢᱤᱫᱴᱮᱱ ᱥᱤᱵᱤᱞ ᱠᱷᱚᱱ ᱨᱟᱱ ᱦᱟᱹᱵᱤᱡ ᱾","ᱫ ᱟ ᱨ ᱩ ᱪ ᱤ ᱱ ᱤ   ᱫ ᱚ   ᱵ ᱷ ᱟ ᱨ ᱚ ᱛ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱛ ᱷ ᱟ ᱹ ᱱ ᱤ ᱛ   ᱟ ᱨ   ᱡ ᱮ ᱞ ᱮ ᱠ ᱟ ,   ᱱ ᱚ ᱣ ᱟ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱵ ᱮ ᱣ ᱦ ᱟ ᱨ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱥ ᱤ ᱢ ᱟ ᱹ   ᱢ ᱤ ᱫ ᱴ ᱮ ᱱ   ᱥ ᱤ ᱵ ᱤ ᱞ   ᱠ ᱷ ᱚ ᱱ   ᱨ ᱟ ᱱ   ᱦ ᱟ ᱹ ᱵ ᱤ ᱡ   ᱾",87,18
ᱱᱚᱣᱟ ᱢᱤᱫᱴᱮᱱ ᱨᱚᱦᱚᱲ ᱜᱩᱸᱰᱟᱹ ᱟᱜ ᱛᱮ ᱥᱮ ᱫᱷᱤᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱩᱴᱷᱟᱹᱱ ᱛᱮ ᱜᱩᱸᱰᱟᱹᱭ ᱢᱮ ᱾,ᱱ ᱚ ᱣ ᱟ   ᱢ ᱤ ᱫ ᱴ ᱮ ᱱ   ᱨ ᱚ ᱦ ᱚ ᱲ   ᱜ ᱩ ᱸ ᱰ ᱟ ᱹ   ᱟ ᱜ   ᱛ ᱮ   ᱥ ᱮ   ᱫ ᱷ ᱤ ᱨ ᱤ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱢ ᱩ ᱴ ᱷ ᱟ ᱹ ᱱ   ᱛ ᱮ   ᱜ ᱩ ᱸ ᱰ ᱟ ᱹ ᱭ   ᱢ ᱮ   ᱾,56,14
"ᱯᱟᱧᱡᱟᱵ ᱨᱮᱭᱟᱜ ᱢᱤᱢᱤᱫ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱮᱜᱟᱨ ᱵᱮᱜᱟᱨ ᱠᱩᱥᱤᱭᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱮᱞᱮᱠᱟ ᱚᱢᱨᱤᱛᱥᱚᱨ ᱨᱮᱱ ᱦᱚᱲ ᱠᱩ ᱫᱚ ᱵᱤᱥᱟᱹᱥ ᱠᱟᱭᱛᱮ ᱚᱢᱨᱤᱛᱥᱚᱨᱤ ᱠᱩᱞᱪᱷ, ᱢᱚᱥᱞᱟᱣᱟᱱ ᱯᱟᱨᱟᱴᱷᱟ ᱟᱨ ᱛᱚᱣᱟ ᱫᱩᱨᱤᱵ ᱠᱩ ᱠᱩ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾","ᱯ ᱟ ᱧ ᱡ ᱟ ᱵ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱢ ᱤ ᱢ ᱤ ᱫ   ᱥ ᱟ ᱦ ᱟ ᱨ   ᱨ ᱮ ᱭ ᱟ ᱜ   ᱵ ᱮ ᱜ ᱟ ᱨ   ᱵ ᱮ ᱜ ᱟ ᱨ   ᱠ ᱩ ᱥ ᱤ ᱭ ᱟ ᱜ   ᱢ ᱮ ᱱ ᱟ ᱜ ᱼ ᱟ ,   ᱡ ᱮ ᱞ ᱮ ᱠ ᱟ   ᱚ ᱢ ᱨ ᱤ ᱛ ᱥ ᱚ ᱨ   ᱨ ᱮ ᱱ   ᱦ ᱚ ᱲ   ᱠ ᱩ   ᱫ ᱚ   ᱵ ᱤ ᱥ ᱟ ᱹ ᱥ   ᱠ ᱟ ᱭ ᱛ ᱮ   ᱚ ᱢ ᱨ ᱤ ᱛ ᱥ ᱚ ᱨ ᱤ   ᱠ ᱩ ᱞ ᱪ ᱷ ,   ᱢ ᱚ ᱥ ᱞ ᱟ ᱣ ᱟ ᱱ   ᱯ ᱟ ᱨ ᱟ ᱴ ᱷ ᱟ   ᱟ ᱨ   ᱛ ᱚ ᱣ ᱟ   ᱫ ᱩ ᱨ ᱤ ᱵ   ᱠ ᱩ   ᱠ ᱩ   ᱠ ᱩ ᱥ ᱤ ᱭ ᱟ ᱜ ᱼ ᱟ   ᱾",141,28
"ᱥᱚᱨᱮᱥ ᱟᱹᱠᱤᱞ ᱥᱟᱞᱟᱜ ᱨᱟᱢ ᱠᱩᱞᱤᱢᱮ, ᱟᱨ ᱥᱟᱸᱣᱛᱮ ᱞᱚᱠᱠᱷᱚᱱ ᱦᱸ ᱾","ᱥ ᱚ ᱨ ᱮ ᱥ   ᱟ ᱹ ᱠ ᱤ ᱞ   ᱥ ᱟ ᱞ ᱟ ᱜ   ᱨ ᱟ ᱢ   ᱠ ᱩ ᱞ ᱤ ᱢ ᱮ ,   ᱟ ᱨ   ᱥ ᱟ ᱸ ᱣ ᱛ ᱮ   ᱞ ᱚ ᱠ ᱠ ᱷ ᱚ ᱱ   ᱦ ᱸ   ᱾",43,10
