original,tokenized,token_count,word_count
"देखिने रूप भनेको उनीहरूका जुत्ता, लुगा, टाई, गहना, केशसज्जा, सिँगार-पटार, घडी, सौन्दर्य प्रसाधन, अत्तर आदि जस्ता सेवा गर्ने व्यक्तिसँग सम्बन्धित विशेषताहरूको समूह हो","दे खि ने   रू प   भ ने को   उ नी ह रू का   जु त्ता ,   लु गा ,   टा ई ,   ग ह ना ,   के श स ज्जा ,   सिँ गा र - प टा र ,   घ डी ,   सौ न्द र्य   प्र सा ध न ,   अ त्त र   आ दि   ज स्ता   से वा   ग र्ने   व्य क्ति सँ ग   स म्ब न्धि त   वि शे ष ता ह रू को   स मू ह   हो",80,23
महाराष्ट्रको औरङ्गावादमा अवस्थित अजन्तासँग पाँचौँ शताब्दी इसापूर्वदेखि पाँचौँ शताब्दी इस्वीका मूर्तिकला अनि चित्रकलाहरू सहितका उनन्तिसवटा चैत्य अनि विहार गुफाहरू छन्,म हा रा ष्ट्र को   औ र ङ्गा वा द मा   अ व स्थि त   अ ज न्ता सँ ग   पाँ चौँ   श ता ब्दी   इ सा पू र्व दे खि   पाँ चौँ   श ता ब्दी   इ स्वी का   मू र्ति क ला   अ नि   चि त्र क ला ह रू   स हि त का   उ न न्ति स व टा   चै त्य   अ नि   वि हा र   गु फा ह रू   छ न्,74,20
आयतनको प्रभाव बनाउँदै कायाको रङ बाहिरी रेखासँग विलय हुन्छ,आ य त न को   प्र भा व   ब ना उ ँ दै   का या को   र ङ   बा हि री   रे खा सँ ग   वि ल य   हु न्छ,30,9
अशोकले मूर्ति र ठुला स्मारकहरूका लागि ढुङ्गाको व्यापक प्रयोग गर्न थाले जबकि अघिल्लो परम्परा काठ र माटाको प्रयोग गर्नु थियो,अ शो क ले   मू र्ति   र   ठु ला   स्मा र क ह रू का   ला गि   ढु ङ्गा को   व्या प क   प्र यो ग   ग र्न   था ले   ज ब कि   अ घि ल्लो   प र म्प रा   का ठ   र   मा टा को   प्र यो ग   ग र्नु   थि यो,53,20
मसला मिसेर बेसनको घोलको लेपन गरेर उत्कृष्ट पाराले तारिएका आलुबाट महाराष्ट्रको यो स्वादिष्ट र प्रसिद्ध परिकार बन्छ,म स ला   मि से र   बे स न को   घो ल को   ले प न   ग रे र   उ त्कृ ष्ट   पा रा ले   ता रि ए का   आ लु बा ट   म हा रा ष्ट्र को   यो   स्वा दि ष्ट   र   प्र सि द्ध   प रि का र   ब न्छ,52,17
छेट्टिनाड भोजन नाट्टुकोटाई छेट्टियार भनिने अथवा आफूहरूलाई नागरथरहरू भन्ने तमिल नाडुको छेट्टिनाड क्षेत्रको एउटा समुदायको भोजन हो,छे ट्टि ना ड   भो ज न   ना ट्टु को टा ई   छे ट्टि या र   भ नि ने   अ थ वा   आ फू ह रू ला ई   ना ग र थ र ह रू   भ न्ने   त मि ल   ना डु को   छे ट्टि ना ड   क्षे त्र को   ए उ टा   स मु दा य को   भो ज न   हो,62,17
दालचिनीको मूल भारत हो र त्यसैले यसको प्रयोग स्वाद दिने पदार्थदेखि औषधीय पदार्थसम्म हुन्छ,दा ल चि नी को   मू ल   भा र त   हो   र   त्य सै ले   य स को   प्र यो ग   स्वा द   दि ने   प दा र्थ दे खि   औ ष धी य   प दा र्थ स म्म   हु न्छ,41,14
यसलाई सुक्खा सिलौटो अथवा ढुङ्गाको लोहोरोले धुलो बनाउनुहोस्,य स ला ई   सु क्खा   सि लौ टो   अ थ वा   ढु ङ्गा को   लो हो रो ले   धु लो   ब ना उ नु हो स्,27,8
"पञ्जाबको हरेक सहरसँग फरक रुचिहरू छन्, जस्तै अमृतसरमा मानिसहरू खासगरी अमृतसरी कुल्चे, भरुवा पराठा अनि दुधका उत्पादनहरूप्रति स्नेही छन्","प ञ्जा ब को   ह रे क   स ह र सँ ग   फ र क   रु चि ह रू   छ न् ,   ज स्तै   अ मृ त स र मा   मा नि स ह रू   खा स ग री   अ मृ त स री   कु ल्चे ,   भ रु वा   प रा ठा   अ नि   दु ध का   उ त्पा द न ह रू प्र ति   स्ने ही   छ न्",70,19
"रामलाई ऋषिसँग पठाउनुहोस्, लक्ष्मणलाई पनि पठाउनुहोस्","रा म ला ई   ऋ षि सँ ग   प ठा उ नु हो स् ,   ल क्ष्म ण ला ई   प नि   प ठा उ नु हो स्",28,6
