original,tokenized,token_count,word_count
"ರೂಪ-ವೇಷವೆಂಬುದು ಸೇವಾ ಸಿಬ್ಬಂದಿಗೆ ಸಂಬಂಧಿಸಿದ ಲಕ್ಷಣಗಳ ಸಮೂಹವಾಗಿದೆ, ಉದಾಹರಣೆಗೆ, ಅವರ ಪಾದರಕ್ಷೆಗಳು, ದಿರಿಸು, ಕಂಠಬಂಧ, ಆಭರಣಗಳು, ಕೇಶವಿನ್ಯಾಸ, ಅಲಂಕಾರ, ಕೈಗಡಿಯಾರ, ಸೌಂದರ್ಯವರ್ಧಕಗಳು, ಸುಗಂಧ ದ್ರವ್ಯ, ಮುಂತಾದವು","ರೂ ಪ - ವೇ ಷ ವೆಂ ಬು ದು   ಸೇ ವಾ   ಸಿ ಬ್ಬಂ ದಿ ಗೆ   ಸಂ ಬಂ ಧಿ ಸಿ ದ   ಲ ಕ್ಷ ಣ ಗ ಳ   ಸ ಮೂ ಹ ವಾ ಗಿ ದೆ ,   ಉ ದಾ ಹ ರ ಣೆ ಗೆ ,   ಅ ವ ರ   ಪಾ ದ ರ ಕ್ಷೆ ಗ ಳು ,   ದಿ ರಿ ಸು ,   ಕಂ ಠ ಬಂ ಧ ,   ಆ ಭ ರ ಣ ಗ ಳು ,   ಕೇ ಶ ವಿ ನ್ಯಾ ಸ ,   ಅ ಲಂ ಕಾ ರ ,   ಕೈ ಗ ಡಿ ಯಾ ರ ,   ಸೌಂ ದ ರ್ಯ ವ ರ್ಧ ಕ ಗ ಳು ,   ಸು ಗಂ ಧ   ದ್ರ ವ್ಯ ,   ಮುಂ ತಾ ದ ವು",100,19
"ಮಹಾರಾಷ್ಟ್ರದ ಔರಂಗಾಬಾದ್‌ ಜಿಲ್ಲೆಯಲ್ಲಿರುವ ಅಜಂತಾ, ಸಾ","ಮ ಹಾ ರಾ ಷ್ಟ್ರ ದ   ಔ ರಂ ಗಾ ಬಾ ದ್   ಜಿ ಲ್ಲೆ ಯ ಲ್ಲಿ ರು ವ   ಅ ಜಂ ತಾ ,   ಸಾ",21,5
ಶ,ಶ,1,1
ಪೂ,ಪೂ,1,1
ಒಂದನೇ ಶತಮಾನದಿಂದ ಸಾ,ಒ ಂ ದ ನೇ   ಶ ತ ಮಾ ನ ದಿಂ ದ   ಸಾ,11,3
ಶ,ಶ,1,1
ಐದನೇ ಶತಮಾನದವರೆಗಿನ ಅವಧಿಗೆ ಸೇರಿದ ಶಿಲ್ಪಗಳು ಮತ್ತು ವರ್ಣಚಿತ್ರಗಳಿಂದ ಅಲಂಕೃತವಾದ ಇಪ್ಪತ್ತೊಂಬತ್ತು ಚೈತ್ಯ ಹಾಗೂ ವಿಹಾರ ಗುಹೆಗಳನ್ನು ಹೊಂದಿದೆ,ಐ ದ ನೇ   ಶ ತ ಮಾ ನ ದ ವ ರೆ ಗಿ ನ   ಅ ವ ಧಿ ಗೆ   ಸೇ ರಿ ದ   ಶಿ ಲ್ಪ ಗ ಳು   ಮ ತ್ತು   ವ ರ್ಣ ಚಿ ತ್ರ ಗ ಳಿಂ ದ   ಅ ಲಂ ಕೃ ತ ವಾ ದ   ಇ ಪ್ಪ ತ್ತೊಂ ಬ ತ್ತು   ಚೈ ತ್ಯ   ಹಾ ಗೂ   ವಿ ಹಾ ರ   ಗು ಹೆ ಗ ಳ ನ್ನು   ಹೊಂ ದಿ ದೆ,58,14
ದೇಹದ ಬಣ್ಣವು ಹೊರ ರೇಖೆಯೊಂದಿಗೆ ಸಮ್ಮಿಳಿತವಾಗಿ ಶರೀರಗಾತ್ರದ ವಿಶೇಷ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ,ದೇ ಹ ದ   ಬ ಣ್ಣ ವು   ಹೊ ರ   ರೇ ಖೆ ಯೊಂ ದಿ ಗೆ   ಸ ಮ್ಮಿ ಳಿ ತ ವಾ ಗಿ   ಶ ರೀ ರ ಗಾ ತ್ರ ದ   ವಿ ಶೇ ಷ   ಪ ರಿ ಣಾ ಮ ವ ನ್ನು   ಉ ಂ ಟು ಮಾ ಡು ತ್ತ ದೆ,41,9
"ಹಿಂದಿನ ಪದ್ಧತಿಯು ಮರ ಮತ್ತು ಜೇಡಿಮಣ್ಣಿನ ಬಳಕೆಯನ್ನು ಒಳಗೊಂಡಿತ್ತಾದರೆ, ಅಶೋಕನು ಶಿಲ್ಪಾಕೃತಿಗಳು ಹಾಗೂ ಬೃಹತ್ ಸ್ಮಾರಕಗಳ ನಿರ್ಮಾಣದಲ್ಲಿ ವ್ಯಾಪಕವಾಗಿ ಕಲ್ಲನ್ನು ಬಳಸಲು ಆರಂಭಿಸಿದನು","ಹಿಂ ದಿ ನ   ಪ ದ್ಧ ತಿ ಯು   ಮ ರ   ಮ ತ್ತು   ಜೇ ಡಿ ಮ ಣ್ಣಿ ನ   ಬ ಳ ಕೆ ಯ ನ್ನು   ಒ ಳ ಗೊಂ ಡಿ ತ್ತಾ ದ ರೆ ,   ಅ ಶೋ ಕ ನು   ಶಿ ಲ್ಪಾ ಕೃ ತಿ ಗ ಳು   ಹಾ ಗೂ   ಬೃ ಹ ತ್   ಸ್ಮಾ ರ ಕ ಗ ಳ   ನಿ ರ್ಮಾ ಣ ದ ಲ್ಲಿ   ವ್ಯಾ ಪ ಕ ವಾ ಗಿ   ಕ ಲ್ಲ ನ್ನು   ಬ ಳ ಸ ಲು   ಆ ರಂ ಭಿ ಸಿ ದ ನು",72,17
"ಆಲೂಗೆಡ್ಡೆಗಳನ್ನು ಮಸಾಲೆಯೊಂದಿಗೆ ಬೆರೆಸಿ, ಕಡಲೆ ಹಿಟ್ಟಿನಲ್ಲಿ ಅದ್ದಿ, ಎಣ್ಣೆಯಲ್ಲಿ ಚೆನ್ನಾಗಿ ಕರಿಯುವ ಮೂಲಕ ಮಹಾರಾಷ್ಟ್ರದ ಈ ಸ್ವಾದಿಷ್ಟ ಹಾಗೂ ಜನಪ್ರಿಯ ತಿನಿಸನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ","ಆ ಲೂ ಗೆ ಡ್ಡೆ ಗ ಳ ನ್ನು   ಮ ಸಾ ಲೆ ಯೊಂ ದಿ ಗೆ   ಬೆ ರೆ ಸಿ ,   ಕ ಡ ಲೆ   ಹಿ ಟ್ಟಿ ನ ಲ್ಲಿ   ಅ ದ್ದಿ ,   ಎ ಣ್ಣೆ ಯ ಲ್ಲಿ   ಚೆ ನ್ನಾ ಗಿ   ಕ ರಿ ಯು ವ   ಮೂ ಲ ಕ   ಮ ಹಾ ರಾ ಷ್ಟ್ರ ದ   ಈ   ಸ್ವಾ ದಿ ಷ್ಟ   ಹಾ ಗೂ   ಜ ನ ಪ್ರಿ ಯ   ತಿ ನಿ ಸ ನ್ನು   ತ ಯಾ ರಿ ಸ ಲಾ ಗು ತ್ತ ದೆ",68,17
