sentence_id,original,tokenized,char_count,token_count
1,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం","బ ా హ ్ య   ర ూ ప ం   అ న ే ద ి   స ే వ   చ ే స ే   వ ్ య క ్ త ి   త ా ల ూ క ు   బ ూ ట ్ ల ు ,   బ ట ్ ట ల ు ,   ట ై ,   ఆ భ ర ణ ా ల ు ,   క ే శ ా ల ం క ర ణ ,   అ ల ం క ర ణ ,   గ డ ి య ా ర ం ,   స ౌ ం ద ర ్ య   స ా ధ న ా ల ు , అ త ్ త ర ు   మ ొ ద ల ై న ట ు వ ం ట ి   వ ా ట ి క ి   స ం బ ం ధ ి ం చ ి న   ల క ్ ష ణ ా ల   స మ ా హ ా ర ం",147,167
2,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి","మ హ ా ర ా ష ్ ట ్ ర   ల ో న ి   ఔ ర ం గ ా బ ా ద ్   జ ి ల ్ ల ా ల ో   న ె ల క ొ న ి   ఉ న ్ న అ జ ం త ా ,   ఇ ర వ ై   త ొ మ ్ మ ి ద ి   చ ై త ్ య ా   మ ర ి య ు   వ ి హ ా ర ా   గ ు హ ల ు   క ల ి గ ి   ఉ ం ద ి ,   ఇ వ ి   క ్ ర ీ   ప ూ   ఒ క ట వ   శ త ా బ ్ ద ం -   క ్ ర ీ   శ   ఐ ద వ   శ త బ ్ ద ం   మ ధ ్ య   క ా ల ప ు   శ ి ల ్ ప ా ల ు   మ ర ి య ు   చ ి త ్ ర ా ల త ో   అ ల ం క ర ి ం చ బ డ ి   ఉ ం ట ా య ి",175,204
3,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది","శ ర ీ ర ప ు   ర ం గ ు   ఆ వ ర ణ ర ే ఖ త ో   క ల ి స ి ప ో య ి ,   ఘ న ప ర ి మ ా ణ   భ ా వ ం   క ల ి గ ి స ్ త ు ం ద ి",53,59
4,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు","అ శ ో క ు డ ు   శ ి ల ్ ప ా ల ు ,   గ ొ ప ్ ప   క ట ్ ట డ ా ల   క ో స ం   ర ా త ి న ి   వ ి స ్ త ృ త ం గ ా   ఉ ప య ో గ ి ం చ డ ం   మ ొ ద ల ు ప ె ట ్ ట ా డ ు ,   క ా గ ా   అ ం త క ు   మ ు న ు ప ట ి   స ం ప ్ ర ద ా య ం ల ో   చ ె క ్ క   మ ర ి య ు   బ ం క మ ట ్ ట ి న ి   ఉ ప య ో గ ి ం చ ే వ ా ర ు",132,148
5,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు","మ హ ా ర ా ష ్ ట ్ ర క ు   చ ె ం ద ి న   ఈ   ర ు చ ి క ర మ ై న ,   ప ్ ర స ి ద ్ ధ   వ ం ట క ా న ్ న ి   త య ా ర ు   చ ే య డ ా న ి క ి   బ ం గ ా ళ ా ద ు ం ప ల న ు   మ స ా ల ా ల త ో   క ల ి ప ి ,   శ న గ ప ి ం డ ి ల ో   మ ు ం చ ి   న ూ న ె ల ో   బ ా గ ా   వ ే య ి స ్ త ా ర ు",122,137
6,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి","చ ె ట ్ ట ి న ా డ ్   వ ం ట   శ ై ల ి   త మ ి ళ న ా డ ు   ర ా ష ్ ట ్ ర ం ల ో న ి   చ ె ట ్ ట ి న ా డ ్   ప ్ ర ా ం త ా న ి క ి   చ ె ం ద ి న   న ా ట ్ ట ు క ో ట ్ ట ై   చ ె ట ్ ట ి య ా ర ్ ల ు ,   ల ే ద ా   న గ ర త ్ త ా ర ్ ల ు   అ న ి   వ ా ర ి న ి   వ ా ర ు   ప ి ల ు చ ు క ొ న ే   స మ ు ద ా య ా న ి క ి   చ ె ం ద ి న   వ ం ట   శ ై ల ి",151,170
7,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి","ద ా ల ్ చ ి న చ ె క ్ క   భ ా ర త ద ే శ ా న ి క ి   స ్ థ ా న ి క మ ై న ద ి ,   అ ల ా గ ే   ద ా న ి   ఉ ప య ో గ ా ల   ప ర ి ధ ి   స ు వ ా స న ా   స ా ధ క ా న ి క ి   స ం బ ం ధ ి ం చ డ ం   న ు ం డ ి   ఔ ష ధ   స ా ధ క ా న ి క ి   స ం బ ం ధ ి ం చ ే   వ ర క ు   ఉ ం ట ా య ి",120,135
8,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి,ద ీ న ి న ి   త ి ర గ ల ి ల ో   గ ా న ి   ల ే ద ా   ర ో ట ్ ల ో   గ ా న ి   ప ొ డ ి గ ా   చ ే య ం డ ి,44,51
9,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం","ప ం జ ా బ ు ల ో   ప ్ ర త ీ   న గ ర ం   వ ి భ ి న ్ న మ ై న   అ భ ి ర ు చ ు ల ు   క ల ి గ ి   ఉ ం ట ు ం ద ి ,   ఎ ల ా గ ం ట ే   అ మ ృ త ్ ‌ స ర ్ ‌ ల ో న ి   ప ్ ర జ ల క ు   అ మ ృ త ్ ‌ స ర ి   క ు ల ్ చ ా ల ు ,   స ్ ట ఫ ్ డ ్   ప ర ా ఠ ా ల ు ,   ప ా ల   ఉ త ్ ప త ్ త ు ల ం ట ే   ఇ ష ్ ట ం",130,146
10,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి","ర ా మ ు డ ి న ి   మ ు న ి త ో   ప ం ప ి ం చ ం డ ి ,   అ ల ా గ ే   ల క ్ ష ్ మ ణ ు డ ి న ి   క ూ డ ా   ప ం ప ి ం చ ం డ ి",54,60
