sentence_id,original,tokenized,char_count,token_count
1,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం","బా హ ్య    రూప ం    అనేది    సే వ    చేసే    వ్యక్తి    తాలూకు    బూ ట్లు,    బట్ట లు,    టై ,    ఆ భ రణ ాలు,    కేశ ాల ం కరణ ,    అలం కరణ ,    గ డియ ార ం,    సౌ ంద ర్య    సాధ నాలు , అ త్త రు    మొద లైన టువంటి    వా టికి    సంబంధించిన    లక్షణ ాల    సమా హార ం ",147,53
2,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి","మహారాష్ట్ర    లోని    ఔరంగ ా బాద్    జిల్లాలో    నెలకొని    ఉన్న అ జంత ా,    ఇర వై    తొమ్మి ది    చై త్య ా    మరియు    వి హార ా    గుహలు    కలిగి    ఉంది,    ఇవి    క్ర ీ    ప ూ    ఒకట వ    శతాబ్ద ం -    క్ర ీ    శ    ఐ దవ    శ త బ్ద ం    మధ్య    కాల పు    శిల్ప ాలు    మరియు    చిత్ర ాలతో    అలం కరించ బడి    ఉంట ాయి ",175,57
3,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది","శరీ ర పు    రంగు    ఆ వర ణ రేఖ తో    కలి సి పోయ ి,    ఘ న పరి మా ణ    భావ ం    కలిగ ి స్తుంది ",53,23
4,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు","అశో కుడు    శి ల్ పాల ు,    గొప్ప    కట్ట డ ాల    కోసం    రా తిని    విస్తృతంగా    ఉపయోగ ించడం    మొదలు పెట్ట ాడు,    కా గా    అంత కు    మునుపటి    సంప్రదాయ ంలో    చె క్క    మరియు    బ ంక మట్ట ిని    ఉపయోగ ించే వారు ",132,36
5,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు","మహారాష్ట్ర కు    చెందిన    ఈ    రు చిక ర మైన,    ప్రసిద్ధ    వంట కాన్ని    తయారు    చేయడానికి    బంగాళా దు ంప లను    మ స ాల ాలతో    కలి ప ి,    శ నగ పిం డి లో    ము ంచి    నూ నె లో    బాగా    వే యి స్త ారు ",122,39
6,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి","చె ట్ట ిన ాడ్    వంట   శైలి    తమిళనాడు    రాష్ట్ర ంలోని    చె ట్ట ిన ాడ్    ప్రాంతానికి    చెందిన    నా ట్టు కో ట్ట ై    చె ట్ట ియ ార్ లు,    లేదా    నగర త్త ార్ లు    అని    వారిని    వారు    పిలు చు కొ నే    సముదాయ ానికి    చెందిన    వంట   శైలి ",151,42
7,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి","ద ాల ్చ ిన చె క్క    భారతదేశ ానికి    స్థానిక మైన ది,    అలాగే    దాని    ఉపయోగ ాల    పరి ధి    సు వాస నా    సాధ క ానికి    సంబంధ ించడం    నుండి    ఔ ష ధ   సాధ క ానికి    సంబంధ ించే    వరకు    ఉంట ాయి ",120,37
8,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి,దీనిని    తిర గలి లో    గా ని    లేదా    రో ట్లో    గా ని    పొ డిగా    చేయ ండి ,44,15
9,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం","పంజా బు లో    ప్ర తీ    నగరం    విభి న్న మైన    అభి రు చ ులు    కలిగి    ఉంటుంది,    ఎ లా గ ంటే    అమ ృ త్‌ స ర్‌లోని    ప్రజ లకు    అమ ృ త్‌ సరి    కుల ్చ ాలు,    స్ట ఫ్ డ్    ప రా ఠ ాలు,    పాల    ఉత్పత్త ుల ంటే    ఇష్ట ం ",130,46
10,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి","రా ము డిని    ముని తో    పంప ించ ండి,    అలాగే    లక్ష్ మ ణ ు డిని    కూడా    పంప ించ ండి ",54,18
