original,tokenized,token_count,word_count
"इक दखौट सेवा करने आह्‌‌‌ले व्यक्ति कन्नै सरबंधत खासियतें दा इक समूह् ऐ, जिʼयां उंʼदे जुत्ते, टल्ले, टाई, गैह्‌‌‌ना-बंद्धा, बाल, शंगार, घड़ी, सौंदर्य प्रसाधन, अतर आदि","इ क   द खौ ट   से वा   क र ने   आ ह् ले   व्य क्ति   क न्नै   स र बं ध त   खा सि य तें   दा   इ क   स मू ह्   ऐ ,   जि ʼ यां   उ ं ʼ दे   जु त्ते ,   ट ल्ले ,   टा ई ,   गै ह् ना - बं द्धा ,   बा ल ,   शं गा र ,   घ ड़ी ,   सौं द र्य   प्र सा ध न ,   अ त र   आ दि",80,26
महाराष्ट्र दे औरंगाबाद जि'ले च स्थित अजंता च नत्ती चैत्य ते विहार न जिʼनें गी पैह्‌ली सदी ईसा पूर्व दियें मूर्तियें ते चित्रें कन्नै सजाया गेदा ऐ,म हा रा ष्ट्र   दे   औ रं गा बा द   जि ' ले   च   स्थि त   अ जं ता   च   न त्ती   चै त्य   ते   वि हा र   न   जि ʼ नें   गी   पै ह् ली   स दी   ई सा   पू र्व   दि यें   मू र्ति यें   ते   चि त्रें   क न्नै   स जा या   गे दा   ऐ,58,27
शरीरै दा रंग बाह्‌री रेखा च रलियै फलाऽ दा प्रभाव पैदा करदा ऐ,श री रै   दा   रं ग   बा ह् री   रे खा   च   र लि यै   फ ला ऽ   दा   प्र भा व   पै दा   क र दा   ऐ,28,13
"अशोक ने मूर्तियें ते महान स्मारकें आस्तै पत्थरै दा खु'ल्लियै इस्तेमाल करना शुरू कीता, जद् के पिछली परंपरा च लकड़ी ते मिट्टी कन्नै कम्म करना शामल हा","अ शो क   ने   मू र्ति यें   ते   म हा न   स्मा र कें   आ स्तै   प त्थ रै   दा   खु ' ल्लि यै   इ स्ते मा ल   क र ना   शु रू   की ता ,   ज द्   के   पि छ ली   प रं प रा   च   ल क ड़ ी   ते   मि ट्टी   क न्नै   क म्म   क र ना   शा म ल   हा",65,27
"महाराष्ट्र दा एह्‌‌ सुआदला ते मश्हूर व्यंजन बनाने आस्तै आलुएं गी मसालें च मलाया जंदा ऐ, बेसन दे घोल च लपेटियै पूरी चाल्ली शैल तलेआ जंदा ऐ","म हा रा ष्ट्र   दा   ए ह्   सु आ द ला   ते   म श्हू र   व्यं ज न   ब ना ने   आ स्तै   आ लु ए ं   गी   म सा लें   च   म ला या   जं दा   ऐ ,   बे स न   दे   घो ल   च   ल पे टि यै   पू री   चा ल्ली   शै ल   त ले आ   जं दा   ऐ",62,27
"चेट्टीनाड व्यंजन तमिलनाडु रियासता दे चेट्टीनाड प्रदेश दी नट्टुकोट्टई चेट्टियार, जां नगरथार नामी इक बिरादरी ,जिʼयां के ओह्‌‌ अपने आपै गी आखदे न, दा व्यंजन ऐ","चे ट्टी ना ड   व्यं ज न   त मि ल ना डु   रि या स ता   दे   चे ट्टी ना ड   प्र दे श   दी   न ट्टु को ट्ट ई   चे ट्टि या र ,   जां   न ग र था र   ना मी   इ क   बि रा द री   , जि ʼ यां   के   ओ ह्   अ प ने   आ पै   गी   आ ख दे   न ,   दा   व्यं ज न   ऐ",72,26
"दालचीनी भारत दा देसी बूह्‌टा ऐ ते, एह्‌‌‌दा इस्तेमाल इक खुशबो कारक शा लेइयै औशधी कारक दे तौर पर होंदा ऐ","दा ल ची नी   भा र त   दा   दे सी   बू ह् टा   ऐ   ते ,   ए ह् दा   इ स्ते मा ल   इ क   खु श बो   का र क   शा   ले इ यै   औ श धी   का र क   दे   तौ र   प र   हों दा   ऐ",49,21
सुक्के ग्राइंडर जां पत्थरे दे डंडे कन्नै इसदा पाउडर बनाई लैओ,सु क्के   ग्रा इ ं ड र   जां   प त्थ रे   दे   डं डे   क न्नै   इ स दा   पा उ ड र   ब ना ई   लै ओ,28,11
"पंजाब दे हर इक शैह्‌रै दियां बक्खो-बक्ख तरजीहां न, जिʼयां अमृतसरै दे लोक खास तौरा पर अमृतसरी कुल्चे, भरवां परौंठे ते दुद्ध उत्पादन पसंद करदे न","पं जा ब   दे   ह र   इ क   शै ह् रै   दि यां   ब क्खो - ब क्ख   त र जी हां   न ,   जि ʼ यां   अ मृ त स रै   दे   लो क   खा स   तौ रा   प र   अ मृ त स री   कु ल्चे ,   भ र वां   प रौं ठे   ते   दु द्ध   उ त्पा द न   प सं द   क र दे   न",69,26
"रामचंद्र गी रिशी दे कन्नै भेजो, ते लक्ष्मण गी बी भेजो","रा म चं द्र   गी   रि शी   दे   क न्नै   भे जो ,   ते   ल क्ष्म ण   गी   बी   भे जो",21,11
पर मंगल पांडे दा वीरतापूर्ण कम्म इक उच्च ते महान सिद्धांत दे प्रति समर्पण कारण कीता गेआ हा,प र   मं ग ल   पां डे   दा   वी र ता पू र्ण   क म्म   इ क   उ च्च   ते   म हा न   सि द्धां त   दे   प्र ति   स म र्प ण   का र ण   की ता   गे आ   हा,41,18
