sentence_id,original,tokenized,char_count,token_count
1,"देखिने रूप भनेको उनीहरूका जुत्ता, लुगा, टाई, गहना, केशसज्जा, सिँगार-पटार, घडी, सौन्दर्य प्रसाधन, अत्तर आदि जस्ता सेवा गर्ने व्यक्तिसँग सम्बन्धित विशेषताहरूको समूह हो","देखिने    रूप    भनेको    उनीहरूका    जु त् ता,    लु गा,    टा ई,    गह ना,    के श स ज् जा ,    सिँ गार - पट ार ,    घ डी,    सौ न् दर् य    प ्र साध न,    अ त् तर    आदि    जस् ता    सेवा    गर् ने    व ्यक् ति सँग    सम् बन् धित    विशेष ताहरूको    समूह    हो ",143,55
2,महाराष्ट्रको औरङ्गावादमा अवस्थित अजन्तासँग पाँचौँ शताब्दी इसापूर्वदेखि पाँचौँ शताब्दी इस्वीका मूर्तिकला अनि चित्रकलाहरू सहितका उनन्तिसवटा चैत्य अनि विहार गुफाहरू छन्,महाराष् ट ्रको    औरङ् गा वा दमा    अवस् थित    अ जन् ता सँग    पाँचौँ    शताब् दी    इसापूर् व देखि    पाँचौँ    शताब् दी    इस् वी का    मूर् ति कला    अनि    चित ्र कला हरू    सहि तका    उन न् ति स वटा    च ै त ्य    अनि    वि हार    गुफाहरू    छन् ,146,49
3,आयतनको प्रभाव बनाउँदै कायाको रङ बाहिरी रेखासँग विलय हुन्छ,आ यत नको    प ्रभाव    बना उँदै    का या को    रङ    बाहिरी    रेखा सँग    वि लय    हुन् छ ,49,18
4,अशोकले मूर्ति र ठुला स्मारकहरूका लागि ढुङ्गाको व्यापक प्रयोग गर्न थाले जबकि अघिल्लो परम्परा काठ र माटाको प्रयोग गर्नु थियो,अशो कले    मूर् ति    र    ठुला    स् मार कहरूका    लागि    ढुङ् गाको    व ्यापक    प ्रयोग    गर् न    था ले    जबकि    अघिल् लो    परम् परा    का ठ    र    मा टाको    प ्रयोग    गर् नु    थियो ,103,35
5,मसला मिसेर बेसनको घोलको लेपन गरेर उत्कृष्ट पाराले तारिएका आलुबाट महाराष्ट्रको यो स्वादिष्ट र प्रसिद्ध परिकार बन्छ,मस ला    मि से र    बे सनको    घो लको    ले पन    गरेर    उत् कृष् ट    पार ा ले    तार िएका    आ लु बाट    महाराष् ट ्रको    यो    स् वा दिष् ट    र    प ्रसिद् ध    परि कार    बन् छ ,97,39
6,छेट्टिनाड भोजन नाट्टुकोटाई छेट्टियार भनिने अथवा आफूहरूलाई नागरथरहरू भन्ने तमिल नाडुको छेट्टिनाड क्षेत्रको एउटा समुदायको भोजन हो,छे ट् टि ना ड    भो जन    ना ट् टु को टा ई    छे ट् ट ियार    भनिने    अथवा    आफू हरूलाई    नागर थ रहरू    भन् ने    तमिल    ना डु को    छे ट् टि ना ड    क् षेत ्रको    एउटा    समुदाय को    भो जन    हो ,111,44
7,दालचिनीको मूल भारत हो र त्यसैले यसको प्रयोग स्वाद दिने पदार्थदेखि औषधीय पदार्थसम्म हुन्छ,दाल चि नीको    मूल    भारत    हो    र    त ्यसैले    यसको    प ्रयोग    स् वाद    दिने    पदार् थ देखि    औष धीय    पदार् थ सम् म    हुन् छ ,75,26
8,यसलाई सुक्खा सिलौटो अथवा ढुङ्गाको लोहोरोले धुलो बनाउनुहोस्,यसलाई    सुक् खा    सिल ौ टो    अथवा    ढुङ् गाको    लो हो रो ले    धु लो    बनाउ नुहोस् ,51,17
9,"पञ्जाबको हरेक सहरसँग फरक रुचिहरू छन्, जस्तै अमृतसरमा मानिसहरू खासगरी अमृतसरी कुल्चे, भरुवा पराठा अनि दुधका उत्पादनहरूप्रति स्नेही छन्","पञ् जाब को    हरेक    सहर सँग    फरक    रु चि हरू    छन्,    जस् तै    अ मृत सर मा    मानिसहरू    खा स गरी    अ मृत स री    कु ल् चे ,    भ रु वा    परा ठा    अनि    दु धका    उत् पाद न हरू प ्रति    स् ने ही    छन् ",115,47
10,"रामलाई ऋषिसँग पठाउनुहोस्, लक्ष्मणलाई पनि पठाउनुहोस्","राम लाई    ऋ षि सँग    पठा उ नुहोस्,    लक् ष् म णलाई    पनि    पठा उ नुहोस् ",46,16
11,तर मङ्गल पाण्डेको साहसी कार्य उच्च अनि उदात्त सिद्धान्तबाट गरिएको थियो,तर    मङ् गल    पाण् डेको    साह सी    कार् य    उच् च    अनि    उदा त् त    सिद् धान् तबाट    गरिएको    थियो ,60,20
12,"जब प्याजहरू अर्धपारदर्शक हुन्छन्, मसाला मोलिएको बेसारको धुलो सहितको खसीको मासु हाल्नुहोस् अनि लगभग ५-६ मिनटसम्म सबै मसालाहरू खसीको मासुमा अवशोषित नभएसम्म केही समयका लागि चलाउनुहोस्","जब    प ्या जहरू    अर् ध पार दर् श क    हुन् छन्,    म सा ला    मो लिएको    बे सार को    धु लो    सहितको    ख सीको    मा सु    हाल् नुहोस्    अनि    लगभग    ५ - ६    मि न ट सम् म    सबै    म सा लाहरू    ख सीको    मा सु मा    अव शो षित    नभएसम् म    केही    समयका    लागि    चला उ नुहोस् ",155,59
13,"हितोपदेश चरा, पशु अनि मान्छेहरूको चरित्रद्वारा प्रस्तुत गरिएको एउटा सांसारिक ज्ञानको पुस्तक हो","हि तो प देश    चरा ,    प श ु    अनि    मान् छे हरूको    चरित ्रद् वारा    प ्रस् तुत    गरिएको    एउटा    सां सार िक    ज् ञा नको    पुस् तक    हो ",82,30
14,पुस्तकको उद्देश्य संस्कृत अभिव्यक्तिमा निपुणता र बुद्धिमानी आनीबानीको ज्ञानलाई प्रोत्साहित गर्नु देखिन्छ,पुस् त कको    उद् देश ्य    संस् कृत    अभि व ्यक् तिमा    नि पुण ता    र    बुद् धि मा नी    आ नी बा नीको    ज् ञा नलाई    प ्रोत् साहित    गर् नु    देखिन् छ ,93,34
15,सन् १९९४ अनि १९९५ मा हावडा सहरेर इत्तिवृत्तो शिर्षक राखिएको आफ्नो गृहनगर हावडाको पूर्ण इतिहास सङ्कलन गर्नमा प्राध्यापक असितकुमार बोन्ध्योपाध्यायले अग्रणी भूमिका खेले,सन्    १९९ ४    अनि    १९९ ५    मा    हा व डा    सह रे र    इ त् ति वृत् तो    शि र् षक    राखिएको    आफ् नो    ग ृह नगर    हा व डाको    पूर् ण    इतिहास    सङ् कलन    गर् नमा    प ्रा ध ्यापक    अ सि त कुमार    बो न् ध ्यो पा ध ्या यले    अग ्र णी    भूमिका    खे ले ,143,59
16,चैत्य हलको अगाडिको भागमा काठको बार्दली सहितको सामुन्ने खुल्ला रहेको अर्ध-गोलाकार चैत्य गुम्बजको नमुनाले प्रभुत्व जमाएको छ अनि केही मामिलाहरूमा प्रभुत्व जमाउने किसिमको चैत्य वृत्तखण्डको खिड्की छैन,च ै त ्य    ह लको    अगा डि को    भागमा    काठ को    बा र् द ली    सहितको    सामु न् ने    खु ल् ला    रहेको    अर् ध- गो ला कार    च ै त ्य    गुम् ब जको    न मु नाले    प ्रभुत् व    जमा एको    छ    अनि    केही    मा मिला हरूमा    प ्रभुत् व    जमा उने    किसि मको    च ै त ्य    वृत् त खण् डको    खि ड् की    छैन ,169,69
17,'महाराज' अनि 'खानसामा'( जसरी पोख्त भान्सेहरूलाई पारिम्परिक रूपमा भनिने गरिन्छ)- हरूका पिँढीहरूले शताब्दीहरूमा ती व्यञ्जनहरूमा सिद्धता हासिल गरेका छन् अनि अनिश्रुतिमार्फत यसलाई हजारौँ वर्षसम्म हस्तान्तरण गरेका छन्,' महारा ज '    अनि    ' खा न सामा ' (   जस री    पो ख् त    भा न् से हरूलाई    पारि म् परि क    रूपमा    भनिने    गरिन् छ ) -    हरूका    पि ँ ढ ीहरूले    शताब् दी हरूमा    ती    व ्य ञ् जन हरूमा    सिद् ध ता    हासिल    गरेका    छन्    अनि    अनि श ्रु ति मार् फत    यसलाई    हजारौँ    वर् षसम् म    हस् तान् तरण    गरेका    छन् ,186,67
18,यसको तयारी पारम्परिक रूपमा दरबारी वाजाहरू अर्थात भान्सेहरूको सहयोगमा एकजना वास्ता वाजा अर्थात प्रमुख भान्सेद्वारा गरिन्छ,यसको    तयारी    पार म् परि क    रूपमा    दरबार ी    वा जा हरू    अर् था त    भा न् से हरूको    सहयोगमा    एकजना    वास् ता    वा जा    अर् था त    प ्रमुख    भा न् से द् वारा    गरिन् छ ,105,37
19,पाव भाजी: यो महाराष्ट्रको एउटा फास्ट फुड भोजन हो जसमा प्रायजसो नौनीमा बनाइएको बाक्लो सब्जी तरकारी(भाजी) समावेश हुन्छ अनि नरम ब्रेड रोल(पाव)सँग पस्किने गरिन्छ,पा व    भा जी :    यो    महाराष् ट ्रको    एउटा    फा स् ट    फु ड    भो जन    हो    जसमा    प ्रायजसो    नौ नीमा    बनाइएको    बा क् लो    सब ् जी    तर कारी ( भा जी )    समावेश    हुन् छ    अनि    नर म    ब ्रे ड    रो ल ( पा व ) सँग    पस् कि ने    गरिन् छ ,134,57
