original,tokenized,token_count,word_count
"सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि","से वा   सं बं धी   लो गों   के   लि ए   भे ष   क ई   गु णों   का   सं यो ज न   है ,   जै से   कि   उ न के   जू ते ,   क प ड़े ,   टा ई ,   आ भू ष ण ,   के श   शै ली ,   मे क - अ प ,   घ ड़ी ,   कॉ स्मे टि क ,   इ त्र ,   आ दि",68,25
महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई,म हा रा ष्ट्र   के   औ रं गा बा द   जि ले   में   स्थि त   अ जं ता   में   उ न्ती स   चै त्य   औ र   वि हा र   गु फा ए ँ   हैं   जो   प ह ली   श ता ब्दी   ई,42,18
पू,पू,1,1
से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं,से   ले   क र   पाँ च वीं   श ता ब्दी   ई स्वी   त क   की   मू र्ति यों   त था   चि त्र का रि यों   से   सु स ज्जि त   हैं,31,14
"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है","वि स्ता र   का   अ स र   ब ना ते   हु ए ,   श री र   का   रं ग   बा ह री   रे खा   में   घु ल - मि ल   जा ता   है",33,14
"अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है","अ शो क   ने   व्या प क   रू प   से   मू र्ति यों   औ र   शा न दा र   स्मा र कों   को   ब ना ने   के   लि ए   प त्थ र   का   प्र यो ग   क र ना   शु रू   कि या ,   ज ब कि   उ स से   प ह ले   पा रं प रि क   रू प   से   ल क ड़ी   औ र   मि ट्टी   का   प्र यो ग   कि या   जा ता   है",77,33
"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है","म हा रा ष्ट्र   के   इ स   स्वा दि ष्ट   औ र   प्र सि द्ध   व्यं ज न   में   आ लु ओ ं   में   म सा ले   को   मि ला क र ,   बे स न   के   घो ल   की   प र त   ल गा क र ,   उ से   अ च्छी   त र ह   से   त ल   क र   ब ना या   जा ता   है",66,28
चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है,चे ट्टि ना ड   भो ज न   त मि ल   ना डु   के   चे ट्टि ना ड   क्षे त्र   के   ना ट्टू को टा ई   चे ट्टि या र   ना म क   स मु दा य   या   खु द   को   ना गा र था र   क ह ने   वा लों   का   भो ज न   है,55,21
दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है,दा ल ची नी   मू ल   रू प   से   भा र त   की   है   औ र   इ स   रू प   में   इ स का   प्र यो ग   स्वा दि ष्ट का र क   से   ले क र   औ ष धी य   का र क   के   रू प   में   कि या   जा ता   है,53,24
सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें,सू खे   ग्रा इ ं ड र   में   या   फि र   प त्थ र   के   मू स ल   में   इ स का   चू र्ण   ब ना   लें,27,13
