sentence_index,original_sentence,tokenized_sentence,token_count
1,"ರೂಪ-ವೇಷವೆಂಬುದು ಸೇವಾ ಸಿಬ್ಬಂದಿಗೆ ಸಂಬಂಧಿಸಿದ ಲಕ್ಷಣಗಳ ಸಮೂಹವಾಗಿದೆ, ಉದಾಹರಣೆಗೆ, ಅವರ ಪಾದರಕ್ಷೆಗಳು, ದಿರಿಸು, ಕಂಠಬಂಧ, ಆಭರಣಗಳು, ಕೇಶವಿನ್ಯಾಸ, ಅಲಂಕಾರ, ಕೈಗಡಿಯಾರ, ಸೌಂದರ್ಯವರ್ಧಕಗಳು, ಸುಗಂಧ ದ್ರವ್ಯ, ಮುಂತಾದವು","ರೂಪ - ವೇ ಷ ವೆಂ ಬು ದು   ಸೇ ವಾ   ಸಿ ಬ್ಬಂ ದಿಗೆ   ಸಂಬಂಧಿಸಿದ   ಲಕ್ಷಣ ಗಳ   ಸಮೂಹ ವಾಗಿ ದೆ,   ಉದಾಹರಣೆಗೆ,   ಅವರ   ಪಾ ದರ ಕ್ಷೆ ಗಳು,   ದಿ ರಿ ಸು ,   ಕಂ ಠ ಬಂಧ ,   ಆ ಭ ರಣ ಗಳು,   ಕೇ ಶ ವಿನ್ಯಾಸ ,   ಅ ಲಂ ಕಾರ ,   ಕೈ ಗಡಿ ಯಾರ ,   ಸೌಂ ದ ರ್ಯ ವರ್ಧ ಕ ಗಳು,   ಸು ಗಂ ಧ   ದ್ರ ವ್ಯ ,   ಮುಂತಾದ ವು",62
2,"ಮಹಾರಾಷ್ಟ್ರದ ಔರಂಗಾಬಾದ್‌ ಜಿಲ್ಲೆಯಲ್ಲಿರುವ ಅಜಂತಾ, ಸಾ","ಮಹಾರಾಷ್ಟ್ರ ದ   ಔ ರಂ ಗಾ ಬಾದ್ ‌   ಜಿಲ್ಲೆ ಯಲ್ಲಿರುವ   ಅ ಜಂ ತಾ ,   ಸಾ",14
3,ಶ,ಶ,1
4,ಪೂ,ಪೂ,1
5,ಒಂದನೇ ಶತಮಾನದಿಂದ ಸಾ,ಒಂ ದನೇ   ಶತಮಾನ ದಿಂದ   ಸಾ,5
6,ಶ,ಶ,1
7,ಐದನೇ ಶತಮಾನದವರೆಗಿನ ಅವಧಿಗೆ ಸೇರಿದ ಶಿಲ್ಪಗಳು ಮತ್ತು ವರ್ಣಚಿತ್ರಗಳಿಂದ ಅಲಂಕೃತವಾದ ಇಪ್ಪತ್ತೊಂಬತ್ತು ಚೈತ್ಯ ಹಾಗೂ ವಿಹಾರ ಗುಹೆಗಳನ್ನು ಹೊಂದಿದೆ,ಐ ದನೇ   ಶತಮಾನ ದ ವರೆಗಿನ   ಅವಧಿ ಗೆ   ಸೇರಿ ದ   ಶಿಲ್ಪ ಗಳು   ಮತ್ತು   ವರ್ಣ ಚಿತ್ರ ಗಳಿಂದ   ಅ ಲಂ ಕೃತ ವಾದ   ಇ ಪ್ಪ ತ್ತೊಂ ಬ ತ್ತು   ಚೈ ತ್ಯ   ಹಾಗೂ   ವಿ ಹಾರ   ಗುಹೆ ಗಳನ್ನು   ಹೊಂದಿ ದೆ,33
8,ದೇಹದ ಬಣ್ಣವು ಹೊರ ರೇಖೆಯೊಂದಿಗೆ ಸಮ್ಮಿಳಿತವಾಗಿ ಶರೀರಗಾತ್ರದ ವಿಶೇಷ ಪರಿಣಾಮವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ,ದೇ ಹದ   ಬಣ್ಣ ವು   ಹೊರ   ರೇಖೆ ಯೊಂದಿಗೆ   ಸ ಮ್ಮಿ ಳಿ ತವಾಗಿ   ಶ ರೀ ರ ಗಾತ್ರ ದ   ವಿಶೇಷ   ಪರಿಣಾಮ ವನ್ನು   ಉಂಟು ಮಾಡು ತ್ತದೆ,22
9,"ಹಿಂದಿನ ಪದ್ಧತಿಯು ಮರ ಮತ್ತು ಜೇಡಿಮಣ್ಣಿನ ಬಳಕೆಯನ್ನು ಒಳಗೊಂಡಿತ್ತಾದರೆ, ಅಶೋಕನು ಶಿಲ್ಪಾಕೃತಿಗಳು ಹಾಗೂ ಬೃಹತ್ ಸ್ಮಾರಕಗಳ ನಿರ್ಮಾಣದಲ್ಲಿ ವ್ಯಾಪಕವಾಗಿ ಕಲ್ಲನ್ನು ಬಳಸಲು ಆರಂಭಿಸಿದನು","ಹಿಂದಿನ   ಪದ್ಧ ತಿಯು   ಮರ   ಮತ್ತು   ಜೇ ಡಿ ಮ ಣ್ಣಿನ   ಬಳಕೆ ಯನ್ನು   ಒಳಗೊಂಡಿ ತ್ತಾ ದರೆ,   ಅಶೋಕ ನು   ಶಿ ಲ್ಪಾ ಕೃತಿ ಗಳು   ಹಾಗೂ   ಬೃಹತ್   ಸ್ಮಾರಕ ಗಳ   ನಿರ್ಮಾಣ ದಲ್ಲಿ   ವ್ಯಾಪಕವಾಗಿ   ಕ ಲ್ಲ ನ್ನು   ಬಳ ಸಲು   ಆರಂಭಿ ಸಿದನು",34
10,"ಆಲೂಗೆಡ್ಡೆಗಳನ್ನು ಮಸಾಲೆಯೊಂದಿಗೆ ಬೆರೆಸಿ, ಕಡಲೆ ಹಿಟ್ಟಿನಲ್ಲಿ ಅದ್ದಿ, ಎಣ್ಣೆಯಲ್ಲಿ ಚೆನ್ನಾಗಿ ಕರಿಯುವ ಮೂಲಕ ಮಹಾರಾಷ್ಟ್ರದ ಈ ಸ್ವಾದಿಷ್ಟ ಹಾಗೂ ಜನಪ್ರಿಯ ತಿನಿಸನ್ನು ತಯಾರಿಸಲಾಗುತ್ತದೆ","ಆ ಲೂ ಗೆ ಡ್ಡೆ ಗಳನ್ನು   ಮ ಸಾ ಲೆ ಯೊಂದಿಗೆ   ಬೆ ರೆ ಸಿ,   ಕಡ ಲೆ   ಹಿ ಟ್ಟಿ ನಲ್ಲಿ   ಅ ದ್ದಿ ,   ಎ ಣ್ಣೆ ಯಲ್ಲಿ   ಚೆ ನ್ನಾಗಿ   ಕರಿ ಯುವ   ಮೂಲಕ   ಮಹಾರಾಷ್ಟ್ರ ದ   ಈ   ಸ್ವಾ ದಿ ಷ್ಟ   ಹಾಗೂ   ಜನಪ್ರಿಯ   ತಿ ನಿ ಸ ನ್ನು   ತಯಾರಿ ಸಲಾಗುತ್ತದೆ",42
