sentence_id,original,tokenized,char_count,token_count
1,"सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि","स े व ा   स ं ब ं ध ी   ल ो ग ो ं   क े   ल ि ए   भ े ष   क ई   ग ु ण ो ं   क ा   स ं य ो ज न   ह ै ,   ज ै स े   क ि   उ न क े   ज ू त े ,   क प ड ़ े ,   ट ा ई ,   आ भ ू ष ण ,   क े श   श ै ल ी ,   म े क - अ प ,   घ ड ़ ी ,   क ॉ स ् म े ट ि क ,   इ त ् र ,   आ द ि",110,134
2,महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई,म ह ा र ा ष ् ट ् र   क े   औ र ं ग ा ब ा द   ज ि ल े   म े ं   स ् थ ि त   अ ज ं त ा   म े ं   उ न ् त ी स   च ै त ् य   औ र   व ि ह ा र   ग ु फ ा ए ँ   ह ै ं   ज ो   प ह ल ी   श त ा ब ् द ी   ई,81,98
3,पू,प ू,2,2
4,से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं,स े   ल े   क र   प ा ँ च व ी ं   श त ा ब ् द ी   ई स ् व ी   त क   क ी   म ू र ् त ि य ो ं   त थ ा   च ि त ् र क ा र ि य ो ं   स े   स ु स ज ् ज ि त   ह ै ं,66,79
5,"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है","व ि स ् त ा र   क ा   अ स र   ब न ा त े   ह ु ए ,   श र ी र   क ा   र ं ग   ब ा ह र ी   र े ख ा   म े ं   घ ु ल - म ि ल   ज ा त ा   ह ै",55,68
6,"अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है","अ श ो क   न े   व ् य ा प क   र ू प   स े   म ू र ् त ि य ो ं   औ र   श ा न द ा र   स ् म ा र क ो ं   क ो   ब न ा न े   क े   ल ि ए   प त ् थ र   क ा   प ् र य ो ग   क र न ा   श ु र ू   क ि य ा ,   ज ब क ि   उ स स े   प ह ल े   प ा र ं प र ि क   र ू प   स े   ल क ड ़ ी   औ र   म ि ट ् ट ी   क ा   प ् र य ो ग   क ि य ा   ज ा त ा   ह ै",136,168
7,"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है","म ह ा र ा ष ् ट ् र   क े   इ स   स ् व ा द ि ष ् ट   औ र   प ् र स ि द ् ध   व ् य ं ज न   म े ं   आ ल ु ओ ं   म े ं   म स ा ल े   क ो   म ि ल ा क र ,   ब े स न   क े   घ ो ल   क ी   प र त   ल ग ा क र ,   उ स े   अ च ् छ ी   त र ह   स े   त ल   क र   ब न ा य ा   ज ा त ा   ह ै",112,139
8,चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है,च े ट ् ट ि न ा ड   भ ो ज न   त म ि ल   न ा ड ु   क े   च े ट ् ट ि न ा ड   क ् ष े त ् र   क े   न ा ट ् ट ू क ो ट ा ई   च े ट ् ट ि य ा र   न ा म क   स म ु द ा य   य ा   ख ु द   क ो   न ा ग ा र थ ा र   क ह न े   व ा ल ो ं   क ा   भ ो ज न   ह ै,103,123
9,दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है,द ा ल च ी न ी   म ू ल   र ू प   स े   भ ा र त   क ी   ह ै   औ र   इ स   र ू प   म े ं   इ स क ा   प ् र य ो ग   स ् व ा द ि ष ् ट क ा र क   स े   ल े क र   औ ष ध ी य   क ा र क   क े   र ू प   म े ं   क ि य ा   ज ा त ा   ह ै,89,112
10,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें,स ू ख े   ग ् र ा इ ं ड र   म े ं   य ा   फ ि र   प त ् थ र   क े   म ू स ल   म े ं   इ स क ा   च ू र ् ण   ब न ा   ल े ं,49,61
11,"पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं","प ं ज ा ब   क े   ह र   श ह र   क ी   अ प न ी   प स ं द   ह ै ,   ज ै स े   क ि   अ म ृ त स र   क े   ल ो ग   व ि श े ष   र ू प   स े   अ म ृ त स र ी   क ु ल च े ,   भ र व ा ं   प र ा ठ े ं   औ र   द ू ध   क े   उ त ् प ा द   प स ं द   क र त े   ह ै ं",100,126
12,"राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो","र ा म   क ो   ऋ ष ि   क े   स ा थ   भ े ज   द ो ,   औ र   ल क ् ष ् म ण   क ो   भ ी   भ े ज   द ो",37,49
13,परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया,प र ं त ु   म ं ग ल   प ा ं ड े   न े   य ह   स ा ह स ि क   क ा र न ा म ा   ए क   ऊ ँ च े   औ र   श ् र े ष ् ठ   स ि द ् ध ा ं त   क े   प ् र त ि   स म र ् प ण   क े   ल ि ए   क ि य ा,76,93
