sentence_index,original_sentence,tokenized_sentence,token_count
1,"इक दखौट सेवा करने आह्‌‌‌ले व्यक्ति कन्नै सरबंधत खासियतें दा इक समूह् ऐ, जिʼयां उंʼदे जुत्ते, टल्ले, टाई, गैह्‌‌‌ना-बंद्धा, बाल, शंगार, घड़ी, सौंदर्य प्रसाधन, अतर आदि","इक   द खौ ट   सेवा   करने   आह्‌‌‌ले   व्यक्ति   कन्नै   सरबंधत   खा सि य तें   दा   इक   समूह्   ऐ,   जिʼयां   उंʼदे   जु त्ते ,   टल्ले ,   टा ई ,   गै ह्‌‌‌ ना - बं द्धा ,   बा ल,   शं गा र,   घ ड़ी ,   सौं द र्य   प्रसा ध न,   अ तर   आदि",52
2,महाराष्ट्र दे औरंगाबाद जि'ले च स्थित अजंता च नत्ती चैत्य ते विहार न जिʼनें गी पैह्‌ली सदी ईसा पूर्व दियें मूर्तियें ते चित्रें कन्नै सजाया गेदा ऐ,महारा ष्ट्र   दे   औ रं गा बाद   जि' ले   च   स्थित   अ जं ता   च   न त्ती   चै त्य   ते   वि हार   न   जि ʼनें   गी   पैह्‌ली   सदी   ईसा   पूर्व   दियें   मूर्ति यें   ते   चि त्रें   कन्नै   स जा या   गे दा   ऐ,43
3,शरीरै दा रंग बाह्‌री रेखा च रलियै फलाऽ दा प्रभाव पैदा करदा ऐ,शरी रै   दा   रंग   बाह्‌ री   रेखा   च   र लियै   फ ला ऽ   दा   प्रभाव   पैदा   कर दा   ऐ,19
4,"अशोक ने मूर्तियें ते महान स्मारकें आस्तै पत्थरै दा खु'ल्लियै इस्तेमाल करना शुरू कीता, जद् के पिछली परंपरा च लकड़ी ते मिट्टी कन्नै कम्म करना शामल हा","अ शो क   ने   मूर्ति यें   ते   महा न   स्मा र कें   आस्तै   पत्थ रै   दा   खु ' ल्लि यै   इस्तेमाल   करना   शुरू   कीता,   जद्   के   पिछ ली   परंपरा   च   लकड़ी   ते   मिट्टी   कन्नै   कम्म   करना   शामल   हा",38
5,"महाराष्ट्र दा एह्‌‌ सुआदला ते मश्हूर व्यंजन बनाने आस्तै आलुएं गी मसालें च मलाया जंदा ऐ, बेसन दे घोल च लपेटियै पूरी चाल्ली शैल तलेआ जंदा ऐ","महारा ष्ट्र   दा   एह्‌‌   सुआ द ला   ते   मश्हूर   व्यं जन   बना ने   आस्तै   आ लु एं   गी   मसा लें   च   मला या   जं दा   ऐ,   बे सन   दे   घो ल   च   ल पे टि यै   पूरी   चाल्ली   शैल   त ले आ   जं दा   ऐ",45
6,"चेट्टीनाड व्यंजन तमिलनाडु रियासता दे चेट्टीनाड प्रदेश दी नट्टुकोट्टई चेट्टियार, जां नगरथार नामी इक बिरादरी ,जिʼयां के ओह्‌‌ अपने आपै गी आखदे न, दा व्यंजन ऐ","चे ट्टी ना ड   व्यं जन   तमिलनाडु   रिया स ता   दे   चे ट्टी ना ड   प्रदेश   दी   न ट्टु को ट्ट ई   चे ट्टि या र,   जां   नगर था र   ना मी   इक   बि रा दरी   ,जिʼयां   के   ओह्‌‌   अपने   आ पै   गी   आख दे   न,   दा   व्यं जन   ऐ",50
7,"दालचीनी भारत दा देसी बूह्‌टा ऐ ते, एह्‌‌‌दा इस्तेमाल इक खुशबो कारक शा लेइयै औशधी कारक दे तौर पर होंदा ऐ","दा ल चीनी   भारत   दा   देसी   बू ह्‌ टा   ऐ   ते ,   एह्‌‌‌दा   इस्तेमाल   इक   खुश बो   कार क   शा   लेइयै   औ श धी   कार क   दे   तौ र   पर   हों दा   ऐ",33
8,सुक्के ग्राइंडर जां पत्थरे दे डंडे कन्नै इसदा पाउडर बनाई लैओ,सु क्के   ग्रा इं डर   जां   पत्थ रे   दे   डं डे   कन्नै   इस दा   पा उ डर   बनाई   लैओ,19
9,"पंजाब दे हर इक शैह्‌रै दियां बक्खो-बक्ख तरजीहां न, जिʼयां अमृतसरै दे लोक खास तौरा पर अमृतसरी कुल्चे, भरवां परौंठे ते दुद्ध उत्पादन पसंद करदे न","पंजाब   दे   हर   इक   शैह्‌रै   दियां   ब क्खो -बक्ख   तर जी हां   न,   जिʼयां   अ मृ त स रै   दे   लोक   खास   तौ रा   पर   अ मृ त स री   कु ल्चे ,   भर वां   प रौं ठे   ते   दु द्ध   उत्पादन   पसंद   करदे   न",45
10,"रामचंद्र गी रिशी दे कन्नै भेजो, ते लक्ष्मण गी बी भेजो","राम चंद्र   गी   रि शी   दे   कन्नै   भे जो ,   ते   ल क्ष्म ण   गी   बी   भे जो",18
