sentence_id,original,tokenized,char_count,token_count
1,"नुजानाया खामानिनि सुबुंजों सोमोन्दो गोनां महरफोरनि मोनसे जथाइ, जेरै बिसोरनि जुता, गस्ला, टाइ, गहेना, खानायनि स्टाइल, मेक-आप, घोरि, देलाइग्रा, सेन, बायदि बायदि","नु जानाया    खामानिनि    सुबुं जों    सोमोन् दो    गोनां    महर फोरनि    मोनसे    ज थाइ,    जेरै    बिसोरनि    जु ता ,    ग स् ला,    टाइ ,    गहे ना,    ख ानायनि    स ्टाइ ल,    मेक - आप ,    घ ोर ि ,    दे लाइ ग ्रा,    से न,    बायदि    बायदि ",137,46
2,"महारास्ट्रनि औरंगबादनि जिल्लायाव थानाय अजन्ताहा मोन नैजिगु सैत्य आरो बिहार दन्दरफोर दं, जाय खृ","महारा स ्ट ्रनि    औरंग बादनि    जिल ्लायाव    थानाय    अज न् ता हा    मोन    नै जि गु    सै त ्य    आरो    बि हार    दन् दर फोर    दं,    जाय    खृ",81,29
3,गि,ग ि ,2,2
4,सेथि जौथायनिफ्राय सरासनस्रा मुगा 15थि जौथायसिम मुसुखाफोरजों आरो आखिनायजों साजायजानाय,सेथि    जौथाय निफ ्राय    सरासनस ्रा    मु गा    15 थि    जौथाय सिम    मुसुखा फोरजों    आरो    आ खि नायजों    साजाय जानाय ,75,20
5,गोबां बिबांनि नुथाइ सोरजिनायजों देहानि गाबआ बायजोआरि सिनजों गोरोबलाङो,गोबां    बिबांनि    नु थाइ    सोरजि नायजों    दे हानि    गाब आ    बायजोआरि    सिन जों    गोरोब लाङो ,61,15
6,"अश'कआ मुसुखा आरो गोसोखांथि खाम्फानि थाखाय गोबां अन्थाइफोर बाहायनो जागायदोंमोन, बबेखानि सिगांनि दोरोङा दंफां आरो हाब्रुजों बानायनायमोन","अश' कआ    मुसु खा    आरो    गोसोखां थि    खाम् फानि    थाखाय    गोबां    अन् थाइ फोर    बाहायनो    जागाय दोंमोन,    बबेखानि    सिगांनि    दोरो ङा    दं फां    आरो    हाब ्रु जों    बानाय नाय मोन ",117,30
7,"मस्लाजों लगायनाय आलु, बेसननि अनजों खोबनाय आरो एवहाबनानै साबना महराव लाबोनाय, बेयो महारास्ट्रनि गोथाव आरो मुंदांखा जामुं","मस् लाजों    ल गायनाय    आ लु ,    बे सननि    अन जों    खोब नाय    आरो    ए व हाब नानै    साब ना    महराव    लाबोन ाय ,    बेयो    महारा स ्ट ्रनि    गो थाव    आरो    मुंदांखा    जा मुं ",103,35
8,"तामिलनादु हादोरसानि चेत्तिनाद ओनसोलनि चेत्तिनाद संनाय आदबा नात्तुकताय चेत्तियार्स एबा नागरथरर्स मुंनि हारिनि संनाय आदब, जेरै बिसोर गावसोरखौ बुंना लायो","तामिलना दु    हादोर सानि    चे त ्त ि ना द    ओनसोलनि    चे त ्त ि ना द    सं नाय    आद बा    ना त ्त ु कत ाय    चे त ्त िय ार् स    एबा    ना गर थ र र् स    मुंनि    हारिनि    सं नाय    आदब ,    जेरै    बिसोर    गावसोर खौ    बुं ना    लायो ",131,53
9,"दालसिनिया भारतनि हादोरारि, बेनिखायनो बेनि बाहायनाया मोनसे गोथावसिन जाहोग्रा एजेन्टनिफ्राय मोनसे मुलियारि एजेन्टसिम जायो","दा ल सिन िया    भारतनि    हादोर ारि,    बेनिखायनो    बेनि    बाहायनाया    मोनसे    गो थाव सिन    जा होग ्रा    एजेन् ट निफ ्राय    मोनसे    मु ल ियारि    एजेन् ट सिम    जायो ",106,29
10,गंसे गोरान देग्लिग्राजों एबा अन्थाइनि थबसियाव बेखौ गुनदै खालाम,गंसे    गोरान    दे ग ्लि ग ्राजों    एबा    अन् थाइनि    थ ब सि याव    बेखौ    गुन दै    खालाम ,54,18
