sentence_index,original_sentence,tokenized_sentence,token_count
1,"ᱢᱩᱴᱷᱟᱹᱱ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱪᱟᱹᱠᱨᱤᱭᱟᱱ ᱦᱚᱲ ᱥᱟᱶᱛᱮ ᱥᱟᱹᱜᱟᱹᱭᱟᱱᱟᱜ ᱜᱩᱱ ᱠᱚ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱛᱷᱚᱯᱮ ᱡᱮᱞᱮᱠᱟ ᱯᱚᱴᱚᱢ ᱯᱟᱱᱟᱦᱤ, ᱠᱤᱪᱨᱤᱪ ᱠᱷᱟᱹᱸᱰᱣᱟᱹᱜ, ᱴᱟᱭ, ᱜᱚᱭᱱᱟ, ᱩᱯ ᱨᱮᱭᱟᱜ ᱥᱴᱟᱭᱤᱞ, ᱢᱮᱠᱼᱟᱯ, ᱜᱷᱟᱹᱲᱤ, ᱥᱟᱡᱟᱣᱼᱟᱜ, ᱥᱮᱱᱴ ᱮᱢᱟᱱ ᱠᱚ ᱾","ᱢᱩᱴᱷᱟᱹᱱ   ᱫᱚ   ᱦᱩᱭᱩᱜ   ᱠᱟᱱᱟ   ᱪᱟᱹ ᱠ ᱨ ᱤᱭᱟᱱ   ᱦᱚᱲ   ᱥᱟᱶᱛᱮ   ᱥᱟᱹᱜᱟᱹᱭ ᱟᱱᱟᱜ   ᱜᱩᱱ   ᱠᱚ   ᱨᱮᱭᱟᱜ   ᱢᱤᱫ   ᱛᱷᱚ ᱯᱮ   ᱡᱮᱞᱮᱠᱟ   ᱯᱚᱴ ᱚᱢ   ᱯᱟᱱ ᱟᱦ ᱤ,   ᱠᱤᱪ ᱨᱤ ᱪ   ᱠᱷ ᱟᱹ ᱸᱰ ᱣ ᱟᱹᱜ ,   ᱴᱟᱭ ,   ᱜᱚ ᱭ ᱱ ᱟ,   ᱩᱯ   ᱨᱮᱭᱟᱜ   ᱥᱴ ᱟᱭᱤᱞ ,   ᱢᱮ ᱠ ᱼ ᱟᱯ ,   ᱜᱷ ᱟᱹᱲ ᱤ,   ᱥᱟᱡᱟᱣ ᱼᱟᱜ ,   ᱥᱮᱱ ᱴ   ᱮᱢ ᱟᱱ   ᱠᱚ   ᱾</w>",61
2,ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱳᱣᱨᱚᱝᱜᱟᱵᱟᱫ ᱦᱚᱱᱚᱛ ᱨᱮ ᱢᱮᱱᱟᱜ ᱚᱡᱚᱱᱛᱟ ᱨᱮ ᱒᱙ ᱜᱚᱴᱟᱝ ᱪᱳᱭᱛᱚ ᱟᱨ ᱵᱤᱦᱟᱨ ᱜᱷᱚᱸᱜᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱡᱟᱸᱦᱟ ᱫᱚ ᱠᱷᱨᱤᱥᱴᱚᱯᱩᱨᱵᱚ ᱯᱳᱭᱞᱳ ᱥᱚᱛᱟᱵᱫᱤ ᱨᱮᱭᱟᱜ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱪᱤᱛᱟᱹᱨᱛᱮ ᱥᱟᱡᱟᱣ ᱟᱠᱟᱱᱟ ᱢᱚᱬᱮ ᱥᱚᱛᱟᱵᱫᱤ ᱦᱟᱹᱵᱤᱡ ᱾,ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ   ᱨᱮᱭᱟᱜ   ᱳᱣᱨᱚ ᱝᱜ ᱟᱵᱟᱫ   ᱦᱚᱱᱚᱛ   ᱨᱮ   ᱢᱮᱱᱟᱜ   ᱚ ᱡᱚᱱ ᱛᱟ   ᱨᱮ   ᱒᱙   ᱜᱚᱴᱟᱝ   ᱪ ᱳᱭ ᱛᱚ   ᱟᱨ   ᱵᱤᱦᱟᱨ   ᱜᱷᱚᱸᱜᱚᱨ   ᱢᱮᱱᱟᱜᱼᱟ   ᱡᱟᱸ ᱦᱟ   ᱫᱚ   ᱠᱷᱨᱤᱥᱴᱚ ᱯᱩᱨᱵᱚ   ᱯᱳᱭᱞᱳ   ᱥᱚᱛᱟᱵᱫᱤ   ᱨᱮᱭᱟᱜ   ᱠᱷᱚ ᱫᱟ   ᱪᱤᱛᱟᱹᱨ   ᱟᱨ   ᱪᱤᱛᱟᱹᱨ ᱛᱮ   ᱥᱟᱡᱟᱣ   ᱟᱠᱟᱱ ᱟ   ᱢᱚᱬᱮ   ᱥᱚᱛᱟᱵᱫᱤ   ᱦᱟᱹᱵᱤᱡ   ᱾</w>,42
3,"ᱦᱚᱲᱢᱚ ᱨᱮᱭᱟᱜ ᱨᱚᱝ ᱫᱚ ᱵᱟᱨᱦᱮ ᱞᱟᱭᱤᱱ ᱛᱮ ᱢᱤᱫ ᱟᱠᱟᱱᱟ, ᱥᱤᱢᱟᱹ ᱨᱮᱭᱟᱜ ᱚᱨᱥᱚᱝᱮ ᱥᱤᱨᱡᱟᱹᱣᱮᱫᱼᱟ ᱾","ᱦᱚᱲᱢᱚ   ᱨᱮᱭᱟᱜ   ᱨᱚᱝ   ᱫᱚ   ᱵᱟᱨᱦᱮ   ᱞᱟᱭᱤᱱ   ᱛᱮ   ᱢᱤᱫ   ᱟᱠᱟᱱᱟ,   ᱥᱤᱢᱟᱹ   ᱨᱮᱭᱟᱜ   ᱚᱨᱥᱚᱝ ᱮ   ᱥᱤᱨᱡᱟᱹᱣ ᱮᱫ ᱼᱟ   ᱾</w>",17
4,"ᱚᱥᱚᱠ ᱫᱚ ᱠᱷᱚᱫᱟ ᱪᱤᱛᱟᱹᱨ ᱟᱨ ᱥᱚᱨᱮᱥ ᱫᱤᱱᱤᱥᱟᱹ ᱠᱷᱩᱱᱴᱤ ᱠᱩ ᱞᱟᱹᱜᱤᱫ ᱰᱷᱮᱨ ᱠᱟᱭᱛᱮ ᱫᱷᱤᱨᱤᱭ ᱵᱮᱵᱚᱦᱟᱨ ᱞᱮᱫᱟ, ᱡᱟᱦᱟᱸ ᱨᱮ ᱞᱟᱦᱟᱱ ᱥᱮᱨᱣᱟ ᱨᱮ ᱫᱚ ᱠᱟᱴᱷ ᱟᱨ ᱦᱟᱥᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱵᱚᱦᱟᱨᱟᱠᱟᱱᱟ ᱾ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾","ᱚᱥ ᱚᱠ   ᱫᱚ   ᱠᱷᱚ ᱫᱟ   ᱪᱤᱛᱟᱹᱨ   ᱟᱨ   ᱥᱚᱨᱮᱥ   ᱫᱤᱱ ᱤᱥ ᱟᱹ   ᱠᱷ ᱩᱱ ᱴᱤ   ᱠᱩ   ᱞᱟᱹᱜᱤᱫ   ᱰᱷᱮᱨ   ᱠᱟᱭᱛᱮ   ᱫᱷ ᱤᱨ ᱤᱭ   ᱵᱮᱵᱚ ᱦᱟᱨ   ᱞᱮᱫᱟ,   ᱡᱟᱦᱟᱸ   ᱨᱮ   ᱞᱟᱦ ᱟᱱ   ᱥᱮᱨᱣ ᱟ   ᱨᱮ   ᱫᱚ   ᱠᱟᱴᱷ   ᱟᱨ   ᱦᱟᱥᱟ   ᱨᱮᱭᱟᱜ   ᱵᱮᱵᱚ ᱦᱟᱨ ᱟᱠᱟᱱ ᱟ   ᱾   ᱛᱟᱦᱮᱸᱠᱟᱱᱟ   ᱾</w>",43
5,"ᱢᱚᱥᱞᱟ ᱢᱮᱥᱟᱞ ᱟᱹᱞᱩ, ᱵᱮᱥᱚᱱ ᱨᱮ ᱪᱟᱰᱳ ᱠᱟᱛᱮᱜ ᱟᱨ ᱟᱹᱰᱤ ᱟᱸᱴ ᱵᱷᱟᱡᱟ ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ ᱨᱮᱭᱟᱜ ᱱᱚᱣᱟ ᱥᱤᱵᱤᱞ ᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱯᱮᱨᱮᱡ ᱯᱩᱨᱩᱱᱟ ᱾","ᱢᱚᱥ ᱞᱟ   ᱢᱮ ᱥᱟᱞ   ᱟᱹᱞᱩ ,   ᱵᱮ ᱥᱚᱱ   ᱨᱮ   ᱪ ᱟᱰ ᱳ   ᱠᱟᱛᱮᱜ   ᱟᱨ   ᱟᱹᱰᱤ   ᱟᱸ ᱴ   ᱵᱷ ᱟᱡ ᱟ   ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ   ᱨᱮᱭᱟᱜ   ᱱᱚᱣᱟ   ᱥᱤ ᱵᱤᱞ   ᱟᱨ   ᱧᱩᱛᱩᱢᱟᱱ   ᱡᱚᱢᱟᱜ   ᱠᱷᱚᱱ   ᱯᱮᱨᱮᱡ   ᱯᱩᱨᱩᱱ ᱟ   ᱾</w>",33
6,ᱪᱮᱴᱴᱤᱱᱟᱰ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱫᱚ ᱛᱟᱢᱤᱞᱱᱟᱲᱩ ᱯᱚᱱᱚᱛ ᱨᱮᱭᱟᱜ ᱪᱮᱴᱴᱤᱱᱟᱫ ᱴᱚᱴᱷᱟ ᱱᱟᱴᱴᱩᱠᱳᱴᱟᱭ ᱪᱮᱴᱴᱤᱭᱟᱨ ᱥᱮ ᱱᱟᱜᱟᱨ ᱛᱷᱟᱨ ᱧᱩᱛᱩᱢᱟᱱ ᱦᱚᱲ ᱠᱚᱣᱟᱜ ᱤᱥᱤᱱ ᱵᱟᱥᱟᱝ ᱾,ᱪ ᱮᱴ ᱴ ᱤᱱ ᱟᱰ   ᱤᱥᱤᱱ   ᱵᱟᱥ ᱟᱝ   ᱫᱚ   ᱛᱟᱢᱤᱞᱱᱟᱲ ᱩ   ᱯᱚᱱᱚᱛ   ᱨᱮᱭᱟᱜ   ᱪ ᱮᱴ ᱴ ᱤᱱ ᱟᱫ   ᱴᱚᱴᱷ ᱟ   ᱱ ᱟᱴ ᱴᱩ ᱠᱳ ᱴᱟᱭ   ᱪ ᱮᱴ ᱴ ᱤᱭᱟᱨ   ᱥᱮ   ᱱᱟᱜᱟᱨ   ᱛᱷᱟᱨ   ᱧᱩᱛᱩᱢᱟᱱ   ᱦᱚᱲ   ᱠᱚᱣᱟᱜ   ᱤᱥᱤᱱ   ᱵᱟᱥ ᱟᱝ   ᱾</w>,39
7,"ᱫᱟᱨᱩᱪᱤᱱᱤ ᱫᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱛᱷᱟᱹᱱᱤᱛ ᱟᱨ ᱡᱮᱞᱮᱠᱟ, ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱥᱤᱢᱟᱹ ᱢᱤᱫᱴᱮᱱ ᱥᱤᱵᱤᱞ ᱠᱷᱚᱱ ᱨᱟᱱ ᱦᱟᱹᱵᱤᱡ ᱾","ᱫᱟᱨ ᱩ ᱪᱤᱱ ᱤ   ᱫᱚ   ᱵᱷᱟᱨᱚᱛ   ᱨᱮᱭᱟᱜ   ᱛᱷᱟᱹᱱᱤᱛ   ᱟᱨ   ᱡᱮᱞᱮᱠᱟ ,   ᱱᱚᱣᱟ   ᱨᱮᱭᱟᱜ   ᱵᱮᱣᱦᱟᱨ   ᱨᱮᱭᱟᱜ   ᱥᱤᱢᱟᱹ   ᱢᱤᱫᱴᱮᱱ   ᱥᱤ ᱵᱤᱞ   ᱠᱷᱚᱱ   ᱨᱟᱱ   ᱦᱟᱹᱵᱤᱡ   ᱾</w>",23
8,ᱱᱚᱣᱟ ᱢᱤᱫᱴᱮᱱ ᱨᱚᱦᱚᱲ ᱜᱩᱸᱰᱟᱹ ᱟᱜ ᱛᱮ ᱥᱮ ᱫᱷᱤᱨᱤ ᱨᱮᱭᱟᱜ ᱢᱩᱴᱷᱟᱹᱱ ᱛᱮ ᱜᱩᱸᱰᱟᱹᱭ ᱢᱮ ᱾,ᱱᱚᱣᱟ   ᱢᱤᱫᱴᱮᱱ   ᱨᱚ ᱦᱚᱲ   ᱜᱩ ᱸᱰ ᱟᱹ   ᱟᱜ   ᱛᱮ   ᱥᱮ   ᱫᱷᱤᱨᱤ   ᱨᱮᱭᱟᱜ   ᱢᱩᱴᱷᱟᱹᱱ   ᱛᱮ   ᱜᱩ ᱸᱰ ᱟᱹᱭ   ᱢᱮ   ᱾</w>,19
9,"ᱯᱟᱧᱡᱟᱵ ᱨᱮᱭᱟᱜ ᱢᱤᱢᱤᱫ ᱥᱟᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱮᱜᱟᱨ ᱵᱮᱜᱟᱨ ᱠᱩᱥᱤᱭᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ, ᱡᱮᱞᱮᱠᱟ ᱚᱢᱨᱤᱛᱥᱚᱨ ᱨᱮᱱ ᱦᱚᱲ ᱠᱩ ᱫᱚ ᱵᱤᱥᱟᱹᱥ ᱠᱟᱭᱛᱮ ᱚᱢᱨᱤᱛᱥᱚᱨᱤ ᱠᱩᱞᱪᱷ, ᱢᱚᱥᱞᱟᱣᱟᱱ ᱯᱟᱨᱟᱴᱷᱟ ᱟᱨ ᱛᱚᱣᱟ ᱫᱩᱨᱤᱵ ᱠᱩ ᱠᱩ ᱠᱩᱥᱤᱭᱟᱜᱼᱟ ᱾","ᱯᱟᱧᱡᱟᱵ   ᱨᱮᱭᱟᱜ   ᱢᱤᱢᱤᱫ   ᱥᱟᱦᱟᱨ   ᱨᱮᱭᱟᱜ   ᱵᱮ ᱜᱟᱨ   ᱵᱮ ᱜᱟᱨ   ᱠᱩᱥᱤᱭᱟᱜ   ᱢᱮᱱᱟᱜᱼᱟ,   ᱡᱮᱞᱮᱠᱟ   ᱚᱢ ᱨᱤᱛ ᱥᱚᱨ   ᱨᱮᱱ   ᱦᱚᱲ   ᱠᱩ   ᱫᱚ   ᱵᱤ ᱥᱟᱹ ᱥ   ᱠᱟᱭᱛᱮ   ᱚᱢ ᱨᱤᱛ ᱥᱚᱨ ᱤ   ᱠᱩᱞ ᱪᱷ ,   ᱢᱚᱥ ᱞᱟᱣ ᱟᱱ   ᱯᱟᱨ ᱟᱴᱷ ᱟ   ᱟᱨ   ᱛᱚ ᱣ ᱟ   ᱫᱩᱨᱤᱵ   ᱠᱩ   ᱠᱩ   ᱠᱩᱥᱤᱭᱟᱜ ᱼᱟ   ᱾</w>",46
10,"ᱥᱚᱨᱮᱥ ᱟᱹᱠᱤᱞ ᱥᱟᱞᱟᱜ ᱨᱟᱢ ᱠᱩᱞᱤᱢᱮ, ᱟᱨ ᱥᱟᱸᱣᱛᱮ ᱞᱚᱠᱠᱷᱚᱱ ᱦᱸ ᱾","ᱥᱚᱨᱮᱥ   ᱟᱹ ᱠᱤᱞ   ᱥᱟᱞᱟᱜ   ᱨᱟᱢ   ᱠᱩᱞᱤ ᱢᱮ,   ᱟᱨ   ᱥᱟᱸ ᱣ ᱛᱮ   ᱞᱚᱠ ᱠᱷᱚᱱ   ᱦ ᱸ   ᱾</w>",16
11,ᱢᱮᱱᱠᱷᱟᱱ ᱢᱚᱝᱜᱚᱞ ᱯᱟᱱᱰᱮᱭᱟᱜ ᱫᱤᱞ ᱟᱱ ᱠᱟᱹᱢᱤ ᱫᱚ ᱢᱤᱫ ᱞᱟᱯᱷᱟᱝ ᱟᱨ ᱢᱚᱦᱚᱛᱟᱱ ᱟᱹᱨᱤ ᱪᱮᱛᱟᱱ ᱜᱚᱨᱚᱡ ᱛᱟᱞᱟᱛᱮ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱞᱮᱱᱟ ᱾,ᱢᱮᱱᱠᱷᱟᱱ   ᱢᱚ ᱝᱜᱚᱞ   ᱯᱟᱱ ᱰᱮ ᱭᱟᱜ   ᱫᱤᱞ   ᱟᱱ   ᱠᱟᱹᱢᱤ   ᱫᱚ   ᱢᱤᱫ   ᱞᱟᱯᱷᱟᱝ   ᱟᱨ   ᱢᱚᱦᱚᱛ ᱟᱱ   ᱟᱹᱨᱤ   ᱪᱮᱛᱟᱱ   ᱜᱚᱨ ᱚᱡ   ᱛᱟᱞᱟᱛᱮ   ᱠᱚᱨᱟᱣ   ᱦᱩᱭᱞᱮᱱ ᱟ   ᱾</w>,24
12,"ᱯᱤᱸᱭᱟᱡ ᱥᱟᱯᱟ ᱞᱮᱱᱠᱷᱟᱱ,ᱥᱟᱥᱟᱝ ᱜᱩᱸᱰᱟᱹ ᱛᱮ ᱢᱟᱠᱷᱟᱣ ᱟᱠᱟᱫ ᱢᱮᱨᱚᱢ ᱡᱤᱞ ᱥᱟᱶᱛᱮ ᱢᱮᱥᱟᱭ ᱢᱮ ᱟᱨ ᱯᱨᱟᱭ ᱕ᱼ᱖ ᱴᱤᱲᱤᱡ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱱᱟᱢ ᱢᱚᱥᱞᱟ ᱢᱮᱨᱚᱢ ᱡᱤᱞ ᱨᱮ ᱵᱟᱝ ᱵᱷᱤᱡᱟᱹᱜ ᱦᱟᱹᱵᱤᱡ ᱠᱤᱪᱷᱤ ᱜᱷᱟᱹᱲᱤᱠ ᱵᱷᱟᱹᱡᱤᱭ ᱢᱮ ᱾","ᱯᱤ ᱸ ᱭ ᱟᱡ   ᱥᱟ ᱯᱟ   ᱞᱮᱱᱠᱷᱟᱱ , ᱥᱟᱥ ᱟᱝ   ᱜᱩ ᱸᱰ ᱟᱹ   ᱛᱮ   ᱢ ᱟᱠᱷ ᱟᱣ   ᱟᱠᱟᱫ   ᱢᱮ ᱨᱚᱢ   ᱡᱤᱞ   ᱥᱟᱶᱛᱮ   ᱢᱮ ᱥᱟᱭ   ᱢᱮ   ᱟᱨ   ᱯᱨᱟᱭ   ᱕ ᱼ ᱖   ᱴᱤᱲᱤᱡ   ᱞᱟᱹᱜᱤᱫ   ᱥᱟᱱᱟᱢ   ᱢᱚᱥ ᱞᱟ   ᱢᱮ ᱨᱚᱢ   ᱡᱤᱞ   ᱨᱮ   ᱵᱟᱝ   ᱵᱷ ᱤᱡ ᱟᱹᱜ   ᱦᱟᱹᱵᱤᱡ   ᱠᱤᱪᱷᱤ   ᱜᱷ ᱟᱹᱲ ᱤᱠ   ᱵᱷᱟᱹ ᱡᱤᱭ   ᱢᱮ   ᱾</w>",52
13,"ᱦᱤᱛᱳᱯᱚᱫᱮᱥ ᱫᱚ ᱡᱮᱜᱮᱫ ᱜᱮᱭᱟᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱯᱚᱛᱚᱵ ᱡᱟᱸᱦᱟ ᱫᱚ ᱪᱮᱬᱮ, ᱡᱟᱱᱣᱟᱨ ᱟᱨ ᱢᱟᱹᱱᱢᱤ ᱠᱚᱣᱟᱜ ᱪᱩᱨᱤᱛ ᱛᱟᱞᱟᱛᱮᱭ ᱩᱫᱩᱜ ᱥᱚᱫᱚᱨᱟ ᱾","ᱦᱤᱛ ᱳ ᱯᱚ ᱫᱮᱥ   ᱫᱚ   ᱡᱮᱜᱮᱫ   ᱜᱮᱭ ᱟᱱ   ᱨᱮᱭᱟᱜ   ᱢᱤᱫ   ᱯᱚᱛᱚ ᱵ   ᱡᱟᱸ ᱦᱟ   ᱫᱚ   ᱪᱮᱬᱮ ,   ᱡᱟᱱ ᱣᱟᱨ   ᱟᱨ   ᱢᱟᱹᱱ ᱢᱤ   ᱠᱚᱣᱟᱜ   ᱪᱩᱨᱤᱛ   ᱛᱟᱞᱟᱛᱮ ᱭ   ᱩᱫᱩᱜ   ᱥᱚᱫᱚᱨ ᱟ   ᱾</w>",30
14,ᱯᱚᱛᱚᱵ ᱨᱮᱭᱟᱜ ᱡᱚᱥ ᱫᱚ ᱥᱚᱝᱥᱠᱨᱤᱛ ᱯᱟᱱᱟᱨᱥᱟᱞ ᱟᱨ ᱟᱹᱠᱤᱞ ᱵᱮᱣᱦᱟᱨ ᱨᱮ ᱜᱮᱭᱟᱱ ᱛᱮ ᱜᱟᱹᱠᱷᱩᱲ ᱩᱛᱷᱱᱟᱹᱣ ᱜᱤ ᱵᱚᱱ ᱢᱚᱱᱮᱭᱟ ᱾,ᱯᱚᱛᱚ ᱵ   ᱨᱮᱭᱟᱜ   ᱡᱚᱥ   ᱫᱚ   ᱥᱚᱝ ᱥᱠᱨᱤ ᱛ   ᱯᱟᱱ ᱟᱨ ᱥᱟᱞ   ᱟᱨ   ᱟᱹ ᱠᱤᱞ   ᱵᱮᱣᱦᱟᱨ   ᱨᱮ   ᱜᱮᱭ ᱟᱱ   ᱛᱮ   ᱜᱟᱹᱠᱷᱩᱲ   ᱩᱛᱷ ᱱᱟᱹᱣ   ᱜᱤ   ᱵᱚᱱ   ᱢᱚᱱᱮᱭ ᱟ   ᱾</w>,27
