original,tokenized,token_count,word_count
"ਇਕ ਵਿਅਕਤੀ ਦਾ ਪਹਿਰਾਵਾ ਜੀਵੇਂ ਕਿ ਉਸ ਦੇ ਜੁੱਤੇ, ਕੱਪੜੇ, ਨੈਕਟਾਈ,ਆਭੂਸ਼ਣ, ਬਾਲ ਬਣਾਉਣ ਦਾ ਤਰੀਕਾ, ਮੈਕ-ਅੱਪ, ਘੜੀ, ਅਤਰ ਆਦੀ ਉਸ ਦਿਆਂ ਵਿਸ਼ੇਸ਼ਤਵਾਂ ਦਰਸਾਉਂਦਾ ਹੈ I","ਇ ਕ   ਵਿ ਅ ਕ ਤੀ   ਦਾ   ਪ ਹਿ ਰਾ ਵਾ   ਜੀ ਵੇਂ   ਕਿ   ਉ ਸ   ਦੇ   ਜੁ ੱ ਤੇ ,   ਕ ੱ ਪ ੜ ੇ ,   ਨੈ ਕ ਟਾ ਈ , ਆ ਭੂ ਸ ਼ ਣ ,   ਬਾ ਲ   ਬ ਣਾ ਉ ਣ   ਦਾ   ਤ ਰੀ ਕਾ ,   ਮੈ ਕ - ਅ ੱ ਪ ,   ਘ ੜ ੀ ,   ਅ ਤ ਰ   ਆ ਦੀ   ਉ ਸ   ਦਿ ਆ ਂ   ਵਿ ਸ ਼ ੇ ਸ ਼ ਤ ਵਾਂ   ਦ ਰ ਸਾ ਉ ਂ ਦਾ   ਹੈ   I",86,25
ਮਹਾਰਾਸ਼ਟਰਾ ਦੇ ਔਰੰਗਾਬਾਦ ਜਿਲ੍ਹੇ ਵਿੱਚ ਸਥਿਤ ਅਜੰਤਾ ਵਿੱਚ ਉਨੱਤੀ ਕੇਟਿਆ ਅਤੇ ਵਿਹਾਰਾ ਗੁਫ਼ਾਵਾ ਹਨ ਜੋਂ ਪਿਹਲੀ ਸਦੀ ਤੋਂ ਲੈ ਕੇ ਪੰਜਵੀ ਸਦੀ ਤੱਕ ਦੀਆਂ ਮੂਰਤੀਆਂ ਅਤੇ ਚਿਤੱਰਕਾਰੀ ਨਾਲ ਸਜਿਆ ਹੋਈਆਂ ਹਨ I,ਮ ਹਾ ਰਾ ਸ਼ ਟ ਰਾ   ਦੇ   ਔ ਰ ੰ ਗਾ ਬਾ ਦ   ਜਿ ਲ੍ਹੇ   ਵਿ ੱ ਚ   ਸ ਥਿ ਤ   ਅ ਜ ੰ ਤਾ   ਵਿ ੱ ਚ   ਉ ਨ ੱ ਤੀ   ਕੇ ਟਿ ਆ   ਅ ਤੇ   ਵਿ ਹਾ ਰਾ   ਗੁ ਫ਼ ਾ ਵਾ   ਹ ਨ   ਜੋਂ   ਪਿ ਹ ਲੀ   ਸ ਦੀ   ਤੋਂ   ਲੈ   ਕੇ   ਪ ੰ ਜ ਵੀ   ਸ ਦੀ   ਤ ੱ ਕ   ਦੀ ਆ ਂ   ਮੂ ਰ ਤੀ ਆ ਂ   ਅ ਤੇ   ਚਿ ਤ ੱ ਰ ਕਾ ਰੀ   ਨਾ ਲ   ਸ ਜਿ ਆ   ਹੋ ਈ ਆ ਂ   ਹ ਨ   I,92,32
ਸ਼ਰੀਰ ਦਾ ਰੰਗ ਬਾਹਰਲੀ ਸ਼੍ਰੇਣੀ ਨਾਲ ਜੁੜ ਕੇ ਇੱਕ ਵੱਡੇ ਅਕਾਰ ਦੀ ਭਾਂਤ ਦਿੰਦਾ ਹੈ I,ਸ ਼ ਰੀ ਰ   ਦਾ   ਰ ੰ ਗ   ਬਾ ਹ ਰ ਲੀ   ਸ ਼ ੍ ਰੇ ਣੀ   ਨਾ ਲ   ਜੁ ੜ   ਕੇ   ਇ ੱ ਕ   ਵ ੱ ਡੇ   ਅ ਕਾ ਰ   ਦੀ   ਭਾਂ ਤ   ਦਿ ੰ ਦਾ   ਹੈ   I,39,16
"ਅਸ਼ੋਕਾ ਨੇ ਵੱਧ-ਚੜ ਕੇ ਪਧੱਰ ਦਾ ਪ੍ਰਯੋਗ ਕਰਵੇ ਮੂਰਤੀਆਂ ਅਤੇ ਹੋਰ ਸਮਾਰਕ ਬਣਵਾਣ ਦੇ ਲਈ, ਇਸ ਤੋਂ ਪਹਿਲਾਂ ਸਾਰੀਆਂ ਇਮਾਰਤਾਂ ਲੱਕੜ ਅਤੇ ਮਿੱਟੀ ਦਿਆਂ ਬਣਦੀਆਂ ਸਨ I","ਅ ਸ਼ੋ ਕਾ   ਨੇ   ਵ ੱ ਧ - ਚ ੜ   ਕੇ   ਪ ਧ ੱ ਰ   ਦਾ   ਪ੍ਰ ਯੋ ਗ   ਕ ਰ ਵੇ   ਮੂ ਰ ਤੀ ਆ ਂ   ਅ ਤੇ   ਹੋ ਰ   ਸ ਮਾ ਰ ਕ   ਬ ਣ ਵਾ ਣ   ਦੇ   ਲ ਈ ,   ਇ ਸ   ਤੋਂ   ਪ ਹਿ ਲਾਂ   ਸਾ ਰੀ ਆ ਂ   ਇ ਮਾ ਰ ਤਾਂ   ਲ ੱ ਕ ੜ   ਅ ਤੇ   ਮਿ ੱ ਟੀ   ਦਿ ਆ ਂ   ਬ ਣ ਦੀ ਆ ਂ   ਸ ਨ   I",77,27
ਮਹਾਰਾਸ਼ਟਰ ਦੀ ਇਹ ਜ਼ਾਇਕੇਦਾਰ ਅਤੇ ਮਸ਼ਹੂਰ ਪਕਵਾਨ ਬਣਾਉਨਣ ਲਈ ਆਲੂਆਂ ਨੂੰ ਮਸਲਿਆ ਨਾਲ ਰਲਾ ਕੇ ਫ਼ੇਰ ਬੇਸਨ ਦੀ ਇਕ ਪਰਤ ਚੜਾ ਕੇ ਤਲਿਆ ਜਾਂਦਾ ਹੈ I,ਮ ਹਾ ਰਾ ਸ ਼ ਟ ਰ   ਦੀ   ਇ ਹ   ਜ ਼ ਾ ਇ ਕੇ ਦਾ ਰ   ਅ ਤੇ   ਮ ਸ ਼ ਹੂ ਰ   ਪ ਕ ਵਾ ਨ   ਬ ਣਾ ਉ ਨ ਣ   ਲ ਈ   ਆ ਲੂ ਆ ਂ   ਨੂ ੰ   ਮ ਸ ਲਿ ਆ   ਨਾ ਲ   ਰ ਲਾ   ਕੇ   ਫ ਼ ੇ ਰ   ਬੇ ਸ ਨ   ਦੀ   ਇ ਕ   ਪ ਰ ਤ   ਚ ੜ ਾ   ਕੇ   ਤ ਲਿ ਆ   ਜਾਂ ਦਾ   ਹੈ   I,74,26
"ਨਾਟੂਕੋਟਾਈ ਚਿਟੈਆਰ ਜਾਂ ਨਾਗਾਰਾਥਰ ਸਮੁਦਾਈ ਜੋ ਕਿ ਤਾਮਿਲਨਾਡੂ ਰਾਜ ਦੇ ਚੈਟਿਨਾਦ ਇਲਾਕੇ ਤੋਂ ਹਨ, ਓਨ੍ਹਾਂ ਦੇ ਖਾਣ-ਪਿਣ ਨੂੰ ""ਚੈਟਿਨਾਦ ਕੁਰਜ਼ੀਨ"" ਨਾਲ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ I","ਨਾ ਟੂ ਕੋ ਟਾ ਈ   ਚਿ ਟੈ ਆ ਰ   ਜਾਂ   ਨਾ ਗਾ ਰਾ ਥ ਰ   ਸ ਮੁ ਦਾ ਈ   ਜੋ   ਕਿ   ਤਾ ਮਿ ਲ ਨਾ ਡੂ   ਰਾ ਜ   ਦੇ   ਚੈ ਟਿ ਨਾ ਦ   ਇ ਲਾ ਕੇ   ਤੋਂ   ਹ ਨ ,   ਓ ਨ੍ਹਾਂ   ਦੇ   ਖਾ ਣ - ਪਿ ਣ   ਨੂ ੰ   "" ਚੈ ਟਿ ਨਾ ਦ   ਕੁ ਰ ਜ਼ ੀ ਨ ""   ਨਾ ਲ   ਜਾ ਣਿ ਆ   ਜਾਂ ਦਾ   ਹੈ   I",70,25
ਦਾਲ - ਚੀਨੀ ਇੱਕ ਦੇਸੀ ਮਸਾਲਾ ਹੈ ਅਤੇ ਇਸ ਦੀ ਵਰਤੋਂ ਖਾਣ - ਪੀਣ ਤੋ ਲੈ ਕੇ ਦਵਾਈਆ ਤੱਕ ਕਿਤੀ ਜਾਂਦੀ ਹੈ I,ਦਾ ਲ   -   ਚੀ ਨੀ   ਇ ੱ ਕ   ਦੇ ਸੀ   ਮ ਸਾ ਲਾ   ਹੈ   ਅ ਤੇ   ਇ ਸ   ਦੀ   ਵ ਰ ਤੋਂ   ਖਾ ਣ   -   ਪੀ ਣ   ਤੋ   ਲੈ   ਕੇ   ਦ ਵਾ ਈ ਆ   ਤ ੱ ਕ   ਕਿ ਤੀ   ਜਾਂ ਦੀ   ਹੈ   I,43,23
ਇਸ ਨੂੰ ਮਿਕਸਰ ਜਾ ਘੋਟਣੇ ਦੀ ਵਰਤੋ ਨਾਲ ਚੂਰੇ ਵਿੱਚ ਘੋਟ ਲੋ I,ਇ ਸ   ਨੂ ੰ   ਮਿ ਕ ਸ ਰ   ਜਾ   ਘੋ ਟ ਣੇ   ਦੀ   ਵ ਰ ਤੋ   ਨਾ ਲ   ਚੂ ਰੇ   ਵਿ ੱ ਚ   ਘੋ ਟ   ਲੋ   I,27,13
"ਪੰਜਾਬ ਦੇ ਹਰ ਇੱਕ ਸ਼ਹਿਰ ਦੇ ਖਾਣੇ ਦੀ ਪਸੰਦ ਅਲਗ ਹੈ, ਜੀਵੇਂ ਕਿ ਅੰਮ੍ਰਿਤਸਰ ਦੇ ਲੋਕਾਂ ਨੂੰ ਕੁੱਲਚੇ-ਛੋਲੇ, ਪ੍ਰੌਂਠੇ ਅਤੇ ਦੁੱਧ ਤੋ ਬਣੀ ਚੀਜ਼ਾ ਪਸੰਦ ਹਨ I","ਪ ੰ ਜਾ ਬ   ਦੇ   ਹ ਰ   ਇ ੱ ਕ   ਸ ਼ ਹਿ ਰ   ਦੇ   ਖਾ ਣੇ   ਦੀ   ਪ ਸ ੰ ਦ   ਅ ਲ ਗ   ਹੈ ,   ਜੀ ਵੇਂ   ਕਿ   ਅ ੰ ਮ੍ਰਿ ਤ ਸ ਰ   ਦੇ   ਲੋ ਕਾਂ   ਨੂ ੰ   ਕੁ ੱ ਲ ਚੇ - ਛੋ ਲੇ ,   ਪ੍ਰੌਂ ਠੇ   ਅ ਤੇ   ਦੁ ੱ ਧ   ਤੋ   ਬ ਣੀ   ਚੀ ਜ ਼ ਾ   ਪ ਸ ੰ ਦ   ਹ ਨ   I",70,27
ਰਾਮ ਅਤੇ ਲਕਸ਼ਮਣ ਨੂੰ ਸਾਧੂ ਮੁਨੀ ਨਾਲ ਭੇਜੋਂ I,ਰਾ ਮ   ਅ ਤੇ   ਲ ਕ ਸ ਼ ਮ ਣ   ਨੂ ੰ   ਸਾ ਧੂ   ਮੁ ਨੀ   ਨਾ ਲ   ਭੇ ਜੋਂ   I,21,9
