sentence_id,original,tokenized,char_count,token_count
1,"ꯁꯛꯐꯝ ꯍꯥꯏꯕꯁꯤ ꯊꯕꯛ ꯇꯧꯕ ꯃꯤ ꯑꯗꯨꯒ ꯃꯔꯤ ꯂꯩꯅꯕ ꯃꯈꯣꯏꯒꯤ ꯈꯣꯡꯉꯨꯞ, ꯐꯤꯔꯣꯟ, ꯇꯥꯏ, ꯁꯅꯥ-ꯂꯨꯄ, ꯁꯝꯒꯤ ꯃꯑꯣꯡ, ꯀꯦꯕ, ꯘꯔꯤ, ꯀꯦꯅꯕ ꯄꯣꯠꯆꯩ, ꯄꯔꯐ꯭ꯌꯨꯝꯒꯨꯝꯕ ꯃꯒꯨꯟ ꯀꯌꯥꯑꯃꯅꯤ꯫","ꯁ ꯛ ꯐ ꯝ   ꯍ ꯥ ꯏ ꯕ ꯁ ꯤ   ꯊ ꯕ ꯛ   ꯇ ꯧ ꯕ   ꯃ ꯤ   ꯑ ꯗ ꯨ ꯒ   ꯃ ꯔ ꯤ   ꯂ ꯩ ꯅ ꯕ   ꯃ ꯈ ꯣ ꯏ ꯒ ꯤ   ꯈ ꯣ ꯡ ꯉ ꯨ ꯞ ,   ꯐ ꯤ ꯔ ꯣ ꯟ ,   ꯇ ꯥ ꯏ ,   ꯁ ꯅ ꯥ - ꯂ ꯨ ꯄ ,   ꯁ ꯝ ꯒ ꯤ   ꯃ ꯑ ꯣ ꯡ ,   ꯀ ꯦ ꯕ ,   ꯘ ꯔ ꯤ ,   ꯀ ꯦ ꯅ ꯕ   ꯄ ꯣ ꯠ ꯆ ꯩ ,   ꯄ ꯔ ꯐ ꯭ ꯌ ꯨ ꯝ ꯒ ꯨ ꯝ ꯕ   ꯃ ꯒ ꯨ ꯟ   ꯀ ꯌ ꯥ ꯑ ꯃ ꯅ ꯤ ꯫",110,131
2,ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯑꯣꯔꯪꯒꯥꯕꯥꯗ ꯖꯤꯂꯥꯗ ꯂꯩꯕ ꯑꯖꯟꯇꯥꯗ ꯆꯥꯏꯇ꯭ꯌꯥ ꯀꯨꯟꯃꯥꯄꯟ ꯑꯃꯁꯨꯡ ꯍꯛꯇꯨꯟ ꯃꯤꯇꯝ ꯇꯝꯕꯁꯤꯡꯒ ꯈ꯭ꯔꯤꯁꯇ ꯑꯍꯥꯟꯕ ꯆꯍꯤ ꯆꯥꯗꯒꯤ ꯃꯉꯥꯁꯨꯕ ꯆꯍꯤ ꯆꯥ ꯐꯥꯎꯕꯗꯒꯤ ꯑꯣꯏꯕ ꯑꯌꯦꯛꯄ ꯂꯥꯏꯁꯤꯡꯅ ꯀꯦꯔꯕ ꯚꯤꯍꯥꯔꯥ ꯁꯨꯔꯥꯡꯁꯤꯡ ꯂꯩ꯫,ꯃ ꯍ ꯥ ꯔ ꯥ ꯁ ꯇ ꯭ ꯔ ꯒ ꯤ   ꯑ ꯣ ꯔ ꯪ ꯒ ꯥ ꯕ ꯥ ꯗ   ꯖ ꯤ ꯂ ꯥ ꯗ   ꯂ ꯩ ꯕ   ꯑ ꯖ ꯟ ꯇ ꯥ ꯗ   ꯆ ꯥ ꯏ ꯇ ꯭ ꯌ ꯥ   ꯀ ꯨ ꯟ ꯃ ꯥ ꯄ ꯟ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯍ ꯛ ꯇ ꯨ ꯟ   ꯃ ꯤ ꯇ ꯝ   ꯇ ꯝ ꯕ ꯁ ꯤ ꯡ ꯒ   ꯈ ꯭ ꯔ ꯤ ꯁ ꯇ   ꯑ ꯍ ꯥ ꯟ ꯕ   ꯆ ꯍ ꯤ   ꯆ ꯥ ꯗ ꯒ ꯤ   ꯃ ꯉ ꯥ ꯁ ꯨ ꯕ   ꯆ ꯍ ꯤ   ꯆ ꯥ   ꯐ ꯥ ꯎ ꯕ ꯗ ꯒ ꯤ   ꯑ ꯣ ꯏ ꯕ   ꯑ ꯌ ꯦ ꯛ ꯄ   ꯂ ꯥ ꯏ ꯁ ꯤ ꯡ ꯅ   ꯀ ꯦ ꯔ ꯕ   ꯚ ꯤ ꯍ ꯥ ꯔ ꯥ   ꯁ ꯨ ꯔ ꯥ ꯡ ꯁ ꯤ ꯡ   ꯂ ꯩ ꯫,143,168
3,ꯍꯛꯆꯥꯡꯒꯤ ꯃꯆꯨ ꯑꯁꯤ ꯃꯄꯥꯟ ꯊꯪꯕ ꯂꯥꯏꯒ ꯄꯨꯟꯁꯟꯗꯨꯅ ꯆꯥꯡꯗ ꯏꯊꯤꯜ ꯄꯤꯕ ꯊꯣꯛꯍꯜꯂꯤ꯫,ꯍ ꯛ ꯆ ꯥ ꯡ ꯒ ꯤ   ꯃ ꯆ ꯨ   ꯑ ꯁ ꯤ   ꯃ ꯄ ꯥ ꯟ   ꯊ ꯪ ꯕ   ꯂ ꯥ ꯏ ꯒ   ꯄ ꯨ ꯟ ꯁ ꯟ ꯗ ꯨ ꯅ   ꯆ ꯥ ꯡ ꯗ   ꯏ ꯊ ꯤ ꯜ   ꯄ ꯤ ꯕ   ꯊ ꯣ ꯛ ꯍ ꯜ ꯂ ꯤ ꯫,51,61
4,"ꯍꯛꯇꯨꯅ ꯃꯤꯇꯝ ꯁꯦꯝꯕ ꯑꯃꯁꯨꯡ ꯑꯐꯥꯎꯕ ꯅꯤꯡꯁꯤꯡ ꯈꯨꯗꯝꯁꯤꯡ ꯑꯁꯤꯗ ꯄꯥꯛ ꯁꯟꯅ ꯅꯨꯡ ꯁꯤꯖꯤꯟꯅꯕꯁꯤ ꯑꯁꯣꯀꯥꯅ ꯍꯧꯗꯣꯛꯈꯤꯕꯅꯤ, ꯃꯃꯥꯡꯒꯤ ꯆꯠꯅꯕꯤꯗꯗꯤ ꯎ ꯑꯃꯁꯨꯡ ꯂꯩꯈꯣꯝ ꯁꯤꯖꯟꯅꯔꯝꯃꯤ꯫","ꯍ ꯛ ꯇ ꯨ ꯅ   ꯃ ꯤ ꯇ ꯝ   ꯁ ꯦ ꯝ ꯕ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯑ ꯐ ꯥ ꯎ ꯕ   ꯅ ꯤ ꯡ ꯁ ꯤ ꯡ   ꯈ ꯨ ꯗ ꯝ ꯁ ꯤ ꯡ   ꯑ ꯁ ꯤ ꯗ   ꯄ ꯥ ꯛ   ꯁ ꯟ ꯅ   ꯅ ꯨ ꯡ   ꯁ ꯤ ꯖ ꯤ ꯟ ꯅ ꯕ ꯁ ꯤ   ꯑ ꯁ ꯣ ꯀ ꯥ ꯅ   ꯍ ꯧ ꯗ ꯣ ꯛ ꯈ ꯤ ꯕ ꯅ ꯤ ,   ꯃ ꯃ ꯥ ꯡ ꯒ ꯤ   ꯆ ꯠ ꯅ ꯕ ꯤ ꯗ ꯗ ꯤ   ꯎ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯂ ꯩ ꯈ ꯣ ꯝ   ꯁ ꯤ ꯖ ꯟ ꯅ ꯔ ꯝ ꯃ ꯤ ꯫",110,129
5,"ꯃꯁꯥꯂꯁꯤꯡꯒ, ꯕꯦꯁꯣꯟ ꯑꯊꯤꯠꯄꯒ ꯇꯣꯠꯁꯟꯅꯔꯕ ꯑꯂꯨ, ꯑꯗꯨꯒ ꯊꯥꯎꯗ ꯃꯨꯟꯅ ꯐꯖꯅ ꯇꯥꯎꯔꯕ ꯑꯁꯤꯅ ꯃꯍꯥꯔꯥꯁꯇ꯭ꯔꯒꯤ ꯍꯥꯎꯔꯕ ꯑꯃꯁꯨꯡ ꯃꯃꯤꯡ ꯂꯩꯔꯕ ꯃꯊꯦꯜ ꯑꯁꯤ ꯁꯦꯝꯃꯤ꯫","ꯃ ꯁ ꯥ ꯂ ꯁ ꯤ ꯡ ꯒ ,   ꯕ ꯦ ꯁ ꯣ ꯟ   ꯑ ꯊ ꯤ ꯠ ꯄ ꯒ   ꯇ ꯣ ꯠ ꯁ ꯟ ꯅ ꯔ ꯕ   ꯑ ꯂ ꯨ ,   ꯑ ꯗ ꯨ ꯒ   ꯊ ꯥ ꯎ ꯗ   ꯃ ꯨ ꯟ ꯅ   ꯐ ꯖ ꯅ   ꯇ ꯥ ꯎ ꯔ ꯕ   ꯑ ꯁ ꯤ ꯅ   ꯃ ꯍ ꯥ ꯔ ꯥ ꯁ ꯇ ꯭ ꯔ ꯒ ꯤ   ꯍ ꯥ ꯎ ꯔ ꯕ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯃ ꯃ ꯤ ꯡ   ꯂ ꯩ ꯔ ꯕ   ꯃ ꯊ ꯦ ꯜ   ꯑ ꯁ ꯤ   ꯁ ꯦ ꯝ ꯃ ꯤ ꯫",98,116
6,"ꯆꯦꯠꯇꯤꯅꯥꯗ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡ ꯑꯁꯤ ꯇꯥꯃꯤꯜ ꯅꯥꯗꯨ ꯔꯥꯖ꯭ꯌꯒꯤ ꯆꯦꯠꯇꯤꯌꯥꯅꯥꯗ ꯃꯐꯝꯗꯒꯤꯅꯥꯇꯨꯀꯣꯇꯥꯏ ꯆꯦꯠꯇꯤꯌꯥꯔꯁꯤꯡ, ꯅꯠꯇ꯭ꯔꯒ ꯅꯒꯥꯔꯥꯊꯥꯔꯁꯤꯡ ꯍꯥꯏꯅ ꯀꯧꯖꯕ ꯀꯥꯡꯂꯨꯞꯀꯤ ꯊꯣꯡ-ꯊꯥꯛꯄꯒꯤ ꯃꯑꯣꯡꯅꯤ꯫","ꯆ ꯦ ꯠ ꯇ ꯤ ꯅ ꯥ ꯗ   ꯊ ꯣ ꯡ - ꯊ ꯥ ꯛ ꯄ ꯒ ꯤ   ꯃ ꯑ ꯣ ꯡ   ꯑ ꯁ ꯤ   ꯇ ꯥ ꯃ ꯤ ꯜ   ꯅ ꯥ ꯗ ꯨ   ꯔ ꯥ ꯖ ꯭ ꯌ ꯒ ꯤ   ꯆ ꯦ ꯠ ꯇ ꯤ ꯌ ꯥ ꯅ ꯥ ꯗ   ꯃ ꯐ ꯝ ꯗ ꯒ ꯤ ꯅ ꯥ ꯇ ꯨ ꯀ ꯣ ꯇ ꯥ ꯏ   ꯆ ꯦ ꯠ ꯇ ꯤ ꯌ ꯥ ꯔ ꯁ ꯤ ꯡ ,   ꯅ ꯠ ꯇ ꯭ ꯔ ꯒ   ꯅ ꯒ ꯥ ꯔ ꯥ ꯊ ꯥ ꯔ ꯁ ꯤ ꯡ   ꯍ ꯥ ꯏ ꯅ   ꯀ ꯧ ꯖ ꯕ   ꯀ ꯥ ꯡ ꯂ ꯨ ꯞ ꯀ ꯤ   ꯊ ꯣ ꯡ - ꯊ ꯥ ꯛ ꯄ ꯒ ꯤ   ꯃ ꯑ ꯣ ꯡ ꯅ ꯤ ꯫",128,144
7,ꯎꯁꯤꯡꯁꯥ ꯑꯁꯤ ꯚꯥꯔꯠꯀꯤ ꯑꯣꯏꯕ ꯄꯥꯝꯕꯤꯅꯤ ꯑꯗꯨꯒ ꯃꯁꯤꯒꯤ ꯁꯤꯖꯤꯟꯅꯕ ꯃꯑꯣꯡ ꯑꯁꯤ ꯊꯣꯛꯕꯗ ꯍꯥꯞꯄ ꯃꯍꯥꯎꯒꯤ ꯄꯣꯠ ꯇꯒꯤ ꯍꯤꯗꯥꯛ ꯑꯣꯏꯅ ꯁꯤꯖꯤꯟꯅꯕ ꯐꯥꯎ ꯑꯣꯏ꯫,ꯎ ꯁ ꯤ ꯡ ꯁ ꯥ   ꯑ ꯁ ꯤ   ꯚ ꯥ ꯔ ꯠ ꯀ ꯤ   ꯑ ꯣ ꯏ ꯕ   ꯄ ꯥ ꯝ ꯕ ꯤ ꯅ ꯤ   ꯑ ꯗ ꯨ ꯒ   ꯃ ꯁ ꯤ ꯒ ꯤ   ꯁ ꯤ ꯖ ꯤ ꯟ ꯅ ꯕ   ꯃ ꯑ ꯣ ꯡ   ꯑ ꯁ ꯤ   ꯊ ꯣ ꯛ ꯕ ꯗ   ꯍ ꯥ ꯞ ꯄ   ꯃ ꯍ ꯥ ꯎ ꯒ ꯤ   ꯄ ꯣ ꯠ   ꯇ ꯒ ꯤ   ꯍ ꯤ ꯗ ꯥ ꯛ   ꯑ ꯣ ꯏ ꯅ   ꯁ ꯤ ꯖ ꯤ ꯟ ꯅ ꯕ   ꯐ ꯥ ꯎ   ꯑ ꯣ ꯏ ꯫,93,112
8,ꯃꯁꯤ ꯗ꯭ꯔꯥꯏ ꯒ꯭ꯔꯥꯏꯟꯗꯔ ꯑꯃꯗ ꯅꯠꯇ꯭ꯔꯒ ꯅꯨꯡꯒꯤ ꯈꯣꯟꯗ ꯃꯀꯨꯞ ꯇꯥꯍꯜꯂꯨ꯫,ꯃ ꯁ ꯤ   ꯗ ꯭ ꯔ ꯥ ꯏ   ꯒ ꯭ ꯔ ꯥ ꯏ ꯟ ꯗ ꯔ   ꯑ ꯃ ꯗ   ꯅ ꯠ ꯇ ꯭ ꯔ ꯒ   ꯅ ꯨ ꯡ ꯒ ꯤ   ꯈ ꯣ ꯟ ꯗ   ꯃ ꯀ ꯨ ꯞ   ꯇ ꯥ ꯍ ꯜ ꯂ ꯨ ꯫,45,53
9,"ꯄꯟꯖꯥꯕꯀꯤ ꯁꯍꯔ ꯑꯃꯃꯝꯒꯤ ꯇꯣꯉꯥꯟ-ꯇꯣꯉꯥꯟꯕ ꯑꯄꯥꯝꯕꯁꯤꯡ ꯂꯩ, ꯈꯨꯗꯝ ꯑꯦꯏꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯗ ꯂꯩꯕ ꯃꯤꯑꯣꯏꯁꯤꯡꯅ ꯑꯃ꯭ꯔꯤꯠꯁꯔꯤ ꯀꯨꯜꯆꯦ, ꯁ꯭ꯇꯐ ꯄꯔꯥꯟꯊꯥꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯪꯒꯣꯝꯒꯤ ꯄꯣꯠꯊꯣꯛꯁꯤꯡ ꯑꯁꯤ ꯃꯔꯨꯑꯣꯏꯅ ꯄꯥꯝꯅꯩ꯫","ꯄ ꯟ ꯖ ꯥ ꯕ ꯀ ꯤ   ꯁ ꯍ ꯔ   ꯑ ꯃ ꯃ ꯝ ꯒ ꯤ   ꯇ ꯣ ꯉ ꯥ ꯟ - ꯇ ꯣ ꯉ ꯥ ꯟ ꯕ   ꯑ ꯄ ꯥ ꯝ ꯕ ꯁ ꯤ ꯡ   ꯂ ꯩ ,   ꯈ ꯨ ꯗ ꯝ   ꯑ ꯦ ꯏ ꯅ   ꯑ ꯃ ꯭ ꯔ ꯤ ꯠ ꯁ ꯔ ꯗ   ꯂ ꯩ ꯕ   ꯃ ꯤ ꯑ ꯣ ꯏ ꯁ ꯤ ꯡ ꯅ   ꯑ ꯃ ꯭ ꯔ ꯤ ꯠ ꯁ ꯔ ꯤ   ꯀ ꯨ ꯜ ꯆ ꯦ ,   ꯁ ꯭ ꯇ ꯐ   ꯄ ꯔ ꯥ ꯟ ꯊ ꯥ ꯁ ꯤ ꯡ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯁ ꯪ ꯒ ꯣ ꯝ ꯒ ꯤ   ꯄ ꯣ ꯠ ꯊ ꯣ ꯛ ꯁ ꯤ ꯡ   ꯑ ꯁ ꯤ   ꯃ ꯔ ꯨ ꯑ ꯣ ꯏ ꯅ   ꯄ ꯥ ꯝ ꯅ ꯩ ꯫",133,153
10,ꯔꯥꯝꯕꯨ ꯃꯨꯅꯤ ꯔꯤꯁꯤ ꯑꯗꯨꯒ ꯊꯥꯈꯣ ꯑꯃꯁꯨꯡ ꯂꯛꯁꯃꯟꯁꯨ ꯊꯥꯈꯣ꯫,ꯔ ꯥ ꯝ ꯕ ꯨ   ꯃ ꯨ ꯅ ꯤ   ꯔ ꯤ ꯁ ꯤ   ꯑ ꯗ ꯨ ꯒ   ꯊ ꯥ ꯈ ꯣ   ꯑ ꯃ ꯁ ꯨ ꯡ   ꯂ ꯛ ꯁ ꯃ ꯟ ꯁ ꯨ   ꯊ ꯥ ꯈ ꯣ ꯫,38,45
