original,tokenized,token_count,word_count
"বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি","বা হ্য   রূ প   হ ল   সে ই   প রি ষে বা   প্র দা ন কা রী   মা নু ষ   স ম্ব ন্ধী য়   এ ক   গু চ্ছ   বৈ শি ষ্ট্য   যে ম ন ,   তা র   জু তো ,   জা মা কা প ড় ,   টা ই ,   গ য় না ,   চু লে র   ধ র ন ,   রূ প স জ্জা ,   ঘ ড় ি ,   প্র সা ধ নী ,   সু গ ন্ধি ,   ই ত্যা দি",81,24
মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে,ম হা রা ষ্ট্রে র   ঔ র ঙ্গা বা দ   জে লা য়   অ ব স্থি ত   অ জ ন্তা য়   খ্রি ষ্ট পূ র্ব   প্র থ ম   শ তা ব্দী   থে কে   খ্রি ষ্টী য়   প ঞ্চ ম   শ তা ব্দী র   ভা স্ক র্য   এ বং   চি ত্র ক লা য়   স জ্জি ত   ঊ ন ত্রি শ টি   চৈ ত্য   এ বং   বি হা র   গু হা   র য় ে ছে,74,22
গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে,গা য় ে র   র ঙে র   স ঙ্গে   দে হ রে খা   মি শে   গি য় ে   ঘ ন ত্বে র   আ ভা স   তৈ রি   ক রে,29,10
"যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন","যে খা নে   পূ র্ব ব র্তী   ঐ তি হ্য   ছি ল   কা ঠ   ও   মা টি   দি য় ে   নি র্মা ণ   ক রা ,   অ শো ক   সে খা নে   ভা স্ক র্য   এ বং   ম হা ন   স্মৃ তি স্ত ম্ভ   নি র্মা ণে র   কা জে   ব্যা প ক ভা বে   পা থ রে র   ব্য ব হা র   শু রু   ক রে ন",68,23
"আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ","আ লু তে   ম শ লা   মা খি য় ে ,   ফে টা নো   বে স নে   চু বি য় ে   নি য় ে   ডু বো   তে লে   ভা জা   য ত ক্ষ ণ   না   ভা লো   ক রে   ভা জা   হ চ্ছে ,   তৈ রি   ক রা   হ য়   ম হা রা ষ্ট্রে র   এ ই   সু স্বা দু   ও   জ ন প্রি য়   খা বা রে র   প দ",71,26
"চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী","চে ট্টি না ড়   র ন্ধ ন প্র ণা লী   হ লো   তা মি ল না ড় ু   রা জ্যে র   চে ট্টি না ড়   অ ঞ্চ লে র   না ট্টু কো টা ই   চে ট্টি য় া র ,   অ থ বা   তা দে র   নি জে দে র   দে ও য় া   না ম   অ নু যা য় ী   ন গ র ত্তা র   না ম ক   এ ক টি   স ম্প্র দা য় ে র   এ ক   র ন্ধ ন প্র ণা লী",86,21
দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়,দা রু চি নি   ভা র তে   মূ ল ভা বে   উ ৎ পা দি ত   এ বং   এ র   ব্য ব হা র   গ ন্ধ বি শি ষ্ট   দ্র ব্য   থে কে   আ র ম্ভ   ক রে   ঔ ষ ধি   দ্র ব্য   হি সে বে   হ য়,48,16
এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন,এ ই   স ব গু লো কে   এ ক টা   শু ক নো   জাঁ তা ক ল   বা   শি ল নো ড় া য়   গুঁ ড় ো   ক রু ন,30,9
"পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে","প ঞ্জা বে র   এ কে ক টি   শ হ রে র   প ছ ন্দ   এ কে ক   র ক মে র ,   যে ম ন   অ মৃ ত স রে র   লো কে রা   অ মৃ ত স রী   কু ল চা ,   পু র ভ রা   প রো টা   এ বং   দু গ্ধ জা ত   প ণ্য   বে শি   প ছ ন্দ   ক রে",66,19
রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান,রা ম কে   এ ই   ঋ ষি র   স ঙ্গে   পা ঠা ন   এ বং   ল ক্ষ্ম ণ কে ও   পা ঠা ন,23,8
"কিন্তু মঙ্গল পাণ্ডের বীরত্বসূচক কাজ, উচ্চ ও মহৎ নীতির প্রতি নিষ্ঠার মাধ্যমে সম্পাদিত হয়েছিল","কি ন্তু   ম ঙ্গ ল   পা ণ্ডে র   বী র ত্ব সূ চ ক   কা জ ,   উ চ্চ   ও   ম হ ৎ   নী তি র   প্র তি   নি ষ্ঠা র   মা ধ্য মে   স ম্পা দি ত   হ য় ে ছি ল",43,14
"পেঁয়াজগুলি স্বচ্ছ্ব হয়ে এলে, মাখিয়ে রাখা পাঁঠার মাংস হলুদ গুঁড়োর সঙ্গে দিয়ে দিন এবং সমস্ত মশলা মাংসে না ঢোকা পর্যন্ত ৫-৬ মিনিট মতো কিছু সময় ধরে কষতে থাকুন","পেঁ য় া জ গু লি   স্ব চ্ছ্ব   হ য় ে   এ লে ,   মা খি য় ে   রা খা   পাঁ ঠা র   মাং স   হ লু দ   গুঁ ড় ো র   স ঙ্গে   দি য় ে   দি ন   এ বং   স ম স্ত   ম শ লা   মাং সে   না   ঢো কা   প র্য ন্ত   ৫ - ৬   মি নি ট   ম তো   কি ছু   স ম য়   ধ রে   ক ষ তে   থা কু ন",76,28
"হিতোপদেশ হল পাখি, পশু ও মানুষের চরিত্রের মাধ্যমে বোঝানো পার্থিব জ্ঞানের একটি বই","হি তো প দে শ   হ ল   পা খি ,   প শু   ও   মা নু ষে র   চ রি ত্রে র   মা ধ্য মে   বো ঝা নো   পা র্থি ব   জ্ঞা নে র   এ ক টি   ব ই",38,13
এই বইটির উদ্দেশ্য দাঁড়ালো গিয়ে সংস্কৃতে মতপ্রকাশের দক্ষতাকে এবং জ্ঞানগর্ভ আচার-আচরণের শিক্ষাকে উৎসাহিত করা,এ ই   ব ই টি র   উ দ্দে শ্য   দাঁ ড় া লো   গি য় ে   সং স্কৃ তে   ম ত প্র কা শে র   দ ক্ষ তা কে   এ বং   জ্ঞা ন গ র্ভ   আ চা র - আ চ র ণে র   শি ক্ষা কে   উ ৎ সা হি ত   ক রা,54,14
