sentence_id,original,tokenized,char_count,token_count
1,"દેખાવ એ સેવા કર્મીના લક્ષણોનો સમૂહ છે, જેમ કે તેમના બૂટ, કપડાં, ટાઈ, આભૂષણો, કેશકલાપ","દ ે ખ ા વ   એ   સ ે વ ા   ક ર ્ મ ી ન ા   લ ક ્ ષ ણ ો ન ો   સ મ ૂ હ   છ ે ,   જ ે મ   ક ે   ત ે મ ન ા   બ ૂ ટ ,   ક પ ડ ા ં ,   ટ ા ઈ ,   આ ભ ૂ ષ ણ ો ,   ક ે શ ક લ ા પ",70,84
2,"શણગાર, ઘડિયાળ, શૃંગાર દ્રવ્યો, અત્તર, વગેરે","શ ણ ગ ા ર ,   ઘ ડ િ ય ા ળ ,   શ ૃ ં ગ ા ર   દ ્ ર વ ્ ય ો ,   અ ત ્ ત ર ,   વ ગ ે ર ે",38,43
3,"મહારાષ્ટ્રના ઔરંગાબાદ જીલ્લામાં સ્થિત અજંતામાં ઓગણત્રીસ કૈત્ય અને વિહાર ગુફાઓ છે, જે ઈ","મ હ ા ર ા ષ ્ ટ ્ ર ન ા   ઔ ર ં ગ ા બ ા દ   જ ી લ ્ લ ા મ ા ં   સ ્ થ િ ત   અ જ ં ત ા મ ા ં   ઓ ગ ણ ત ્ ર ી સ   ક ૈ ત ્ ય   અ ન ે   વ િ હ ા ર   ગ ુ ફ ા ઓ   છ ે ,   જ ે   ઈ",74,86
4,સ,સ,1,1
5,પૂ,પ ૂ,2,2
6,પ્રથમ સદીથી ઈ,પ ્ ર થ મ   સ દ ી થ ી   ઈ,11,13
7,સ,સ,1,1
8,પાંચમી સદી સુધીના શિલ્પો અને ચિત્રોથી સુશોભિત છે,પ ા ં ચ મ ી   સ દ ી   સ ુ ધ ી ન ા   શ િ લ ્ પ ો   અ ન ે   ચ િ ત ્ ર ો થ ી   સ ુ શ ો ભ િ ત   છ ે,41,48
9,શરીરનો રંગ બાહ્ય રેખા સાથે ભળીને ઘનતાની અસર સર્જે છે,શ ર ી ર ન ો   ર ં ગ   બ ા હ ્ ય   ર ે ખ ા   સ ા થ ે   ભ ળ ી ન ે   ઘ ન ત ા ન ી   અ સ ર   સ ર ્ જ ે   છ ે,43,52
10,"અશોકે શિલ્પો અને વિરાટ સ્મારકો બનાવવા માટે પથ્થરોનો વિસ્તૃત ઉપયોગ શરુ કર્યો, જયારે અગાઉની પરંપરા લાકડા અને માટીના કામ સાથે બનેલી હતી","અ શ ો ક ે   શ િ લ ્ પ ો   અ ન ે   વ િ ર ા ટ   સ ્ મ ા ર ક ો   બ ન ા વ વ ા   મ ા ટ ે   પ થ ્ થ ર ો ન ો   વ િ સ ્ ત ૃ ત   ઉ પ ય ો ગ   શ ર ુ   ક ર ્ ય ો ,   જ ય ા ર ે   અ ગ ા ઉ ન ી   પ ર ં પ ર ા   લ ા ક ડ ા   અ ન ે   મ ા ટ ી ન ા   ક ા મ   સ ા થ ે   બ ન ે લ ી   હ ત ી",111,132
