original,tokenized,token_count,word_count
"नौकरी पेशा माण्हूअ सां लाॻापो रखंदड़ गुण जीअं त उन्हनि जो बूट, कपड़ा, टाई, ॻहणो, वारनि जो अंदाज़, मेक-अप, वाच, कॉस्मेटिक, इत्तर वगैरह जे हिक मेड़ खे सरूप चइबो आहे","नौ क री   पे शा   मा ण्हू अ   सां   ला ॻ ा पो   र खं द ड़   गु ण   जी अ ं   त   उ न्ह नि   जो   बू ट ,   क प ड़ ा ,   टा ई ,   ॻ ह णो ,   वा र नि   जो   अ ं दा ज़ ,   मे क - अ प ,   वा च ,   कॉ स्मे टि क ,   इ त्त र   व गै र ह   जे   हि क   मे ड़   खे   स रू प   च इ बो   आ हे",86,30
महाराष्ट्र जे औरंगाबाद इलाइके में आयल अजंता में पहिरीं सदी बी,म हा रा ष्ट्र   जे   औ रं गा बा द   इ ला इ के   में   आ य ल   अ जं ता   में   प हि रीं   स दी   बी,28,11
सी,सी,1,1
ई,ई,1,1
खां वठी पंजी सदी सी,खां   व ठी   पं जी   स दी   सी,8,5
ई,ई,1,1
"जे विच में रचियल, मूर्ती कलाउनु ऐं चित्र कलाउनु सां सजायल उणटीह चैत्य ऐं विहार गुफाऊं आयल आहिन","जे   वि च   में   र चि य ल ,   मू र्ती   क ला उ नु   ऐ ं   चि त्र   क ला उ नु   सां   स जा य ल   उ ण टी ह   चै त्य   ऐ ं   वि हा र   गु फा ऊ ं   आ य ल   आ हि न",49,18
"सरीर जो रंग बा॒हरीं लीक सां समाइजी वेंदो आहे, जहिं जे करे मकदार जी तासीर पैदा थींदी आहे","स री र   जो   रं ग   बा ॒ ह रीं   ली क   सां   स मा इ जी   वें दो   आ हे ,   ज हिं   जे   क रे   म क दा र   जी   ता सी र   पै दा   थीं दी   आ हे",41,18
"अशोक संगतराशी ऐं खास मकबरन जे लाए पथरनु जो वडे॒ पैमाने ते इस्तेमाल करण शुरू कयो, जड॒हिं त पोइं रिवायत में काठ ऐं चीकी मिट्टीअ सां कम कयो वेंदो हो","अ शो क   सं ग त रा शी   ऐ ं   खा स   म क ब र न   जे   ला ए   प थ र नु   जो   व डे ॒   पै मा ने   ते   इ स्ते मा ल   क र ण   शु रू   क यो ,   ज ड ॒ हिं   त   पो इ ं   रि वा य त   में   का ठ   ऐ ं   ची की   मि ट्टी अ   सां   क म   क यो   वें दो   हो",74,30
मसालनि में गडि॒यल पटाटनि खे बेसण जे बैटर में बो॒ड़े ऐं सुठे नमूने तरण सां महाराष्ट्र जो लज़ीज़ ऐं मशहूर तामु ठहे थो,म सा ल नि   में   ग डि ॒ य ल   प टा ट नि   खे   बे स ण   जे   बै ट र   में   बो ॒ ड़ े   ऐ ं   सु ठे   न मू ने   त र ण   सां   म हा रा ष्ट्र   जो   ल ज़ ी ज़   ऐ ं   म श हू र   ता मु   ठ हे   थो,58,23
"चेट्टीनाड खाधो, तमिल नाडू जे चेट्टीनाड इलाइके जे नाट्टूकोटाई चेट्टियार नाले समाज या खुद खे नागारधार चवण वारनि जो खाधो आहे","चे ट्टी ना ड   खा धो ,   त मि ल   ना डू   जे   चे ट्टी ना ड   इ ला इ के   जे   ना ट्टू को टा ई   चे ट्टि या र   ना ले   स मा ज   या   खु द   खे   ना गा र धा र   च व ण   वा र नि   जो   खा धो   आ हे",56,21
दालचीनी भारत जी पैदाइश आहे ऐं सवादि वधाइण वारे एजंट खां वठी दवा जे एजंट तोरि इन जो इस्तैमालि थींदो आहे,दा ल ची नी   भा र त   जी   पै दा इ श   आ हे   ऐ ं   स वा दि   व धा इ ण   वा रे   ए जं ट   खां   व ठी   द वा   जे   ए जं ट   तो रि   इ न   जो   इ स्तै मा लि   थीं दो   आ हे,50,21
