sentence_id,original,tokenized,char_count,token_count
1,"दिसणें हें सेवेंत आशिल्ले व्यक्तीच्या खाशेलपणांचो चोंबो कसो, म्हुटल्यार तांचे बूट, कपडे, टाय, अळंकार, केंसरचना, मेकप, घडयाळ, सौंदर्य प्रसाधनां, चेर, आदी","दिस णें    हें    सेव ेंत    आशिल्ले    व्यक् तीच्या    खाशेल पण ांचो    च ों बो    कसो ,    म्हु ट ल्यार    तांचे    बू ट,    कपड े,    टाय ,    अ ळ ं कार ,    कें सर च ना,    मे क प,    घड या ळ,    सौ ंद र ्य    प्र साध नां ,    चेर ,    आद ी ",132,53
2,"महाराष्ट्रांतल्या औरंगाबाद जिल्ल्यांत आशिल्लें अजंठा, हांगां शिल्पां आनी चित्रांनी सजयल्ल्यो वर्तमान सन पुर्वाचें पयलें शतक ते वर्तमान सन पांचवें शतक मेरेनच्यो एकोणतीस कैत्य आनी विहाराच्यो गुहा आसात","महाराष्ट्र ांतल्या    औ र ंगा बाद    जिल्ल्यांत    आशिल्लें    अ जं ठ ा,    हांग ां    शिल्प ां    आनी    चित्र ांनी    स ज यल्ल ्यो    वर्तमान    सन    पुर्व ाचें    पयलें    श तक    ते    वर्तमान    सन    पांच वें    श तक    मेरेन च्यो    ए कोण ती स    कै त्य    आनी    वि हार ाच्यो    गु ह ा    आसात ",172,53
3,"आंगाचो रंग भायले रूपरेशेमदीं भरसता, तातूंतल्यान घनफळाच्या आकारमानाचो परिणाम साध्य जाता","आंग ाचो    रंग    भाय ले    रू परे शे मदीं    भर स ता,    तातूं तल्यान    घ न फळ ाच्या    आकार मान ाचो    परिणाम    साध ्य    जाता ",76,25
4,पयलीच्या परंपरे प्रमाण लाकूड आनी माती वापरून काम जातालें मात अशोका शिल्पां आनी व्हड स्मारकां खातीर फातरांचो मोठ्या प्रमाणांत वापर करपाक लागलो,पयल ीच्या    परंपर े    प्रमाण    ला कूड    आनी    मा ती    वापरून    काम    जाता लें    मात    अशो का    शिल्प ां    आनी    व्हड    स्मार कां    खातीर    फातर ांचो    मो ठ ्या    प्रमाणांत    वापर    करपाक    लाग लो ,120,34
5,बटाटां भितर मसालो भरसून ते बेसनाच्या पिठयेंत बुडोवन तेलांत बरे तळ्ळे कांय महाराष्ट्रांतलो हो सुवादीक आनी फामाद पदार्थ तयार जाता,ब टा टां    भितर    मसा लो    भर सून    ते    बे स नाच्या    पिठ येंत    बु डो वन    ते लांत    बरे    तळ ्ळ े    कांय    महाराष्ट्र ांतलो    हो    सुवा दीक    आनी    फामाद    पदार्थ    तयार    जाता ,108,34
6,चेट्टिनाड जेवण हें स्वताक नाट्टुकोटाय चेट्टियार वा नगरथार म्हणपी तामिळनाडूच्या चेट्टिनाड वाठारांतल्या समाजाचें खाणजेवण,चे ट् टि ना ड    जेवण    हें    स्वताक    ना ट्ट ु को टाय    चे ट्ट िय ार    वा    नगर थ ार    म्हण पी    ता मि ळनाड ूच्या    चे ट् टि ना ड    वाठारांतल्या    समाज ाचें    खा ण जेवण ,105,38
7,तिखयेचें मूळ भारतांत मेळटा आनी ते खातीर जेवणांत सुवाद हाडपा पासून वखदी साधना मेरेन ताचो वापर जाता,ति ख ये चें    मूळ    भारतांत    मेळटा    आनी    ते    खातीर    जेव णांत    सुवा द    हाड पा    पा सून    वख दी    साध ना    मेरेन    ताचो    वापर    जाता ,81,26
8,सुकें दांतें वा फातराचो खलबतो वापरून ताचो पिठो करात,सुक ें    दां तें    वा    फातर ाचो    खल ब तो    वापरून    ताचो    पिठ ो    करा त ,43,16
9,"पंजाबांतल्या दर एका शारांतली पसंती वेगळी, म्हटल्यार अमृतसरांतल्या लोकांक अमृतसरी कुल्चे, भरिल्ले पराठे आनी दुदाचीं खाणां आवडटात","पंजाब ांतल्या    दर    एका    शार ांतली    प सं ती    वेगळ ी,    म्हटल्यार    अम ृत सर ांतल्या    लोकांक    अम ृत सरी    कु ल् चे ,    भर िल्ले    परा ठ े    आनी    दु द ाचीं    खा णां    आवड टात ",111,37
10,"तपस्वी वांगडा रामाक धाड, आनी लक्ष्मणाकय धाड","तप स्वी    वांगडा    रा माक    धाड ,    आनी    लक्ष् म णा कय    धा ड ",37,14
11,पूण मंगल पांडेचें धाडशी कर्तुब एके उंचेल्या आनी उदार तत्वनिश्ठेचें आशिल्लें,पूण    मंग ल    पां डे चें    धाड शी    कर् तु ब    एके    उंचे ल्या    आनी    उद ार    तत्व निश् ठ ेचें    आशिल्लें ,65,22
12,"कांदो पारदर्शी जालो काय, करमेवंक दवरिल्लें मटण हळदी पिठो घालून कांय वेळ मंद उज्यार तळशीत रावप, सगळो मसालो मटणांत भरसून वतासर 5-6 मिण्टां तरी","कां दो    पार दर् शी    जालो    काय ,    कर मे वंक    दवर िल्लें    म ट ण    हळ दी    पिठ ो    घालून    कांय    वेळ    म ंद    उज ्यार    तळ शीत    रा वप,    सगळ ो    मसा लो    म ट णांत    भर सून    व ता सर    5 - 6    मिण्टां    तरी ",117,48
13,"हितोपदेश हें सुकणीं, जनावरां आनी मनशांच्या पात्रां वरवीं सांगिल्ल्या संवसारीक चतुरतायेंचें पुस्तक","हि तो प देश    हें    सुकण ीं,    जनावर ां    आनी    मनश ांच्या    पात्र ां    वरवीं    सांग िल्ल्या    संवसारीक    च तु र ता यें चें    पुस्तक ",86,25
14,संस्कृतांत उलोवपाचे कुशळटायेक प्रोत्साहन दिवप आनी शाणेपणान वागपाचें ज्ञान मेळोवप हो ह्या पुस्तकाचो हेत अशें दिसता,संस्कृ तांत    उलो वपाचे    कुशळ टाय ेक    प्रोत्साह न    दिवप    आनी    शा णे पणान    वाग पाचें    ज्ञान    मेळो वप    हो    ह्या    पुस्त काचो    हे त    अशें    दिसता ,98,27
15,1994 आनी 1995 वर्सा प्राध्यापक असीतकुमार बंधोपाध्यायाचो हावडा सहारेर इत्तिबृतो (पयलो आनी दुसरो खंड) ह्या नांवान ताचें मूळ शार हावडाचो पुराय इतिहास संकलीत करपांत मुखेल वांटो आशिल्लो,1994    आनी    1995    वर्सा    प्रा ध्या पक    अ सी त कु मार    बं धो पा ध्य ाय ाचो    हाव डा    स हार ेर    इत् ति ब ृ तो    ( पयलो    आनी    दुसरो    खंड )    ह्या    नांवान    ताचें    मूळ    शार    हाव डाचो    पुराय    इतिहास    सं कल ीत    करप ांत    मुखेल    वांटो    आशिल्लो ,154,51
16,"कैत्य सभाघराचे फुडले वटेन एक अर्द वर्तुळाकार कैत्य आर्काचें नक्षीकाम ठळकपणान दिसता आनी ताचे सांगातान लाकडी तोंड आशिल्लें उक्तें दार आसा आनी, थोडे कडेन मात, कैत्य आर्काचीं जनेलां ठळकपणान दिसनात","कै त्य    स भा घर ाचे    फुड ले    वटेन    एक    अर् द    वर् तुळ ा कार    कै त्य    आर् काचें    न क्ष ी काम    ठ ळ क पणान    दिसता    आनी    ताचे    सांगा तान    ला कड ी    तोंड    आशिल्लें    उक् तें    दार    आसा    आ नी,    थोड े    कडेन    मात,    कै त्य    आर् क ाचीं    ज ने लां    ठ ळ क पणान    दिस नात ",163,62
17,'महाराज' वा 'खानसामा' (पारंपारीक नदरेन कुशळ रांदप्यांक भारतांत अशें पाचारतात) हांणी शेंकड्यांनी वर्सां ह्या पाककृतींचेर प्राविण्य मेळयलां आनी ह्यो पाककृती हजारांनी वर्सां मौखीक परंपरेन मुखार पावयल्यात,' महारा ज '    वा    ' खा न सा मा '    ( पारंपारीक    नदरेन    कुश ळ    रांद प ्यांक    भारतांत    अशें    पाच ार तात )    हांणी    शेंकड्यांनी    वर्सां    ह्या    पा क कृ तीं चेर    प्रा वि ण ्य    मेळ यल ां    आनी    ह्यो    पा क कृती    हजारांनी    वर्सां    मौ ख ीक    परंपर ेन    मुखार    पाव यल ्यात ,175,57
18,पारंपारीक तरेन ही तयारी वस्त वझा वा मुखेल रांदपी आपल्या वझांच्या वा रांदप्यांच्या पंगडाच्या आदारान करता,पारंपारीक    तरेन    ही    तयारी    वस्त    व झा    वा    मुखेल    रांद पी    आपल्या    व झ ांच्या    वा    रांद प ्यांच्या    पंगड ाच्या    आदारान    करता ,88,23
