sentence_id,original,tokenized,char_count,token_count
1,"દેખાવ એ સેવા કર્મીના લક્ષણોનો સમૂહ છે, જેમ કે તેમના બૂટ, કપડાં, ટાઈ, આભૂષણો, કેશકલાપ","દેખા વ    એ    સેવા    કર્ મી ના    લક્ષ ણો નો    સમૂહ    છે,    જેમ    કે    તેમના    બૂ ટ,    કપ ડા ં,    ટાઈ ,    આ ભૂ ષ ણ ો,    કે શક લા પ ",70,31
2,"શણગાર, ઘડિયાળ, શૃંગાર દ્રવ્યો, અત્તર, વગેરે","શ ણ ગાર ,    ઘ ડિયા ળ,    શ ૃ ંગ ાર    દ્રવ્ય ો,    અ ત્ તર ,    વગે રે ",38,19
3,"મહારાષ્ટ્રના ઔરંગાબાદ જીલ્લામાં સ્થિત અજંતામાં ઓગણત્રીસ કૈત્ય અને વિહાર ગુફાઓ છે, જે ઈ","મહારાષ્ટ્ર ના    ઔ ર ંગા બાદ    જી લ્લા માં    સ્થિત    અ જ ં તામાં    ઓ ગણ ત્રી સ    ક ૈ ત્ય    અને    વિ હાર    ગુફાઓ    છે,    જે    ઈ ",74,28
4,સ,સ ,1,1
5,પૂ,પૂ,2,1
6,પ્રથમ સદીથી ઈ,પ્રથમ    સદી થી    ઈ ,11,4
7,સ,સ ,1,1
8,પાંચમી સદી સુધીના શિલ્પો અને ચિત્રોથી સુશોભિત છે,પાંચ મી    સદી    સુધી ના    શિલ્ પો    અને    ચિત્ર ોથી    સુ શો ભ િત    છે ,41,15
9,શરીરનો રંગ બાહ્ય રેખા સાથે ભળીને ઘનતાની અસર સર્જે છે,શરી રનો    રંગ    બાહ ્ય    રે ખા    સાથે    ભ ળ ીને    ઘ ન તાની    અસર    સર્ જે    છે ,43,18
10,"અશોકે શિલ્પો અને વિરાટ સ્મારકો બનાવવા માટે પથ્થરોનો વિસ્તૃત ઉપયોગ શરુ કર્યો, જયારે અગાઉની પરંપરા લાકડા અને માટીના કામ સાથે બનેલી હતી","અશો કે    શિલ્ પો    અને    વિ રા ટ    સ્માર કો    બનાવવા    માટે    પથ્થ રો નો    વિસ્તૃ ત    ઉપયોગ    શ રુ    કર્યો,    જય ારે    અગાઉ ની    પરંપરા    લાક ડા    અને    માટ ીના    કામ    સાથે    બનેલી    હતી ",111,35
11,બેસનમાં રગદોળાયેલા અને શ્રેષ્ઠ રીતે તળાયેલા મસાલા મિશ્રિત બટેટા મહારાષ્ટ્રની સ્વાદિષ્ટ અને પ્રખ્યાત વાનગી બને છે,બે સ નમાં    ર ગ દો ળા યેલા    અને    શ્રેષ્ઠ    રીતે    તળા યેલા    મસા લા    મિશ્ર િત    બ ટે ટા    મહારાષ્ટ્ર ની    સ્વા દિ ષ્ટ    અને    પ્રખ્યાત    વાનગી    બને    છે ,97,30
12,"ચેત્તીનાદ વાનગી એ તમિલનાડુ રાજ્યના ચેત્તીનાદ પ્રદેશના નત્તુકોતાઈ ચેત્તીઆર તરીકે જાણીતા સમાજની વાનગી છે અથવા નાગરથર, જે તેઓ પોતાને કહે છે","ચે ત્ તી ના દ    વાનગી    એ    તમિલના ડુ    રાજ્યના    ચે ત્ તી ના દ    પ્રદેશના    ન ત્ તુ કો તા ઈ    ચે ત્ તી આ ર    તરીકે    જાણીતા    સમા જની    વાનગી    છે    અથવા    નાગ ર થ ર,    જે    તેઓ    પોતાને    કહે    છે ",116,43
13,તજ મૂળ ભારતનું છે અને એ રીતે તેના ઉપયોગ સુગંધ દૂતથી લઈને ઔષધ દૂત તરીકે વિસ્તરે છે,ત જ    મૂળ    ભારતનું    છે    અને    એ    રીતે    તેના    ઉપયોગ    સુ ગ ંધ    દૂ ત થી    લઈને    ઔ ષ ધ    દૂ ત    તરીકે    વિસ્ત રે    છે ,65,26
14,સૂકી ચક્કી અથવા પથ્થરની ખરલથી આનો ભૂકો બનાવો,સૂ કી    ચ ક્ કી    અથવા    પથ્થ રની    ખ ર લથી    આનો    ભૂ કો    બના વો ,37,16
15,"પંજાબના દરેક શહેરની અલગ અલગ પસંદ છે, જેમ કે અમૃતસરના લોકો અમૃતસરી કુલ્ચે, ભરેલા પરોઠા અને દૂધની બનાવટોના શોખીન છે","પંજા બના    દરેક    શહેરની    અલગ    અલગ    પસંદ    છે,    જેમ    કે    અ મૃત સર ના    લોકો    અ મૃત સ રી    કુ લ્ ચે ,    ભર ેલા    પ રો ઠા    અને    દૂ ધ ની    બનાવ ટો ના    શો ખી ન    છે ",94,39
16,રામને ઋષિ સાથે મોકલો અને લક્ષ્મણને પણ મોકલો,રા મને    ઋ ષિ   સાથે    મોક લો    અને    લક્ષ્ મણ ને    પણ    મોક લો ,36,14
17,પરંતુ મંગલ પાંડેનું પરાક્રમી કાર્ય એક ઉચ્ચ અને ઉમદા મૂલ્ય પ્રત્યેની ભક્તિ દ્વારા થયું હતું,પરંતુ    મંગ લ    પા ં ડે નું    પરા ક્ર મી    કાર્ય    એક    ઉચ્ચ    અને    ઉ મદ ા    મૂલ ્ય    પ્રત્ય ે ની    ભ ક્તિ    દ્વારા    થયું    હતું ,76,27
18,"એકવાર કાંદા અર્ધપારદર્શક થઇ જાય પછી, આથેલા માંસમાં હળદરનો ભૂકો ઉમેરો અને લગભગ ૫-૬ મિનીટ સુધી માંસમાં બધાં મસાલા શોષાઈ જાય ત્યાં સુધી થોડો સમય સાંતળો","એકવાર    કા ંદા    અર્ધ પાર દર્શક    થઇ    જાય    પછી,    આ થ ેલા    માં સમાં    હળ દર નો    ભૂ કો    ઉમે રો    અને    લગભગ    ૫ - ૬    મિ ની ટ    સુધી    માં સમાં    બ ધા ં    મસા લા    શો ષા ઈ    જાય    ત્યાં    સુધી    થોડો    સમય    સા ંત ળો ",123,48
19,"હિતોપદેશએ પક્ષીઓ, પ્રાણીઓ અને મનુષ્યોના પાત્રો દ્વારા રજૂ થયેલા દુન્વયી ડહાપણનો ગ્રંથ છે","હિ તો પ દેશ એ    પક્ષ ી ઓ,    પ્રાણીઓ    અને    મનુષ ્યો ના    પા ત્રો    દ્વારા    રજૂ    થયેલા    દુ ન્ વય ી    ડ હા પ ણનો    ગ્રં થ    છે ",76,29
20,આ ગ્રંથનો હેતુ સંસ્કૃત અભિવ્યક્તિમાં કુશળતાને પ્રોત્સાહિત કરવાનો અને વિવેકી વ્યવહારનું જ્ઞાન આપવાનો જણાય છે,આ    ગ્રંથ નો    હેતુ    સંસ્ કૃત    અભિ વ્યક્તિ માં    કુશ ળ તાને    પ્રોત્સાહ િત    કરવાનો    અને    વિ વે કી    વ્યવહ ાર નું    જ્ઞા ન    આપ વાનો    જણાય    છે ,93,28
