sentence_index,original_sentence,tokenized_sentence,token_count
1,ظٲہری شکِل چھِ خدمت کَرَن وٲلِس مُتعلق خٲصِیَتن ہُنٛد اکھ گوٚند، یتھہٕ کٔنہِ زَن ، تِِہُنٛد بوٗٹھ، پَلَو، ٹَایہ ، زیور ، مستُک پٲراو ، سِنگار، گٔر، كریم پاوڈر، عتر، وغیرٕ۔,ظٲ ہری   شک ِل   چھِ   خد مت   کَر َن   و ٲلِس   مُ تعلق   خٲ ص ِی َ تن   ہُنٛد   اکھ   گوٚ ند ،   یتھ ہٕ   کٔنہِ   زَن   ،   تِ ِہ ُنٛد   بوٗ ٹھ ،   پ َل َو ،   ٹ َ ایہ   ،   زی ور   ،   مست ُک   پٲ راو   ،   سِ نگ ار ،   گٔ ر،   ك ری م   پ او ڈر ،   ع تر ،   و غی رٕ۔</w>,69
2,مہاراشٹر کِس ضلعہٕ اورنگابادس مَنٛز واقعہٕ اَجنتاہَس مَنٛز چھِ کُنترٕٛہ چیتیہ تہٕ وِہار گۄپھہٕ یمہٕ گۄڈٕنٕچ صدی قبل مسیح پٮ۪ٹھ پوٚنٛژمہِ صدی عیسوِی تام چہِ سنگترٲشی تہٕ مُصَوِری سٕتہِ سجٲوِتھ چھِ ۔,مہاراشٹر   کِس   ضلعہٕ   اورنگ ا باد س   مَنٛز   واقعہٕ   اَ ج نت اہ َس   مَنٛز   چھِ   کُن ترٛ ٕہ   چی تیہ   تہٕ   و ِہ ار   گۄپھ ہٕ   یم ہٕ   گۄڈٕ نٕچ   صدی   ق بل   م سی ح   پٮ۪ٹھ   پ وٚ نٛ ژ مہِ   صدی   عیس و ِی   تام   چہِ   سنگ تر ٲ شی   تہٕ   مُ ص َو ِ ری   سٕتہِ   سج ٲوِتھ   چھِ   ۔</w>,64
3,ڈانٛچُک رنٛگ چھُ نیٔبرِمس حٲشیس سۭتہِ رَلان، یٗس باڈو ہاوان چھٗ ۔,ڈ انٛ چ ُک   ر نٛگ   چھُ   نی ٔ بر ِم س   ح ٲ ش یس   سۭتہِ   ر َل ان،   ی ٗس   با ڈو   ہ اوان   چھٗ   ۔</w>,28
4,اشوکن لوگ مُجَسمن تہٕ بڑٮ۪ن یاگارن خٲطرٕ کنٮ۪ن ہُنٛد غلبہٕ اِستعمال کرُن، ییٚلہِ زن برونہِم رٮ۪وایت زیٛادٕ تر لٔکرِ تہٕ میٚژِ سۭتہِ کٲم کرٕنہِ ٲس ۔,اشو کن   لو گ   مُ جَ سم ن   تہٕ   بڑ ٮ۪ن   یا گار ن   خٲطرٕ   کن ٮ۪ن   ہُنٛد   غل بہٕ   اِستعمال   کرُن ،   ییٚلہِ   زن   برو نہِ م   رٮ۪ وا یت   زیٛادٕ   تر   لٔ کرِ   تہٕ   م یٚ ژ ِ   سۭتہِ   کٲم   کرٕنہِ   ٲس   ۔</w>,45
5,مسالہٕ ترٛٲوِتھ بیسن مٔتھِتھ تہٕ وارٕ تٔلِتھ ٲلوٕ چھِ مہراشٹرٛا ہُک اکھ مزٕ دار تہٕ مہشوٗر سیُن۔,مس الہٕ   ترٛ ٲوِتھ   بی سن   مٔ تھ ِتھ   تہٕ   وارٕ   تٔ لِتھ   ٲ لو ٕ   چھِ   مہ را ش ٹرٛ ا   ہُک   اکھ   م زٕ   دار   تہٕ   مہ ش وٗر   سی ُن۔</w>,33
6,چیٹیناڈ ضِیافت چھےّ اکہِ برادری ہنز ضیافت ،یِم پانس ناٹوکوٹاٮٔی چیٹیار یا نگرتھار ونان چھِ تہٕ یِم تامِل ناڈو ریاست کہِ چیٹیناڈ علاقٕكہِ چھِ ۔,چی ٹین اڈ   ض ِیا فت   چھے ّ   اکہِ   برادری   ہنز   ض یا فت   ،یِم   پانس   نا ٹو کوٹ ا ٮٔ ی   چی ٹی ار   یا   نگر تھ ار   ونان   چھِ   تہٕ   یِم   تامِل   ناڈو   ریاست   کہِ   چی ٹین اڈ   علاق ٕكہِ   چھِ   ۔</w>,44
7,دالچیٖنہِ ہُنٛد مالیٚون چھُ ہُنٛدوستان تہٕ، یتھہٕ کٔنہِ چھُ امیُوک استعمال مزٕ کھالنہٕ پیٹھہٕ دوا بناونَس تام سپدان۔,دال چی ٖ نہِ   ہُنٛد   مال یٚ ون   چھُ   ہُنٛد وستان   تہٕ ،   یتھ ہٕ   کٔنہِ   چھُ   امی ُوک   استعمال   م زٕ   کھ ال نہٕ   پیٹھہٕ   د وا   بناون َس   تام   سپدان۔</w>,32
8,اتھ بنٲوِو خۄشِک گرٛٹس پٮ۪ٹھ یا کنہِ نیٛامہِ منٛزپھٮ۪کھ ۔,اتھ   بنٲو ِو   خۄ شِ ک   گرٛ ٹس   پٮ۪ٹھ   یا   کنہِ   نی ٛ امہِ   منٛز پھ ٮ۪ کھ   ۔</w>,19
9,پنجاب کِس پرٛٮ۪تھ شہرس چھِ الگ الگ ترجیٖحات، یتھ کٔنہِ زِ امرِتسر کٮ۪ن لوٗکن زیٛادٕ امرِتسٔری کُلچہٕ، بٔرِتھ پراٹھٕہ تہٕ دۄدٕکہِ چیز زیٛادٕ خۄش کران چھِ ۔,پنجاب   کِس   پرٛٮ۪تھ   شہ رس   چھِ   الگ   الگ   تر جیٖ ح ات ،   یتھ   کٔنہِ   زِ   ام رِ ت سر   کٮ۪ن   لوٗ کن   زیٛادٕ   ام رِ تس ٔری   کُل چ ہٕ ،   بٔ رِتھ   پ راٹھ ٕہ   تہٕ   دۄ دٕ کہِ   چیز   زیٛادٕ   خۄش   کران   چھِ   ۔</w>,47
10,رام سوزُن ریشِس سٕتہِ ، تہٕ لکشمن تہِ سوزُن,رام   سوز ُن   ری ش ِس   سٕتہِ   ،   تہٕ   لکش من   تہِ   سوز ُن,14
