sentence_id,original,tokenized,char_count,token_count
1,"सेवापुरुषस्य दर्शनीयता नाम तस्य पादुकाः, वस्त्राणि, टै, आभूषणानि, केशविन्यासः, प्रसाधनं, घटी, सौन्दर्यवर्धकं, सुगन्धद्रव्यम् इत्यादयः लक्षणविशेषाः भवन्ति","सेवा पुरुष स्य    दर्श नीय ता    नाम    तस्य    पा दु काः,    व स् त् रा णि,    टै ,    आ भूष ण ानि,    केश विन्यास ः,    प ्र साध नं,    घ टी ,    सौ न्द र्य वर्ध कं,    सु गन्ध द ्र व्य म्    इत्यादयः    ल क् ष ण विशेषाः    भवन्ति ",138,50
2,"महाराष्ट्रस्य औरङ्गाबाद्-मण्डले वर्तमाने अजन्ता-प्रदेशे एकोनत्रिंशत् चैत्याः विहारगुहाश्च सन्ति, याश्च सा","महाराष्ट्र स्य    औरङ्ग ा बाद्- मण्डले    वर्तमान े    अज न्त ा- प ्र देशे    एक ो न त् रि ंश त्    चै त्याः    वि हार गु हा श् च    सन्ति,    या श् च    सा ",96,34
3,श,श,1,1
4,पू,पू,2,1
5,प्रथमशताब्दात् सा,प ्र थम शताब्द ात्    सा ,16,6
6,श,श,1,1
7,"पञ्चमशताब्दपर्यन्तस्य कालस्य शिल्पैः, भित्तिचित्रैः च अलङ्कृताः","पञ्च म शताब्द पर्यन्त स्य    कालस्य    शिल्प ैः,    भि त् ति चि त् र ैः    च    अल ङ् कृताः ",58,19
8,शरीरवर्णः बाह्यरेखया मिलित्वा घनाकारवत् परिणमते,शरी र वर्णः    बाह्य रेख या    मिलित्वा    घ ना कार वत्    परिण म ते ,43,14
9,"अशोकः शिल्पानां महास्मारकानां च अधिकतया पाषाणम् उपयोक्तुं प्रारभत, यद्यपि पूर्वपरम्परायां काष्ठ-कर्दमाभ्यां तत्कार्यम् अकुर्वन्","अशो कः    शिल्प ानां    महा स्मार कानां    च    अधिकतया    पा षाण म्    उप यो क् तुं    प ्र ार भ त,    यद ्य पि    पूर्व परम्पर ायां    काष्ठ - कर् द मा भ्यां    तत् कार्यम्    अकुर्व न् ",115,37
10,"आलुकम् उपस्करैः मिश्रीकृत्य, बेसन्-पेषणे निमज्य, परिपक्वतया तीव्रभर्जनं च कृत्वा महाराष्ट्रस्य स्वादु प्रसिद्धं च भक्ष्यं सिद्ध्यते","आ लु कम्    उप स्क र ैः    मि श ्र ी कृ त्य,    बे सन्- प ेष णे    निम ज्य ,    परि प क् व तया    तीव्र भ र् जनं    च    कृत्वा    महाराष्ट्र स्य    स् वाद ु    प ्र सि द् ध ं    च    भ क् ष ्यं    सि द् ध्य ते ",117,52
11,"चेट्टिनाड्-पाकक्रमः इत्येषः तमिळुनाडुराज्यस्य चेट्टिनाड्-प्रदेशस्य नाटुकोटै-चेट्टियार्, अथवा यथा ते स्वमाह्वयन्ति नगरथार्, इत्येतस्य समुदायस्य पाकक्रमः वर्तते","चे ट ्टि ना ड्- पाक क ्र मः    इत्येषः    तमिळुनाडु राज्यस्य    चे ट ्टि ना ड्- प ्र देशस्य    नाट ु को टै - चे ट ्ट िय ार् ,    अथवा    यथा    ते    स् व मा ह ्व यन्ति    नगर थ ार् ,    इत्येतस्य    समुदायस्य    पाक क ्र मः    वर्तते ",145,51
12,"गन्धवल्कलः भारतस्य स्थानीयविशेषः वर्तते, तथैव तस्य उपयोगाः स्वादकत्वाद् आरभ्य वैद्यकीयान्तं दृश्यन्ते","गन्ध व ल् कल ः    भारतस्य    स्थानीय विशेषः    वर्तते,    तथैव    तस्य    उपयोग ाः    स् वाद क त् वाद ्    आरभ्य    वै द ्य कीय ा न्तं    दृश ्यन्ते ",91,28
13,शुष्कपेषकेन अथवा पाषाणपेषकेन इदं पिष्टं करोतु,शुष् क प ेष केन    अथवा    पा षाण प ेष केन    इदं    पि ष्ट ं    करो तु ,40,17
14,"पञ्जाब्-राज्ये प्रत्येकं नगरस्य भिन्नरुचयः सन्ति, यथा अमृतसरस्य जनेभ्यः अमृतसरी-कुल्चे, पूरित-पराठाः तथा क्षीरखाद्यानि विशेषेण रोचन्ते","पञ्जाब्- राज्ये    प ्र त्य ेक ं    नगरस्य    भिन्न रु च यः    सन्ति,    यथा    अमृ त स रस्य    जनेभ्यः    अमृ त सर ी- कु ल् च े,    पूर ित- परा ठ ाः    तथा    क् ष ी र खाद ्य ानि    विशेष ेण    रोच न्ते ",121,44
15,"रामं ऋषिणा सह प्रेषय, लक्ष्मणञ्च","रा मं    ऋ ष िणा    सह    प ्र ेष य ,    ल क् ष्म ण ञ् च ",28,17
16,परं मङ्गलपाण्डे-वर्यस्य इदं वीरकार्यम् उन्नताय श्रेष्ठाय च तत्त्वाय भक्त्या कृतम्,परं    मङ्ग ल पाण्ड े- वर्यस्य    इदं    वी र कार्यम्    उन्न त ाय    श ्र ेष्ठ ाय    च    तत् त्व ाय    भ क् त्या    कृतम् ,72,25
17,"यदा पलाण्डुः पारदर्शकत्वं भजते, तदा हरिद्राचूर्णेन सह प्रक्लिन्नम् अवेरजस्य वा मांसं स्थापयित्वा, यावत् उपस्कराः मांसेन उपग्रस्यन्ते तावत् ५-६ निमेषपर्यन्तं भर्जनं कुर्वन्तु","यदा    प ला ण्ड ुः    पार दर्श क त्वं    भ ज ते,    तदा    हरि द् रा चू र्ण ेन    सह    प ्र क्लि न्न म्    अ वे रज स्य    वा    मांस ं    स्थाप यि त्वा,    यावत्    उप स्क राः    मांस ेन    उप ग ्र स्य न्ते    तावत्    ५ - ६    निमेष पर्यन्तं    भ र् जनं    कुर्व न्तु ",153,57
18,हितोपदेशः इति लौकिकविवेकं प्राणि-पक्षि-मानव-पात्रैः प्रस्तुवानः ग्रन्थः वर्तते,हित ोप देशः    इति    लौ क िक वि वे कं    प् रा णि - प क् ष ि- मानव - पा त् र ैः    प ्र स्तु व ानः    ग ्र न्थ ः    वर्तते ,72,34
19,संस्कृतभाषायाः अभिव्यञ्जने प्रावीण्यं तथा विद्वच्चारित्र्यस्य ज्ञानं चोत्तेजयितुं ग्रन्थस्यास्य उद्देशः आसीदिति भासते,संस्कृत भाषायाः    अभि व्य ञ्जन े    प् रा वी ण ्यं    तथा    विद ्व च् चार ि त् र्य स्य    ज् ञ ानं    चो त् ते ज यितुं    ग ्र न्थ स्या स्य    उद् देशः    आसी दिति    भा स ते ,107,40
20,प्राध्यापकः असितकुमार् बन्ध्योपाध्यायः १९९४ तथा १९९५ तमेषु वर्षेषु स्वनगरस्य हौरा इत्यस्य सम्पूर्ण-इतिहासं हौराह् शहरेर् इतिबृत्तो (प्रथम-द्वितीय-खण्डौ) इत्यनया शिर्षकया सङ्गृह्य दिक्प्रवर्तक-कार्यं चकार,प् रा ध्याप कः    अ स ित कुमार ्    ब न् ध्य ो पा ध्य ाय ः    १९९४    तथा    १९९५    तमेषु    वर्षेषु    स् व नगरस्य    हौ रा    इत्यस्य    सम्पूर्ण - इतिहास ं    हौ रा ह्    श ह रे र्    इति ब ृ त् त ो    ( प ्र थम - द् वि तीय - खण्ड ौ )    इत्यनया    शि र्ष क या    सङ्गृह ्य    द िक् प ्र वर्त क- कार्यं    चकार,183,72
21,"चैत्यभवनस्य मुखे अर्धवृत्ताकारं चैत्यद्वारं प्रधानतया वर्तते, यच्च काष्ठनिर्मितः विवृतपुरोभागः, अपि च कुत्रचित् प्रधानतया चैत्यद्वारस्य वातायनं न भवति","चै त्य भव नस्य    मुख े    अर्ध वृ त् ता कारं    चै त्य द ्व ारं    प ्र धान तया    वर्तते,    य च् च    काष्ठ निर्मितः    वि वृ त पु रो भाग ः,    अपि    च    कु त् र चित्    प ्र धान तया    चै त्य द ्व ार स्य    वात ाय नं    न    भवति ",134,54
