sentence_id,original,tokenized,char_count,token_count
1,"ബാഹ്യരൂപം എന്നുള്ളത് ഷൂസ്, വസ്ത്രങ്ങള്‍, ടൈ, ആഭരണങ്ങള്‍, ഹെയര്‍ സ്റ്റൈല്‍, മേക്കപ്പ്, വാച്ച്, സൗന്ദര്യവര്‍ദ്ധകസാമഗ്രികൾ, സുഗന്ധലേപനങ്ങള്‍ തുടങ്ങി സേവനം നല്കുന്നയാളിന്‍റെ ഒരുകൂട്ടം ഗുണവിശേഷങ്ങളുമായി ബന്ധപ്പെട്ടതാണ്","ബാ ഹ ്യ രൂപം    എന്ന ുള്ള ത്    ഷൂ സ്,    വസ്ത്ര ങ്ങള്‍ ,    ടൈ ,    ആ ഭരണ ങ്ങള്‍ ,    ഹ െയ ര്‍    സ്റ്റ ൈ ല്‍ ,    മേ ക്ക പ്പ്,    വാ ച്ച ്,    സൗ ന്ദ ര്യ വര്‍ ദ്ധ ക സാമ ഗ്ര ികൾ,    സുഗ ന്ധ ലേ പ ന ങ്ങള്‍    തുടങ്ങി    സേവ നം    ന ല ് കുന്ന യാ ളി ന്‍റെ    ഒര ുക ൂട്ട ം    ഗുണ വിശേഷ ങ്ങളുമായി    ബന്ധപ്പെട്ട താണ് ",196,65
2,മഹാരാഷ്ട്രയിലെ ഔറംഗാബാദ് ജില്ലയിൽ സ്ഥിതിചെയ്യുന്ന അജന്തയിൽ ബി,മഹാരാഷ്ട്ര യിലെ    ഔറംഗ ാ ബാദ്    ജില്ല യിൽ    സ്ഥിതിചെയ്യുന്ന    അ ജ ന്ത യിൽ    ബി ,56,13
3,സി,സി ,2,1
4,ഇ ഒന്നാം നൂറ്റാണ്ട് മുതൽ സി,ഇ    ഒന്നാം    നൂറ്റാ ണ്ട്    മുതൽ    സി ,23,6
5,"ഇ അഞ്ചാം നൂറ്റാണ്ട് വരെയുള്ള കാലഘട്ടത്തിലെ, പ്രതിമകളാലും ചിത്രങ്ങളാലും അലങ്കരിക്കപ്പെട്ട 29 ചൈത്യഗുഹകളും വിഹാരഗുഹകളും ഉണ്ട്","ഇ    അഞ്ച ാം    നൂറ്റാ ണ്ട്    വരെയുള്ള    കാലഘട്ട ത്തില െ,    പ്രതി മകള ാലും    ചിത്ര ങ്ങള ാലും    അലങ്ക രിക്ക പ്പെട്ട    2 9    ചൈ ത്യ ഗുഹ കളും    വി ഹാര ഗുഹ കളും    ഉ ണ്ട് ",112,30
6,ശില്പങ്ങളുടെയും മറ്റും നിറം ബാഹ്യരേഖയുമായി ഇഴുകിച്ചേര്‍ന്ന് വലിപ്പത്തിന്‍റെ ഒരു പ്രതീതിയുണ്ടാക്കുന്നു,ശില ്പ ങ്ങളുടെയും    മറ്റ ും    നിറ ം    ബാ ഹ ്യ രേഖ യുമായി    ഇ ഴ ുക ിച്ചേ ര്‍ ന്ന്    വലി പ്പ ത്തിന്‍റെ    ഒരു    പ്രതീ തിയ ുണ്ടാക്ക ുന്നു ,94,26
7,"നേരത്തെയുള്ള പാരമ്പര്യം തടിയിലും കളിമണ്ണിലും നിർമ്മിക്കുന്നതായിരിക്കെ, അശോകന്‍ പ്രതിമകള്‍ക്കും സ്മാരകസൗധങ്ങള്‍ക്കും വ്യാപകമായി ശില ഉപയോഗിക്കാന്‍ തുടങ്ങി","നേര ത്ത െയുള്ള    പാരമ്പ ര്യം    ത ടി യിലും    കളി മണ്ണ ിലും    നിർമ്മ ിക്കുന്ന ത ായിരിക്ക െ,    അശോക ന്‍    പ്രതി മക ള്‍ ക്കും    സ്മാര ക സൗ ധ ങ്ങള്‍ ക്കും    വ്യാപകമായി    ശില   ഉപയോഗ ിക്കാന്‍    തുടങ്ങി ",141,33
8,മസാല ചേര്‍ത്ത് കടലമാവില്‍ മുക്കി പിഴവില്ലാത്തവിധം നന്നായി വറുത്തെടുക്കുന്ന ഉരുളക്കിഴങ്ങാണ് മഹാരാഷ്ട്രയില്‍ നിന്നുള്ള ഈ സ്വാദിഷ്ടവും പ്രശസ്തവുമായ വിഭവം,മ സാല   ചേര്‍ ത്ത്    കട ല മാവ ില്‍    മു ക്കി    പി ഴ വില്ല ാത്ത വിധം    നന്നായി    വ റു ത്ത െടു ക്കുന്ന    ഉരു ള ക്കി ഴ ങ്ങ ാണ്    മഹാരാഷ്ട്ര യില്‍    നിന്നുള്ള    ഈ    സ്വാ ദി ഷ്ട വും    പ്രശസ്ത വുമായ    വിഭവ ം ,137,39
9,"തമിഴ്‌നാട് സംസ്ഥാനത്തെ ചെട്ടിനാട് പ്രദേശത്തുനിന്നുള്ള, നാട്ടുകോട്ടൈ ചെട്ടിയാർ എന്നോ അവർ സ്വയം വിളിക്കുന്ന പേരായ നാഗരതർ എന്നോ അറിയപ്പെടുന്ന സമുദായത്തിൻ്റെ പാചകവിദ്യയാണ് ചെട്ടിനാട് പാചകവിദ്യ","തമി ഴ്‌ നാ ട്    സംസ്ഥാനത്തെ    ചെ ട്ടി നാ ട്    പ്രദേശ ത്തു നിന്ന ുള്ള ,    നാട്ട ുക ോട്ട ൈ    ചെ ട്ട ിയാ ർ    എന്ന ോ    അവർ    സ്വയം    വിളിക്കുന്ന    പേ രായ    നാഗ ര ത ർ    എന്ന ോ    അറിയപ്പെടുന്ന    സമു ദ ായ ത്തിൻ്റെ    പാച ക വിദ്യ യാണ്    ചെ ട്ടി നാ ട്    പാച ക വിദ്യ",171,51
10,"ഇന്ത്യയില്‍ ജന്മംകൊണ്ട കറുവാപ്പട്ട അങ്ങനെ, സുഗന്ധവ്യഞ്ജനത്തിൻ്റേതുമുതൽ ഔഷധത്തിൻ്റേതുവരെ വിവിധ ഉപയോഗങ്ങള്‍ ഉള്ളതാണ്","ഇന്ത്യ യില്‍    ജന്മ ം കൊണ്ട   കറു വാ പ്പ ട്ട    അ ങ്ങ നെ ,    സുഗ ന്ധ വ്യ ഞ് ജന ത്തി ൻ്റ േ തു മുതൽ    ഔ ഷ ധ ത്തി ൻ്റ േ തുവരെ    വിവിധ    ഉപയോഗ ങ്ങള്‍    ഉള്ള താണ് ",106,35
11,നനവില്ലാത്ത ഗ്രൈന്‍ഡറിലോ കല്ലുരലിലോ ഇത് പൊടിച്ചെടുക്കുക,ന നവ ില്ലാത്ത    ഗ്ര ൈ ന്‍ഡ റില ോ    ക ല്ലു ര ല ിലോ    ഇത്    പൊ ട ിച്ച െടുക്ക ുക ,51,19
