sentence_id,original,tokenized,char_count,token_count
1,"रूप म्हणजे, सेवेतील व्यक्तीशी संबंधित बूट, कपडे, टाय, दागिने, केशरचना, मेक-अप, घड्याळ, सौंदर्यप्रसाधने, अत्तर अशा अनेक विशेषतांचा समुच्चय असतो","र ू प   म ् ह ण ज े ,   स े व े त ी ल   व ् य क ् त ी श ी   स ं ब ं ध ि त   ब ू ट ,   क प ड े ,   ट ा य ,   द ा ग ि न े ,   क े श र च न ा ,   म े क - अ प ,   घ ड ् य ा ळ ,   स ौ ं द र ् य प ् र स ा ध न े ,   अ त ् त र   अ श ा   अ न े क   व ि श े ष त ा ं च ा   स म ु च ् च य   अ स त ो",124,142
2,"महाराष्ट्राच्या औरंगाबाद जिल्ह्यातील अजिंठ्यात, इ","म ह ा र ा ष ् ट ् र ा च ् य ा   औ र ं ग ा ब ा द   ज ि ल ् ह ् य ा त ी ल   अ ज ि ं ठ ् य ा त ,   इ",45,49
3,स,स,1,1
4,पू,प ू,2,2
5,पहिल्या शतकापासून ते इ,प ह ि ल ् य ा   श त क ा प ा स ू न   त े   इ,19,22
6,स,स,1,1
7,पाचव्या शतकापर्यंतच्या शिल्पकृती आणि चित्रे यांनी सजविलेली एकोणतीस चैत्य आणि विहार लेणी आहेत,प ा च व ् य ा   श त क ा प र ् य ं त च ् य ा   श ि ल ् प क ृ त ी   आ ण ि   च ि त ् र े   य ा ं न ी   स ज व ि ल े ल ी   ए क ो ण त ी स   च ै त ् य   आ ण ि   व ि ह ा र   ल े ण ी   आ ह े त,80,92
8,शारीर रंग बाह्यरेषेत विलीन होत असल्याने भरीवपणाचा परिणाम तयार होतो,श ा र ी र   र ं ग   ब ा ह ् य र े ष े त   व ि ल ी न   ह ो त   अ स ल ् य ा न े   भ र ी व प ण ा च ा   प र ि ण ा म   त य ा र   ह ो त ो,57,66
9,"अशोकाने शिल्पकृती आणि मोठ्या वास्तूंसाठी दगडांचा मुबलक वापर करायला सुरुवात केली, मात्र, पूर्वीच्या परंपरेत लाकूड आणि चिकणमातीच्या कामाचाच समावेश असे","अ श ो क ा न े   श ि ल ् प क ृ त ी   आ ण ि   म ो ठ ् य ा   व ा स ् त ू ं स ा ठ ी   द ग ड ा ं च ा   म ु ब ल क   व ा प र   क र ा य ल ा   स ु र ु व ा त   क े ल ी ,   म ा त ् र ,   प ू र ् व ी च ् य ा   प र ं प र े त   ल ा क ू ड   आ ण ि   च ि क ण म ा त ी च ् य ा   क ा म ा च ा च   स म ा व े श   अ स े",129,148
10,"मसाल्यांत मिसळलेले बटाटे बेसनाच्या पातळ पिठात घोळवून, खूप तेलात पूर्ण तळून महाराष्ट्राचा हा चवदार आणि प्रसिद्ध खाद्यपदार्थ तयार होतो","म स ा ल ् य ा ं त   म ि स ळ ल े ल े   ब ट ा ट े   ब े स न ा च ् य ा   प ा त ळ   प ि ठ ा त   घ ो ळ व ू न ,   ख ू प   त े ल ा त   प ू र ् ण   त ळ ू न   म ह ा र ा ष ् ट ् र ा च ा   ह ा   च व द ा र   आ ण ि   प ् र स ि द ् ध   ख ा द ् य प द ा र ् थ   त य ा र   ह ो त ो",114,132
11,"चेट्टिनाड पाककला ही तामीळनाडू राज्याच्या चेट्टीनाड प्रदेशातील, नट्टुकोटई चेट्टियार किंवा, ते स्वतःला संबोधतात त्याप्रमाणे, नगरथार नामक समुदायाची पाककला आहे","च े ट ् ट ि न ा ड   प ा क क ल ा   ह ी   त ा म ी ळ न ा ड ू   र ा ज ् य ा च ् य ा   च े ट ् ट ी न ा ड   प ् र द े श ा त ी ल ,   न ट ् ट ु क ो ट ई   च े ट ् ट ि य ा र   क ि ं व ा ,   त े   स ् व त ः ल ा   स ं ब ो ध त ा त   त ् य ा प ् र म ा ण े ,   न ग र थ ा र   न ा म क   स म ु द ा य ा च ी   प ा क क ल ा   आ ह े",137,155
12,"दालचिनी ही मुळात भारतातील आहे, आणि त्यामुळे तिचा वापर चव आणण्यासाठीचा घटक ते औषधी घटक, असा व्यापकरित्या होतो","द ा ल च ि न ी   ह ी   म ु ळ ा त   भ ा र त ा त ी ल   आ ह े ,   आ ण ि   त ् य ा म ु ळ े   त ि च ा   व ा प र   च व   आ ण ण ् य ा स ा ठ ी च ा   घ ट क   त े   औ ष ध ी   घ ट क ,   अ स ा   व ् य ा प क र ि त ् य ा   ह ो त ो",91,108
13,कोरड्या जात्यामध्ये किंवा दगडी खलबत्त्यामध्ये त्याची पूड तयार करा,क ो र ड ् य ा   ज ा त ् य ा म ध ् य े   क ि ं व ा   द ग ड ी   ख ल ब त ् त ् य ा म ध ् य े   त ् य ा च ी   प ू ड   त य ा र   क र ा,57,65
14,"पंजाबमधील प्रत्येक शहराची प्राधान्ये वेगवेगळी आहेत, जसे, अमृतसरचे लोक हे अमृतसरी कुलचे, भरलेले पराठे आणि दुग्धजन्य पदार्थ यांचे विशेष चाहते आहेत","प ं ज ा ब म ध ी ल   प ् र त ् य े क   श ह र ा च ी   प ् र ा ध ा न ् य े   व े ग व े ग ळ ी   आ ह े त ,   ज स े ,   अ म ृ त स र च े   ल ो क   ह े   अ म ृ त स र ी   क ु ल च े ,   भ र ल े ल े   प र ा ठ े   आ ण ि   द ु ग ् ध ज न ् य   प द ा र ् थ   य ा ं च े   व ि श े ष   च ा ह त े   आ ह े त",124,144
15,मुनींसोबत रामाला पाठवावे आणि लक्ष्मणाला देखील पाठवावे,म ु न ी ं स ो ब त   र ा म ा ल ा   प ा ठ व ा व े   आ ण ि   ल क ् ष ् म ण ा ल ा   द े ख ी ल   प ा ठ व ा व े,47,53
