sentence_index,original_sentence,tokenized_sentence,token_count
1,ظاہری صورت ملازم سے متعلق خصوصیات کا مجموعہ ہوتی ہے، جیسے ان کے جوتے، کپڑے، ٹائی، زیورات، بالوں کا انداز، میک اپ، گھڑی، کاسمیٹکس، عطر، وغیرہ۔,ظاہ ری   صورت   ملا زم   سے   متعلق   خصوصیات   کا   م جمو عہ   ہوتی   ہے،   جیسے   ان   کے   جو تے ،   کپڑ ے،   ٹ ائی ،   زی ور ات ،   بال وں   کا   انداز ،   م یک   اپ ،   گھ ڑی ،   کاس می ٹ کس ،   ع طر ،   و غیرہ ۔</w>,52
2,اجنتا، جو مہاراشٹر کے اورنگ آباد ضلع میں واقع ہے، کے انتیس چیتیا اور وہارا غار ہیں جو پہلی صدی قبل مسیح سے پانچویں صدی عیسوی تک کے مجسموں اور پینٹگز سے مزین ہیں۔,ا جن تا ،   جو   مہاراشٹر   کے   اورنگ   آباد   ضلع   میں   واقع   ہے،   کے   ان تیس   چیت یا   اور   وہ ار ا   غار   ہیں   جو   پہلی   صدی   قبل   م سیح   سے   پان چو یں   صدی   عیسوی   تک   کے   م جسم وں   اور   پین ٹ گز   سے   مز ین   ہیں۔</w>,49
3,جسمانی رنگ بیرونی خط کے ساتھ ضم ہوجاتا ہے، جس سے حجم کا اثر پیدا ہوتا ہے۔‏,جسم انی   رنگ   ب یرو نی   خط   کے   ساتھ   ضم   ہو جاتا   ہے،   جس   سے   ح جم   کا   اثر   پیدا   ہو تا   ہے۔‏</w>,23
4,اشوک نے مجسموں اور عظیم یادگاروں کے لیے پتھر کا وسیع پیمانے پر استعمال کرنا شروع کیا، جبکہ گذشتہ روایت لکڑی اور مٹی کے ساتھ کام کرنے پر مشتمل تھی۔‏,اشوک   نے   م جسم وں   اور   عظیم   یادگار وں   کے   لیے   پتھر   کا   وسیع   پیمانے   پر   استعمال   کرنا   شروع   کیا،   جبکہ   گ ذ شتہ   روایت   لک ڑی   اور   م ٹی   کے   ساتھ   کام   کرنے   پر   مشتمل   تھی۔‏</w>,37
5,مصالحے ملے ہوئے آلووؑں کو، بیسن کے آٹے میں لپیٹ کر اچھی طرح گہرے برتن میں تل کر مہاراشٹر کی یہ مزیدار اور مشہور ڈش بنائی جاتی ہے۔‏,م ص الح ے   ملے   ہوئے   آ لو و ؑ ں   کو ،   بیس ن   کے   آ ٹ ے   میں   ل پی ٹ   کر   اچھ ی   طرح   گہر ے   بر تن   میں   تل   کر   مہاراشٹر   کی   یہ   مزید ار   اور   مشہور   ڈ ش   بنائی   جاتی   ہے۔‏</w>,46
6,چیٹیناڈ پکوان ریاست تامل ناڈو کے چیٹیناڈ علاقے سے تعلق رکھنے والی ایک برادری کا پکوان ہے جسے ناٹوکوٹئی چیٹیار کہا جاتا ہے، یا ناگراتھر، جیسا کہ وہ خود کو کہتے ہیں۔,چ یٹ ین اڈ   پ کوان   ریاست   تامل   ناڈو   کے   چ یٹ ین اڈ   علاقے   سے   تعلق   رکھ نے   والی   ایک   برا دری   کا   پ کوان   ہے   جسے   نا ٹو کوٹ ئی   چ یٹ یار   کہا   جاتا   ہے،   یا   نا گر اتھ ر ،   جیس ا   کہ   وہ   خود   کو   کہ تے   ہیں۔</w>,53
7,دار چینی ہندوستان کی مقامی ہے اور اس بنا پر اس کا استعمال ذائقہ بڑھانے سے لے کر دواؤں کے عامل کے طور پر ہوتا ہے۔‏,دار   چ ینی   ہندوستان   کی   مقامی   ہے   اور   اس   بنا   پر   اس   کا   استعمال   ذ ائ ق ہ   بڑھ انے   سے   لے   کر   د وا ؤں   کے   ع امل   کے   طور   پر   ہو تا   ہے۔‏</w>,35
8,اسے ایک خشک پسنہارے سے یا پتھر کے موسل سے پیس کر سفوف بنالیں۔,اسے   ایک   خشک   پس نہ ارے   سے   یا   پتھر   کے   م وس ل   سے   پیس   کر   س فو ف   بن ال یں۔</w>,22
9,پنجاب کے ہر شہر کی مختلف ترجیحات ہیں، جیسے امرتسر میں لوگ امرتسری کلچے، بھرواں پراٹھے اور دودھ کی مصنوعات کے خاص طور پر شوقین ہیں۔,پنجاب   کے   ہر   شہر   کی   مختلف   تر جی ح ات   ہیں،   جیسے   ام رت سر   میں   لوگ   ام رت سری   کل چ ے،   بھ رو اں   پر اٹھ ے   اور   دو دھ   کی   م صنوعات   کے   خاص   طور   پر   شو ق ین   ہیں۔</w>,43
10,رام کو سادھو کے ساتھ بھیج دو، اور لکشمن کو بھی۔,رام   کو   س ادھ و   کے   ساتھ   بھیج   دو ،   اور   لکش من   کو   بھی ۔</w>,16
11,لیکن منگل پانڈے کا دلیرانہ کارنامہ ایک اعلیٰ اور عظیم اصول کے تئیں لگن کے تحت انجام دیا گیا تھا۔,لیکن   منگ ل   پانڈ ے   کا   دلی ر انہ   کار نام ہ   ایک   اعلیٰ   اور   عظیم   اص ول   کے   ت ئ یں   لگ ن   کے   تح ت   انجام   دیا   گیا   تھا۔</w>,31
12,ایک بار جب پیاز نیم شفاف ہو جائے، تو ہلدی کے پاؤڈر کے ساتھ مرینیٹ کیا ہوا مٹن شامل کرلیں اور کچھ دیر تک بھون لیں جب تک کہ پورے مصالحے مٹن میں جذب نہ ہوجائیں تقریباً 5-6 منٹ تک۔,ایک   بار   جب   پیا ز   نیم   ش ف اف   ہو   جائے ،   تو   ہل دی   کے   پا ؤ ڈر   کے   ساتھ   مری نیٹ   کیا   ہوا   م ٹن   شامل   کر ل یں   اور   کچھ   دی ر   تک   بھ ون   ل یں   جب   تک   کہ   پورے   م ص الح ے   م ٹن   میں   جذ ب   نہ   ہو جائیں   تقریباً   5 - 6   منٹ   تک ۔</w>,63
13,ہتوپدیشا، پرندوں، جانوروں اور انسانوں کے کرداروں کے ذریعے پیش کی گئی دنیوی حکمت کی ایک کتاب ہے۔,ہ تو پ دیش ا،   پرند وں،   جانور وں   اور   انس ان وں   کے   کردار وں   کے   ذریع ے   پیش   کی   گئی   د نی وی   حکم ت   کی   ایک   کتاب   ہے۔</w>,31
14,اس کتاب کا مقصد سنسکرت میں اظہار میں لیاقت اور دانشمندانہ رویے کے علم کو فروغ دینا معلوم ہوتا ہے۔,اس   کتاب   کا   مق صد   سنس کرت   میں   اظہار   میں   لیا قت   اور   دان شم ند انہ   رو ی ے   کے   علم   کو   فروغ   دین ا   معلوم   ہو تا   ہے۔</w>,30
