sentence_id,original,tokenized,char_count,token_count
1,"বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি","বাহ ্য    রূপ    হল    সেই    পরিষেবা    প্রদ ান কারী    মানুষ    সম্ব ন্ধ ীয়    এক    গু চ্ছ   বৈশিষ্ট্য    যে মন ,    তার    জ ুত ো ,    জা মা কা পড় ,    টাই ,    গ য় না,    চ ুল ের    ধর ন,    রূপ সজ্ জা ,    ঘ ড় ি,    প্র সা ধ নী ,    সু গন্ধ ি,    ইত্যা দি ",137,57
2,মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে,মহারাষ্ট্র ের    ঔরঙ্গ া বাদ    জেল ায়    অবস্থিত    অ জন ্ত ায়    খ্রিষ্ট পূর্ব    প্রথম    শতাব্দী    থেকে    খ্রিষ্ট ীয়    পঞ্চ ম    শতাব্দীর    ভাস্কর ্য    এবং    চিত্র কলা য়    সজ্ জিত    ঊ ন ত্র িশ টি    চ ৈত ্য    এবং    বি হার    গুহা    রয়েছে ,147,43
3,গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে,গা য়ের    রঙের    সঙ্গে    দে হর েখ া    মি শে    গিয়ে    ঘ নত ্ব ের    আ ভা স    তৈরি    করে ,47,20
4,"যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন","যেখানে    পূর্ববর্তী    ঐতিহ্য    ছিল    কাঠ   ও    মাটি    দিয়ে    নির্মাণ    করা,    অশোক    সেখানে    ভাস্কর ্য    এবং    মহা ন    স্মৃতি স্ত ম্ভ    নির্মাণের    কাজে    ব্যাপকভাবে    পাথরের    ব্যবহার    শুরু    করেন ",129,27
5,"আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ","আল ুতে    মশ লা    মা খ িয় ে,    ফে ট ানো    বে স নে    চু বি য়ে    নিয়ে    ডু ব ো    তেল ে    ভা জা    যত ক্ষণ    না    ভালো    করে    ভা জা    হচ্ছ ে,    তৈরি    করা    হয়    মহারাষ্ট্র ের    এই    সু স্বা দু    ও    জনপ্র ি য়    খাবারের    পদ ",122,49
6,"চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী","চে ট্ট িন া ড়    র ন্ধ ন প্রণ ালী    হলো    তামিল না ড় ু    রাজ্যের    চে ট্ট িন া ড়    অঞ্চলের    না ট্টু কো টাই    চে ট ্টি য় ার,    অথবা    তাদের    নিজেদের    দেওয়া    নাম    অনুযা য়ী    নগ র ত্ত ার    নামক    একটি    সম্প্রদা য়ের    এক    র ন্ধ ন প্রণ ালী ",149,52
7,দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়,দার ু চ িনি    ভারতে    মূল ভাবে    উৎপাদ িত    এবং    এর    ব্যবহার    গন্ধ বিশিষ্ট    দ্র ব্য    থেকে    আর ম্ভ    করে    ঔ ষ ধি    দ্র ব্য    হিসেবে    হয় ,86,27
8,এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন,এই    সব গুলো কে    একটা    শুক নো    জা ঁ তা কল    বা    শিল নো ড় ায়    গু ঁ ড় ো    করুন ,45,21
9,"পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে","পঞ্জা বের    এক েকটি    শহরের    পছন্দ    এক েক    র ক মে র,    যেমন    অ মৃত সর ের    লোকেরা    অ মৃত সর ী    কুল চা ,    পুর ভ রা    পর ো টা    এবং    দু গ ্ধ জাত    পণ্য    বেশি    পছন্দ    করে ",103,40
10,রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান,রাম কে    এই    ঋষ ির    সঙ্গে    পাঠ ান    এবং    লক্ ষ্ম ণ কেও    পাঠ ান ,39,15
