sentence_id,original,tokenized,char_count,token_count
1,ظٲہری شکِل چھِ خدمت کَرَن وٲلِس مُتعلق خٲصِیَتن ہُنٛد اکھ گوٚند، یتھہٕ کٔنہِ زَن ، تِِہُنٛد بوٗٹھ، پَلَو، ٹَایہ ، زیور ، مستُک پٲراو ، سِنگار، گٔر، كریم پاوڈر، عتر، وغیرٕ۔,ظٲ ہری    ش کِ ل    چھِ    خد مت    کَر َن    وٲلِس    مُ تعلق    خٲ صِ یَ تن    ہُنٛد    اکھ    گوٚ ند ،    یتھہٕ    کٔنہِ    زَن    ،    تِ ِ ہُنٛد    بوٗ ٹھ ،    پَ لَ و،    ٹَ ایہ    ،    ز یور    ،    مست ُک    پٲ را و    ،    سِ نگ ار،    گٔ ر،    كری م    پ او ڈ ر،    ع تر ،    و غی رٕ ۔ ,141,65
2,مہاراشٹر کِس ضلعہٕ اورنگابادس مَنٛز واقعہٕ اَجنتاہَس مَنٛز چھِ کُنترٕٛہ چیتیہ تہٕ وِہار گۄپھہٕ یمہٕ گۄڈٕنٕچ صدی قبل مسیح پٮ۪ٹھ پوٚنٛژمہِ صدی عیسوِی تام چہِ سنگترٲشی تہٕ مُصَوِری سٕتہِ سجٲوِتھ چھِ ۔,مہاراش ٹر    کِس    ضلعہٕ    او رنگ ا باد س    مَنٛز    واقعہٕ    اَ جن تا ہَس    مَنٛز    چھِ    کُ ن ترٛ ٕہ    چی تیہ    تہٕ    وِ ہار    گۄپھہٕ    یمہٕ    گۄڈٕ نٕچ    صدی    قبل    مسیح    پٮ۪ٹھ    پوٚ نٛ ژ مہِ    صدی    عی س وِی    تام    چہِ    سنگ تر ٲ شی    تہٕ    مُ ص َ وِ ری    سٕتہِ    س ج ٲوِتھ    چھِ    ۔ ,166,60
3,ڈانٛچُک رنٛگ چھُ نیٔبرِمس حٲشیس سۭتہِ رَلان، یٗس باڈو ہاوان چھٗ ۔,ڈا نٛ چ ُک    ر نٛگ    چھُ    نی ٔ ب رِ مس    حٲ ش یس    سۭتہِ    رَ ل ان،    یٗس    با ڈو    ہاوان    چھٗ    ۔ ,54,25
4,اشوکن لوگ مُجَسمن تہٕ بڑٮ۪ن یاگارن خٲطرٕ کنٮ۪ن ہُنٛد غلبہٕ اِستعمال کرُن، ییٚلہِ زن برونہِم رٮ۪وایت زیٛادٕ تر لٔکرِ تہٕ میٚژِ سۭتہِ کٲم کرٕنہِ ٲس ۔,اشو کن    لو گ    مُ جَ س من    تہٕ    بڑ ٮ۪ن    یا گ ارن    خٲطرٕ    کن ٮ۪ن    ہُنٛد    غلبہٕ    اِستعمال    کر ُ ن،    ییٚلہِ    زن    برون ہِم    رٮ۪ وای ت    زیٛادٕ    تر    لٔ کرِ    تہٕ    میٚ ژِ    سۭتہِ    کٲم    کرٕنہِ    ٲس    ۔ ,122,42
5,مسالہٕ ترٛٲوِتھ بیسن مٔتھِتھ تہٕ وارٕ تٔلِتھ ٲلوٕ چھِ مہراشٹرٛا ہُک اکھ مزٕ دار تہٕ مہشوٗر سیُن۔,مس الہٕ    ترٛ ٲوِتھ    بی سن    مٔ تھ ِتھ    تہٕ    وارٕ    تٔ لِتھ    ٲ لو ٕ    چھِ    مہ راش ٹرٛ ا    ہُک    اکھ    م زٕ    دار    تہٕ    مہ ش وٗر    سی ُن۔ ,80,32
6,چیٹیناڈ ضِیافت چھےّ اکہِ برادری ہنز ضیافت ،یِم پانس ناٹوکوٹاٮٔی چیٹیار یا نگرتھار ونان چھِ تہٕ یِم تامِل ناڈو ریاست کہِ چیٹیناڈ علاقٕكہِ چھِ ۔,چی ٹی نا ڈ    ض ِ یا فت    چھے ّ   اکہِ    برادری    ہنز    ض یا فت    ، یِم    پانس    نا ٹو کو ٹا ٮٔ ی    چی ٹ یار    یا    نگ ر تھ ار    ونان    چھِ    تہٕ    یِم    تامِل    ناڈو    ریاست    کہِ    چی ٹی نا ڈ    علاق ٕكہِ    چھِ    ۔ ,118,49
7,دالچیٖنہِ ہُنٛد مالیٚون چھُ ہُنٛدوستان تہٕ، یتھہٕ کٔنہِ چھُ امیُوک استعمال مزٕ کھالنہٕ پیٹھہٕ دوا بناونَس تام سپدان۔,د ال چیٖ نہِ    ہُنٛد    مال یٚ ون    چھُ    ہُ نٛد وست ان    ت ہٕ،    یتھہٕ    کٔنہِ    چھُ    امی ُوک    استعمال    م زٕ    کھ ال نہٕ    پیٹھہٕ    د وا    بناون َس    تام    سپد ان۔ ,99,34
8,اتھ بنٲوِو خۄشِک گرٛٹس پٮ۪ٹھ یا کنہِ نیٛامہِ منٛزپھٮ۪کھ ۔,اتھ    بنٲوِ و    خۄ شِ ک    گرٛ ٹس    پٮ۪ٹھ    یا    کنہِ    نی ٛ امہِ    منٛز پھ ٮ۪ کھ    ۔ ,48,19
9,پنجاب کِس پرٛٮ۪تھ شہرس چھِ الگ الگ ترجیٖحات، یتھ کٔنہِ زِ امرِتسر کٮ۪ن لوٗکن زیٛادٕ امرِتسٔری کُلچہٕ، بٔرِتھ پراٹھٕہ تہٕ دۄدٕکہِ چیز زیٛادٕ خۄش کران چھِ ۔,پنجاب    کِس    پرٛٮ۪تھ    شہرس    چھِ    الگ    الگ    تر جیٖ حا ت،    یتھ    کٔنہِ    زِ    ام رِ ت سر    کٮ۪ن    لوٗکن    زیٛادٕ    ام رِ ت سٔ ری    کُ لچ ہٕ،    بٔ رِتھ    پرا ٹھ ٕہ    تہٕ    دۄ دٕ کہِ    چیز    زیٛادٕ    خۄش    کران    چھِ    ۔ ,128,44
10,رام سوزُن ریشِس سٕتہِ ، تہٕ لکشمن تہِ سوزُن,رام    سوز ُن    ری ش ِس    سٕتہِ    ،    تہٕ    لکش من    تہِ    سوز ُن ,35,14
