original,tokenized,token_count,word_count
"ബാഹ്യരൂപം എന്നുള്ളത് ഷൂസ്, വസ്ത്രങ്ങള്‍, ടൈ, ആഭരണങ്ങള്‍, ഹെയര്‍ സ്റ്റൈല്‍, മേക്കപ്പ്, വാച്ച്, സൗന്ദര്യവര്‍ദ്ധകസാമഗ്രികൾ, സുഗന്ധലേപനങ്ങള്‍ തുടങ്ങി സേവനം നല്കുന്നയാളിന്‍റെ ഒരുകൂട്ടം ഗുണവിശേഷങ്ങളുമായി ബന്ധപ്പെട്ടതാണ്","ബാ ഹ്യ രൂ പം   എ ന്നു ള്ള ത്   ഷൂ സ് ,   വ സ്ത്ര ങ്ങ ള് ,   ടൈ ,   ആ ഭ ര ണ ങ്ങ ള് ,   ഹെ യ ര്   സ്റ്റൈ ല് ,   മേ ക്ക പ്പ് ,   വാ ച്ച് ,   സ ൗ ന്ദ ര്യ വ ര് ദ്ധ ക സാ മ ഗ്രി ക ൾ ,   സു ഗ ന്ധ ലേ പ ന ങ്ങ ള്   തു ട ങ്ങി   സേ വ നം   ന ല്കു ന്ന യാ ളി ന് റെ   ഒ രു കൂ ട്ടം   ഗു ണ വി ശേ ഷ ങ്ങ ളു മാ യി   ബ ന്ധ പ്പെ ട്ട താ ണ്",92,18
മഹാരാഷ്ട്രയിലെ ഔറംഗാബാദ് ജില്ലയിൽ സ്ഥിതിചെയ്യുന്ന അജന്തയിൽ ബി,മ ഹാ രാ ഷ്ട്ര യി ലെ   ഔ റം ഗാ ബാ ദ്   ജി ല്ല യി ൽ   സ്ഥി തി ചെ യ്യു ന്ന   അ ജ ന്ത യി ൽ   ബി,26,6
സി,സി,1,1
ഇ ഒന്നാം നൂറ്റാണ്ട് മുതൽ സി,ഇ   ഒ ന്നാം   നൂ റ്റാ ണ്ട്   മു ത ൽ   സി,10,5
"ഇ അഞ്ചാം നൂറ്റാണ്ട് വരെയുള്ള കാലഘട്ടത്തിലെ, പ്രതിമകളാലും ചിത്രങ്ങളാലും അലങ്കരിക്കപ്പെട്ട 29 ചൈത്യഗുഹകളും വിഹാരഗുഹകളും ഉണ്ട്","ഇ   അ ഞ്ചാം   നൂ റ്റാ ണ്ട്   വ രെ യു ള്ള   കാ ല ഘ ട്ട ത്തി ലെ ,   പ്ര തി മ ക ളാ ലും   ചി ത്ര ങ്ങ ളാ ലും   അ ല ങ്ക രി ക്ക പ്പെ ട്ട   2 9   ചൈ ത്യ ഗു ഹ ക ളും   വി ഹാ ര ഗു ഹ ക ളും   ഉ ണ്ട്",52,12
ശില്പങ്ങളുടെയും മറ്റും നിറം ബാഹ്യരേഖയുമായി ഇഴുകിച്ചേര്‍ന്ന് വലിപ്പത്തിന്‍റെ ഒരു പ്രതീതിയുണ്ടാക്കുന്നു,ശി ല്പ ങ്ങ ളു ടെ യും   മ റ്റും   നി റം   ബാ ഹ്യ രേ ഖ യു മാ യി   ഇ ഴു കി ച്ചേ ര് ന്ന്   വ ലി പ്പ ത്തി ന് റെ   ഒ രു   പ്ര തീ തി യു ണ്ടാ ക്കു ന്നു,38,8
"നേരത്തെയുള്ള പാരമ്പര്യം തടിയിലും കളിമണ്ണിലും നിർമ്മിക്കുന്നതായിരിക്കെ, അശോകന്‍ പ്രതിമകള്‍ക്കും സ്മാരകസൗധങ്ങള്‍ക്കും വ്യാപകമായി ശില ഉപയോഗിക്കാന്‍ തുടങ്ങി","നേ ര ത്തെ യു ള്ള   പാ ര മ്പ ര്യം   ത ടി യി ലും   ക ളി മ ണ്ണി ലും   നി ർ മ്മി ക്കു ന്ന താ യി രി ക്കെ ,   അ ശോ ക ന്   പ്ര തി മ ക ള് ക്കും   സ്മാ ര ക സ ൗ ധ ങ്ങ ള് ക്കും   വ്യാ പ ക മാ യി   ശി ല   ഉ പ യോ ഗി ക്കാ ന്   തു ട ങ്ങി",63,12
മസാല ചേര്‍ത്ത് കടലമാവില്‍ മുക്കി പിഴവില്ലാത്തവിധം നന്നായി വറുത്തെടുക്കുന്ന ഉരുളക്കിഴങ്ങാണ് മഹാരാഷ്ട്രയില്‍ നിന്നുള്ള ഈ സ്വാദിഷ്ടവും പ്രശസ്തവുമായ വിഭവം,മ സാ ല   ചേ ര് ത്ത്   ക ട ല മാ വി ല്   മു ക്കി   പി ഴ വി ല്ലാ ത്ത വി ധം   ന ന്നാ യി   വ റു ത്തെ ടു ക്കു ന്ന   ഉ രു ള ക്കി ഴ ങ്ങാ ണ്   മ ഹാ രാ ഷ്ട്ര യി ല്   നി ന്നു ള്ള   ഈ   സ്വാ ദി ഷ്ട വും   പ്ര ശ സ്ത വു മാ യ   വി ഭ വം,60,14
"തമിഴ്‌നാട് സംസ്ഥാനത്തെ ചെട്ടിനാട് പ്രദേശത്തുനിന്നുള്ള, നാട്ടുകോട്ടൈ ചെട്ടിയാർ എന്നോ അവർ സ്വയം വിളിക്കുന്ന പേരായ നാഗരതർ എന്നോ അറിയപ്പെടുന്ന സമുദായത്തിൻ്റെ പാചകവിദ്യയാണ് ചെട്ടിനാട് പാചകവിദ്യ","ത മി ഴ് നാ ട്   സം സ്ഥാ ന ത്തെ   ചെ ട്ടി നാ ട്   പ്ര ദേ ശ ത്തു നി ന്നു ള്ള ,   നാ ട്ടു കോ ട്ടൈ   ചെ ട്ടി യാ ർ   എ ന്നോ   അ വ ർ   സ്വ യം   വി ളി ക്കു ന്ന   പേ രാ യ   നാ ഗ ര ത ർ   എ ന്നോ   അ റി യ പ്പെ ടു ന്ന   സ മു ദാ യ ത്തി ൻ ് റെ   പാ ച ക വി ദ്യ യാ ണ്   ചെ ട്ടി നാ ട്   പാ ച ക വി ദ്യ",80,18
"ഇന്ത്യയില്‍ ജന്മംകൊണ്ട കറുവാപ്പട്ട അങ്ങനെ, സുഗന്ധവ്യഞ്ജനത്തിൻ്റേതുമുതൽ ഔഷധത്തിൻ്റേതുവരെ വിവിധ ഉപയോഗങ്ങള്‍ ഉള്ളതാണ്","ഇ ന്ത്യ യി ല്   ജ ന്മം കൊ ണ്ട   ക റു വാ പ്പ ട്ട   അ ങ്ങ നെ ,   സു ഗ ന്ധ വ്യ ഞ്ജ ന ത്തി ൻ ് റേ തു മു ത ൽ   ഔ ഷ ധ ത്തി ൻ ് റേ തു വ രെ   വി വി ധ   ഉ പ യോ ഗ ങ്ങ ള്   ഉ ള്ള താ ണ്",54,9
