sentence_id,original,tokenized,char_count,token_count
1,"தோற்றம் என்பது சேவை ஊழியரின் காலணிகள், உடை, டை, நகை, சிகையலங்காரம், மேக்-அப், கைக்கடிகாரம், அழகு சாதனங்கள், நறுமணம் போன்ற அவர் சார்ந்த பண்புகளின் ஒரு தொகுப்பைக் குறிக்கிறது","த ோ ற ் ற ம ்   எ ன ் ப த ு   ச ே வ ை   ஊ ழ ி ய ர ி ன ்   க ா ல ண ி க ள ் ,   உ ட ை ,   ட ை ,   ந க ை ,   ச ி க ை ய ல ங ் க ா ர ம ் ,   ம ே க ் - அ ப ் ,   க ை க ் க ட ி க ா ர ம ் ,   அ ழ க ு   ச ா த ன ங ் க ள ் ,   ந ற ு ம ண ம ்   ப ோ ன ் ற   அ வ ர ்   ச ா ர ் ந ் த   ப ண ் ப ு க ள ி ன ்   ஒ ர ு   த ொ க ு ப ் ப ை க ்   க ு ற ி க ் க ி ற த ு",152,172
2,"மகாராஷ்டிரத்தின் அவுரங்காபாத் மாவட்டத்தில் உள்ள அஜந்தாவில் இருபத்தி ஒன்பது சைத்யா மற்றும் விஹாரா குகைகள் உள்ளன, அவற்றை கிமு முதலாம் நூற்றாண்டு முதல் கிபி ஐந்தாம் நூற்றாண்டு வரையிலான சிற்பங்களும் ஓவியங்களும் அலங்கரித்துள்ளன","ம க ா ர ா ஷ ் ட ி ர த ் த ி ன ்   அ வ ு ர ங ் க ா ப ா த ்   ம ா வ ட ் ட த ் த ி ல ்   உ ள ் ள   அ ஜ ந ் த ா வ ி ல ்   இ ர ு ப த ் த ி   ஒ ன ் ப த ு   ச ை த ் ய ா   ம ற ் ற ு ம ்   வ ி ஹ ா ர ா   க ு க ை க ள ்   உ ள ் ள ன ,   அ வ ற ் ற ை   க ி ம ு   ம ு த ல ா ம ்   ந ூ ற ் ற ா ண ் ட ு   ம ு த ல ்   க ி ப ி   ஐ ந ் த ா ம ்   ந ூ ற ் ற ா ண ் ட ு   வ ர ை ய ி ல ா ன   ச ி ற ் ப ங ் க ள ு ம ்   ஓ வ ி ய ங ் க ள ு ம ்   அ ல ங ் க ர ி த ் த ு ள ் ள ன",199,222
3,உடல் நிறம் ஓரங்களுடன் கலந்து பருமனான தோற்றத்தைத் தருகிறது,உ ட ல ்   ந ி ற ம ்   ஓ ர ங ் க ள ு ட ன ்   க ல ந ் த ு   ப ர ு ம ன ா ன   த ோ ற ் ற த ் த ை த ்   த ர ு க ி ற த ு,51,57
4,"சிற்பங்களுக்கும் மாபெரும் நினைவுச் சின்னங்களுக்கும் அசோகர் பெரியளவில் கற்களைப் பயன்படுத்தத் தொடங்கினார், ஆனால் அதற்கு முன்பு மரம் மற்றும் களிமண்ணைப் பயன்படுத்துவதே மரபாக இருந்தது","ச ி ற ் ப ங ் க ள ு க ் க ு ம ்   ம ா ப ெ ர ு ம ்   ந ி ன ை வ ு ச ்   ச ி ன ் ன ங ் க ள ு க ் க ு ம ்   அ ச ோ க ர ்   ப ெ ர ி ய ள வ ி ல ்   க ற ் க ள ை ப ்   ப ய ன ் ப ட ு த ் த த ்   த ொ ட ங ் க ி ன ா ர ் ,   ஆ ன ா ல ்   அ த ற ் க ு   ம ு ன ் ப ு   ம ர ம ்   ம ற ் ற ு ம ்   க ள ி ம ண ் ண ை ப ்   ப ய ன ் ப ட ு த ் த ு வ த ே   ம ர ப ா க   இ ர ு ந ் த த ு",161,178
5,"மகாராஷ்டிராவின் இந்தப் புகழ்பெற்ற அறுசுவை உணவில், மசாலாக்களுடன் பிசைந்து கடலைமாவில் துவைத்து எண்ணெயில் பூரணமாகப் பொரித்த உருளைக்கிழங்குகள் உள்ளன","ம க ா ர ா ஷ ் ட ி ர ா வ ி ன ்   இ ந ் த ப ்   ப ு க ழ ் ப ெ ற ் ற   அ ற ு ச ு வ ை   உ ண வ ி ல ் ,   ம ச ா ல ா க ் க ள ு ட ன ்   ப ி ச ை ந ் த ு   க ட ல ை ம ா வ ி ல ்   த ு வ ை த ் த ு   எ ண ் ண ெ ய ி ல ்   ப ூ ர ண ம ா க ப ்   ப ொ ர ி த ் த   உ ர ு ள ை க ் க ி ழ ங ் க ு க ள ்   உ ள ் ள ன",131,144
6,"செட்டிநாடு சமையல் என்பது, தமிழ்நாட்டின் செட்டிநாடுப் பகுதியைச் சேர்ந்த நாட்டுக்கோட்டை செட்டியார்கள் அல்லது, அவர்களே தங்களை அழைத்துக்கொள்வது போல, நகரத்தார்கள் என்ற சமூகத்தினரின் சமையல் பக்குவம் ஆகும்","ச ெ ட ் ட ி ந ா ட ு   ச ம ை ய ல ்   எ ன ் ப த ு ,   த ம ி ழ ் ந ா ட ் ட ி ன ்   ச ெ ட ் ட ி ந ா ட ு ப ்   ப க ு த ி ய ை ச ்   ச ே ர ் ந ் த   ந ா ட ் ட ு க ் க ோ ட ் ட ை   ச ெ ட ் ட ி ய ா ர ் க ள ்   அ ல ் ல த ு ,   அ வ ர ் க ள ே   த ங ் க ள ை   அ ழ ை த ் த ு க ் க ொ ள ் வ த ு   ப ோ ல ,   ந க ர த ் த ா ர ் க ள ்   எ ன ் ற   ச ம ூ க த ் த ி ன ர ி ன ்   ச ம ை ய ல ்   ப க ் க ு வ ம ்   ஆ க ு ம ்",179,198
7,"லவங்கப்பட்டை பூர்வீகமாக இந்தியாவில் விளையக்கூடியது, ஆக அது மணப்பொருள் முதல் மருந்துப்பொருள் வரை பலதரப்பட்ட பயன்பாடுகள் கொண்டுள்ளது","ல வ ங ் க ப ் ப ட ் ட ை   ப ூ ர ் வ ீ க ம ா க   இ ந ் த ி ய ா வ ி ல ்   வ ி ள ை ய க ் க ூ ட ி ய த ு ,   ஆ க   அ த ு   ம ண ப ் ப ொ ர ு ள ்   ம ு த ல ்   ம ர ு ந ் த ு ப ் ப ொ ர ு ள ்   வ ர ை   ப ல த ர ப ் ப ட ் ட   ப ய ன ் ப ா ட ு க ள ்   க ொ ண ் ட ு ள ் ள த ு",118,130
8,இதை ஒரு மாவு இடிக்கும் கல்லில் அல்லது உரலில் போட்டு மாவுப் பொடியாக ஆக்கவும்,இ த ை   ஒ ர ு   ம ா வ ு   இ ட ி க ் க ு ம ்   க ல ் ல ி ல ்   அ ல ் ல த ு   உ ர ல ி ல ்   ப ோ ட ் ட ு   ம ா வ ு ப ்   ப ொ ட ி ய ா க   ஆ க ் க வ ு ம ்,65,75
9,"பஞ்சாபின் ஒவ்வொரு நகரமும் வெவ்வேறு விருப்பங்கள் கொண்டுள்ளது, எடுத்துக்காட்டாக அம்ரித்சர் மக்களுக்கு அம்ரித்சரி குல்ச்சே, ஸ்டஃப்டு பராத்தா மற்றும் பால் ஆகாரங்கள் மீது தனிப் பிரியம்","ப ஞ ் ச ா ப ி ன ்   ஒ வ ் வ ொ ர ு   ந க ர ம ு ம ்   வ ெ வ ் வ ே ற ு   வ ி ர ு ப ் ப ங ் க ள ்   க ொ ண ் ட ு ள ் ள த ு ,   எ ட ு த ் த ு க ் க ா ட ் ட ா க   அ ம ் ர ி த ் ச ர ்   ம க ் க ள ு க ் க ு   அ ம ் ர ி த ் ச ர ி   க ு ல ் ச ் ச ே ,   ஸ ் ட ஃ ப ் ட ு   ப ர ா த ் த ா   ம ற ் ற ு ம ்   ப ா ல ்   ஆ க ா ர ங ் க ள ்   ம ீ த ு   த ன ி ப ்   ப ி ர ி ய ம ்",161,179
10,"ராமனை முனிவருடன் அனுப்பு, லக்ஷ்மணனையும் அவருடன் அனுப்பு","ர ா ம ன ை   ம ு ன ி வ ர ு ட ன ்   அ ன ு ப ் ப ு ,   ல க ் ஷ ் ம ண ன ை ய ு ம ்   அ வ ர ு ட ன ்   அ ன ு ப ் ப ு",50,55
