sentence_id,original,tokenized,char_count,token_count
1,"दिसणें हें सेवेंत आशिल्ले व्यक्तीच्या खाशेलपणांचो चोंबो कसो, म्हुटल्यार तांचे बूट, कपडे, टाय, अळंकार, केंसरचना, मेकप, घडयाळ, सौंदर्य प्रसाधनां, चेर, आदी","द ि स ण े ं   ह े ं   स े व े ं त   आ श ि ल ् ल े   व ् य क ् त ी च ् य ा   ख ा श े ल प ण ा ं च ो   च ो ं ब ो   क स ो ,   म ् ह ु ट ल ् य ा र   त ा ं च े   ब ू ट ,   क प ड े ,   ट ा य ,   अ ळ ं क ा र ,   क े ं स र च न ा ,   म े क प ,   घ ड य ा ळ ,   स ौ ं द र ् य   प ् र स ा ध न ा ं ,   च े र ,   आ द ी",132,152
2,"महाराष्ट्रांतल्या औरंगाबाद जिल्ल्यांत आशिल्लें अजंठा, हांगां शिल्पां आनी चित्रांनी सजयल्ल्यो वर्तमान सन पुर्वाचें पयलें शतक ते वर्तमान सन पांचवें शतक मेरेनच्यो एकोणतीस कैत्य आनी विहाराच्यो गुहा आसात","म ह ा र ा ष ् ट ् र ा ं त ल ् य ा   औ र ं ग ा ब ा द   ज ि ल ् ल ् य ा ं त   आ श ि ल ् ल े ं   अ ज ं ठ ा ,   ह ा ं ग ा ं   श ि ल ् प ा ं   आ न ी   च ि त ् र ा ं न ी   स ज य ल ् ल ् य ो   व र ् त म ा न   स न   प ु र ् व ा च े ं   प य ल े ं   श त क   त े   व र ् त म ा न   स न   प ा ं च व े ं   श त क   म े र े न च ् य ो   ए क ो ण त ी स   क ै त ् य   आ न ी   व ि ह ा र ा च ् य ो   ग ु ह ा   आ स ा त",172,198
3,"आंगाचो रंग भायले रूपरेशेमदीं भरसता, तातूंतल्यान घनफळाच्या आकारमानाचो परिणाम साध्य जाता","आ ं ग ा च ो   र ं ग   भ ा य ल े   र ू प र े श े म द ी ं   भ र स त ा ,   त ा त ू ं त ल ् य ा न   घ न फ ळ ा च ् य ा   आ क ा र म ा न ा च ो   प र ि ण ा म   स ा ध ् य   ज ा त ा",76,86
4,पयलीच्या परंपरे प्रमाण लाकूड आनी माती वापरून काम जातालें मात अशोका शिल्पां आनी व्हड स्मारकां खातीर फातरांचो मोठ्या प्रमाणांत वापर करपाक लागलो,प य ल ी च ् य ा   प र ं प र े   प ् र म ा ण   ल ा क ू ड   आ न ी   म ा त ी   व ा प र ू न   क ा म   ज ा त ा ल े ं   म ा त   अ श ो क ा   श ि ल ् प ा ं   आ न ी   व ् ह ड   स ् म ा र क ा ं   ख ा त ी र   फ ा त र ा ं च ो   म ो ठ ् य ा   प ् र म ा ण ा ं त   व ा प र   क र प ा क   ल ा ग ल ो,120,141
5,बटाटां भितर मसालो भरसून ते बेसनाच्या पिठयेंत बुडोवन तेलांत बरे तळ्ळे कांय महाराष्ट्रांतलो हो सुवादीक आनी फामाद पदार्थ तयार जाता,ब ट ा ट ा ं   भ ि त र   म स ा ल ो   भ र स ू न   त े   ब े स न ा च ् य ा   प ि ठ य े ं त   ब ु ड ो व न   त े ल ा ं त   ब र े   त ळ ् ळ े   क ा ं य   म ह ा र ा ष ् ट ् र ा ं त ल ो   ह ो   स ु व ा द ी क   आ न ी   फ ा म ा द   प द ा र ् थ   त य ा र   ज ा त ा,108,127
6,चेट्टिनाड जेवण हें स्वताक नाट्टुकोटाय चेट्टियार वा नगरथार म्हणपी तामिळनाडूच्या चेट्टिनाड वाठारांतल्या समाजाचें खाणजेवण,च े ट ् ट ि न ा ड   ज े व ण   ह े ं   स ् व त ा क   न ा ट ् ट ु क ो ट ा य   च े ट ् ट ि य ा र   व ा   न ग र थ ा र   म ् ह ण प ी   त ा म ि ळ न ा ड ू च ् य ा   च े ट ् ट ि न ा ड   व ा ठ ा र ा ं त ल ् य ा   स म ा ज ा च े ं   ख ा ण ज े व ण,105,118
7,तिखयेचें मूळ भारतांत मेळटा आनी ते खातीर जेवणांत सुवाद हाडपा पासून वखदी साधना मेरेन ताचो वापर जाता,त ि ख य े च े ं   म ू ळ   भ ा र त ा ं त   म े ळ ट ा   आ न ी   त े   ख ा त ी र   ज े व ण ा ं त   स ु व ा द   ह ा ड प ा   प ा स ू न   व ख द ी   स ा ध न ा   म े र े न   त ा च ो   व ा प र   ज ा त ा,81,97
8,सुकें दांतें वा फातराचो खलबतो वापरून ताचो पिठो करात,स ु क े ं   द ा ं त े ं   व ा   फ ा त र ा च ो   ख ल ब त ो   व ा प र ू न   त ा च ो   प ि ठ ो   क र ा त,43,51
9,"पंजाबांतल्या दर एका शारांतली पसंती वेगळी, म्हटल्यार अमृतसरांतल्या लोकांक अमृतसरी कुल्चे, भरिल्ले पराठे आनी दुदाचीं खाणां आवडटात","प ं ज ा ब ा ं त ल ् य ा   द र   ए क ा   श ा र ा ं त ल ी   प स ं त ी   व े ग ळ ी ,   म ् ह ट ल ् य ा र   अ म ृ त स र ा ं त ल ् य ा   ल ो क ा ं क   अ म ृ त स र ी   क ु ल ् च े ,   भ र ि ल ् ल े   प र ा ठ े   आ न ी   द ु द ा च ी ं   ख ा ण ा ं   आ व ड ट ा त",111,127
10,"तपस्वी वांगडा रामाक धाड, आनी लक्ष्मणाकय धाड","त प स ् व ी   व ा ं ग ड ा   र ा म ा क   ध ा ड ,   आ न ी   ल क ् ष ् म ण ा क य   ध ा ड",37,43
11,पूण मंगल पांडेचें धाडशी कर्तुब एके उंचेल्या आनी उदार तत्वनिश्ठेचें आशिल्लें,प ू ण   म ं ग ल   प ा ं ड े च े ं   ध ा ड श ी   क र ् त ु ब   ए क े   उ ं च े ल ् य ा   आ न ी   उ द ा र   त त ् व न ि श ् ठ े च े ं   आ श ि ल ् ल े ं,65,75
12,"कांदो पारदर्शी जालो काय, करमेवंक दवरिल्लें मटण हळदी पिठो घालून कांय वेळ मंद उज्यार तळशीत रावप, सगळो मसालो मटणांत भरसून वतासर 5-6 मिण्टां तरी","क ा ं द ो   प ा र द र ् श ी   ज ा ल ो   क ा य ,   क र म े व ं क   द व र ि ल ् ल े ं   म ट ण   ह ळ द ी   प ि ठ ो   घ ा ल ू न   क ा ं य   व े ळ   म ं द   उ ज ् य ा र   त ळ श ी त   र ा व प ,   स ग ळ ो   म स ा ल ो   म ट ण ा ं त   भ र स ू न   व त ा स र   5 - 6   म ि ण ् ट ा ं   त र ी",117,140
13,"हितोपदेश हें सुकणीं, जनावरां आनी मनशांच्या पात्रां वरवीं सांगिल्ल्या संवसारीक चतुरतायेंचें पुस्तक","ह ि त ो प द े श   ह े ं   स ु क ण ी ं ,   ज न ा व र ा ं   आ न ी   म न श ा ं च ् य ा   प ा त ् र ा ं   व र व ी ं   स ा ं ग ि ल ् ल ् य ा   स ं व स ा र ी क   च त ु र त ा य े ं च े ं   प ु स ् त क",86,97
14,संस्कृतांत उलोवपाचे कुशळटायेक प्रोत्साहन दिवप आनी शाणेपणान वागपाचें ज्ञान मेळोवप हो ह्या पुस्तकाचो हेत अशें दिसता,स ं स ् क ृ त ा ं त   उ ल ो व प ा च े   क ु श ळ ट ा य े क   प ् र ो त ् स ा ह न   द ि व प   आ न ी   श ा ण े प ण ा न   व ा ग प ा च े ं   ज ् ञ ा न   म े ळ ो व प   ह ो   ह ् य ा   प ु स ् त क ा च ो   ह े त   अ श े ं   द ि स त ा,98,113
15,1994 आनी 1995 वर्सा प्राध्यापक असीतकुमार बंधोपाध्यायाचो हावडा सहारेर इत्तिबृतो (पयलो आनी दुसरो खंड) ह्या नांवान ताचें मूळ शार हावडाचो पुराय इतिहास संकलीत करपांत मुखेल वांटो आशिल्लो,1 9 9 4   आ न ी   1 9 9 5   व र ् स ा   प ् र ा ध ् य ा प क   अ स ी त क ु म ा र   ब ं ध ो प ा ध ् य ा य ा च ो   ह ा व ड ा   स ह ा र े र   इ त ् त ि ब ृ त ो   ( प य ल ो   आ न ी   द ु स र ो   ख ं ड )   ह ् य ा   न ा ं व ा न   त ा च े ं   म ू ळ   श ा र   ह ा व ड ा च ो   प ु र ा य   इ त ि ह ा स   स ं क ल ी त   क र प ा ं त   म ु ख े ल   व ा ं ट ो   आ श ि ल ् ल ो,154,180
