sentence_id,original,tokenized,char_count,token_count
1,"सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि","सेवा    संबंधी    लोगों    के    लिए    भे ष    कई    गु णों    का    संयोजन    है,    जैसे    कि    उनके    जू ते,    कपड़ े,    टा ई,    आ भू ष ण,    के श    शै ली,    मे क- अप ,    घ ड़ ी,    कॉ स् मे टि क,    इ त्र ,    आदि ",110,46
2,महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई,महाराष्ट्र    के    औ र ंगा बाद    जिले    में    स्थित    अ जं ता    में    उन् ती स    चै त्य    और    वि हार    गुफा एँ    हैं    जो    पहली    शताब्दी    ई ,81,28
3,पू,पू ,2,1
4,से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं,से    ले    कर    पाँ च वीं    शताब्दी    ईस्वी    तक    की    मूर् तियों    तथा    चित्र कारियों    से    सु स ज् जित    हैं ,66,21
5,"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है","विस्तार    का    अ सर    बनाते    हुए,    शरीर    का    रंग    बाहरी    रेखा    में    घु ल- मिल    जाता    है ",55,17
6,"अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है","अशोक    ने    व्यापक    रूप    से    मूर् तियों    और    शानदार    स्मार कों    को    बनाने    के    लिए    पत्थर    का    प्रयोग    करना    शुरू    किया,    जबकि    उससे    पहले    पारंपरिक    रूप    से    लकड़ी    और    मिट्टी    का    प्रयोग    किया    जाता    है ",136,35
7,"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है","महाराष्ट्र    के    इस    स्वा दि ष्ट    और    प्रसिद्ध    व्यंजन    में    आ लु ओं    में    मसा ले    को    मिला कर,    बे सन    के    घो ल    की    पर त    लगा कर,    उसे    अच्छी    तरह    से    तल    कर    बनाया    जाता    है ",112,38
8,चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है,चे ट् टि ना ड    भोजन    तमिल    नाडु    के    चे ट् टि ना ड    क्षेत्र    के    ना ट् टू को टाई    चे ट्ट ियार    नामक    समुदाय    या    खुद    को    नाग ार था र    कह ने    वालों    का    भोजन    है ,103,39
9,दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है,दा ल चीनी    मूल    रूप    से    भारत    की    है    और    इस    रूप    में    इसका    प्रयोग    स्वा दि ष्ट कारक    से    लेकर    औ ष ध ीय    कारक    के    रूप    में    किया    जाता    है ,89,32
10,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें,सू खे    ग्रा इंड र    में    या    फिर    पत्थर    के    मू सल    में    इसका    चू र् ण    बना    लें ,49,19
