sentence_index,original_sentence,tokenized_sentence,token_count
1,"नौकरी पेशा माण्हूअ सां लाॻापो रखंदड़ गुण जीअं त उन्हनि जो बूट, कपड़ा, टाई, ॻहणो, वारनि जो अंदाज़, मेक-अप, वाच, कॉस्मेटिक, इत्तर वगैरह जे हिक मेड़ खे सरूप चइबो आहे","नौ करी   पे शा   माण्हू अ   सां   लाॻा पो   रखं दड़   गु ण   जीअं   त   उन्हनि   जो   बू ट,   कप ड़ा ,   टा ई,   ॻ ह णो ,   वारनि   जो   अंदाज़ ,   मे क - अप ,   वा च ,   कॉ स्मे टि क,   इ त्त र   व गै रह   जे   हिक   मे ड़   खे   स रूप   च इ बो   आहे",61
2,महाराष्ट्र जे औरंगाबाद इलाइके में आयल अजंता में पहिरीं सदी बी,महाराष्ट्र   जे   औ रं गा बाद   इलाइ के   में   आयल   अ जं ता   में   पहिरीं   सदी   बी,17
3,सी,सी,1
4,ई,ई,1
5,खां वठी पंजी सदी सी,खां   वठी   पं जी   सदी   सी,6
6,ई,ई,1
7,"जे विच में रचियल, मूर्ती कलाउनु ऐं चित्र कलाउनु सां सजायल उणटीह चैत्य ऐं विहार गुफाऊं आयल आहिन","जे   विच   में   र चि यल ,   मू र्ती   कला उ नु   ऐं   चि त्र   कला उ नु   सां   स जा यल   उ ण टी ह   चै त्य   ऐं   वि हा र   गु फा ऊं   आयल   आहि न",38
8,"सरीर जो रंग बा॒हरीं लीक सां समाइजी वेंदो आहे, जहिं जे करे मकदार जी तासीर पैदा थींदी आहे","सरी र   जो   रंग   बा ॒ ह रीं   ली क   सां   समा इजी   वेंदो   आहे,   ज हिं   जे   करे   म क दार   जी   ता सी र   पैदा   थींदी   आहे",29
9,"अशोक संगतराशी ऐं खास मकबरन जे लाए पथरनु जो वडे॒ पैमाने ते इस्तेमाल करण शुरू कयो, जड॒हिं त पोइं रिवायत में काठ ऐं चीकी मिट्टीअ सां कम कयो वेंदो हो","अशोक   संग त रा शी   ऐं   खा स   म क बर न   जे   लाए   पथ र नु   जो   व डे॒   पैमाने   ते   इस्तेमाल   करण   शुरू   कयो,   जड॒हिं   त   पो इं   रिवा यत   में   का ठ   ऐं   ची की   मि ट्टी अ   सां   कम   कयो   वेंदो   हो",46
10,मसालनि में गडि॒यल पटाटनि खे बेसण जे बैटर में बो॒ड़े ऐं सुठे नमूने तरण सां महाराष्ट्र जो लज़ीज़ ऐं मशहूर तामु ठहे थो,म साल नि   में   ग डि॒ यल   प टा ट नि   खे   बे स ण   जे   बै टर   में   बो ॒ ड़े   ऐं   सुठे   नमूने   तर ण   सां   महाराष्ट्र   जो   ल ज़ी ज़   ऐं   मशहूर   ता मु   ठ हे   थो,40
11,"चेट्टीनाड खाधो, तमिल नाडू जे चेट्टीनाड इलाइके जे नाट्टूकोटाई चेट्टियार नाले समाज या खुद खे नागारधार चवण वारनि जो खाधो आहे","चे ट्टी ना ड   खाधो ,   तमिल   ना डू   जे   चे ट्टी ना ड   इलाइ के   जे   ना ट्टू को टा ई   चे ट्टि यार   नाले   समाज   या   खु द   खे   नागा र धार   च वण   वारनि   जो   खाधो   आहे",40
12,दालचीनी भारत जी पैदाइश आहे ऐं सवादि वधाइण वारे एजंट खां वठी दवा जे एजंट तोरि इन जो इस्तैमालि थींदो आहे,दा ल चीनी   भारत   जी   पैदा इश   आहे   ऐं   स वा दि   वधा इण   वारे   ए जं ट   खां   वठी   द वा   जे   ए जं ट   तो रि   इन   जो   इस्तै मालि   थींदो   आहे,34
13,सुकल ग्राइंडर या पथर जी मुहरीअ सां हिन जो चूरो कयो,सु कल   ग्रा इं डर   या   पथ र   जी   मुह रीअ   सां   हिन   जो   चू रो   कयो,17
14,पंजाब जे हरहिक शहर जूं तरह-तरह जी तरजीहूं आहिन,पंजाब   जे   हरहिक   शहर   जूं   तरह - तरह   जी   तर जी हूं   आहि न,14
15,"जींअ त अमृतसर जा माण्हु खास करे अमृतसरी कुलचन, भरियल पराठन ऐं खीर जी शयुनु जा शौकीन आहिन","जीं अ   त   अ मृ त सर   जा   माण्हु   खा स   करे   अ मृ त सरी   कुल च न,   भरियल   प रा ठ न   ऐं   खी र   जी   श यु नु   जा   शौ की न   आहि न",37
16,राम खे ऋषीअ सां गड़ु॒ मोकलियो ऐं लछमण खे बि मोकलियो,राम   खे   ऋ षी अ   सां   ग ड़ु ॒   मो क लि यो   ऐं   ल छ म ण   खे   बि   मो क लि यो,24
17,"पर मंगल पांडे जी बहादुर मुहीम, हिक ऊंचे ऐं सुठे उसूल जी लगन जे ज़रिये कई वेई हुई","पर   मं गल   पां डे   जी   बहा दु र   मु ही म,   हिक   ऊं चे   ऐं   सुठे   उ सू ल   जी   ल ग न   जे   ज़रि ये   कई   वेई   हुई",30
