sentence_id,original,tokenized,char_count,token_count
1,"ଚେହେରା ହେଉଛି ସେବାରେ ନିୟୋଜିତ ବ୍ୟକ୍ତିଜଣକଙ୍କର ବୈଶିଷ୍ଟ୍ୟଗୁଡ଼ିକର ଏକ ସମାହାର, ଯଥା ତାଙ୍କ ଜୋତା, ପୋଷାକ, ଟାଇ, ଅଳଙ୍କାର, କେଶବିନ୍ୟାସ, ବେଶ-ସଜ୍ଜା, ହାତଘଣ୍ଟା, ପ୍ରସାଧନ ସାମଗ୍ରୀ, ଅତର, ଇତ୍ୟାଦି","ଚେ ହେ ରା    ହେଉଛି    ସେ ବାରେ    ନିୟୋଜିତ    ବ୍ୟକ୍ତି ଜଣ କ ଙ୍କର    ବୈଶିଷ୍ଟ ୍ୟ ଗୁଡ଼ିକର    ଏକ    ସମ ାହ ାର ,    ଯଥା    ତାଙ୍କ    ଜୋ ତା,    ପୋଷା କ,    ଟାଇ ,    ଅଳ ଙ୍ କାର,    କେ ଶ ବି ନ୍ୟା ସ,    ବେଶ - ସ ଜ୍ ଜା ,    ହାତ ଘଣ୍ଟ ା,    ପ୍ର ସା ଧନ    ସାମଗ୍ର ୀ,    ଅତ ର,    ଇତ୍ୟା ଦି ",149,53
2,ମହାରାଷ୍ଟ୍ରର ଔରଙ୍ଗାବାଦ୍ ଜିଲ୍ଲାରେ ଅବସ୍ଥିତ ଅଜନ୍ତାରେ ଖ୍ରୀଷ୍ଟପୂର୍ବ ପ୍ରଥମ ଶତାବ୍ଦୀରୁ ଖ୍ରୀଷ୍ଟାବ୍ଦ ପଞ୍ଚମ ଶତାବ୍ଦୀ ସମୟର ସ୍ଥାପତ୍ୟ ଓ ଚିତ୍ରକଳାରେ ସୁସଜ୍ଜିତ ଅଣତିରିଶଟି ଚୈତ୍ୟ ଓ ବିହାର ଗୁମ୍ଫା ରହିଛି,ମହାରାଷ୍ଟ୍ରର    ଔରଙ୍ଗ ାବା ଦ୍    ଜିଲ୍ଲାରେ    ଅବସ୍ଥିତ    ଅ ଜ ନ୍ତ ାରେ    ଖ୍ରୀଷ୍ଟ ପୂର୍ବ    ପ୍ରଥମ    ଶତାବ୍ଦ ୀରୁ    ଖ୍ରୀଷ୍ଟାବ୍ ଦ    ପଞ୍ଚ ମ    ଶତାବ୍ଦୀ    ସମୟର    ସ୍ଥାପତ୍ୟ    ଓ    ଚିତ୍ର କଳ ାରେ    ସୁ ସ ଜ୍ ଜିତ    ଅଣ ତି ରି ଶ ଟି    ଚ ୈ ତ୍ୟ    ଓ    ବି ହାର    ଗୁମ୍ଫା    ରହିଛି ,155,43
3,"ଶରୀରର ରଙ୍ଗ ବାହ୍ୟ ରେଖା ସହ ମିଶିଯାଇଥାଏ, ଯାହା ଘନତ୍ୱର ପ୍ରଭାବ ସୃଷ୍ଟି କରିଥାଏ","ଶରୀ ରର    ରଙ୍ଗ    ବାହ ୍ୟ    ରେ ଖା    ସହ    ମିଶି ଯାଇ ଥାଏ,    ଯାହା    ଘ ନ ତ୍ୱ ର    ପ୍ରଭାବ    ସୃଷ୍ଟି    କରିଥାଏ ",59,19
4,"ମୂର୍ତ୍ତିକଳା ଓ ପ୍ରସିଦ୍ଧ ସ୍ମାରକୀଗୁଡ଼ିକରେ ପଥରର ବ୍ୟାପକ ବ୍ୟବହାର ଅଶୋକ ଆରମ୍ଭ କରିଥିଲେ, ଯେବେକି ପୂର୍ବବର୍ତ୍ତୀ ପରମ୍ପରାରେ କାଠ ଓ ମାଟିର ବ୍ୟବହାର କରାଯାଉଥିଲା","ମୂର୍ତ୍ତ ିକ ଳା    ଓ    ପ୍ରସିଦ୍ଧ    ସ୍ମାର କୀ ଗୁଡ଼ିକରେ    ପଥ ରର    ବ୍ୟାପକ    ବ୍ୟବହାର    ଅଶୋକ    ଆରମ୍ଭ    କରିଥିଲେ,    ଯେ ବେ କି    ପୂର୍ବ ବର୍ତ୍ତୀ    ପରମ୍ପର ାରେ    କାଠ    ଓ    ମା ଟିର    ବ୍ୟବହାର    କରାଯାଉ ଥିଲା ",122,29
5,"ମହାରାଷ୍ଟ୍ରର ଏହି ଲୋକପ୍ରିୟ ଓ ସ୍ୱାଦିଷ୍ଟ ଖାଦ୍ୟଟି ଆଳୁକୁ ମସଲା ସହ ମିଶାଇ, ଗୋଳା ହୋଇଥିବା ବେସନରେ ବୁଡ଼ାଇ, ତା'ପରେ ଭଲ ଭାବେ ଛଣାଯାଇ ତିଆରି କରାଯାଇଥାଏ","ମହାରାଷ୍ଟ୍ରର    ଏହି    ଲୋକପ୍ରିୟ    ଓ    ସ୍ୱା ଦିଷ୍ଟ    ଖାଦ ୍ୟ ଟି    ଆ ଳ ୁ କୁ    ମସ ଲା    ସହ    ମିଶ ାଇ ,    ଗୋ ଳା    ହୋଇଥିବା    ବେ ସ ନରେ    ବୁ ଡ଼ ାଇ ,    ତା'ପରେ    ଭଲ    ଭାବେ    ଛ ଣ ାଯ ାଇ    ତିଆରି    କରାଯାଇଥାଏ ",112,38
6,ଚେଟିନାଡ୍‌ ପାକବିଧି ହେଉଛି ତାମିଲନାଡୁ ରାଜ୍ୟର ଚେଟିନାଡ୍ ଅଞ୍ଚଳର 'ନାଟୁକୋଟାଇ ଚେଟିୟାର୍' କୁହାଯାଉଥିବା ବା ନିଜକୁ 'ନାଗରଥାର୍' କହୁଥିବା ଏକ ସମ୍ପ୍ରଦାୟର ପାକବିଧି,ଚେ ଟି ନା ଡ୍‌    ପା କ ବିଧ ି    ହେଉଛି    ତାମିଲନା ଡ ୁ    ରାଜ୍ୟର    ଚେ ଟି ନା ଡ୍    ଅଞ୍ଚଳର    ' ନା ଟୁ କୋ ଟ ାଇ    ଚେ ଟି ୟ ାର୍ '    କୁହାଯ ାଉଥିବା    ବା    ନିଜକୁ    ' ନାଗ ର ଥ ାର୍ '    କହୁ ଥିବା    ଏକ    ସମ୍ପ୍ରଦାୟ ର    ପା କ ବିଧ ି ,123,48
7,"ଡାଳଚିନି ଭାରତର ସ୍ଵଦେଶୀ, ଏବଂ ଏମିତିରେ, ଏହାର ବ୍ୟବହାର ଏକ ସ୍ଵାଦକାରୀ ଦ୍ରବ୍ୟରୁ ନେଇ ଔଷଧୀୟ ଦ୍ରବ୍ୟ ପର୍ଯ୍ୟନ୍ତ ହୋଇଥାଏ","ଡା ଳ ଚି ନି    ଭାରତର    ସ୍ଵ ଦେଶ ୀ,    ଏବଂ    ଏ ମିତ ି ରେ,    ଏହାର    ବ୍ୟବହାର    ଏକ    ସ୍ଵ ାଦ କାରୀ    ଦ୍ର ବ୍ୟ ରୁ    ନେଇ    ଔଷ ଧ ୀୟ    ଦ୍ର ବ୍ୟ    ପର୍ଯ୍ୟନ୍ତ    ହୋଇଥାଏ ",90,30
8,ଏହାକୁ ଏକ ଶୁଖିଲା ଗ୍ରାଇଣ୍ଡର କିମ୍ବା ପଥରର ହେମଦସ୍ତା ସାହାଯ୍ୟରେ ଗୁଣ୍ଡରେ ପରିଣତ କରନ୍ତୁ,ଏହାକୁ    ଏକ    ଶୁ ଖ ିଲା    ଗ୍ର ାଇ ଣ୍ଡର    କିମ୍ବା    ପଥ ରର    ହେ ମଦ ସ୍ତ ା    ସାହାଯ ୍ୟରେ    ଗୁ ଣ୍ଡରେ    ପରିଣତ    କରନ୍ତୁ ,67,21
9,"ପଞ୍ଜାବର ପ୍ରତ୍ୟେକ ସହରର ଭିନ୍ନ ଭିନ୍ନ ପସନ୍ଦ ରହିଛି, ଯେପରିକି ଅମୃତସରର ଲୋକେ ବିଶେଷତଃ ଅମୃତସରୀ କୁଲ୍‌ଚା, ପୁରଦିଆ ପରଟା ଏବଂ ଦୁଗ୍ଧଜାତ ଦ୍ରବ୍ୟକୁ ଭଲପାଆନ୍ତି","ପଞ୍ଜାବ ର    ପ୍ରତ୍ୟେକ    ସହରର    ଭିନ୍ନ    ଭିନ୍ନ    ପସନ୍ଦ    ରହିଛି,    ଯେପରିକି    ଅ ମୃତ ସର ର    ଲୋକ େ    ବିଶେଷ ତଃ    ଅ ମୃତ ସର ୀ    କୁ ଲ୍‌ ଚା ,    ପୁର ଦି ଆ    ପର ଟା    ଏବଂ    ଦୁ ଗ୍ ଧ ଜା ତ    ଦ୍ର ବ୍ୟ କୁ    ଭଲ ପାଆନ୍ତି ",118,41
10,"ଋଷିଙ୍କ ସାଙ୍ଗରେ ରାମଙ୍କୁ ପଠେଇ ଦିଅନ୍ତୁ, ଏବଂ ଲକ୍ଷ୍ମଣଙ୍କୁ ମଧ୍ୟ ପଠାନ୍ତୁ","ଋଷ ି ଙ୍କ    ସାଙ୍ଗ ରେ    ରାମ ଙ୍କୁ    ପଠ େଇ    ଦିଅନ୍ତ ୁ,    ଏବଂ    ଲକ୍ଷ୍ମ ଣ ଙ୍କୁ    ମଧ୍ୟ    ପଠ ାନ୍ତ ୁ ",57,19
