sentence_id,original,tokenized,char_count,token_count
1,"रूप सर्विसवला व्यक्तिसँ सम्बन्धित बहुत रास लक्षणक समूह होयत छै जेना हुनक जूता, कपड़ा, टाई, गहना, केश, श्रृंगार, घड़ी, प्रसाधन सामग्री, सेंट इत्यादि","रूप    सर् वि स वला    व्यक्ति सँ    सम्बन्धित    बहुत    रास    लक्ष णक    समूह    होयत    छै    जेना    हुनक    जू ता,    कपड़ ा,    टा ई,    ग ह ना,    के श ,    श्रृ ंग ार,    घ ड़ ी,    प्र साधन    साम ग्र ी,    से ंट    इ त्या दि ",125,45
2,महाराष्ट्रके औरंगाबादमे स्थित अजन्तामे पहिल शताब्दी ईसा पूर्व सँ पाँचम शताब्दी धरिक मूर्तिकला आ चित्रकला सँ सजाओल उन्नतीस टा चैत्य आ विहार अछि,महाराष्ट्र के    औ र ंगा बादमे    स्थित    अ जन् तामे    पहिल    शताब्दी    ईसा    पूर्व    सँ    पाँचम    शताब्दी    धरिक    मूर् ति कला    आ    चित्र कला    सँ    सजा ओल    उ न्न ती स    टा    चै त्य    आ    वि हार    अछि ,120,38
3,शरीरक रङ्ग बाहरी रेखा सङ्ग मिल जायत छै जाहिसँ विस्तारक प्रभाव उतपन्न करैत छै,शरीरक    रङ्ग    बाहरी    रेखा    सङ्ग    मिल    जायत    छै    जाहिसँ    विस्त ारक    प्रभाव    उ त पन्न    करैत    छै ,63,17
4,अशोक मूर्तिकला आ विख्यात स्मारक सभ बनयबा लेल पाथरक विस्तृत उपयोग कयलनि जखनकि पिछुलका रिवाज लकड़ी आ माटि सँ काज कयनाय छल,अशोक    मूर् ति कला    आ    वि ख्या त    स्मार क    सभ    बन यबा    लेल    पाथ रक    विस्तृत    उपयोग    कयलनि    जखनकि    पि छु ल का    रि वा ज    लक ड़ी    आ    मा टि    सँ    काज    कय नाय    छल ,98,37
5,मसालामे मिलाओल आलूकेँ बेसनक घोरमे लपेट कऽ बढ़ियासँ तरला पर महाराष्ट्रक ई स्वादिष्ट आ नामी व्यंजन बनैत छै,मसा लामे    मिला ओल    आ लू केँ    बे सनक    घो रमे    ल पे ट    कऽ    बढ़ िया सँ    तर ला    पर    महाराष्ट्र क    ई    स्वा दि ष्ट    आ    ना मी    व्य ं जन    बनैत    छै ,87,35
6,"चेट्टीनाड व्यंजन तमिलनाडु राज्यक चेट्टीनाड क्षेत्रक एकटा समुदाय जकरा नट्टीकोटाई चेट्टीयार आकि नागारथार जेनाकि ओ अपनाक कहैत छथि, हुनक व्यंजन छियैक","चे ट् टी ना ड    व्य ं जन    तमिलनाडु    राज्यक    चे ट् टी ना ड    क्षेत्रक    एकटा    समुदाय    जकरा    न ट् टी को टा ई    चे ट् टी यार    आकि    नाग ार था र    जेना कि    ओ    अप नाक    कहैत    छथि,    हुनक    व्य ं जन    छिय ैक ",125,47
7,दालचीनी मूलतः भारतसँ छै आ एकर प्रयोग स्वादजनित पदार्थ सँ लऽ कऽ औषधीय पदार्थ धरि होयत छै,दा ल चीनी    मूल तः    भारत सँ    छै    आ    एकर    प्रयोग    स्वा द ज नित    पदार्थ    सँ    लऽ    कऽ    औष धीय    पदार्थ    धरि    होयत    छै ,71,25
8,ड्राई ग्राइंडर आकि पाथरक लोरही मे एकर पावडर बनाउ,ड्रा ई    ग्रा इंड र    आकि    पाथ रक    लो रही    मे    एकर    पाव डर    बना उ ,40,16
9,"पंजाबक हर शहरके भिन्न भिन्न पसिन्न छै जेना अमृतसरक लोक विशेष रूपसँ अमृतसरी कुल्चा, भरल पराँठा आ दुधक व्यंजन के शौकीन छथि","पंजा बक    हर    शहर के    भिन्न    भिन्न    पसिन्न    छै    जेना    अ मृ त सरक    लोक    विशेष    रूपसँ    अ मृ त स री    कु ल् चा ,    भरल    परा ँ ठा    आ    दु धक    व्य ं जन    के    शौ की न    छथि ",99,41
10,रामकेँ ऋषि सङ्ग पठा दिऔन आ लक्ष्मणकेँ सेहो,रा मकेँ    ऋ षि    सङ्ग    पठा    दि औ न    आ    लक्ष् म णकेँ    सेहो ,35,14
