sentence_index,original_sentence,tokenized_sentence,token_count
1,"தோற்றம் என்பது சேவை ஊழியரின் காலணிகள், உடை, டை, நகை, சிகையலங்காரம், மேக்-அப், கைக்கடிகாரம், அழகு சாதனங்கள், நறுமணம் போன்ற அவர் சார்ந்த பண்புகளின் ஒரு தொகுப்பைக் குறிக்கிறது","தோ ற்றம்   என்பது   சேவை   ஊழி ய ரின்   கால ணி கள்,   உடை ,   டை ,   நகை ,   சி கைய ல ங்கா ர ம்,   மே க் - அ ப் ,   கை க்கடி கார ம்,   அழ கு   சா தன ங்கள்,   ந று மணம்   போன்ற   அவர்   சார்ந்த   பண் பு களின்   ஒரு   தொகு ப்பை க்   குறி க்கிற து",53
2,"மகாராஷ்டிரத்தின் அவுரங்காபாத் மாவட்டத்தில் உள்ள அஜந்தாவில் இருபத்தி ஒன்பது சைத்யா மற்றும் விஹாரா குகைகள் உள்ளன, அவற்றை கிமு முதலாம் நூற்றாண்டு முதல் கிபி ஐந்தாம் நூற்றாண்டு வரையிலான சிற்பங்களும் ஓவியங்களும் அலங்கரித்துள்ளன","மகா ராஷ்டி ர த்தின்   அவு ர ங்கா பாத்   மாவட்டத்தில்   உள்ள   அ ஜ ந்தா வில்   இரு ப த்தி   ஒ ன்ப து   சை த்யா   மற்றும்   வி ஹா ரா   குகை கள்   உள்ளன,   அவற்றை   கி மு   முதலாம்   நூற்றாண்டு   முதல்   கிபி   ஐ ந்தா ம்   நூற்றாண்டு   வரையிலான   சிற்ப ங்களும்   ஓ விய ங்களும்   அல ங்க ரி த்து ள்ள ன",52
3,உடல் நிறம் ஓரங்களுடன் கலந்து பருமனான தோற்றத்தைத் தருகிறது,உடல்   நிற ம்   ஓ ர ங்களுடன்   கல ந்து   ப ரு ம னான   தோ ற்ற த்தை த்   த ரு கிறது,19
4,"சிற்பங்களுக்கும் மாபெரும் நினைவுச் சின்னங்களுக்கும் அசோகர் பெரியளவில் கற்களைப் பயன்படுத்தத் தொடங்கினார், ஆனால் அதற்கு முன்பு மரம் மற்றும் களிமண்ணைப் பயன்படுத்துவதே மரபாக இருந்தது","சிற்ப ங்களு க்கும்   மாபெரும்   நினைவு ச்   சி ன்ன ங்களு க்கும்   அசோ கர்   பெரிய ளவில்   கற் களை ப்   பயன்படுத்த த்   தொடங்கி னார்,   ஆனால்   அதற்கு   முன்பு   ம ரம்   மற்றும்   களி மண் ணை ப்   ப யன்படு த்துவ தே   மர பாக   இருந்த து",39
5,"மகாராஷ்டிராவின் இந்தப் புகழ்பெற்ற அறுசுவை உணவில், மசாலாக்களுடன் பிசைந்து கடலைமாவில் துவைத்து எண்ணெயில் பூரணமாகப் பொரித்த உருளைக்கிழங்குகள் உள்ளன","மகாராஷ்டிரா வின்   இந்த ப்   புகழ்பெற்ற   அறு சு வை   உண வில்,   ம சா லா க்க ளு டன்   பி சை ந்து   கட லை மா வில்   து வைத்து   எண் ணெ யில்   பூ ரணமாக ப்   பொ ரி த்த   உரு ளை க்கி ழ ங்கு கள்   உள்ளன",41
6,"செட்டிநாடு சமையல் என்பது, தமிழ்நாட்டின் செட்டிநாடுப் பகுதியைச் சேர்ந்த நாட்டுக்கோட்டை செட்டியார்கள் அல்லது, அவர்களே தங்களை அழைத்துக்கொள்வது போல, நகரத்தார்கள் என்ற சமூகத்தினரின் சமையல் பக்குவம் ஆகும்","செ ட்டி நாடு   ச மை யல்   என்ப து,   தமிழ்நாட்டின்   செ ட்டி நாடு ப்   பகுதி யை ச்   சேர்ந்த   நாட்டு க்கோட்டை   செ ட்டி யா ர்கள்   அல்ல து,   அவர்க ளே   த ங்களை   அழை த்துக்கொ ள் வது   போல ,   நகர த்தா ர்கள்   என்ற   சமூக த்தின ரின்   ச மை யல்   ப க்கு வம்   ஆ கும்",50
7,"லவங்கப்பட்டை பூர்வீகமாக இந்தியாவில் விளையக்கூடியது, ஆக அது மணப்பொருள் முதல் மருந்துப்பொருள் வரை பலதரப்பட்ட பயன்பாடுகள் கொண்டுள்ளது","ல வங்க ப்ப ட்டை   பூர் வீ கமாக   இந்தியாவில்   விளை ய க்கூடிய து,   ஆக   அது   மண ப்பொருள்   முதல்   ம ருந்து ப்பொருள்   வரை   பல தர ப்பட்ட   பயன் பாடு கள்   கொண்டு ள்ள து",30
8,இதை ஒரு மாவு இடிக்கும் கல்லில் அல்லது உரலில் போட்டு மாவுப் பொடியாக ஆக்கவும்,இதை   ஒரு   மா வு   இ டி க்கும்   கல் லில்   அல்லது   உ ர லில்   போ ட்டு   மா வு ப்   பொ டியாக   ஆ க்கவும்,22
9,"பஞ்சாபின் ஒவ்வொரு நகரமும் வெவ்வேறு விருப்பங்கள் கொண்டுள்ளது, எடுத்துக்காட்டாக அம்ரித்சர் மக்களுக்கு அம்ரித்சரி குல்ச்சே, ஸ்டஃப்டு பராத்தா மற்றும் பால் ஆகாரங்கள் மீது தனிப் பிரியம்","பஞ்சா பின்   ஒவ்வொரு   நகர மும்   வெவ்வேறு   விருப்ப ங்கள்   கொண்டு ள்ள து,   எடுத்து க்கா ட்டாக   அம் ரி த் சர்   மக்க ளுக்கு   அம் ரி த் சரி   கு ல் ச்சே ,   ஸ் டஃ ப் டு   பரா த்தா   மற்றும்   பால்   ஆ கார ங்கள்   மீது   தனி ப்   பி ரிய ம்",45
10,"ராமனை முனிவருடன் அனுப்பு, லக்ஷ்மணனையும் அவருடன் அனுப்பு","ராம னை   மு னி வரு டன்   அனுப்பு ,   ல க் ஷ் மண னை யும்   அவ ருடன்   அனுப்பு",17
