sentence_index,original_sentence,tokenized_sentence,token_count
1,"रूप सर्विसवला व्यक्तिसँ सम्बन्धित बहुत रास लक्षणक समूह होयत छै जेना हुनक जूता, कपड़ा, टाई, गहना, केश, श्रृंगार, घड़ी, प्रसाधन सामग्री, सेंट इत्यादि","रूप   स र्वि स वला   व्यक्ति सँ   सम्बन्धित   बहुत   रास   ल क्षण क   समूह   होयत   छै   जेना   हुनक   जू ता ,   कपड़ा ,   टा ई ,   ग ह ना,   केश ,   श्रृं गा र,   घ ड़ी ,   प्रसा धन   सामग्री ,   सें ट   इ त्या दि",46
2,महाराष्ट्रके औरंगाबादमे स्थित अजन्तामे पहिल शताब्दी ईसा पूर्व सँ पाँचम शताब्दी धरिक मूर्तिकला आ चित्रकला सँ सजाओल उन्नतीस टा चैत्य आ विहार अछि,महाराष्ट्र के   औ रं गा बादमे   स्थित   अ ज न्ता मे   पहिल   शताब्दी   ईसा   पूर्व   सँ   पाँच म   शताब्दी   धरि क   मूर्ति कला   आ   चित्र कला   सँ   स जा ओल   उ न्न ती स   टा   चै त्य   आ   वि हार   अछि,41
3,शरीरक रङ्ग बाहरी रेखा सङ्ग मिल जायत छै जाहिसँ विस्तारक प्रभाव उतपन्न करैत छै,श री रक   रङ्ग   बा हरी   रेखा   सङ्ग   मिल   जाय त   छै   जाहिसँ   विस्ता रक   प्रभाव   उ त प न्न   करैत   छै,22
4,अशोक मूर्तिकला आ विख्यात स्मारक सभ बनयबा लेल पाथरक विस्तृत उपयोग कयलनि जखनकि पिछुलका रिवाज लकड़ी आ माटि सँ काज कयनाय छल,अशो क   मूर्ति कला   आ   वि ख्या त   स्मारक   सभ   बन य बा   लेल   पाथरक   वि स्तृ त   उपयोग   कयलनि   जखनकि   पि छु लका   रि वा ज   लक ड़ी   आ   माटि   सँ   काज   कय ना य   छल,37
5,मसालामे मिलाओल आलूकेँ बेसनक घोरमे लपेट कऽ बढ़ियासँ तरला पर महाराष्ट्रक ई स्वादिष्ट आ नामी व्यंजन बनैत छै,म सा लामे   मिला ओल   आ लू केँ   बेस नक   घो रमे   ल पे ट   कऽ   बढ़ि या सँ   तर ला   पर   महाराष्ट्र क   ई   स्वा दि ष्ट   आ   नामी   व्यं जन   ब नैत   छै,35
6,"चेट्टीनाड व्यंजन तमिलनाडु राज्यक चेट्टीनाड क्षेत्रक एकटा समुदाय जकरा नट्टीकोटाई चेट्टीयार आकि नागारथार जेनाकि ओ अपनाक कहैत छथि, हुनक व्यंजन छियैक","चे ट्टी ना ड   व्यं जन   तमिलनाडु   राज्यक   चे ट्टी ना ड   क्षेत्रक   एकटा   समुदाय   जकरा   न ट्टी को टा ई   चे ट्टी यार   आ कि   नागा र था र   जेनाकि   ओ   अपना क   कहैत   छथि,   हुनक   व्यं जन   छि यैक",41
7,दालचीनी मूलतः भारतसँ छै आ एकर प्रयोग स्वादजनित पदार्थ सँ लऽ कऽ औषधीय पदार्थ धरि होयत छै,दाल चीनी   मूल तः   भारत सँ   छै   आ   एकर   प्रयोग   स्वा द जनि त   पदा र्थ   सँ   लऽ   कऽ   औ ष धी य   पदा र्थ   धरि   होयत   छै,28
8,ड्राई ग्राइंडर आकि पाथरक लोरही मे एकर पावडर बनाउ,ड्रा ई   ग्रा इं ड र   आ कि   पाथरक   लो र ही   मे   एकर   पा व ड र   बना उ,20
9,"पंजाबक हर शहरके भिन्न भिन्न पसिन्न छै जेना अमृतसरक लोक विशेष रूपसँ अमृतसरी कुल्चा, भरल पराँठा आ दुधक व्यंजन के शौकीन छथि","पंजा ब क   हर   शहर के   भिन्न   भिन्न   पसिन्न   छै   जेना   अ मृत सरक   लोक   विशेष   रूपसँ   अ मृत स री   कु ल्चा ,   भरल   प राँ ठा   आ   दु ध क   व्यं जन   के   शौ की न   छथि",39
10,रामकेँ ऋषि सङ्ग पठा दिऔन आ लक्ष्मणकेँ सेहो,राम केँ   ऋ षि   सङ्ग   पठा   दि औ न   आ   ल क्ष्म ण केँ   सेहो,15
